# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
5.01229e+17 1.84587e+22 188025000000000.0 7.32022e+16 1.62451e+17 12944900000000.0 1.04762e+16 9449620000000000.0 10168600000.0 4.50775e+17 5.94566e+16 9.6517e+16 159925000000.0 11379400000000.0 850139000000000.0 3641690000000000.0 2.10082e+16 -5.0 4.314 [-5.0]
5.01192e+17 1.75286e+22 194185000000000.0 7.20806e+16 1.53446e+17 13512600000000.0 1.04503e+16 9118130000000000.0 10653600000.0 4.3249e+17 5.59158e+16 8.70618e+16 167899000000.0 12121800000000.0 877502000000000.0 3598220000000000.0 1.99369e+16 -4.98 4.314 [-4.98]
5.01239e+17 1.66453e+22 200443000000000.0 7.09606e+16 1.44938e+17 14092900000000.0 1.04224e+16 8790360000000000.0 11157300000.0 4.14916e+17 5.25041e+16 7.84083e+16 176086000000.0 12890100000000.0 904613000000000.0 3552630000000000.0 1.89117e+16 -4.96 4.313 [-4.96]
5.01199e+17 1.58046e+22 206790000000000.0 6.98382e+16 1.3688e+17 14685400000000.0 1.03905e+16 8465600000000000.0 11681500000.0 3.97986e+17 4.92206e+16 7.04958e+16 184477000000.0 13684400000000.0 931402000000000.0 3504080000000000.0 1.79292e+16 -4.94 4.313 [-4.94]
5.01202e+17 1.5008e+22 213292000000000.0 6.87376e+16 1.29278e+17 15291000000000.0 1.03573e+16 8145030000000000.0 12222800000.0 3.81769e+17 4.60711e+16 6.32842e+16 193174000000.0 14510400000000.0 958131000000000.0 3453470000000000.0 1.69932e+16 -4.92 4.312 [-4.92]
5.01189e+17 1.42509e+22 219854000000000.0 6.76357e+16 1.22095e+17 15907800000000.0 1.03209e+16 7829260000000000.0 12786100000.0 3.66161e+17 4.30553e+16 5.67169e+16 202055000000.0 15357200000000.0 984312000000000.0 3400630000000000.0 1.60994e+16 -4.9 4.311 [-4.9]
5.01216e+17 1.35315e+22 226482000000000.0 6.65311e+16 1.15311e+17 16541800000000.0 1.02817e+16 7517640000000000.0 13384000000.0 3.51165e+17 4.01707e+16 5.07514e+16 211094000000.0 16219500000000.0 1009720000000000.0 3345940000000000.0 1.52461e+16 -4.88 4.311 [-4.88]
5.01194e+17 1.28484e+22 233223000000000.0 6.54445e+16 1.08898e+17 17179700000000.0 1.02387e+16 7211070000000000.0 13993800000.0 3.36752e+17 3.74209e+16 4.53382e+16 220475000000.0 17114100000000.0 1034950000000000.0 3288640000000000.0 1.44339e+16 -4.86 4.31 [-4.86]
5.01221e+17 1.22002e+22 240027000000000.0 6.43626e+16 1.02846e+17 17831100000000.0 1.01932e+16 6909980000000000.0 14638500000.0 3.22915e+17 3.48042e+16 4.04399e+16 230054000000.0 18023800000000.0 1059390000000000.0 3229680000000000.0 1.3661e+16 -4.84 4.309 [-4.84]
5.01218e+17 1.15829e+22 246803000000000.0 6.32721e+16 9.71166e+16 18485200000000.0 1.01426e+16 6613980000000000.0 15309600000.0 3.09575e+17 3.2318e+16 3.60095e+16 239766000000.0 18940600000000.0 1082650000000000.0 3168370000000000.0 1.29234e+16 -4.82 4.308 [-4.82]
5.01195e+17 1.09982e+22 253723000000000.0 6.22037e+16 9.17117e+16 19154800000000.0 1.00895e+16 6324020000000000.0 16017500000.0 2.96799e+17 2.99626e+16 3.20167e+16 249835000000.0 19884000000000.0 1105560000000000.0 3105330000000000.0 1.22245e+16 -4.8 4.307 [-4.8]
5.01188e+17 1.04433e+22 260695000000000.0 6.114e+16 8.66099e+16 19838800000000.0 1.00333e+16 6040370000000000.0 16766900000.0 2.84532e+17 2.77351e+16 2.84229e+16 260109000000.0 20834600000000.0 1127410000000000.0 3040860000000000.0 1.1561e+16 -4.78 4.307 [-4.78]
5.01222e+17 9.91565e+21 267633000000000.0 6.0075e+16 8.17876e+16 20525600000000.0 9972830000000000.0 5762790000000000.0 17555100000.0 2.72733e+17 2.56323e+16 2.51921e+16 270563000000.0 21787800000000.0 1148030000000000.0 2974850000000000.0 1.09307e+16 -4.76 4.306 [-4.76]
5.012e+17 9.415e+21 274643000000000.0 5.90207e+16 7.72282e+16 21224100000000.0 9908520000000000.0 5491710000000000.0 18390500000.0 2.61407e+17 2.36515e+16 2.22944e+16 281324000000.0 22753800000000.0 1167770000000000.0 2907090000000000.0 1.03334e+16 -4.74 4.305 [-4.74]
5.01189e+17 8.93948e+21 281629000000000.0 5.797e+16 7.29181e+16 21925800000000.0 9840000000000000.0 5227260000000000.0 19271400000.0 2.50519e+17 2.17887e+16 1.96976e+16 292299000000.0 23719100000000.0 1186210000000000.0 2837870000000000.0 9767430000000000.0 -4.72 4.304 [-4.72]
5.01244e+17 8.48891e+21 288629000000000.0 5.69271e+16 6.88579e+16 22643300000000.0 9768890000000000.0 4970910000000000.0 20213900000.0 2.40092e+17 2.0045e+16 1.73815e+16 303524000000.0 24681600000000.0 1203470000000000.0 2768360000000000.0 9233000000000000.0 -4.7 4.303 [-4.7]
5.01215e+17 8.05995e+21 295561000000000.0 5.58783e+16 6.50066e+16 23362600000000.0 9692190000000000.0 4720760000000000.0 21212200000.0 2.30044e+17 1.84105e+16 1.53132e+16 314900000000.0 25630500000000.0 1219020000000000.0 2697110000000000.0 8725730000000000.0 -4.68 4.302 [-4.68]
5.01198e+17 7.65404e+21 302634000000000.0 5.48477e+16 6.13712e+16 24106400000000.0 9613130000000000.0 4478270000000000.0 22289200000.0 2.20435e+17 1.6884e+16 1.34728e+16 326686000000.0 26587100000000.0 1233730000000000.0 2625190000000000.0 8247990000000000.0 -4.66 4.301 [-4.66]
5.0119e+17 7.26829e+21 309603000000000.0 5.38171e+16 5.79332e+16 24849600000000.0 9529500000000000.0 4243320000000000.0 23431200000.0 2.11199e+17 1.54613e+16 1.18354e+16 338673000000.0 27526400000000.0 1246820000000000.0 2552570000000000.0 7796590000000000.0 -4.64 4.3 [-4.64]
5.01242e+17 6.90188e+21 316474000000000.0 5.27876e+16 5.46829e+16 25593900000000.0 9441800000000000.0 4015910000000000.0 24647700000.0 2.02328e+17 1.41373e+16 1.0382e+16 350885000000.0 28446300000000.0 1258290000000000.0 2479640000000000.0 7370490000000000.0 -4.62 4.299 [-4.62]
5.01206e+17 6.55384e+21 323346000000000.0 5.17583e+16 5.16032e+16 26355500000000.0 9349730000000000.0 3795790000000000.0 25957400000.0 1.93807e+17 1.29075e+16 9095030000000000.0 363309000000.0 29342500000000.0 1268070000000000.0 2406050000000000.0 6968120000000000.0 -4.6 4.297 [-4.6]
5.01206e+17 6.22398e+21 330186000000000.0 5.07381e+16 4.86939e+16 27125300000000.0 9254390000000000.0 3583850000000000.0 27358000000.0 1.85643e+17 1.17685e+16 7957160000000000.0 376067000000.0 30223500000000.0 1276510000000000.0 2332490000000000.0 6589800000000000.0 -4.58 4.296 [-4.58]
5.01188e+17 5.91106e+21 337056000000000.0 4.9725e+16 4.594e+16 27912900000000.0 9155360000000000.0 3379590000000000.0 28866000000.0 1.77815e+17 1.07146e+16 6952390000000000.0 389181000000.0 31087600000000.0 1283600000000000.0 2258800000000000.0 6233940000000000.0 -4.56 4.295 [-4.56]
5.01188e+17 5.61364e+21 343700000000000.0 4.87101e+16 4.33343e+16 28689600000000.0 9051780000000000.0 3183240000000000.0 30466600000.0 1.70289e+17 9741320000000000.0 6066030000000000.0 402469000000.0 31914400000000.0 1288830000000000.0 2185360000000000.0 5898660000000000.0 -4.54 4.294 [-4.54]
5.01255e+17 5.3316e+21 350383000000000.0 4.77007e+16 4.08698e+16 29491500000000.0 8945220000000000.0 2994680000000000.0 32203600000.0 1.63078e+17 8844360000000000.0 5286340000000000.0 416079000000.0 32712400000000.0 1292550000000000.0 2112560000000000.0 5583530000000000.0 -4.52 4.293 [-4.52]
5.01192e+17 5.06386e+21 356939000000000.0 4.66951e+16 3.85339e+16 30290200000000.0 8834450000000000.0 2813850000000000.0 34050200000.0 1.56157e+17 8019020000000000.0 4601070000000000.0 429996000000.0 33481000000000.0 1294760000000000.0 2039850000000000.0 5287270000000000.0 -4.5 4.291 [-4.5]
5.01239e+17 4.80951e+21 363443000000000.0 4.56896e+16 3.63237e+16 31108500000000.0 8720200000000000.0 2640580000000000.0 36052500000.0 1.49514e+17 7260810000000000.0 3999610000000000.0 444125000000.0 34203500000000.0 1295140000000000.0 1968210000000000.0 5008680000000000.0 -4.48 4.29 [-4.48]
5.01188e+17 4.5682e+21 369844000000000.0 4.46904e+16 3.42291e+16 31927500000000.0 8602150000000000.0 2474990000000000.0 38186800000.0 1.43145e+17 6566090000000000.0 3472890000000000.0 458646000000.0 34900900000000.0 1294290000000000.0 1897020000000000.0 4747280000000000.0 -4.46 4.289 [-4.46]
5.01231e+17 4.33892e+21 376123000000000.0 4.36914e+16 3.22472e+16 32755300000000.0 8480850000000000.0 2316810000000000.0 40492900000.0 1.37033e+17 5929910000000000.0 3011740000000000.0 473363000000.0 35546100000000.0 1291610000000000.0 1827250000000000.0 4501430000000000.0 -4.44 4.287 [-4.44]
5.01238e+17 4.1215e+21 382255000000000.0 4.26998e+16 3.03717e+16 33581200000000.0 8356360000000000.0 2166290000000000.0 42956800000.0 1.31176e+17 5348620000000000.0 2608680000000000.0 488451000000.0 36158800000000.0 1287680000000000.0 1758510000000000.0 4270970000000000.0 -4.42 4.286 [-4.42]
5.01255e+17 3.91502e+21 388343000000000.0 4.17107e+16 2.8595e+16 34427200000000.0 8228500000000000.0 2022990000000000.0 45618100000.0 1.25557e+17 4818310000000000.0 2257270000000000.0 503837000000.0 36729900000000.0 1282320000000000.0 1691000000000000.0 4054490000000000.0 -4.4 4.285 [-4.4]
5.01189e+17 3.71906e+21 394323000000000.0 4.07273e+16 2.69113e+16 35276100000000.0 8097640000000000.0 1886750000000000.0 48466600000.0 1.20172e+17 4335160000000000.0 1951040000000000.0 519566000000.0 37261800000000.0 1275680000000000.0 1624710000000000.0 3851240000000000.0 -4.38 4.283 [-4.38]
5.01248e+17 3.53275e+21 400120000000000.0 3.97452e+16 2.53177e+16 36128100000000.0 7963830000000000.0 1757300000000000.0 51543700000.0 1.15006e+17 3895640000000000.0 1684400000000000.0 535538000000.0 37743600000000.0 1267580000000000.0 1560300000000000.0 3660120000000000.0 -4.36 4.282 [-4.36]
5.01199e+17 3.35619e+21 405817000000000.0 3.87715e+16 2.381e+16 36986600000000.0 7827420000000000.0 1635050000000000.0 54834100000.0 1.10055e+17 3497040000000000.0 1452890000000000.0 551854000000.0 38186800000000.0 1258360000000000.0 1497270000000000.0 3480760000000000.0 -4.34 4.281 [-4.34]
5.01191e+17 3.18807e+21 411258000000000.0 3.77985e+16 2.23807e+16 37837800000000.0 7687610000000000.0 1519050000000000.0 58371700000.0 1.05301e+17 3135050000000000.0 1251520000000000.0 568466000000.0 38589700000000.0 1248020000000000.0 1435900000000000.0 3312040000000000.0 -4.32 4.279 [-4.32]
