# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+2 N+4 O O+2 O+5 O+6 Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
74131000000000.0 3.861e+18 2967970000.0 548844000000.0 2635860000000.0 82653200000.0 2914830000000.0 12953.6 210637000000.0 41684100000000.0 88483700000000.0 1307290.0 76222900.0 449346000.0 66311200000.0 -5.0 4.583 [-5.0]
74131000000000.0 3.65215e+18 3238020000.0 583310000000.0 2694170000000.0 88514800000.0 2901720000000.0 14506.3 226734000000.0 40118600000000.0 80915900000000.0 1570090.0 89355900.0 509277000.0 71132300000.0 -4.98 4.578 [-4.98]
74131000000000.0 3.45537e+18 3528530000.0 619120000000.0 2750320000000.0 94706800000.0 2884520000000.0 16247.3 243812000000.0 38532000000000.0 73863900000000.0 1881810.0 104571000.0 576235000.0 76189500000.0 -4.96 4.573 [-4.96]
74131000000000.0 3.26988e+18 3840770000.0 656281000000.0 2804170000000.0 101238000000.0 2863260000000.0 18198.9 261893000000.0 36930700000000.0 67305100000000.0 2250770.0 122167000.0 650919000.0 81484200000.0 -4.94 4.568 [-4.94]
74131000000000.0 3.095e+18 4176030000.0 694786000000.0 2855620000000.0 108117000000.0 2837990000000.0 20386.3 281001000000.0 35321300000000.0 61217200000000.0 2686630.0 142483000.0 734072000.0 87017000000.0 -4.92 4.563 [-4.92]
74131000000000.0 2.93e+18 4535600000.0 734640000000.0 2904550000000.0 115348000000.0 2808730000000.0 22834.7 301141000000.0 33710300000000.0 55576400000000.0 3200470.0 165903000.0 826523000.0 92788500000.0 -4.9 4.558 [-4.9]
74131000000000.0 2.77429e+18 4920850000.0 775827000000.0 2950860000000.0 122936000000.0 2775570000000.0 25574.9 322326000000.0 32103800000000.0 50361100000000.0 3805040.0 192854000.0 929133000.0 98796800000.0 -4.88 4.554 [-4.88]
74131000000000.0 2.6273e+18 5333220000.0 818343000000.0 2994440000000.0 130883000000.0 2738580000000.0 28639.8 344561000000.0 30508200000000.0 45548900000000.0 4514930.0 223818000.0 1042830000.0 105040000000.0 -4.86 4.549 [-4.86]
74131000000000.0 2.48847e+18 5774080000.0 862160000000.0 3035200000000.0 139189000000.0 2697840000000.0 32065.7 367843000000.0 28929100000000.0 41117900000000.0 5346840.0 259336000.0 1168620000.0 111513000000.0 -4.84 4.544 [-4.84]
74131000000000.0 2.35735e+18 6245100000.0 907267000000.0 3073040000000.0 147856000000.0 2653470000000.0 35895.5 392173000000.0 27372400000000.0 37047300000000.0 6319800.0 300007000.0 1307530000.0 118211000000.0 -4.82 4.54 [-4.82]
74131000000000.0 2.2335e+18 6748130000.0 953651000000.0 3107880000000.0 156883000000.0 2605600000000.0 40178.4 417552000000.0 25843400000000.0 33316200000000.0 7455570.0 346505000.0 1460660000.0 125127000000.0 -4.8 4.536 [-4.8]
74131000000000.0 2.1164e+18 7284040000.0 1001250000000.0 3139630000000.0 166253000000.0 2554360000000.0 44956.4 443934000000.0 24346700000000.0 29902600000000.0 8778580.0 399578000.0 1629260000.0 132253000000.0 -4.78 4.531 [-4.78]
74131000000000.0 2.00567e+18 7854360000.0 1050010000000.0 3168210000000.0 175956000000.0 2499890000000.0 50284.3 471294000000.0 22886900000000.0 26786600000000.0 10316600.0 460054000.0 1814580000.0 139581000000.0 -4.76 4.527 [-4.76]
74131000000000.0 1.90093e+18 8460580000.0 1099890000000.0 3193550000000.0 185978000000.0 2442390000000.0 56222.6 499602000000.0 21468000000000.0 23948600000000.0 12101000.0 528856000.0 2017970000.0 147099000000.0 -4.74 4.523 [-4.74]
74131000000000.0 1.80183e+18 9104060000.0 1150830000000.0 3215580000000.0 196302000000.0 2382030000000.0 62837.3 528818000000.0 20093500000000.0 21369700000000.0 14166900.0 606997000.0 2240820000.0 154794000000.0 -4.72 4.519 [-4.72]
74131000000000.0 1.70804e+18 9786220000.0 1202760000000.0 3234230000000.0 206908000000.0 2319020000000.0 70201.7 558898000000.0 18766700000000.0 19031500000000.0 16553800.0 695597000.0 2484630000.0 162652000000.0 -4.7 4.515 [-4.7]
74131000000000.0 1.61926e+18 10508200000.0 1255590000000.0 3249430000000.0 217768000000.0 2253590000000.0 78397.5 589792000000.0 17490100000000.0 16916300000000.0 19306000.0 795886000.0 2750920000.0 170656000000.0 -4.68 4.51 [-4.68]
74131000000000.0 1.5352e+18 11271300000.0 1309230000000.0 3261110000000.0 228857000000.0 2185970000000.0 87515.7 621451000000.0 16265600000000.0 15007300000000.0 22472800.0 909216000.0 3041290000.0 178788000000.0 -4.66 4.506 [-4.66]
74131000000000.0 1.4556e+18 12076700000.0 1363590000000.0 3269230000000.0 240145000000.0 2116420000000.0 97657.8 653816000000.0 15095100000000.0 13288300000000.0 26108900.0 1037060000.0 3357440000.0 187028000000.0 -4.64 4.502 [-4.64]
74131000000000.0 1.3802e+18 12925300000.0 1418540000000.0 3273730000000.0 251596000000.0 2045200000000.0 108934.0 686821000000.0 13979600000000.0 11743800000000.0 30275000.0 1181040000.0 3701070000.0 195353000000.0 -4.62 4.498 [-4.62]
74131000000000.0 1.30877e+18 13817700000.0 1473960000000.0 3274570000000.0 263171000000.0 1972580000000.0 121468.0 720398000000.0 12919800000000.0 10359200000000.0 35038000.0 1342900000.0 4074020000.0 203742000000.0 -4.6 4.494 [-4.6]
74131000000000.0 1.24108e+18 14755100000.0 1529720000000.0 3271710000000.0 274835000000.0 1898840000000.0 135406.0 754488000000.0 11915900000000.0 9120890000000.0 40472000.0 1524540000.0 4478040000.0 212167000000.0 -4.58 4.49 [-4.58]
74131000000000.0 1.17695e+18 15738000000.0 1585690000000.0 3265110000000.0 286548000000.0 1824280000000.0 150905.0 789024000000.0 10967900000000.0 8015820000000.0 46658400.0 1728020000.0 4914990000.0 220601000000.0 -4.56 4.487 [-4.56]
74131000000000.0 1.11618e+18 16767000000.0 1641710000000.0 3254750000000.0 298267000000.0 1749170000000.0 168146.0 823935000000.0 10075300000000.0 7031840000000.0 53686000.0 1955570000.0 5386730000.0 229016000000.0 -4.54 4.483 [-4.54]
74131000000000.0 1.05858e+18 17842300000.0 1697610000000.0 3240610000000.0 309948000000.0 1673830000000.0 187331.0 859152000000.0 9237060000000.0 6157600000000.0 61652100.0 2209570000.0 5895150000.0 237380000000.0 -4.52 4.479 [-4.52]
74131000000000.0 1.00399e+18 18964200000.0 1753240000000.0 3222680000000.0 321547000000.0 1598520000000.0 208685.0 894601000000.0 8452210000000.0 5382540000000.0 70662100.0 2492560000.0 6442090000.0 245662000000.0 -4.5 4.475 [-4.5]
74131000000000.0 9.52247e+17 20132600000.0 1808400000000.0 3200970000000.0 333020000000.0 1523530000000.0 232468.0 930210000000.0 7719310000000.0 4696870000000.0 80830700.0 2807300000.0 7029400000.0 253828000000.0 -4.48 4.471 [-4.48]
74131000000000.0 9.032e+17 21347300000.0 1862900000000.0 3175480000000.0 344321000000.0 1449130000000.0 258969.0 965909000000.0 7036710000000.0 4091540000000.0 92281600.0 3156670000.0 7658880000.0 261843000000.0 -4.46 4.467 [-4.46]
74131000000000.0 8.567e+17 22607100000.0 1916540000000.0 3146230000000.0 355404000000.0 1375590000000.0 288506.0 1001610000000.0 6402630000000.0 3558210000000.0 105147000.0 3543750000.0 8332360000.0 269671000000.0 -4.44 4.463 [-4.44]
74131000000000.0 8.12628e+17 23912800000.0 1969150000000.0 3113270000000.0 366233000000.0 1303150000000.0 321475.0 1037280000000.0 5815080000000.0 3089340000000.0 119572000.0 3971800000.0 9051240000.0 277275000000.0 -4.42 4.459 [-4.42]
74131000000000.0 7.70848e+17 25262500000.0 2020490000000.0 3076620000000.0 376759000000.0 1232040000000.0 358282.0 1072820000000.0 5272000000000.0 2677900000000.0 135708000.0 4444250000.0 9817210000.0 284617000000.0 -4.4 4.456 [-4.4]
74131000000000.0 7.31248e+17 26656000000.0 2070360000000.0 3036380000000.0 386947000000.0 1162480000000.0 399419.0 1108180000000.0 4771250000000.0 2317610000000.0 153721000.0 4964660000.0 10631500000.0 291660000000.0 -4.38 4.452 [-4.38]
74131000000000.0 6.937e+17 28090400000.0 2118540000000.0 2992580000000.0 396753000000.0 1094650000000.0 445399.0 1143260000000.0 4310580000000.0 2002640000000.0 173778000.0 5536740000.0 11495500000.0 298365000000.0 -4.36 4.448 [-4.36]
74131000000000.0 6.58104e+17 29564400000.0 2164800000000.0 2945330000000.0 406141000000.0 1028740000000.0 496844.0 1178010000000.0 3887770000000.0 1727820000000.0 196064000.0 6164340000.0 12410200000.0 304695000000.0 -4.34 4.444 [-4.34]
