H	H+	C+	C+2	C+3	N+2	N+4	O	O+2	O+5	O+6	Si+	Si+2	Si+3	Si+4
2.88403e+13	1.51464e+18	1.14223e+09	2.12031e+11	1.02204e+12	3.19191e+10	1.13500e+12	4.96828e+03	8.10976e+10	1.63075e+13	3.48737e+13	4.95579e+05	2.89991e+07	1.71696e+08	2.55431e+10
2.88403e+13	1.43266e+18	1.24635e+09	2.25386e+11	1.04483e+12	3.41863e+10	1.13012e+12	5.56357e+03	8.73060e+10	1.56996e+13	3.18988e+13	5.95391e+05	3.40040e+07	1.94640e+08	2.74059e+10
2.88403e+13	1.35543e+18	1.35837e+09	2.39264e+11	1.06678e+12	3.65817e+10	1.12364e+12	6.23103e+03	9.38939e+10	1.50831e+13	2.91259e+13	7.13813e+05	3.98036e+07	2.20281e+08	2.93604e+10
2.88403e+13	1.28263e+18	1.47878e+09	2.53667e+11	1.08785e+12	3.91088e+10	1.11559e+12	6.97921e+03	1.00871e+11	1.44606e+13	2.65463e+13	8.54025e+05	4.65125e+07	2.48886e+08	3.14073e+10
2.88403e+13	1.21400e+18	1.60808e+09	2.68595e+11	1.10799e+12	4.17705e+10	1.10597e+12	7.81745e+03	1.08244e+11	1.38345e+13	2.41511e+13	1.01971e+06	5.42607e+07	2.80746e+08	3.35469e+10
2.88403e+13	1.14925e+18	1.74678e+09	2.84047e+11	1.12716e+12	4.45695e+10	1.09479e+12	8.75612e+03	1.16020e+11	1.32075e+13	2.19313e+13	1.21509e+06	6.31942e+07	3.16173e+08	3.57793e+10
2.88403e+13	1.08815e+18	1.89538e+09	3.00019e+11	1.14531e+12	4.75066e+10	1.08210e+12	9.80616e+03	1.24199e+11	1.25819e+13	1.98785e+13	1.44501e+06	7.34764e+07	3.55502e+08	3.81038e+10
2.88403e+13	1.03047e+18	2.05454e+09	3.16512e+11	1.16241e+12	5.05851e+10	1.06790e+12	1.09818e+04	1.32791e+11	1.19601e+13	1.79837e+13	1.71513e+06	8.52944e+07	3.99091e+08	4.05199e+10
2.88403e+13	9.75999e+17	2.22463e+09	3.33509e+11	1.17841e+12	5.38021e+10	1.05225e+12	1.22947e+04	1.41784e+11	1.13446e+13	1.62386e+13	2.03169e+06	9.88509e+07	4.47324e+08	4.30257e+10
2.88403e+13	9.24548e+17	2.40639e+09	3.51010e+11	1.19328e+12	5.71596e+10	1.03518e+12	1.37625e+04	1.51187e+11	1.07374e+13	1.46347e+13	2.40207e+06	1.14380e+08	5.00607e+08	4.56196e+10
2.88403e+13	8.75958e+17	2.60058e+09	3.69011e+11	1.20699e+12	6.06584e+10	1.01673e+12	1.54048e+04	1.61000e+11	1.01407e+13	1.31644e+13	2.83455e+06	1.32137e+08	5.59349e+08	4.82983e+10
2.88403e+13	8.30021e+17	2.80750e+09	3.87487e+11	1.21951e+12	6.42915e+10	9.96971e+11	1.72370e+04	1.71204e+11	9.55634e+12	1.18187e+13	3.33850e+06	1.52410e+08	6.24040e+08	5.10596e+10
2.88403e+13	7.86581e+17	3.02773e+09	4.06421e+11	1.23079e+12	6.80547e+10	9.75947e+11	1.92798e+04	1.81789e+11	8.98609e+12	1.05900e+13	3.92450e+06	1.75516e+08	6.95168e+08	5.38998e+10
2.88403e+13	7.45493e+17	3.26189e+09	4.25795e+11	1.24082e+12	7.19436e+10	9.53727e+11	2.15571e+04	1.92745e+11	8.43155e+12	9.47052e+12	4.60458e+06	2.01810e+08	7.73243e+08	5.68146e+10
2.88403e+13	7.06619e+17	3.51046e+09	4.45583e+11	1.24957e+12	7.59505e+10	9.30387e+11	2.40935e+04	2.04055e+11	7.89414e+12	8.45293e+12	5.39220e+06	2.31680e+08	8.58812e+08	5.97991e+10
