# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+2 N+4 O O+2 O+5 O+6 Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
28840300000000.0 1.51464e+18 1142230000.0 212031000000.0 1022040000000.0 31919100000.0 1135000000000.0 4968.28 81097600000.0 16307500000000.0 34873700000000.0 495579.0 28999100.0 171696000.0 25543100000.0 -5.0 4.584 [-5.0]
28840300000000.0 1.43266e+18 1246350000.0 225386000000.0 1044830000000.0 34186300000.0 1130120000000.0 5563.57 87306000000.0 15699600000000.0 31898800000000.0 595391.0 34004000.0 194640000.0 27405900000.0 -4.98 4.579 [-4.98]
28840300000000.0 1.35543e+18 1358370000.0 239264000000.0 1066780000000.0 36581700000.0 1123640000000.0 6231.03 93893900000.0 15083100000000.0 29125900000000.0 713813.0 39803600.0 220281000.0 29360400000.0 -4.96 4.574 [-4.96]
28840300000000.0 1.28263e+18 1478780000.0 253667000000.0 1087850000000.0 39108800000.0 1115590000000.0 6979.21 100871000000.0 14460600000000.0 26546300000000.0 854025.0 46512500.0 248886000.0 31407300000.0 -4.94 4.569 [-4.94]
28840300000000.0 1.214e+18 1608080000.0 268595000000.0 1107990000000.0 41770500000.0 1105970000000.0 7817.45 108244000000.0 13834500000000.0 24151100000000.0 1019710.0 54260700.0 280746000.0 33546900000.0 -4.92 4.564 [-4.92]
28840300000000.0 1.14925e+18 1746780000.0 284047000000.0 1127160000000.0 44569500000.0 1094790000000.0 8756.12 116020000000.0 13207500000000.0 21931300000000.0 1215090.0 63194200.0 316173000.0 35779300000.0 -4.9 4.559 [-4.9]
28840300000000.0 1.08815e+18 1895380000.0 300019000000.0 1145310000000.0 47506600000.0 1082100000000.0 9806.16 124199000000.0 12581900000000.0 19878500000000.0 1445010.0 73476400.0 355502000.0 38103800000.0 -4.88 4.555 [-4.88]
28840300000000.0 1.03047e+18 2054540000.0 316512000000.0 1162410000000.0 50585100000.0 1067900000000.0 10981.8 132791000000.0 11960100000000.0 17983700000000.0 1715130.0 85294400.0 399091000.0 40519900000.0 -4.86 4.55 [-4.86]
28840300000000.0 9.75999e+17 2224630000.0 333509000000.0 1178410000000.0 53802100000.0 1052250000000.0 12294.7 141784000000.0 11344600000000.0 16238600000000.0 2031690.0 98850900.0 447324000.0 43025700000.0 -4.84 4.545 [-4.84]
28840300000000.0 9.24548e+17 2406390000.0 351010000000.0 1193280000000.0 57159600000.0 1035180000000.0 13762.5 151187000000.0 10737400000000.0 14634700000000.0 2402070.0 114380000.0 500607000.0 45619600000.0 -4.82 4.541 [-4.82]
28840300000000.0 8.75958e+17 2600580000.0 369011000000.0 1206990000000.0 60658400000.0 1016730000000.0 15404.8 161000000000.0 10140700000000.0 13164400000000.0 2834550.0 132137000.0 559349000.0 48298300000.0 -4.8 4.537 [-4.8]
28840300000000.0 8.30021e+17 2807500000.0 387487000000.0 1219510000000.0 64291500000.0 996971000000.0 17237.0 171204000000.0 9556340000000.0 11818700000000.0 3338500.0 152410000.0 624040000.0 51059600000.0 -4.78 4.532 [-4.78]
28840300000000.0 7.86581e+17 3027730000.0 406421000000.0 1230790000000.0 68054700000.0 975947000000.0 19279.8 181789000000.0 8986090000000.0 10590000000000.0 3924500.0 175516000.0 695168000.0 53899800000.0 -4.76 4.528 [-4.76]
