H	H+	C+	C+2	C+3	N+2	N+4	O	O+2	O+5	O+6	Si+	Si+2	Si+3	Si+4
1.04713e+13	3.49421e+17	1.25730e+10	5.61352e+12	4.18818e+13	7.07165e+11	4.03428e+13	2.29633e+04	1.81389e+12	5.26215e+14	7.04155e+14	1.12640e+07	1.21630e+09	1.54081e+10	1.39699e+12
1.04713e+13	3.28323e+17	1.32713e+10	5.82869e+12	4.25881e+13	7.62289e+11	3.98990e+13	2.72324e+04	2.00036e+12	5.02088e+14	6.33791e+14	1.28923e+07	1.39236e+09	1.76509e+10	1.49898e+12
1.04713e+13	3.08489e+17	1.40205e+10	6.04529e+12	4.32508e+13	8.21642e+11	3.93928e+13	3.24463e+04	2.20425e+12	4.77838e+14	5.69045e+14	1.47244e+07	1.59016e+09	2.01882e+10	1.60556e+12
1.04713e+13	2.89837e+17	1.48278e+10	6.26350e+12	4.38684e+13	8.85489e+11	3.88248e+13	3.88281e+04	2.42662e+12	4.53559e+14	5.09601e+14	1.67833e+07	1.81183e+09	2.30537e+10	1.71663e+12
1.04713e+13	2.72203e+17	1.56880e+10	6.48086e+12	4.44410e+13	9.54027e+11	3.81932e+13	4.66518e+04	2.66872e+12	4.29280e+14	4.54916e+14	1.90763e+07	2.05914e+09	2.63020e+10	1.83260e+12
1.04713e+13	2.55572e+17	1.66169e+10	6.69902e+12	4.49655e+13	1.02761e+12	3.74990e+13	5.62743e+04	2.93156e+12	4.05119e+14	4.04861e+14	2.16364e+07	2.33457e+09	2.99702e+10	1.95305e+12
1.04713e+13	2.39894e+17	1.76277e+10	6.91898e+12	4.54397e+13	1.10655e+12	3.67431e+13	6.81352e+04	3.21611e+12	3.81174e+14	3.59191e+14	2.44975e+07	2.64079e+09	3.41041e+10	2.07774e+12
1.04713e+13	2.25089e+17	1.87284e+10	7.14048e+12	4.58619e+13	1.19112e+12	3.59256e+13	8.27796e+04	3.52319e+12	3.57509e+14	3.17600e+14	2.76865e+07	2.98018e+09	3.87639e+10	2.20659e+12
1.04713e+13	2.11094e+17	1.99327e+10	7.36417e+12	4.62298e+13	1.28163e+12	3.50465e+13	1.00902e+05	3.85383e+12	3.34219e+14	2.79775e+14	3.12403e+07	3.35552e+09	4.40139e+10	2.33937e+12
1.04713e+13	1.97854e+17	2.12574e+10	7.59117e+12	4.65413e+13	1.37839e+12	3.41061e+13	1.23367e+05	4.20854e+12	3.11363e+14	2.45498e+14	3.52039e+07	3.76988e+09	4.99255e+10	2.47584e+12
1.04713e+13	1.85314e+17	2.27226e+10	7.82279e+12	4.67936e+13	1.48173e+12	3.31045e+13	1.51266e+05	4.58783e+12	2.89008e+14	2.14514e+14	3.96306e+07	4.22663e+09	5.65819e+10	2.61568e+12
1.04713e+13	1.73425e+17	2.43543e+10	8.06115e+12	4.69834e+13	1.59196e+12	3.20420e+13	1.85973e+05	4.99189e+12	2.67222e+14	1.86595e+14	4.45927e+07	4.72994e+09	6.40749e+10	2.75851e+12
1.04713e+13	1.62136e+17	2.61840e+10	8.30879e+12	4.71066e+13	1.70940e+12	3.09184e+13	2.29236e+05	5.42069e+12	2.46061e+14	1.61507e+14	5.01805e+07	5.28480e+09	7.25136e+10	2.90393e+12
1.04713e+13	1.51402e+17	2.82528e+10	8.56935e+12	4.71581e+13	1.83434e+12	2.97338e+13	2.83266e+05	5.87373e+12	2.25581e+14	1.39038e+14	5.65194e+07	5.89786e+09	8.20217e+10	3.05145e+12
1.04713e+13	1.41136e+17	3.06114e+10	8.84651e+12	4.71317e+13	1.96726e+12	2.84835e+13	3.51073e+05	6.35084e+12	2.05774e+14	1.18916e+14	6.37528e+07	6.57699e+09	9.27909e+10	3.20104e+12
1.04713e+13	1.31302e+17	3.33375e+10	9.14799e+12	4.70183e+13	2.10845e+12	2.71664e+13	4.36434e+05	6.85035e+12	1.86690e+14	1.00971e+14	7.21401e+07	7.33576e+09	1.05005e+11	3.35198e+12
1.04713e+13	1.21860e+17	3.65363e+10	9.48413e+12	4.68064e+13	2.25814e+12	2.57807e+13	5.44283e+05	7.36958e+12	1.68368e+14	8.50326e+13	8.20673e+07	8.19469e+09	1.18890e+11	3.50346e+12
1.04713e+13	1.12750e+17	4.03547e+10	9.86863e+12	4.64797e+13	2.41645e+12	2.43221e+13	6.81272e+05	7.90451e+12	1.50815e+14	7.09267e+13	9.41196e+07	9.18533e+09	1.34753e+11	3.65467e+12
1.04713e+13	1.03896e+17	4.50126e+10	1.03214e+13	4.60142e+13	2.58345e+12	2.27819e+13	8.56689e+05	8.44920e+12	1.34011e+14	5.84702e+13	1.09238e+08	1.03588e+10	1.53025e+11	3.80481e+12
1.04713e+13	9.51928e+16	5.08578e+10	1.08728e+13	4.53719e+13	2.75888e+12	2.11455e+13	1.08407e+06	8.99407e+12	1.17903e+14	4.74740e+13	1.29034e+08	1.18020e+10	1.74343e+11	3.95291e+12
1.04713e+13	8.64901e+16	5.84811e+10	1.15710e+13	4.44894e+13	2.94172e+12	1.93879e+13	1.38446e+06	9.52249e+12	1.02380e+14	3.77456e+13	1.56486e+08	1.36706e+10	1.99737e+11	4.09761e+12
1.04713e+13	7.75611e+16	6.89718e+10	1.24972e+13	4.32520e+13	3.12862e+12	1.74671e+13	1.79340e+06	1.00024e+13	8.72453e+13	2.90888e+13	1.97665e+08	1.62625e+10	2.30999e+11	4.23630e+12
1.04713e+13	6.78939e+16	8.48172e+10	1.38114e+13	4.13996e+13	3.30955e+12	1.52852e+13	2.38598e+06	1.03625e+13	7.19402e+13	2.12015e+13	2.67726e+08	2.02438e+10	2.72249e+11	4.36377e+12
1.04713e+13	5.82302e+16	1.07762e+11	1.54771e+13	3.88515e+13	3.44664e+12	1.30336e+13	3.22332e+06	1.05206e+13	5.73317e+13	1.46620e+13	3.89008e+08	2.61388e+10	3.23731e+11	4.44993e+12
1.04713e+13	5.11261e+16	1.31470e+11	1.68639e+13	3.64385e+13	3.52629e+12	1.13198e+13	4.17335e+06	1.06197e+13	4.63833e+13	1.05420e+13	5.44469e+08	3.23920e+10	3.70788e+11	4.47086e+12
1.04713e+13	4.43755e+16	1.61792e+11	1.82515e+13	3.35803e+13	3.54345e+12	9.71065e+12	5.46022e+06	1.05929e+13	3.62518e+13	7.26615e+12	7.84917e+08	4.01082e+10	4.24162e+11	4.43425e+12
1.04713e+13	3.79945e+16	2.00574e+11	1.95069e+13	3.02662e+13	3.48062e+12	8.23371e+12	7.27669e+06	1.04706e+13	2.69497e+13	4.72797e+12	1.16544e+09	4.92822e+10	4.83887e+11	4.32326e+12
1.04713e+13	3.21322e+16	2.48231e+11	2.04243e+13	2.66168e+13	3.33163e+12	6.91856e+12	9.94514e+06	1.03387e+13	1.88429e+13	2.88063e+12	1.76234e+09	5.95213e+10	5.47602e+11	4.12499e+12
1.04713e+13	2.72760e+16	2.98230e+11	2.08035e+13	2.31242e+13	3.13970e+12	5.82173e+12	1.37106e+07	1.03285e+13	1.27746e+13	1.71625e+12	2.60040e+09	6.97080e+10	6.06533e+11	3.86275e+12
1.04713e+13	2.36009e+16	3.42118e+11	2.07091e+13	2.01978e+13	2.96562e+12	4.94358e+12	1.85404e+07	1.04595e+13	8.82609e+12	1.06099e+12	3.62923e+09	7.90980e+10	6.53621e+11	3.58701e+12
1.04713e+13	2.08193e+16	3.77811e+11	2.03339e+13	1.78270e+13	2.82671e+12	4.23255e+12	2.43717e+07	1.06581e+13	6.31423e+12	6.90156e+11	4.81678e+09	8.77621e+10	6.89261e+11	3.32443e+12
1.04713e+13	1.86256e+16	4.06585e+11	1.98065e+13	1.58694e+13	2.71578e+12	3.64275e+12	3.12582e+07	1.08678e+13	4.65247e+12	4.67576e+11	6.16803e+09	9.59311e+10	7.16096e+11	3.07972e+12
1.04713e+13	1.68272e+16	4.29896e+11	1.91933e+13	1.42128e+13	2.62376e+12	3.14505e+12	3.93226e+07	1.10615e+13	3.50411e+12	3.26289e+11	7.69993e+09	1.03735e+11	7.36156e+11	2.85167e+12
1.04713e+13	1.53080e+16	4.48828e+11	1.85298e+13	1.27829e+13	2.54404e+12	2.72023e+12	4.87315e+07	1.12277e+13	2.68175e+12	2.32601e+11	9.43318e+09	1.11232e+11	7.50778e+11	2.63824e+12
1.04713e+13	1.40011e+16	4.64126e+11	1.78400e+13	1.15350e+13	2.47282e+12	2.35614e+12	5.96441e+07	1.13613e+13	2.07875e+12	1.68631e+11	1.13812e+10	1.18419e+11	7.60771e+11	2.43855e+12
1.04713e+13	1.28600e+16	4.76389e+11	1.71389e+13	1.04355e+13	2.40739e+12	2.04285e+12	7.22531e+07	1.14612e+13	1.62772e+12	1.23885e+11	1.35591e+10	1.25287e+11	7.66761e+11	2.25151e+12
1.04713e+13	1.18543e+16	4.86109e+11	1.64392e+13	9.46158e+12	2.34622e+12	1.77303e+12	8.67399e+07	1.15278e+13	1.28572e+12	9.20525e+10	1.59749e+10	1.31814e+11	7.69211e+11	2.07667e+12
1.04713e+13	1.09581e+16	4.93655e+11	1.57461e+13	8.59259e+12	2.28770e+12	1.53974e+12	1.03362e+08	1.15627e+13	1.02247e+12	6.90029e+10	1.86447e+10	1.37981e+11	7.68494e+11	1.91290e+12
1.04713e+13	1.01536e+16	4.99329e+11	1.50645e+13	7.81374e+12	2.23090e+12	1.33768e+12	1.22383e+08	1.15675e+13	8.17688e+11	5.21009e+10	2.15797e+10	1.43761e+11	7.64904e+11	1.75955e+12
1.04713e+13	9.42813e+15	5.03417e+11	1.43995e+13	7.11402e+12	2.17535e+12	1.16266e+12	1.44059e+08	1.15442e+13	6.57223e+11	3.95951e+10	2.47845e+10	1.49129e+11	7.58714e+11	1.61628e+12
1.04713e+13	8.76985e+15	5.06150e+11	1.37528e+13	6.48267e+12	2.12051e+12	1.01069e+12	1.68726e+08	1.14944e+13	5.30380e+11	3.02473e+10	2.82694e+10	1.54068e+11	7.50142e+11	1.48238e+12
1.04713e+13	8.17091e+15	5.07734e+11	1.31271e+13	5.91230e+12	2.06616e+12	8.78812e+11	1.96688e+08	1.14202e+13	4.29619e+11	2.32172e+10	3.20342e+10	1.58552e+11	7.39415e+11	1.35757e+12
1.04713e+13	7.62394e+15	5.08345e+11	1.25235e+13	5.39578e+12	2.01208e+12	7.64270e+11	2.28327e+08	1.13231e+13	3.49121e+11	1.78944e+10	3.60799e+10	1.62561e+11	7.26732e+11	1.24135e+12
