# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+2 N+4 O O+2 O+5 O+6 Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
10471300000000.0 3.49421e+17 12573000000.0 5613520000000.0 41881800000000.0 707165000000.0 40342800000000.0 22963.3 1813890000000.0 526215000000000.0 704155000000000.0 11264000.0 1216300000.0 15408100000.0 1396990000000.0 -5.0 4.359 [-5.0]
10471300000000.0 3.28323e+17 13271300000.0 5828690000000.0 42588100000000.0 762289000000.0 39899000000000.0 27232.4 2000360000000.0 502088000000000.0 633791000000000.0 12892300.0 1392360000.0 17650900000.0 1498980000000.0 -4.98 4.349 [-4.98]
10471300000000.0 3.08489e+17 14020500000.0 6045290000000.0 43250800000000.0 821642000000.0 39392800000000.0 32446.3 2204250000000.0 477838000000000.0 569045000000000.0 14724400.0 1590160000.0 20188200000.0 1605560000000.0 -4.96 4.34 [-4.96]
10471300000000.0 2.89837e+17 14827800000.0 6263500000000.0 43868400000000.0 885489000000.0 38824800000000.0 38828.1 2426620000000.0 453559000000000.0 509601000000000.0 16783300.0 1811830000.0 23053700000.0 1716630000000.0 -4.94 4.33 [-4.94]
10471300000000.0 2.72203e+17 15688000000.0 6480860000000.0 44441000000000.0 954027000000.0 38193200000000.0 46651.8 2668720000000.0 429280000000000.0 454916000000000.0 19076300.0 2059140000.0 26302000000.0 1832600000000.0 -4.92 4.32 [-4.92]
10471300000000.0 2.55572e+17 16616900000.0 6699020000000.0 44965500000000.0 1027610000000.0 37499000000000.0 56274.3 2931560000000.0 405119000000000.0 404861000000000.0 21636400.0 2334570000.0 29970200000.0 1953050000000.0 -4.9 4.31 [-4.9]
10471300000000.0 2.39894e+17 17627700000.0 6918980000000.0 45439700000000.0 1106550000000.0 36743100000000.0 68135.2 3216110000000.0 381174000000000.0 359191000000000.0 24497500.0 2640790000.0 34104100000.0 2077740000000.0 -4.88 4.3 [-4.88]
10471300000000.0 2.25089e+17 18728400000.0 7140480000000.0 45861900000000.0 1191120000000.0 35925600000000.0 82779.6 3523190000000.0 357509000000000.0 317600000000000.0 27686500.0 2980180000.0 38763900000.0 2206590000000.0 -4.86 4.289 [-4.86]
10471300000000.0 2.11094e+17 19932700000.0 7364170000000.0 46229800000000.0 1281630000000.0 35046500000000.0 100902.0 3853830000000.0 334219000000000.0 279775000000000.0 31240300.0 3355520000.0 44013900000.0 2339370000000.0 -4.84 4.279 [-4.84]
10471300000000.0 1.97854e+17 21257400000.0 7591170000000.0 46541300000000.0 1378390000000.0 34106100000000.0 123367.0 4208540000000.0 311363000000000.0 245498000000000.0 35203900.0 3769880000.0 49925500000.0 2475840000000.0 -4.82 4.267 [-4.82]
10471300000000.0 1.85314e+17 22722600000.0 7822790000000.0 46793600000000.0 1481730000000.0 33104500000000.0 151266.0 4587830000000.0 289008000000000.0 214514000000000.0 39630600.0 4226630000.0 56581900000.0 2615680000000.0 -4.8 4.256 [-4.8]
10471300000000.0 1.73425e+17 24354300000.0 8061150000000.0 46983400000000.0 1591960000000.0 32042000000000.0 185973.0 4991890000000.0 267222000000000.0 186595000000000.0 44592700.0 4729940000.0 64074900000.0 2758510000000.0 -4.78 4.243 [-4.78]
10471300000000.0 1.62136e+17 26184000000.0 8308790000000.0 47106600000000.0 1709400000000.0 30918400000000.0 229236.0 5420690000000.0 246061000000000.0 161507000000000.0 50180500.0 5284800000.0 72513600000.0 2903930000000.0 -4.76 4.231 [-4.76]
10471300000000.0 1.51402e+17 28252800000.0 8569350000000.0 47158100000000.0 1834340000000.0 29733800000000.0 283266.0 5873730000000.0 225581000000000.0 139038000000000.0 56519400.0 5897860000.0 82021700000.0 3051450000000.0 -4.74 4.217 [-4.74]
10471300000000.0 1.41136e+17 30611400000.0 8846510000000.0 47131700000000.0 1967260000000.0 28483500000000.0 351073.0 6350840000000.0 205774000000000.0 118916000000000.0 63752800.0 6576990000.0 92790900000.0 3201040000000.0 -4.72 4.202 [-4.72]
10471300000000.0 1.31302e+17 33337500000.0 9147990000000.0 47018300000000.0 2108450000000.0 27166400000000.0 436434.0 6850350000000.0 186690000000000.0 100971000000000.0 72140100.0 7335760000.0 105005000000.0 3351980000000.0 -4.7 4.187 [-4.7]
10471300000000.0 1.2186e+17 36536300000.0 9484130000000.0 46806400000000.0 2258140000000.0 25780700000000.0 544283.0 7369580000000.0 168368000000000.0 85032600000000.0 82067300.0 8194690000.0 118890000000.0 3503460000000.0 -4.68 4.169 [-4.68]
10471300000000.0 1.1275e+17 40354700000.0 9868630000000.0 46479700000000.0 2416450000000.0 24322100000000.0 681272.0 7904510000000.0 150815000000000.0 70926700000000.0 94119600.0 9185330000.0 134753000000.0 3654670000000.0 -4.66 4.15 [-4.66]
10471300000000.0 1.03896e+17 45012600000.0 10321400000000.0 46014200000000.0 2583450000000.0 22781900000000.0 856689.0 8449200000000.0 134011000000000.0 58470200000000.0 109238000.0 10358800000.0 153025000000.0 3804810000000.0 -4.64 4.129 [-4.64]
10471300000000.0 9.51928e+16 50857800000.0 10872800000000.0 45371900000000.0 2758880000000.0 21145500000000.0 1084070.0 8994070000000.0 117903000000000.0 47474000000000.0 129034000.0 11802000000.0 174343000000.0 3952910000000.0 -4.62 4.103 [-4.62]
10471300000000.0 8.64901e+16 58481100000.0 11571000000000.0 44489400000000.0 2941720000000.0 19387900000000.0 1384460.0 9522490000000.0 102380000000000.0 37745600000000.0 156486000.0 13670600000.0 199737000000.0 4097610000000.0 -4.6 4.073 [-4.6]
10471300000000.0 7.75611e+16 68971800000.0 12497200000000.0 43252000000000.0 3128620000000.0 17467100000000.0 1793400.0 10002400000000.0 87245300000000.0 29088800000000.0 197665000.0 16262500000.0 230999000000.0 4236300000000.0 -4.58 4.035 [-4.58]
10471300000000.0 6.78939e+16 84817200000.0 13811400000000.0 41399600000000.0 3309550000000.0 15285200000000.0 2385980.0 10362500000000.0 71940200000000.0 21201500000000.0 267726000.0 20243800000.0 272249000000.0 4363770000000.0 -4.56 3.982 [-4.56]
10471300000000.0 5.82302e+16 107762000000.0 15477100000000.0 38851500000000.0 3446640000000.0 13033600000000.0 3223320.0 10520600000000.0 57331700000000.0 14662000000000.0 389008000.0 26138800000.0 323731000000.0 4449930000000.0 -4.54 3.915 [-4.54]
