H	H+	C+	C+2	C+3	N+2	N+4	O	O+2	O+5	O+6	Si+	Si+2	Si+3	Si+4
7.58577e+13	3.95098e+18	3.03677e+09	5.61600e+11	2.69735e+12	8.45713e+10	2.98280e+12	1.32528e+04	2.15541e+11	4.26562e+13	9.05458e+13	1.33769e+06	7.79973e+07	4.59826e+08	6.78573e+10
7.58577e+13	3.73729e+18	3.31312e+09	5.96869e+11	2.75702e+12	9.05699e+10	2.96938e+12	1.48420e+04	2.32016e+11	4.10543e+13	8.28020e+13	1.60661e+06	9.14358e+07	5.21150e+08	7.27906e+10
7.58577e+13	3.53592e+18	3.61037e+09	6.33512e+11	2.81447e+12	9.69057e+10	2.95178e+12	1.66234e+04	2.49492e+11	3.94306e+13	7.55857e+13	1.92557e+06	1.07005e+08	5.89669e+08	7.79657e+10
7.58577e+13	3.34611e+18	3.92985e+09	6.71536e+11	2.86959e+12	1.03589e+11	2.93003e+12	1.86201e+04	2.67994e+11	3.77920e+13	6.88740e+13	2.30312e+06	1.25010e+08	6.66094e+08	8.33839e+10
7.58578e+13	3.16715e+18	4.27291e+09	7.10939e+11	2.92223e+12	1.10628e+11	2.90416e+12	2.08582e+04	2.87547e+11	3.61451e+13	6.26442e+13	2.74912e+06	1.45800e+08	7.51186e+08	8.90457e+10
7.58578e+13	2.99830e+18	4.64080e+09	7.51716e+11	2.97231e+12	1.18026e+11	2.87422e+12	2.33633e+04	3.08157e+11	3.44964e+13	5.68720e+13	3.27491e+06	1.69764e+08	8.45793e+08	9.49517e+10
7.58578e+13	2.83896e+18	5.03500e+09	7.93865e+11	3.01969e+12	1.25791e+11	2.84029e+12	2.61670e+04	3.29836e+11	3.28525e+13	5.15351e+13	3.89354e+06	1.97343e+08	9.50794e+08	1.01100e+11
7.58578e+13	2.68854e+18	5.45691e+09	8.37365e+11	3.06429e+12	1.33922e+11	2.80243e+12	2.93029e+04	3.52589e+11	3.12196e+13	4.66107e+13	4.61994e+06	2.29028e+08	1.06714e+09	1.07488e+11
7.58578e+13	2.54648e+18	5.90800e+09	8.82201e+11	3.10600e+12	1.42422e+11	2.76074e+12	3.28081e+04	3.76414e+11	2.96038e+13	4.20764e+13	5.47119e+06	2.65372e+08	1.19587e+09	1.14113e+11
7.58577e+13	2.41230e+18	6.39000e+09	9.28362e+11	3.14473e+12	1.51290e+11	2.71534e+12	3.67268e+04	4.01312e+11	2.80108e+13	3.79109e+13	6.46679e+06	3.06990e+08	1.33802e+09	1.20967e+11
7.58577e+13	2.28556e+18	6.90465e+09	9.75820e+11	3.18037e+12	1.60526e+11	2.66636e+12	4.11089e+04	4.27282e+11	2.64461e+13	3.40929e+13	7.62896e+06	3.54570e+08	1.49471e+09	1.28044e+11
7.58577e+13	2.16574e+18	7.45300e+09	1.02452e+12	3.21287e+12	1.70114e+11	2.61392e+12	4.59976e+04	4.54280e+11	2.49145e+13	3.05997e+13	8.98274e+06	4.08878e+08	1.66724e+09	1.35337e+11
7.58577e+13	2.05243e+18	8.03656e+09	1.07442e+12	3.24212e+12	1.80042e+11	2.55819e+12	5.14490e+04	4.82278e+11	2.34206e+13	2.74111e+13	1.05565e+07	4.70762e+08	1.85688e+09	1.42835e+11
7.58577e+13	1.94524e+18	8.65692e+09	1.12547e+12	3.26806e+12	1.90299e+11	2.49934e+12	5.75250e+04	5.11245e+11	2.19686e+13	2.45069e+13	1.23824e+07	5.41166e+08	2.06502e+09	1.50529e+11
7.58577e+13	1.84383e+18	9.31533e+09	1.17760e+12	3.29060e+12	2.00863e+11	2.43757e+12	6.42930e+04	5.41143e+11	2.05622e+13	2.18679e+13	1.44964e+07	6.21125e+08	2.29307e+09	1.58403e+11
7.58577e+13	1.74786e+18	1.00132e+10	1.23073e+12	3.30968e+12	2.11714e+11	2.37310e+12	7.18282e+04	5.71924e+11	1.92044e+13	1.94752e+13	1.69388e+07	7.11786e+08	2.54255e+09	1.66444e+11
7.58577e+13	1.65701e+18	1.07520e+10	1.28478e+12	3.32523e+12	2.22827e+11	2.30614e+12	8.02140e+04	6.03540e+11	1.78979e+13	1.73107e+13	1.97550e+07	8.14410e+08	2.81505e+09	1.74635e+11
7.58578e+13	1.57099e+18	1.15328e+10	1.33967e+12	3.33719e+12	2.34174e+11	2.23695e+12	8.95436e+04	6.35936e+11	1.66450e+13	1.53572e+13	2.29954e+07	9.30377e+08	3.11220e+09	1.82956e+11
7.58577e+13	1.48953e+18	1.23569e+10	1.39529e+12	3.34550e+12	2.45724e+11	2.16577e+12	9.99208e+04	6.69056e+11	1.54472e+13	1.35981e+13	2.67160e+07	1.06120e+09	3.43571e+09	1.91388e+11
7.58577e+13	1.41238e+18	1.32252e+10	1.45152e+12	3.35011e+12	2.57441e+11	2.09289e+12	1.11459e+05	7.02832e+11	1.43056e+13	1.20176e+13	3.09790e+07	1.20853e+09	3.78736e+09	1.99907e+11
7.58577e+13	1.33928e+18	1.41383e+10	1.50823e+12	3.35096e+12	2.69285e+11	2.01858e+12	1.24284e+05	7.37191e+11	1.32211e+13	1.06008e+13	3.58528e+07	1.37415e+09	4.16900e+09	2.08491e+11
7.58577e+13	1.27002e+18	1.50974e+10	1.56529e+12	3.34803e+12	2.81221e+11	1.94312e+12	1.38544e+05	7.72077e+11	1.21938e+13	9.33356e+12	4.14132e+07	1.56002e+09	4.58244e+09	2.17113e+11
7.58577e+13	1.20439e+18	1.61032e+10	1.62256e+12	3.34128e+12	2.93206e+11	1.86682e+12	1.54404e+05	8.07419e+11	1.12237e+13	8.20272e+12	4.77434e+07	1.76824e+09	5.02957e+09	2.25744e+11
7.58577e+13	1.14220e+18	1.71560e+10	1.67988e+12	3.33068e+12	3.05197e+11	1.78997e+12	1.72045e+05	8.43145e+11	1.03102e+13	7.19580e+12	5.49345e+07	2.00108e+09	5.51232e+09	2.34355e+11
7.58577e+13	1.08326e+18	1.82563e+10	1.73709e+12	3.31621e+12	3.17150e+11	1.71286e+12	1.91674e+05	8.79183e+11	9.45250e+12	6.30118e+12	6.30858e+07	2.26099e+09	6.03259e+09	2.42914e+11
7.58577e+13	1.02740e+18	1.94043e+10	1.79400e+12	3.29787e+12	3.29019e+11	1.63580e+12	2.13524e+05	9.15459e+11	8.64934e+12	5.50805e+12	7.23053e+07	2.55057e+09	6.59228e+09	2.51389e+11
7.58577e+13	9.74447e+17	2.05998e+10	1.85045e+12	3.27565e+12	3.40759e+11	1.55906e+12	2.37859e+05	9.51899e+11	7.89935e+12	4.80639e+12	8.27104e+07	2.87263e+09	7.19328e+09	2.59745e+11
7.58577e+13	9.24256e+17	2.18426e+10	1.90622e+12	3.24957e+12	3.52323e+11	1.48293e+12	2.64975e+05	9.88430e+11	7.20083e+12	4.18695e+12	9.44276e+07	3.23013e+09	7.83743e+09	2.67947e+11
7.58577e+13	8.76679e+17	2.31323e+10	1.96112e+12	3.21964e+12	3.63667e+11	1.40767e+12	2.95208e+05	1.02498e+12	6.55196e+12	3.64122e+12	1.07593e+08	3.62623e+09	8.52650e+09	2.75957e+11
7.58577e+13	8.31573e+17	2.44678e+10	2.01494e+12	3.18590e+12	3.74745e+11	1.33354e+12	3.28932e+05	1.06147e+12	5.95071e+12	3.16138e+12	1.22352e+08	4.06424e+09	9.26226e+09	2.83738e+11
7.58577e+13	7.88819e+17	2.58488e+10	2.06747e+12	3.14841e+12	3.85516e+11	1.26078e+12	3.66593e+05	1.09784e+12	5.39497e+12	2.74035e+12	1.38864e+08	4.54768e+09	1.00461e+10	2.91252e+11
7.58577e+13	7.48288e+17	2.72739e+10	2.11850e+12	3.10722e+12	3.95939e+11	1.18959e+12	4.08671e+05	1.13401e+12	4.88252e+12	2.37162e+12	1.57293e+08	5.08018e+09	1.08795e+10	2.98459e+11
7.58577e+13	7.09873e+17	2.87424e+10	2.16781e+12	3.06241e+12	4.05976e+11	1.12019e+12	4.55733e+05	1.16992e+12	4.41112e+12	2.04934e+12	1.77819e+08	5.66559e+09	1.17635e+10	3.05320e+11
7.58577e+13	6.73435e+17	3.02516e+10	2.21518e+12	3.01404e+12	4.15589e+11	1.05271e+12	5.08394e+05	1.20549e+12	3.97830e+12	1.76802e+12	2.00634e+08	6.30802e+09	1.26997e+10	3.11799e+11
7.58577e+13	6.38904e+17	3.17989e+10	2.26035e+12	2.96228e+12	4.24736e+11	9.87372e+11	5.67337e+05	1.24064e+12	3.58209e+12	1.52312e+12	2.25916e+08	7.01113e+09	1.36884e+10	3.17853e+11
7.58577e+13	6.06182e+17	3.33819e+10	2.30311e+12	2.90723e+12	4.33386e+11	9.24304e+11	6.33354e+05	1.27530e+12	3.22017e+12	1.31028e+12	2.53867e+08	7.77899e+09	1.47297e+10	3.23444e+11
7.58577e+13	5.75149e+17	3.49999e+10	2.34329e+12	2.84902e+12	4.41521e+11	8.63566e+11	7.07401e+05	1.30943e+12	2.89004e+12	1.12551e+12	2.84725e+08	8.61631e+09	1.58246e+10	3.28538e+11
7.58578e+13	5.45730e+17	3.66488e+10	2.38066e+12	2.78781e+12	4.49105e+11	8.05272e+11	7.90470e+05	1.34295e+12	2.58964e+12	9.65425e+11	3.18696e+08	9.52706e+09	1.69725e+10	3.33098e+11
7.58577e+13	5.17841e+17	3.83261e+10	2.41503e+12	2.72377e+12	4.56122e+11	7.49486e+11	8.83723e+05	1.37580e+12	2.31685e+12	8.26965e+11	3.56010e+08	1.05155e+10	1.81728e+10	3.37089e+11
7.58577e+13	4.91392e+17	4.00300e+10	2.44625e+12	2.65706e+12	4.62554e+11	6.96229e+11	9.88525e+05	1.40793e+12	2.06952e+12	7.07355e+11	3.96923e+08	1.15862e+10	1.94247e+10	3.40480e+11
7.58577e+13	4.66328e+17	4.17500e+10	2.47399e+12	2.58798e+12	4.68360e+11	6.45592e+11	1.10614e+06	1.43921e+12	1.84596e+12	6.04294e+11	4.41586e+08	1.27417e+10	2.07262e+10	3.43236e+11
7.58577e+13	4.42560e+17	4.34928e+10	2.49832e+12	2.51663e+12	4.73561e+11	5.97508e+11	1.23852e+06	1.46968e+12	1.64399e+12	5.15535e+11	4.90349e+08	1.39878e+10	2.20753e+10	3.45335e+11
7.58577e+13	4.20022e+17	4.52383e+10	2.51876e+12	2.44335e+12	4.78096e+11	5.52031e+11	1.38713e+06	1.49916e+12	1.46209e+12	4.39260e+11	5.43284e+08	1.53255e+10	2.34704e+10	3.46748e+11
7.58577e+13	3.98668e+17	4.70067e+10	2.53571e+12	2.36830e+12	4.82033e+11	5.09078e+11	1.55463e+06	1.52775e+12	1.29836e+12	3.73794e+11	6.00846e+08	1.67615e+10	2.49055e+10	3.47459e+11
7.58577e+13	3.78413e+17	4.87718e+10	2.54862e+12	2.29179e+12	4.85299e+11	4.68648e+11	1.74289e+06	1.55526e+12	1.15138e+12	3.17686e+11	6.63052e+08	1.82956e+10	2.63795e+10	3.47445e+11
7.58578e+13	3.59216e+17	5.05339e+10	2.55752e+12	2.21410e+12	4.87910e+11	4.30695e+11	1.95461e+06	1.58167e+12	1.01968e+12	2.69685e+11	7.30123e+08	1.99300e+10	2.78865e+10	3.46694e+11
7.58577e+13	3.41005e+17	5.22917e+10	2.56240e+12	2.13542e+12	4.89870e+11	3.95117e+11	2.19297e+06	1.60694e+12	9.01750e+11	2.28638e+11	8.02332e+08	2.16679e+10	2.94218e+10	3.45193e+11
7.58577e+13	3.23733e+17	5.40375e+10	2.56318e+12	2.05607e+12	4.91174e+11	3.61860e+11	2.46121e+06	1.63101e+12	7.96374e+11	1.93601e+11	8.79795e+08	2.35091e+10	3.09794e+10	3.42938e+11
7.58577e+13	3.07353e+17	5.57678e+10	2.55990e+12	1.97630e+12	4.91834e+11	3.30843e+11	2.76310e+06	1.65383e+12	7.02367e+11	1.63734e+11	9.62656e+08	2.54536e+10	3.25522e+10	3.39925e+11
7.58577e+13	2.91817e+17	5.74759e+10	2.55253e+12	1.89640e+12	4.91850e+11	3.01983e+11	3.10279e+06	1.67535e+12	6.18635e+11	1.38307e+11	1.05100e+09	2.75000e+10	3.41329e+10	3.36158e+11
7.58577e+13	2.77081e+17	5.91593e+10	2.54118e+12	1.81662e+12	4.91235e+11	2.75186e+11	3.48505e+06	1.69553e+12	5.44161e+11	1.16687e+11	1.14493e+09	2.96466e+10	3.57131e+10	3.31647e+11
7.58577e+13	2.63102e+17	6.08104e+10	2.52586e+12	1.73723e+12	4.89997e+11	2.50359e+11	3.91506e+06	1.71431e+12	4.78028e+11	9.83280e+10	1.24441e+09	3.18890e+10	3.72842e+10	3.26402e+11
7.58578e+13	2.49839e+17	6.24249e+10	2.50667e+12	1.65849e+12	4.88146e+11	2.27404e+11	4.39872e+06	1.73164e+12	4.19382e+11	8.27556e+10	1.34944e+09	3.42227e+10	3.88366e+10	3.20442e+11
7.58578e+13	2.37255e+17	6.39975e+10	2.48372e+12	1.58063e+12	4.85695e+11	2.06225e+11	4.94256e+06	1.74749e+12	3.67452e+11	6.95640e+10	1.45990e+09	3.66407e+10	4.03603e+10	3.13791e+11
7.58577e+13	2.25314e+17	6.55257e+10	2.45719e+12	1.50389e+12	4.82665e+11	1.86723e+11	5.55393e+06	1.76181e+12	3.21534e+11	5.84033e+10	1.57567e+09	3.91354e+10	4.18443e+10	3.06479e+11
7.58577e+13	2.13987e+17	6.70077e+10	2.42727e+12	1.42848e+12	4.79079e+11	1.68803e+11	6.24096e+06	1.77458e+12	2.80994e+11	4.89739e+10	1.69657e+09	4.16979e+10	4.32768e+10	2.98543e+11
7.58577e+13	2.03221e+17	6.84329e+10	2.39397e+12	1.35452e+12	4.74931e+11	1.52349e+11	7.01331e+06	1.78572e+12	2.45209e+11	4.10065e+10	1.82231e+09	4.43162e+10	4.46487e+10	2.90006e+11
7.58577e+13	1.93012e+17	6.97993e+10	2.35764e+12	1.28233e+12	4.70262e+11	1.37299e+11	7.87995e+06	1.79521e+12	2.13727e+11	3.42961e+10	1.95234e+09	4.69752e+10	4.59469e+10	2.80934e+11
7.58577e+13	1.83321e+17	7.11057e+10	2.31844e+12	1.21201e+12	4.65089e+11	1.23547e+11	8.85262e+06	1.80302e+12	1.86042e+11	2.86464e+10	2.08634e+09	4.96619e+10	4.71601e+10	2.71370e+11
7.58577e+13	1.74120e+17	7.23488e+10	2.27660e+12	1.14371e+12	4.59434e+11	1.11004e+11	9.94375e+06	1.80910e+12	1.61727e+11	2.38955e+10	2.22379e+09	5.23595e+10	4.82770e+10	2.61367e+11
7.58577e+13	1.65384e+17	7.35261e+10	2.23234e+12	1.07753e+12	4.53320e+11	9.95830e+10	1.11671e+07	1.81344e+12	1.40402e+11	1.99052e+10	2.36409e+09	5.50504e+10	4.92868e+10	2.50983e+11
7.58577e+13	1.57089e+17	7.46358e+10	2.18590e+12	1.01359e+12	4.46771e+11	8.92034e+10	1.25380e+07	1.81599e+12	1.21723e+11	1.65582e+10	2.50661e+09	5.77156e+10	5.01791e+10	2.40281e+11
7.58577e+13	1.49212e+17	7.56767e+10	2.13751e+12	9.51977e+11	4.39814e+11	7.97868e+10	1.40733e+07	1.81672e+12	1.05384e+11	1.37545e+10	2.65062e+09	6.03352e+10	5.09441e+10	2.29325e+11
7.58577e+13	1.41740e+17	7.66469e+10	2.08750e+12	8.92818e+11	4.32485e+11	7.12683e+10	1.57898e+07	1.81564e+12	9.11275e+10	1.14113e+10	2.79517e+09	6.28872e+10	5.15743e+10	2.18196e+11
7.58577e+13	1.34635e+17	7.75487e+10	2.03597e+12	8.36016e+11	4.24790e+11	6.35573e+10	1.77112e+07	1.81269e+12	7.86746e+10	9.45126e+09	2.93986e+09	6.53536e+10	5.20603e+10	2.06936e+11
7.58577e+13	1.27878e+17	7.83819e+10	1.98314e+12	7.81602e+11	4.16754e+11	5.65892e+10	1.98610e+07	1.80784e+12	6.78132e+10	7.81423e+09	3.08392e+09	6.77133e+10	5.23957e+10	1.95613e+11
7.58577e+13	1.21469e+17	7.91450e+10	1.92941e+12	7.29734e+11	4.08429e+11	5.03192e+10	2.22596e+07	1.80113e+12	5.83765e+10	6.45217e+09	3.22607e+09	6.99434e+10	5.25782e+10	1.84322e+11
7.58577e+13	1.15381e+17	7.98391e+10	1.87490e+12	6.80338e+11	3.99831e+11	4.46792e+10	2.49361e+07	1.79251e+12	5.01780e+10	5.31902e+09	3.36568e+09	7.20252e+10	5.26043e+10	1.73116e+11
7.58577e+13	1.09607e+17	8.04657e+10	1.81994e+12	6.33461e+11	3.91004e+11	3.96213e+10	2.79167e+07	1.78202e+12	4.30748e+10	4.37891e+09	3.50175e+09	7.39406e+10	5.24746e+10	1.62073e+11
7.58577e+13	1.04115e+17	8.10282e+10	1.76456e+12	5.88939e+11	3.81946e+11	3.50802e+10	3.12404e+07	1.76960e+12	3.69126e+10	3.59810e+09	3.63402e+09	7.56742e+10	5.21862e+10	1.51225e+11
7.58577e+13	9.88976e+16	8.15275e+10	1.70905e+12	5.46801e+11	3.72700e+11	3.10159e+10	3.49394e+07	1.75529e+12	3.15824e+10	2.95153e+09	3.76153e+09	7.72106e+10	5.17433e+10	1.40642e+11
7.58577e+13	9.39420e+16	8.19657e+10	1.65357e+12	5.06996e+11	3.63294e+11	2.73840e+10	3.90522e+07	1.73909e+12	2.69788e+10	2.41698e+09	3.88368e+09	7.85378e+10	5.11506e+10	1.30374e+11
