# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+2 N+4 O O+2 O+5 O+6 Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
75857700000000.0 3.95098e+18 3036770000.0 561600000000.0 2697350000000.0 84571300000.0 2982800000000.0 13252.8 215541000000.0 42656200000000.0 90545800000000.0 1337690.0 77997300.0 459826000.0 67857300000.0 -5.0 4.583 [-5.0]
75857700000000.0 3.73729e+18 3313120000.0 596869000000.0 2757020000000.0 90569900000.0 2969380000000.0 14842.0 232016000000.0 41054300000000.0 82802000000000.0 1606610.0 91435800.0 521150000.0 72790600000.0 -4.98 4.578 [-4.98]
75857700000000.0 3.53592e+18 3610370000.0 633512000000.0 2814470000000.0 96905700000.0 2951780000000.0 16623.4 249492000000.0 39430600000000.0 75585700000000.0 1925570.0 107005000.0 589669000.0 77965700000.0 -4.96 4.573 [-4.96]
75857700000000.0 3.34611e+18 3929850000.0 671536000000.0 2869590000000.0 103589000000.0 2930030000000.0 18620.1 267994000000.0 37792000000000.0 68874000000000.0 2303120.0 125010000.0 666094000.0 83383900000.0 -4.94 4.568 [-4.94]
75857800000000.0 3.16715e+18 4272910000.0 710939000000.0 2922230000000.0 110628000000.0 2904160000000.0 20858.2 287547000000.0 36145100000000.0 62644200000000.0 2749120.0 145800000.0 751186000.0 89045700000.0 -4.92 4.563 [-4.92]
75857800000000.0 2.9983e+18 4640800000.0 751716000000.0 2972310000000.0 118026000000.0 2874220000000.0 23363.3 308157000000.0 34496400000000.0 56872000000000.0 3274910.0 169764000.0 845793000.0 94951700000.0 -4.9 4.558 [-4.9]
75857800000000.0 2.83896e+18 5035000000.0 793865000000.0 3019690000000.0 125791000000.0 2840290000000.0 26167.0 329836000000.0 32852500000000.0 51535100000000.0 3893540.0 197343000.0 950794000.0 101100000000.0 -4.88 4.554 [-4.88]
75857800000000.0 2.68854e+18 5456910000.0 837365000000.0 3064290000000.0 133922000000.0 2802430000000.0 29302.9 352589000000.0 31219600000000.0 46610700000000.0 4619940.0 229028000.0 1067140000.0 107488000000.0 -4.86 4.549 [-4.86]
75857800000000.0 2.54648e+18 5908000000.0 882201000000.0 3106000000000.0 142422000000.0 2760740000000.0 32808.1 376414000000.0 29603800000000.0 42076400000000.0 5471190.0 265372000.0 1195870000.0 114113000000.0 -4.84 4.544 [-4.84]
75857700000000.0 2.4123e+18 6390000000.0 928362000000.0 3144730000000.0 151290000000.0 2715340000000.0 36726.8 401312000000.0 28010800000000.0 37910900000000.0 6466790.0 306990000.0 1338020000.0 120967000000.0 -4.82 4.54 [-4.82]
