H	H+	C+	C+2	C+3	N+2	N+4	O	O+2	O+5	O+6	Si+	Si+2	Si+3	Si+4
5.75440e+12	1.90563e+17	6.99880e+09	3.10597e+12	2.30380e+13	3.92750e+11	2.21172e+13	1.29050e+04	1.00484e+12	2.86309e+14	3.84072e+14	6.32552e+06	6.80479e+08	8.58509e+09	7.72909e+11
5.75440e+12	1.79045e+17	7.38554e+09	3.22428e+12	2.34238e+13	4.23306e+11	2.18698e+13	1.53107e+04	1.10839e+12	2.73210e+14	3.45530e+14	7.23670e+06	7.78769e+08	9.83464e+09	8.29237e+11
5.75440e+12	1.68219e+17	7.80089e+09	3.34338e+12	2.37855e+13	4.56207e+11	2.15882e+13	1.82505e+04	1.22161e+12	2.60036e+14	3.10075e+14	8.26165e+06	8.89155e+08	1.12480e+10	8.88079e+11
5.75440e+12	1.58034e+17	8.24791e+09	3.46320e+12	2.41221e+13	4.91591e+11	2.12725e+13	2.18502e+04	1.34511e+12	2.46835e+14	2.77518e+14	9.41222e+06	1.01280e+09	1.28448e+10	9.49410e+11
5.75440e+12	1.48406e+17	8.72452e+09	3.58254e+12	2.44340e+13	5.29574e+11	2.09218e+13	2.62657e+04	1.47956e+12	2.33621e+14	2.47583e+14	1.06931e+07	1.15069e+09	1.46548e+10	1.01343e+12
5.75440e+12	1.39330e+17	9.24033e+09	3.70246e+12	2.47190e+13	5.70353e+11	2.05369e+13	3.16992e+04	1.62551e+12	2.20468e+14	2.20203e+14	1.21239e+07	1.30425e+09	1.66976e+10	1.07987e+12
5.75440e+12	1.30768e+17	9.80053e+09	3.82309e+12	2.49764e+13	6.14089e+11	2.01180e+13	3.83993e+04	1.78351e+12	2.07422e+14	1.95215e+14	1.37200e+07	1.47482e+09	1.90016e+10	1.14868e+12
5.75440e+12	1.22684e+17	1.04115e+10	3.94466e+12	2.52050e+13	6.60941e+11	1.96652e+13	4.66765e+04	1.95401e+12	1.94526e+14	1.72468e+14	1.54993e+07	1.66384e+09	2.15980e+10	1.21974e+12
5.75440e+12	1.15044e+17	1.10805e+10	4.06751e+12	2.54036e+13	7.11080e+11	1.91787e+13	5.69229e+04	2.13750e+12	1.81824e+14	1.51804e+14	1.74821e+07	1.87281e+09	2.45230e+10	1.29294e+12
5.75440e+12	1.07815e+17	1.18170e+10	4.19219e+12	2.55709e+13	7.64678e+11	1.86584e+13	6.96299e+04	2.33431e+12	1.69356e+14	1.33084e+14	1.96930e+07	2.10342e+09	2.78170e+10	1.36815e+12
5.75440e+12	1.00967e+17	1.26322e+10	4.31950e+12	2.57055e+13	8.21914e+11	1.81045e+13	8.54179e+04	2.54470e+12	1.57158e+14	1.16172e+14	2.21626e+07	2.35757e+09	3.15263e+10	1.44520e+12
5.75440e+12	9.44756e+16	1.35411e+10	4.45065e+12	2.58054e+13	8.82958e+11	1.75171e+13	1.05065e+05	2.76872e+12	1.45266e+14	1.00947e+14	2.49317e+07	2.63759e+09	3.57017e+10	1.52386e+12
5.75440e+12	8.83115e+16	1.45612e+10	4.58709e+12	2.58683e+13	9.47980e+11	1.68963e+13	1.29561e+05	3.00627e+12	1.33713e+14	8.72832e+13	2.80518e+07	2.94631e+09	4.04041e+10	1.60390e+12
5.75440e+12	8.24474e+16	1.57160e+10	4.73083e+12	2.58915e+13	1.01715e+12	1.62417e+13	1.60168e+05	3.25711e+12	1.22527e+14	7.50561e+13	3.15933e+07	3.28745e+09	4.57052e+10	1.68508e+12
5.75440e+12	7.68396e+16	1.70347e+10	4.88415e+12	2.58713e+13	1.09072e+12	1.55512e+13	1.98588e+05	3.52102e+12	1.11709e+14	6.41226e+13	3.56415e+07	3.66565e+09	5.17089e+10	1.76735e+12
5.75440e+12	7.14667e+16	1.85615e+10	5.05138e+12	2.58028e+13	1.16886e+12	1.48238e+13	2.46971e+05	3.79703e+12	1.01285e+14	5.43851e+13	4.03448e+07	4.08867e+09	5.85200e+10	1.85031e+12
5.75440e+12	6.63078e+16	2.03562e+10	5.23840e+12	2.56794e+13	1.25165e+12	1.40590e+13	3.08105e+05	4.08352e+12	9.12803e+13	4.57514e+13	4.59270e+07	4.56837e+09	6.62631e+10	1.93347e+12
5.75440e+12	6.13281e+16	2.25028e+10	5.45297e+12	2.54918e+13	1.33918e+12	1.32539e+13	3.85801e+05	4.37827e+12	8.16970e+13	3.81163e+13	5.27250e+07	5.12293e+09	7.51137e+10	2.01643e+12
5.75440e+12	5.64824e+16	2.51285e+10	5.70653e+12	2.52261e+13	1.43147e+12	1.24032e+13	4.85403e+05	4.67794e+12	7.25215e+13	3.13744e+13	6.12866e+07	5.78208e+09	8.53203e+10	2.09874e+12
5.75440e+12	5.17125e+16	2.84350e+10	6.01649e+12	2.48604e+13	1.52834e+12	1.14987e+13	6.14712e+05	4.97693e+12	6.37233e+13	2.54231e+13	7.25575e+07	6.59652e+09	9.72487e+10	2.17985e+12
5.75440e+12	4.69320e+16	3.27688e+10	6.41092e+12	2.43578e+13	1.62917e+12	1.05258e+13	7.85977e+05	5.26551e+12	5.52379e+13	2.01562e+13	8.83026e+07	7.65795e+09	1.11497e+11	2.25896e+12
5.75440e+12	4.20084e+16	3.87758e+10	6.93704e+12	2.36503e+13	1.73185e+12	9.45987e+12	1.02016e+06	5.52463e+12	4.69472e+13	1.54643e+13	1.12165e+08	9.14313e+09	1.29123e+11	2.33453e+12
5.75440e+12	3.66346e+16	4.79720e+10	7.69017e+12	2.25805e+13	1.83004e+12	8.24202e+12	1.36284e+06	5.71106e+12	3.85104e+13	1.11729e+13	1.53512e+08	1.14557e+10	1.52625e+11	2.40330e+12
5.75440e+12	3.15162e+16	6.06426e+10	8.58915e+12	2.11892e+13	1.90140e+12	7.04374e+12	1.83048e+06	5.79273e+12	3.07593e+13	7.76733e+12	2.22131e+08	1.47237e+10	1.80603e+11	2.44610e+12
5.75440e+12	2.76389e+16	7.40492e+10	9.35336e+12	1.98376e+13	1.94177e+12	6.10867e+12	2.37193e+06	5.83919e+12	2.48048e+13	5.56177e+12	3.11876e+08	1.82493e+10	2.06825e+11	2.45440e+12
5.75439e+12	2.39569e+16	9.11957e+10	1.01111e+13	1.82404e+13	1.94673e+12	5.23319e+12	3.10784e+06	5.81729e+12	1.92967e+13	3.81247e+12	4.51025e+08	2.25832e+10	2.36527e+11	2.43015e+12
5.75440e+12	2.04794e+16	1.13104e+11	1.07859e+13	1.63941e+13	1.90676e+12	4.43150e+12	4.15221e+06	5.74606e+12	1.42512e+13	2.46247e+12	6.71638e+08	2.77107e+10	2.69682e+11	2.36398e+12
5.75440e+12	1.73092e+16	1.39719e+11	1.12600e+13	1.43839e+13	1.82045e+12	3.72184e+12	5.68699e+06	5.67719e+12	9.90660e+12	1.49190e+12	1.01526e+09	3.33715e+10	3.04660e+11	2.25000e+12
5.75440e+12	1.47161e+16	1.67049e+11	1.14341e+13	1.24933e+13	1.71452e+12	3.13398e+12	7.83268e+06	5.68054e+12	6.71494e+12	8.90184e+11	1.49016e+09	3.89359e+10	3.36421e+11	2.10372e+12
5.75440e+12	1.27629e+16	1.90694e+11	1.13594e+13	1.09235e+13	1.62080e+12	2.66393e+12	1.05585e+07	5.75817e+12	4.65640e+12	5.53424e+11	2.06668e+09	4.40469e+10	3.61514e+11	1.95262e+12
5.75439e+12	1.12790e+16	2.09864e+11	1.11406e+13	9.65102e+12	1.54629e+12	2.28237e+12	1.38368e+07	5.86870e+12	3.34322e+12	3.61817e+11	2.73010e+09	4.87727e+10	3.80470e+11	1.80945e+12
5.75440e+12	1.01030e+16	2.25326e+11	1.08436e+13	8.59709e+12	1.48657e+12	1.96505e+12	1.77044e+07	5.98318e+12	2.46986e+12	2.46013e+11	3.48473e+09	5.32381e+10	3.94740e+11	1.67607e+12
5.75440e+12	9.13512e+15	2.37856e+11	1.05022e+13	7.70306e+12	1.43678e+12	1.69686e+12	2.22316e+07	6.08788e+12	1.86372e+12	1.72109e+11	4.34008e+09	5.75078e+10	4.05384e+11	1.55172e+12
5.75440e+12	8.31595e+15	2.48024e+11	1.01352e+13	6.93065e+12	1.39350e+12	1.46788e+12	2.75083e+07	6.17699e+12	1.42853e+12	1.22943e+11	5.30686e+09	6.16079e+10	4.13097e+11	1.43538e+12
5.75440e+12	7.60986e+15	2.56233e+11	9.75482e+12	6.25564e+12	1.35469e+12	1.27151e+12	3.36262e+07	6.24813e+12	1.10863e+12	8.92697e+10	6.39289e+09	6.55372e+10	4.18311e+11	1.32652e+12
5.75440e+12	6.99243e+15	2.62803e+11	9.36908e+12	5.66044e+12	1.31894e+12	1.10250e+12	4.06922e+07	6.30078e+12	8.68897e+11	6.56631e+10	7.60624e+09	6.92897e+10	4.21357e+11	1.22455e+12
5.75440e+12	6.44783e+15	2.68000e+11	8.98476e+12	5.13301e+12	1.28546e+12	9.56922e+11	4.88061e+07	6.33519e+12	6.86886e+11	4.88417e+10	8.95097e+09	7.28528e+10	4.22484e+11	1.12925e+12
