H	H+	C+	C+2	C+3	N+2	N+4	O	O+2	O+5	O+6	Si+	Si+2	Si+3	Si+4
1.04713e+13	5.49226e+17	4.16224e+08	7.71630e+10	3.71015e+11	1.16205e+10	4.11880e+11	1.81175e+03	2.94810e+10	5.91424e+12	1.26390e+13	1.80595e+05	1.05599e+07	6.24511e+07	9.28147e+09
1.04713e+13	5.19502e+17	4.54154e+08	8.20210e+10	3.79279e+11	1.24456e+10	4.10097e+11	2.02878e+03	3.17371e+10	5.69359e+12	1.15605e+13	2.16961e+05	1.23821e+07	7.07945e+07	9.95811e+09
1.04713e+13	4.91498e+17	4.94961e+08	8.70692e+10	3.87240e+11	1.33173e+10	4.07738e+11	2.27213e+03	3.41309e+10	5.46983e+12	1.05552e+13	2.60106e+05	1.44935e+07	8.01183e+07	1.06680e+10
1.04713e+13	4.65103e+17	5.38822e+08	9.23081e+10	3.94880e+11	1.42369e+10	4.04805e+11	2.54488e+03	3.66659e+10	5.24389e+12	9.62009e+12	3.11188e+05	1.69360e+07	9.05199e+07	1.14115e+10
1.04713e+13	4.40214e+17	5.85919e+08	9.77380e+10	4.02182e+11	1.52055e+10	4.01303e+11	2.85046e+03	3.93448e+10	5.01669e+12	8.75180e+12	3.71547e+05	1.97567e+07	1.02105e+08	1.21886e+10
1.04713e+13	4.16736e+17	6.36441e+08	1.03358e+11	4.09130e+11	1.62239e+10	3.97239e+11	3.19265e+03	4.21698e+10	4.78914e+12	7.94715e+12	4.42725e+05	2.30089e+07	1.14986e+08	1.29994e+10
1.04713e+13	3.94583e+17	6.90573e+08	1.09167e+11	4.15710e+11	1.72927e+10	3.92622e+11	3.57554e+03	4.51417e+10	4.56216e+12	7.20306e+12	5.26483e+05	2.67519e+07	1.29285e+08	1.38435e+10
1.04713e+13	3.73668e+17	7.48525e+08	1.15165e+11	4.21906e+11	1.84124e+10	3.87462e+11	4.00386e+03	4.82619e+10	4.33657e+12	6.51626e+12	6.24867e+05	3.10535e+07	1.45133e+08	1.47209e+10
1.04713e+13	3.53916e+17	8.10491e+08	1.21347e+11	4.27706e+11	1.95831e+10	3.81772e+11	4.48260e+03	5.15298e+10	4.11323e+12	5.88369e+12	7.40192e+05	3.59887e+07	1.62670e+08	1.56310e+10
1.04713e+13	3.35260e+17	8.76690e+08	1.27712e+11	4.33096e+11	2.08045e+10	3.75566e+11	5.01758e+03	5.49449e+10	3.89293e+12	5.30238e+12	8.75103e+05	4.16413e+07	1.82042e+08	1.65730e+10
1.04713e+13	3.17640e+17	9.47408e+08	1.34258e+11	4.38062e+11	2.20772e+10	3.68865e+11	5.61611e+03	5.85092e+10	3.67646e+12	4.76946e+12	1.03263e+06	4.81049e+07	2.03399e+08	1.75457e+10
1.04713e+13	3.00982e+17	1.02276e+09	1.40977e+11	4.42595e+11	2.33987e+10	3.61684e+11	6.28380e+03	6.22152e+10	3.46447e+12	4.28176e+12	1.21618e+06	5.54840e+07	2.26918e+08	1.85484e+10
1.04713e+13	2.85231e+17	1.10297e+09	1.47862e+11	4.46682e+11	2.47675e+10	3.54046e+11	7.02840e+03	6.60597e+10	3.25762e+12	3.83648e+12	1.42962e+06	6.38944e+07	2.52774e+08	1.95797e+10
1.04713e+13	2.70330e+17	1.18822e+09	1.54906e+11	4.50312e+11	2.61816e+10	3.45974e+11	7.85803e+03	7.00377e+10	3.05647e+12	3.43078e+12	1.67730e+06	7.34646e+07	2.81160e+08	2.06381e+10
1.04713e+13	2.56235e+17	1.27875e+09	1.62101e+11	4.53476e+11	2.76391e+10	3.37496e+11	8.78260e+03	7.41457e+10	2.86155e+12	3.06205e+12	1.96415e+06	8.43362e+07	3.12264e+08	2.17218e+10
1.04713e+13	2.42896e+17	1.37473e+09	1.69437e+11	4.56163e+11	2.91365e+10	3.28641e+11	9.81182e+03	7.83760e+10	2.67330e+12	2.72764e+12	2.29567e+06	9.66654e+07	3.46300e+08	2.28286e+10
1.04713e+13	2.30268e+17	1.47632e+09	1.76901e+11	4.58365e+11	3.06705e+10	3.19440e+11	1.09571e+04	8.27219e+10	2.49210e+12	2.42504e+12	2.67801e+06	1.10624e+08	3.83483e+08	2.39564e+10
