# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+2 N+4 O O+2 O+5 O+6 Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
10471300000000.0 5.49226e+17 416224000.0 77163000000.0 371015000000.0 11620500000.0 411880000000.0 1811.75 29481000000.0 5914240000000.0 12639000000000.0 180595.0 10559900.0 62451100.0 9281470000.0 -5.0 4.584 [-5.0]
10471300000000.0 5.19502e+17 454154000.0 82021000000.0 379279000000.0 12445600000.0 410097000000.0 2028.78 31737100000.0 5693590000000.0 11560500000000.0 216961.0 12382100.0 70794500.0 9958110000.0 -4.98 4.579 [-4.98]
10471300000000.0 4.91498e+17 494961000.0 87069200000.0 387240000000.0 13317300000.0 407738000000.0 2272.13 34130900000.0 5469830000000.0 10555200000000.0 260106.0 14493500.0 80118300.0 10668000000.0 -4.96 4.574 [-4.96]
10471300000000.0 4.65103e+17 538822000.0 92308100000.0 394880000000.0 14236900000.0 404805000000.0 2544.88 36665900000.0 5243890000000.0 9620090000000.0 311188.0 16936000.0 90519900.0 11411500000.0 -4.94 4.569 [-4.94]
10471300000000.0 4.40214e+17 585919000.0 97738000000.0 402182000000.0 15205500000.0 401303000000.0 2850.46 39344800000.0 5016690000000.0 8751800000000.0 371547.0 19756700.0 102105000.0 12188600000.0 -4.92 4.564 [-4.92]
10471300000000.0 4.16736e+17 636441000.0 103358000000.0 409130000000.0 16223900000.0 397239000000.0 3192.65 42169800000.0 4789140000000.0 7947150000000.0 442725.0 23008900.0 114986000.0 12999400000.0 -4.9 4.559 [-4.9]
10471300000000.0 3.94583e+17 690573000.0 109167000000.0 415710000000.0 17292700000.0 392622000000.0 3575.54 45141700000.0 4562160000000.0 7203060000000.0 526483.0 26751900.0 129285000.0 13843500000.0 -4.88 4.555 [-4.88]
10471300000000.0 3.73668e+17 748525000.0 115165000000.0 421906000000.0 18412400000.0 387462000000.0 4003.86 48261900000.0 4336570000000.0 6516260000000.0 624867.0 31053500.0 145133000.0 14720900000.0 -4.86 4.55 [-4.86]
10471300000000.0 3.53916e+17 810491000.0 121347000000.0 427706000000.0 19583100000.0 381772000000.0 4482.6 51529800000.0 4113230000000.0 5883690000000.0 740192.0 35988700.0 162670000.0 15631000000.0 -4.84 4.546 [-4.84]
10471300000000.0 3.3526e+17 876690000.0 127712000000.0 433096000000.0 20804500000.0 375566000000.0 5017.58 54944900000.0 3892930000000.0 5302380000000.0 875103.0 41641300.0 182042000.0 16573000000.0 -4.82 4.541 [-4.82]
10471300000000.0 3.1764e+17 947408000.0 134258000000.0 438062000000.0 22077200000.0 368865000000.0 5616.11 58509200000.0 3676460000000.0 4769460000000.0 1032630.0 48104900.0 203399000.0 17545700000.0 -4.8 4.537 [-4.8]
10471300000000.0 3.00982e+17 1022760000.0 140977000000.0 442595000000.0 23398700000.0 361684000000.0 6283.8 62215200000.0 3464470000000.0 4281760000000.0 1216180.0 55484000.0 226918000.0 18548400000.0 -4.78 4.532 [-4.78]
10471300000000.0 2.85231e+17 1102970000.0 147862000000.0 446682000000.0 24767500000.0 354046000000.0 7028.4 66059700000.0 3257620000000.0 3836480000000.0 1429620.0 63894400.0 252774000.0 19579700000.0 -4.76 4.528 [-4.76]
10471300000000.0 2.7033e+17 1188220000.0 154906000000.0 450312000000.0 26181600000.0 345974000000.0 7858.03 70037700000.0 3056470000000.0 3430780000000.0 1677300.0 73464600.0 281160000.0 20638100000.0 -4.74 4.524 [-4.74]
10471300000000.0 2.56235e+17 1278750000.0 162101000000.0 453476000000.0 27639100000.0 337496000000.0 8782.6 74145700000.0 2861550000000.0 3062050000000.0 1964150.0 84336200.0 312264000.0 21721800000.0 -4.72 4.52 [-4.72]
10471300000000.0 2.42896e+17 1374730000.0 169437000000.0 456163000000.0 29136500000.0 328641000000.0 9811.82 78376000000.0 2673300000000.0 2727640000000.0 2295670.0 96665400.0 346300000.0 22828600000.0 -4.7 4.516 [-4.7]
10471300000000.0 2.30268e+17 1476320000.0 176901000000.0 458365000000.0 30670500000.0 319440000000.0 10957.1 82721900000.0 2492100000000.0 2425040000000.0 2678010.0 110624000.0 383483000.0 23956400000.0 -4.68 4.511 [-4.68]
10471300000000.0 2.18313e+17 1583710000.0 184482000000.0 460072000000.0 32237200000.0 309926000000.0 12231.0 87175800000.0 2318250000000.0 2151880000000.0 3118040.0 126402000.0 424038000.0 25102700000.0 -4.66 4.507 [-4.66]
10471300000000.0 2.06992e+17 1697080000.0 192165000000.0 461278000000.0 33832500000.0 300134000000.0 13648.0 91730500000.0 2151980000000.0 1905820000000.0 3623450.0 144204000.0 468200000.0 26264500000.0 -4.64 4.503 [-4.64]
10471300000000.0 1.96269e+17 1816550000.0 199936000000.0 461973000000.0 35451600000.0 290101000000.0 15223.6 96377100000.0 1993470000000.0 1684700000000.0 4202690.0 164257000.0 516211000.0 27439000000.0 -4.62 4.499 [-4.62]
10471300000000.0 1.86109e+17 1942200000.0 207774000000.0 462152000000.0 37088500000.0 279866000000.0 16974.4 101104000000.0 1842810000000.0 1486400000000.0 4865090.0 186806000.0 568331000.0 28622700000.0 -4.6 4.495 [-4.6]
10471300000000.0 1.76483e+17 2074200000.0 215663000000.0 461808000000.0 38738800000.0 269468000000.0 18921.1 105906000000.0 1700050000000.0 1309010000000.0 5621040.0 212116000.0 624805000.0 29812100000.0 -4.58 4.491 [-4.58]
10471300000000.0 1.67363e+17 2212630000.0 223582000000.0 460938000000.0 40396400000.0 258948000000.0 21085.8 110771000000.0 1565190000000.0 1150660000000.0 6481870.0 240476000.0 685895000.0 31003400000.0 -4.56 4.488 [-4.56]
10471300000000.0 1.5872e+17 2357580000.0 231512000000.0 459538000000.0 42055600000.0 248347000000.0 23493.4 115690000000.0 1438160000000.0 1009630000000.0 7460050.0 272198000.0 751865000.0 32192400000.0 -4.54 4.484 [-4.54]
10471300000000.0 1.50529e+17 2509060000.0 239427000000.0 457604000000.0 43709900000.0 237707000000.0 26171.8 120653000000.0 1318830000000.0 884296000000.0 8569140.0 307615000.0 822981000.0 33374900000.0 -4.52 4.48 [-4.52]
10471300000000.0 1.42765e+17 2667230000.0 247309000000.0 455135000000.0 45354100000.0 227065000000.0 29154.4 125653000000.0 1207040000000.0 773133000000.0 9824330.0 347094000.0 899511000.0 34546600000.0 -4.5 4.476 [-4.5]
10471300000000.0 1.35407e+17 2831810000.0 255121000000.0 452133000000.0 46979600000.0 216467000000.0 32472.7 130672000000.0 1102660000000.0 674803000000.0 11240500.0 390992000.0 981691000.0 35702100000.0 -4.48 4.472 [-4.48]
10471300000000.0 1.28433e+17 3003030000.0 262846000000.0 448597000000.0 48582200000.0 205947000000.0 36171.2 135707000000.0 1005390000000.0 587956000000.0 12836100.0 439744000.0 1069800000.0 36837100000.0 -4.46 4.468 [-4.46]
10471300000000.0 1.21821e+17 3180720000.0 270454000000.0 444530000000.0 50154800000.0 195543000000.0 40294.3 140746000000.0 915006000000.0 511426000000.0 14629500.0 493772000.0 1164080000.0 37946400000.0 -4.44 4.464 [-4.44]
10471300000000.0 1.15554e+17 3364850000.0 277918000000.0 439938000000.0 51691800000.0 185290000000.0 44894.5 145780000000.0 831231000000.0 444126000000.0 16640800.0 553533000.0 1264750000.0 39024700000.0 -4.42 4.46 [-4.42]
10471300000000.0 1.09613e+17 3555200000.0 285204000000.0 434826000000.0 53186300000.0 175222000000.0 50028.9 150796000000.0 753772000000.0 385053000000.0 18891400.0 619508000.0 1372050000.0 40066900000.0 -4.4 4.457 [-4.4]
10471300000000.0 1.0398e+17 3751650000.0 292285000000.0 429203000000.0 54633100000.0 165368000000.0 55764.6 155787000000.0 682327000000.0 333308000000.0 21403900.0 692197000.0 1486160000.0 41067500000.0 -4.38 4.453 [-4.38]
10471300000000.0 9.86393e+16 3954070000.0 299132000000.0 423076000000.0 56027100000.0 155753000000.0 62178.8 160743000000.0 616561000000.0 288051000000.0 24203900.0 772151000.0 1607290000.0 42021300000.0 -4.36 4.449 [-4.36]
10471300000000.0 9.35793e+16 4161990000.0 305707000000.0 416466000000.0 57361600000.0 146412000000.0 69349.3 165650000000.0 556225000000.0 248582000000.0 27313700.0 859837000.0 1735500000.0 42922300000.0 -4.34 4.445 [-4.34]
10471300000000.0 8.87807e+16 4375360000.0 311988000000.0 409379000000.0 58633300000.0 137357000000.0 77379.2 170504000000.0 500936000000.0 214189000000.0 30763300.0 955887000.0 1870980000.0 43765800000.0 -4.32 4.442 [-4.32]
10471300000000.0 8.42319e+16 4593850000.0 317941000000.0 401836000000.0 59837500000.0 128610000000.0 86375.8 175293000000.0 450402000000.0 184284000000.0 34580000.0 1060850000.0 2013780000.0 44546300000.0 -4.3 4.438 [-4.3]
10471300000000.0 7.99195e+16 4817060000.0 323538000000.0 393855000000.0 60969800000.0 120186000000.0 96461.2 180009000000.0 404311000000.0 158325000000.0 38793000.0 1175300000.0 2163920000.0 45258700000.0 -4.28 4.434 [-4.28]
10471300000000.0 7.58315e+16 5044620000.0 328748000000.0 385458000000.0 62026700000.0 112098000000.0 107774.0 184642000000.0 362360000000.0 135831000000.0 43432600.0 1299830000.0 2321390000.0 45898000000.0 -4.26 4.43 [-4.26]
10471300000000.0 7.19559e+16 5276090000.0 333546000000.0 376669000000.0 63004900000.0 104355000000.0 120473.0 189184000000.0 324255000000.0 116370000000.0 48530100.0 1435020000.0 2486100000.0 46459300000.0 -4.24 4.427 [-4.24]
10471300000000.0 6.82818e+16 5511010000.0 337904000000.0 367513000000.0 63901500000.0 96964900000.0 134733.0 193625000000.0 289713000000.0 99562800000.0 54117200.0 1581430000.0 2657920000.0 46938300000.0 -4.22 4.423 [-4.22]
10471300000000.0 6.47986e+16 5748850000.0 341798000000.0 358018000000.0 64714000000.0 89930000000.0 150754.0 197957000000.0 258459000000.0 85068700000.0 60226000.0 1739620000.0 2836650000.0 47330600000.0 -4.2 4.419 [-4.2]
