# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+2 N+4 O O+2 O+5 O+6 Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
75857700000000.0 2.49372e+18 89442700000.0 40511600000000.0 306509000000000.0 5148860000000.0 292988000000000.0 171777.0 13704300000000.0 3873050000000000.0 4810470000000000.0 81106600.0 8934850000.0 115899000000.0 10319700000000.0 -5.0 4.352 [-5.0]
75857700000000.0 2.34328e+18 94561400000.0 42072000000000.0 311640000000000.0 5553890000000.0 289613000000000.0 204211.0 15099700000000.0 3687660000000000.0 4323610000000000.0 92801300.0 10220900000.0 132695000000.0 11067500000000.0 -4.98 4.343 [-4.98]
75857700000000.0 2.20199e+18 100091000000.0 43649800000000.0 316444000000000.0 5990160000000.0 285787000000000.0 243857.0 16621700000000.0 3502120000000000.0 3877130000000000.0 105991000.0 11665700000.0 151661000000.0 11847500000000.0 -4.96 4.333 [-4.96]
75857700000000.0 2.06871e+18 106010000000.0 45231700000000.0 320923000000000.0 6459150000000.0 281501000000000.0 292378.0 18278600000000.0 3316790000000000.0 3467100000000000.0 120761000.0 13282400000.0 173131000000.0 12661800000000.0 -4.94 4.323 [-4.94]
75857700000000.0 1.94278e+18 112353000000.0 46813300000000.0 325058000000000.0 6962700000000.0 276748000000000.0 351910.0 20078400000000.0 3132220000000000.0 3091050000000000.0 137243000.0 15085600000.0 197433000000.0 13510600000000.0 -4.92 4.314 [-4.92]
75857700000000.0 1.82415e+18 119247000000.0 48408900000000.0 328825000000000.0 7503310000000.0 271542000000000.0 425137.0 22027100000000.0 2949380000000000.0 2748030000000000.0 155706000.0 17094600000.0 224820000000.0 14390400000000.0 -4.9 4.303 [-4.9]
75857700000000.0 1.71223e+18 126747000000.0 50018400000000.0 332219000000000.0 8083210000000.0 265890000000000.0 515373.0 24131500000000.0 2768760000000000.0 2435730000000000.0 176343000.0 19327000000.0 255689000000.0 15300800000000.0 -4.88 4.293 [-4.88]
75857700000000.0 1.60656e+18 134939000000.0 51645000000000.0 335224000000000.0 8704420000000.0 259793000000000.0 626734.0 26396400000000.0 2590950000000000.0 2152150000000000.0 199402000.0 21802100000.0 290454000000.0 16240700000000.0 -4.86 4.282 [-4.86]
75857700000000.0 1.50662e+18 143916000000.0 53291500000000.0 337823000000000.0 9369080000000.0 253248000000000.0 764518.0 28830000000000.0 2416680000000000.0 1894590000000000.0 225141000.0 24539800000.0 329613000000.0 17208800000000.0 -4.84 4.271 [-4.84]
75857700000000.0 1.41203e+18 153811000000.0 54967700000000.0 340000000000000.0 10079700000000.0 246261000000000.0 935260.0 31435100000000.0 2246330000000000.0 1661580000000000.0 253916000.0 27563500000.0 373697000000.0 18203000000000.0 -4.82 4.26 [-4.82]
75857700000000.0 1.32244e+18 164780000000.0 56685500000000.0 341733000000000.0 10838400000000.0 238835000000000.0 1147140.0 34213700000000.0 2080360000000000.0 1451450000000000.0 286160000.0 30900100000.0 423304000000.0 19220800000000.0 -4.8 4.248 [-4.8]
75857700000000.0 1.23745e+18 177018000000.0 58459700000000.0 342994000000000.0 11647700000000.0 230969000000000.0 1410610.0 37167500000000.0 1919240000000000.0 1262310000000000.0 322421000.0 34581400000.0 479136000000.0 20259500000000.0 -4.78 4.236 [-4.78]
75857700000000.0 1.15674e+18 190768000000.0 60310800000000.0 343751000000000.0 12509600000000.0 222667000000000.0 1738820.0 40294500000000.0 1763360000000000.0 1092600000000000.0 363432000.0 38647900000.0 541987000000.0 21316000000000.0 -4.76 4.223 [-4.76]
75857700000000.0 1.07987e+18 206340000000.0 62264400000000.0 343964000000000.0 13426500000000.0 213918000000000.0 2148700.0 43591500000000.0 1612940000000000.0 940647000000000.0 410131000.0 43150500000.0 612861000000.0 22387300000000.0 -4.74 4.209 [-4.74]
75857700000000.0 1.0062e+18 224143000000.0 64351000000000.0 343580000000000.0 14402300000000.0 204682000000000.0 2663540.0 47057600000000.0 1467830000000000.0 804457000000000.0 463680000.0 48154300000.0 693260000000.0 23474000000000.0 -4.72 4.194 [-4.72]
75857700000000.0 9.3569e+17 244794000000.0 66637700000000.0 342533000000000.0 15438100000000.0 194977000000000.0 3311040.0 50674400000000.0 1328650000000000.0 683245000000000.0 526298000.0 53775200000.0 784335000000.0 24567500000000.0 -4.7 4.178 [-4.7]
75857700000000.0 8.67942e+17 269104000000.0 69200600000000.0 340733000000000.0 16535500000000.0 184780000000000.0 4128950.0 54421900000000.0 1195460000000000.0 575654000000000.0 601022000.0 60178000000.0 887896000000.0 25663100000000.0 -4.68 4.16 [-4.68]
75857700000000.0 8.02444e+17 298230000000.0 72145500000000.0 338044000000000.0 17695900000000.0 174046000000000.0 5168660.0 58270100000000.0 1068170000000000.0 480300000000000.0 692536000.0 67618800000.0 1006410000000.0 26755700000000.0 -4.66 4.141 [-4.66]
75857700000000.0 7.38604e+17 333962000000.0 75633400000000.0 334275000000000.0 18920100000000.0 162704000000000.0 6503090.0 62173500000000.0 946535000000000.0 395874000000000.0 808599000.0 76522400000.0 1143300000000.0 27839400000000.0 -4.64 4.118 [-4.64]
75857700000000.0 6.75716e+17 379061000000.0 79900300000000.0 329126000000000.0 20202200000000.0 150648000000000.0 8236150.0 66049800000000.0 830214000000000.0 321153000000000.0 962465000.0 87597800000.0 1303400000000.0 28905000000000.0 -4.62 4.092 [-4.62]
75857600000000.0 6.12446e+17 438459000000.0 85341400000000.0 322055000000000.0 21534100000000.0 137650000000000.0 10538200.0 69763000000000.0 718017000000000.0 254694000000000.0 1179310000.0 102153000000.0 1495450000000.0 29943700000000.0 -4.6 4.061 [-4.6]
75857600000000.0 5.46931e+17 521457000000.0 92624300000000.0 312082000000000.0 22884300000000.0 123361000000000.0 13704300.0 73039400000000.0 608194000000000.0 195083000000000.0 1512000000.0 122727000000.0 1734670000000.0 30933000000000.0 -4.58 4.02 [-4.58]
