H	H+	C+	C+2	C+3	N+2	N+4	O	O+2	O+5	O+6	Si+	Si+2	Si+3	Si+4
2.88403e+13	9.60418e+17	3.41108e+10	1.53609e+13	1.15543e+14	1.93914e+12	1.11213e+14	6.33489e+04	5.05912e+12	1.46682e+15	1.90204e+15	3.05932e+07	3.33545e+09	4.27324e+10	3.86175e+12
2.88403e+13	9.02532e+17	3.60360e+10	1.59528e+13	1.17484e+14	2.09110e+12	1.09985e+14	7.51784e+04	5.57590e+12	1.39823e+15	1.71177e+15	3.50256e+07	3.81791e+09	4.89359e+10	4.14286e+12
2.88403e+13	8.48112e+17	3.81045e+10	1.65494e+13	1.19305e+14	2.25476e+12	1.08585e+14	8.96227e+04	6.14041e+12	1.32946e+15	1.53681e+15	4.00175e+07	4.36004e+09	5.59511e+10	4.43656e+12
2.88403e+13	7.96934e+17	4.03343e+10	1.71510e+13	1.21003e+14	2.43078e+12	1.07016e+14	1.07292e+05	6.75531e+12	1.26074e+15	1.37634e+15	4.56303e+07	4.96760e+09	6.38705e+10	4.74255e+12
2.88403e+13	7.48470e+17	4.27038e+10	1.77493e+13	1.22579e+14	2.61973e+12	1.05269e+14	1.28946e+05	7.42427e+12	1.19210e+15	1.22865e+15	5.18753e+07	5.64528e+09	7.28578e+10	5.06238e+12
2.88403e+13	7.02825e+17	4.52742e+10	1.83523e+13	1.24019e+14	2.82262e+12	1.03352e+14	1.55567e+05	8.14954e+12	1.12398e+15	1.09372e+15	5.88676e+07	6.40056e+09	8.29892e+10	5.39408e+12
2.88403e+13	6.59767e+17	4.80658e+10	1.89597e+13	1.25323e+14	3.04024e+12	1.01264e+14	1.88357e+05	8.93394e+12	1.05660e+15	9.70625e+14	6.66775e+07	7.24001e+09	9.44110e+10	5.73758e+12
2.88403e+13	6.19139e+17	5.11145e+10	1.95737e+13	1.26482e+14	3.27342e+12	9.90086e+13	2.28790e+05	9.77846e+12	9.90066e+14	8.58893e+14	7.54061e+07	8.17131e+09	1.07270e+11	6.09220e+12
2.88403e+13	5.80701e+17	5.44461e+10	2.01935e+13	1.27494e+14	3.52298e+12	9.65824e+13	2.78829e+05	1.06882e+13	9.24798e+14	7.57045e+14	8.51326e+07	9.20129e+09	1.21764e+11	6.45786e+12
2.88403e+13	5.44337e+17	5.81120e+10	2.08232e+13	1.28350e+14	3.78975e+12	9.39878e+13	3.40808e+05	1.16633e+13	8.60878e+14	6.64777e+14	9.59927e+07	1.03388e+10	1.38078e+11	6.83353e+12
2.88403e+13	5.09887e+17	6.21666e+10	2.14663e+13	1.29044e+14	4.07464e+12	9.12247e+13	4.17745e+05	1.27055e+13	7.98498e+14	5.81327e+14	1.08133e+08	1.15933e+10	1.56445e+11	7.21852e+12
2.88403e+13	4.77224e+17	6.66821e+10	2.21288e+13	1.29566e+14	4.37852e+12	8.82943e+13	5.13399e+05	1.38152e+13	7.37817e+14	5.06116e+14	1.21756e+08	1.29763e+10	1.77115e+11	7.61167e+12
2.88403e+13	4.46224e+17	7.17486e+10	2.28185e+13	1.29904e+14	4.70219e+12	8.51975e+13	6.32518e+05	1.49920e+13	6.79001e+14	4.38546e+14	1.37128e+08	1.45027e+10	2.00372e+11	8.01168e+12
2.88403e+13	4.16692e+17	7.74674e+10	2.35421e+13	1.30045e+14	5.04660e+12	8.19285e+13	7.81325e+05	1.62353e+13	6.22107e+14	3.77914e+14	1.54538e+08	1.61882e+10	2.26617e+11	8.41804e+12
2.88403e+13	3.88487e+17	8.39945e+10	2.43143e+13	1.29970e+14	5.41285e+12	7.84824e+13	9.67843e+05	1.75437e+13	5.67226e+14	3.23630e+14	1.74472e+08	1.80588e+10	2.56290e+11	8.82947e+12
2.88403e+13	3.61446e+17	9.15340e+10	2.51534e+13	1.29656e+14	5.80190e+12	7.48506e+13	1.20261e+06	1.89133e+13	5.14394e+14	2.75152e+14	1.97585e+08	2.01493e+10	2.89959e+11	9.24481e+12
2.88403e+13	3.35483e+17	1.00378e+11	2.60886e+13	1.29070e+14	6.21420e+12	7.10311e+13	1.49903e+06	2.03365e+13	4.63744e+14	2.32056e+14	2.24967e+08	2.25177e+10	3.28220e+11	9.66146e+12
2.88403e+13	3.10424e+17	1.10932e+11	2.71577e+13	1.28167e+14	6.65027e+12	6.70097e+13	1.87550e+06	2.18029e+13	4.15270e+14	1.93839e+14	2.58226e+08	2.52511e+10	3.71935e+11	1.00775e+13
2.88403e+13	2.86049e+17	1.23808e+11	2.84159e+13	1.26880e+14	7.11035e+12	6.27618e+13	2.35772e+06	2.32965e+13	3.68901e+14	1.59993e+14	2.99965e+08	2.84914e+10	4.22312e+11	1.04907e+13
2.88403e+13	2.62084e+17	1.39964e+11	2.99468e+13	1.25104e+14	7.59352e+12	5.82486e+13	2.98276e+06	2.47905e+13	3.24487e+14	1.30052e+14	3.54650e+08	3.24791e+10	4.81093e+11	1.08982e+13
2.88403e+13	2.38115e+17	1.61035e+11	3.18839e+13	1.22663e+14	8.09695e+12	5.34011e+13	3.80854e+06	2.62386e+13	2.81716e+14	1.03509e+14	4.30524e+08	3.76455e+10	5.51119e+11	1.12963e+13
2.88403e+13	2.13506e+17	1.90043e+11	3.44517e+13	1.19238e+14	8.61137e+12	4.81022e+13	4.93333e+06	2.75524e+13	2.40018e+14	7.98258e+13	5.44408e+08	4.48159e+10	6.37386e+11	1.16779e+13
