# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+2 N+4 O O+2 O+5 O+6 Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
28840300000000.0 9.60418e+17 34110800000.0 15360900000000.0 115543000000000.0 1939140000000.0 111213000000000.0 63348.9 5059120000000.0 1466820000000000.0 1902040000000000.0 30593200.0 3335450000.0 42732400000.0 3861750000000.0 -5.0 4.356 [-5.0]
28840300000000.0 9.02532e+17 36036000000.0 15952800000000.0 117484000000000.0 2091100000000.0 109985000000000.0 75178.4 5575900000000.0 1398230000000000.0 1711770000000000.0 35025600.0 3817910000.0 48935900000.0 4142860000000.0 -4.98 4.347 [-4.98]
28840300000000.0 8.48112e+17 38104500000.0 16549400000000.0 119305000000000.0 2254760000000.0 108585000000000.0 89622.7 6140410000000.0 1329460000000000.0 1536810000000000.0 40017500.0 4360040000.0 55951100000.0 4436560000000.0 -4.96 4.337 [-4.96]
28840300000000.0 7.96934e+17 40334300000.0 17151000000000.0 121003000000000.0 2430780000000.0 107016000000000.0 107292.0 6755310000000.0 1260740000000000.0 1376340000000000.0 45630300.0 4967600000.0 63870500000.0 4742550000000.0 -4.94 4.328 [-4.94]
28840300000000.0 7.4847e+17 42703800000.0 17749300000000.0 122579000000000.0 2619730000000.0 105269000000000.0 128946.0 7424270000000.0 1192100000000000.0 1228650000000000.0 51875300.0 5645280000.0 72857800000.0 5062380000000.0 -4.92 4.318 [-4.92]
28840300000000.0 7.02825e+17 45274200000.0 18352300000000.0 124019000000000.0 2822620000000.0 103352000000000.0 155567.0 8149540000000.0 1123980000000000.0 1093720000000000.0 58867600.0 6400560000.0 82989200000.0 5394080000000.0 -4.9 4.308 [-4.9]
28840300000000.0 6.59767e+17 48065800000.0 18959700000000.0 125323000000000.0 3040240000000.0 101264000000000.0 188357.0 8933940000000.0 1056600000000000.0 970625000000000.0 66677500.0 7240010000.0 94411000000.0 5737580000000.0 -4.88 4.297 [-4.88]
28840300000000.0 6.19139e+17 51114500000.0 19573700000000.0 126482000000000.0 3273420000000.0 99008600000000.0 228790.0 9778460000000.0 990066000000000.0 858893000000000.0 75406100.0 8171310000.0 107270000000.0 6092200000000.0 -4.86 4.287 [-4.86]
28840300000000.0 5.80701e+17 54446100000.0 20193500000000.0 127494000000000.0 3522980000000.0 96582400000000.0 278829.0 10688200000000.0 924798000000000.0 757045000000000.0 85132600.0 9201290000.0 121764000000.0 6457860000000.0 -4.84 4.276 [-4.84]
28840300000000.0 5.44337e+17 58112000000.0 20823200000000.0 128350000000000.0 3789750000000.0 93987800000000.0 340808.0 11663300000000.0 860878000000000.0 664777000000000.0 95992700.0 10338800000.0 138078000000.0 6833530000000.0 -4.82 4.265 [-4.82]
