# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+2 N+4 O O+2 O+5 O+6 Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
5754400000000.0 1.90563e+17 6998800000.0 3105970000000.0 23038000000000.0 392750000000.0 22117200000000.0 12905.0 1004840000000.0 286309000000000.0 384072000000000.0 6325520.0 680479000.0 8585090000.0 772909000000.0 -5.0 4.359 [-5.0]
5754400000000.0 1.79045e+17 7385540000.0 3224280000000.0 23423800000000.0 423306000000.0 21869800000000.0 15310.7 1108390000000.0 273210000000000.0 345530000000000.0 7236700.0 778769000.0 9834640000.0 829237000000.0 -4.98 4.349 [-4.98]
5754400000000.0 1.68219e+17 7800890000.0 3343380000000.0 23785500000000.0 456207000000.0 21588200000000.0 18250.5 1221610000000.0 260036000000000.0 310075000000000.0 8261650.0 889155000.0 11248000000.0 888079000000.0 -4.96 4.34 [-4.96]
5754400000000.0 1.58034e+17 8247910000.0 3463200000000.0 24122100000000.0 491591000000.0 21272500000000.0 21850.2 1345110000000.0 246835000000000.0 277518000000000.0 9412220.0 1012800000.0 12844800000.0 949410000000.0 -4.94 4.33 [-4.94]
5754400000000.0 1.48406e+17 8724520000.0 3582540000000.0 24434000000000.0 529574000000.0 20921800000000.0 26265.7 1479560000000.0 233621000000000.0 247583000000000.0 10693100.0 1150690000.0 14654800000.0 1013430000000.0 -4.92 4.32 [-4.92]
5754400000000.0 1.3933e+17 9240330000.0 3702460000000.0 24719000000000.0 570353000000.0 20536900000000.0 31699.2 1625510000000.0 220468000000000.0 220203000000000.0 12123900.0 1304250000.0 16697600000.0 1079870000000.0 -4.9 4.31 [-4.9]
5754400000000.0 1.30768e+17 9800530000.0 3823090000000.0 24976400000000.0 614089000000.0 20118000000000.0 38399.3 1783510000000.0 207422000000000.0 195215000000000.0 13720000.0 1474820000.0 19001600000.0 1148680000000.0 -4.88 4.3 [-4.88]
5754400000000.0 1.22684e+17 10411500000.0 3944660000000.0 25205000000000.0 660941000000.0 19665200000000.0 46676.5 1954010000000.0 194526000000000.0 172468000000000.0 15499300.0 1663840000.0 21598000000.0 1219740000000.0 -4.86 4.289 [-4.86]
5754400000000.0 1.15044e+17 11080500000.0 4067510000000.0 25403600000000.0 711080000000.0 19178700000000.0 56922.9 2137500000000.0 181824000000000.0 151804000000000.0 17482100.0 1872810000.0 24523000000.0 1292940000000.0 -4.84 4.278 [-4.84]
5754400000000.0 1.07815e+17 11817000000.0 4192190000000.0 25570900000000.0 764678000000.0 18658400000000.0 69629.9 2334310000000.0 169356000000000.0 133084000000000.0 19693000.0 2103420000.0 27817000000.0 1368150000000.0 -4.82 4.267 [-4.82]
