H	H+	C+	C+2	C+3	N+2	N+4	O	O+2	O+5	O+6	Si+	Si+2	Si+3	Si+4
3.09029e+14	1.31522e+19	1.68644e+10	2.76724e+12	1.15692e+13	4.27221e+11	1.16402e+13	8.18369e+04	1.11115e+12	1.48598e+14	2.67937e+14	9.98702e+06	5.31761e+08	2.78088e+09	3.40500e+11
3.09030e+14	1.24489e+19	1.83319e+10	2.92894e+12	1.17793e+13	4.56163e+11	1.15336e+13	9.16663e+04	1.19189e+12	1.42046e+14	2.43606e+14	1.19134e+07	6.19950e+08	3.13520e+09	3.63502e+11
3.09029e+14	1.17851e+19	1.99037e+10	3.09617e+12	1.19789e+13	4.86545e+11	1.14107e+13	1.02651e+05	1.27689e+12	1.35494e+14	2.21061e+14	1.41827e+07	7.21571e+08	3.52915e+09	3.87490e+11
3.09029e+14	1.11586e+19	2.15870e+10	3.26891e+12	1.21675e+13	5.18408e+11	1.12718e+13	1.14942e+05	1.36625e+12	1.28967e+14	2.00226e+14	1.68507e+07	8.38468e+08	3.96627e+09	4.12451e+11
3.09029e+14	1.05672e+19	2.33878e+10	3.44712e+12	1.23446e+13	5.51758e+11	1.11172e+13	1.28688e+05	1.45997e+12	1.22488e+14	1.81009e+14	1.99813e+07	9.72718e+08	4.45051e+09	4.38373e+11
3.09029e+14	1.00086e+19	2.53120e+10	3.63070e+12	1.25100e+13	5.86592e+11	1.09473e+13	1.44050e+05	1.55805e+12	1.16083e+14	1.63324e+14	2.36474e+07	1.12664e+09	4.98609e+09	4.65239e+11
3.09029e+14	9.48123e+18	2.73682e+10	3.81962e+12	1.26631e+13	6.22932e+11	1.07627e+13	1.61240e+05	1.66054e+12	1.09774e+14	1.47087e+14	2.79322e+07	1.30283e+09	5.57725e+09	4.93020e+11
3.09029e+14	8.98287e+18	2.95611e+10	4.01369e+12	1.28037e+13	6.60728e+11	1.05637e+13	1.80440e+05	1.76732e+12	1.03582e+14	1.32209e+14	3.29300e+07	1.50418e+09	6.22888e+09	5.21691e+11
3.09030e+14	8.51171e+18	3.18962e+10	4.21272e+12	1.29314e+13	6.99931e+11	1.03511e+13	2.01858e+05	1.87824e+12	9.75265e+13	1.18605e+14	3.87474e+07	1.73390e+09	6.94615e+09	5.51220e+11
3.09030e+14	8.06616e+18	3.43796e+10	4.41648e+12	1.30458e+13	7.40494e+11	1.01254e+13	2.25743e+05	1.99321e+12	9.16249e+13	1.06192e+14	4.55051e+07	1.99556e+09	7.73436e+09	5.81565e+11
3.09029e+14	7.64471e+18	3.70175e+10	4.62477e+12	1.31466e+13	7.82355e+11	9.88735e+12	2.52362e+05	2.11208e+12	8.58936e+13	9.48938e+13	5.33391e+07	2.29311e+09	8.59915e+09	6.12678e+11
3.09029e+14	7.24593e+18	3.98164e+10	4.83733e+12	1.32336e+13	8.25444e+11	9.63780e+12	2.82024e+05	2.23471e+12	8.03459e+13	8.46307e+13	6.24040e+07	2.63094e+09	9.54657e+09	6.44507e+11
3.09030e+14	6.86856e+18	4.27804e+10	5.05378e+12	1.33064e+13	8.69651e+11	9.37768e+12	3.15043e+05	2.36086e+12	7.49955e+13	7.53318e+13	7.28679e+07	3.01378e+09	1.05827e+10	6.76983e+11
3.09030e+14	6.51133e+18	4.59155e+10	5.27379e+12	1.33648e+13	9.14883e+11	9.10785e+12	3.51796e+05	2.49036e+12	6.98515e+13	6.69245e+13	8.49240e+07	3.44696e+09	1.17140e+10	7.10040e+11
3.09029e+14	6.17313e+18	4.92268e+10	5.49698e+12	1.34085e+13	9.61020e+11	8.82935e+12	3.92695e+05	2.62297e+12	6.49223e+13	5.93412e+13	9.87848e+07	3.93622e+09	1.29473e+10	7.43600e+11
3.09030e+14	5.85286e+18	5.27189e+10	5.72291e+12	1.34374e+13	1.00793e+12	8.54321e+12	4.38199e+05	2.75845e+12	6.02139e+13	5.25164e+13	1.14687e+08	4.48792e+09	1.42897e+10	7.77577e+11
3.09029e+14	5.54947e+18	5.63942e+10	5.95103e+12	1.34511e+13	1.05546e+12	8.25054e+12	4.88792e+05	2.89649e+12	5.57304e+13	4.63878e+13	1.32893e+08	5.10891e+09	1.57484e+10	8.11881e+11
3.09030e+14	5.26206e+18	6.02573e+10	6.18086e+12	1.34496e+13	1.10346e+12	7.95246e+12	5.45068e+05	3.03687e+12	5.14742e+13	4.08972e+13	1.53691e+08	5.80671e+09	1.73309e+10	8.46412e+11
3.09029e+14	4.98978e+18	6.43115e+10	6.41183e+12	1.34327e+13	1.15177e+12	7.65017e+12	6.07672e+05	3.17932e+12	4.74461e+13	3.59893e+13	1.77400e+08	6.58943e+09	1.90448e+10	8.81059e+11
3.09029e+14	4.73178e+18	6.85594e+10	6.64335e+12	1.34002e+13	1.20022e+12	7.34484e+12	6.77329e+05	3.32353e+12	4.36450e+13	3.16122e+13	2.04370e+08	7.46584e+09	2.08977e+10	9.15710e+11
3.09030e+14	4.48731e+18	7.30026e+10	6.87476e+12	1.33520e+13	1.24864e+12	7.03766e+12	7.54855e+05	3.46923e+12	4.00685e+13	2.77171e+13	2.34983e+08	8.44541e+09	2.28974e+10	9.50242e+11
3.09030e+14	4.25563e+18	7.76421e+10	7.10537e+12	1.32882e+13	1.29685e+12	6.72983e+12	8.41172e+05	3.61611e+12	3.67130e+13	2.42583e+13	2.69657e+08	9.53830e+09	2.50517e+10	9.84526e+11
3.09030e+14	4.03605e+18	8.24785e+10	7.33446e+12	1.32086e+13	1.34466e+12	6.42252e+12	9.37318e+05	3.76386e+12	3.35734e+13	2.11938e+13	3.08842e+08	1.07554e+10	2.73684e+10	1.01843e+12
3.09029e+14	3.82794e+18	8.75109e+10	7.56124e+12	1.31133e+13	1.39188e+12	6.11686e+12	1.04447e+06	3.91220e+12	3.06439e+13	1.84843e+13	3.53031e+08	1.21082e+10	2.98550e+10	1.05181e+12
3.09029e+14	3.63068e+18	9.27378e+10	7.78492e+12	1.30024e+13	1.43833e+12	5.81397e+12	1.16395e+06	4.06082e+12	2.79174e+13	1.60936e+13	4.02753e+08	1.36092e+10	3.25191e+10	1.08452e+12
3.09029e+14	3.44370e+18	9.81568e+10	8.00467e+12	1.28760e+13	1.48382e+12	5.51488e+12	1.29727e+06	4.20941e+12	2.53865e+13	1.39887e+13	4.58577e+08	1.52712e+10	3.53675e+10	1.11641e+12
3.09030e+14	3.26647e+18	1.03765e+11	8.21966e+12	1.27342e+13	1.52819e+12	5.22062e+12	1.44613e+06	4.35769e+12	2.30432e+13	1.21390e+13	5.21113e+08	1.71083e+10	3.84071e+10	1.14733e+12
3.09030e+14	3.09847e+18	1.09558e+11	8.42901e+12	1.25773e+13	1.57126e+12	4.93208e+12	1.61246e+06	4.50536e+12	2.08788e+13	1.05169e+13	5.91013e+08	1.91346e+10	4.16441e+10	1.17712e+12
