# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+2 N+4 O O+2 O+5 O+6 Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
309029000000000.0 1.31522e+19 16864400000.0 2767240000000.0 11569200000000.0 427221000000.0 11640200000000.0 81836.9 1111150000000.0 148598000000000.0 267937000000000.0 9987020.0 531761000.0 2780880000.0 340500000000.0 -5.0 4.565 [-5.0]
309030000000000.0 1.24489e+19 18331900000.0 2928940000000.0 11779300000000.0 456163000000.0 11533600000000.0 91666.3 1191890000000.0 142046000000000.0 243606000000000.0 11913400.0 619950000.0 3135200000.0 363502000000.0 -4.98 4.56 [-4.98]
309029000000000.0 1.17851e+19 19903700000.0 3096170000000.0 11978900000000.0 486545000000.0 11410700000000.0 102651.0 1276890000000.0 135494000000000.0 221061000000000.0 14182700.0 721571000.0 3529150000.0 387490000000.0 -4.96 4.556 [-4.96]
309029000000000.0 1.11586e+19 21587000000.0 3268910000000.0 12167500000000.0 518408000000.0 11271800000000.0 114942.0 1366250000000.0 128967000000000.0 200226000000000.0 16850700.0 838468000.0 3966270000.0 412451000000.0 -4.94 4.551 [-4.94]
309029000000000.0 1.05672e+19 23387800000.0 3447120000000.0 12344600000000.0 551758000000.0 11117200000000.0 128688.0 1459970000000.0 122488000000000.0 181009000000000.0 19981300.0 972718000.0 4450510000.0 438373000000.0 -4.92 4.546 [-4.92]
309029000000000.0 1.00086e+19 25312000000.0 3630700000000.0 12510000000000.0 586592000000.0 10947300000000.0 144050.0 1558050000000.0 116083000000000.0 163324000000000.0 23647400.0 1126640000.0 4986090000.0 465239000000.0 -4.9 4.542 [-4.9]
309029000000000.0 9.48123e+18 27368200000.0 3819620000000.0 12663100000000.0 622932000000.0 10762700000000.0 161240.0 1660540000000.0 109774000000000.0 147087000000000.0 27932200.0 1302830000.0 5577250000.0 493020000000.0 -4.88 4.537 [-4.88]
309029000000000.0 8.98287e+18 29561100000.0 4013690000000.0 12803700000000.0 660728000000.0 10563700000000.0 180440.0 1767320000000.0 103582000000000.0 132209000000000.0 32930000.0 1504180000.0 6228880000.0 521691000000.0 -4.86 4.533 [-4.86]
309030000000000.0 8.51171e+18 31896200000.0 4212720000000.0 12931400000000.0 699931000000.0 10351100000000.0 201858.0 1878240000000.0 97526500000000.0 118605000000000.0 38747400.0 1733900000.0 6946150000.0 551220000000.0 -4.84 4.529 [-4.84]
309030000000000.0 8.06616e+18 34379600000.0 4416480000000.0 13045800000000.0 740494000000.0 10125400000000.0 225743.0 1993210000000.0 91624900000000.0 106192000000000.0 45505100.0 1995560000.0 7734360000.0 581565000000.0 -4.82 4.524 [-4.82]
309029000000000.0 7.64471e+18 37017500000.0 4624770000000.0 13146600000000.0 782355000000.0 9887350000000.0 252362.0 2112080000000.0 85893600000000.0 94893800000000.0 53339100.0 2293110000.0 8599150000.0 612678000000.0 -4.8 4.52 [-4.8]
309029000000000.0 7.24593e+18 39816400000.0 4837330000000.0 13233600000000.0 825444000000.0 9637800000000.0 282024.0 2234710000000.0 80345900000000.0 84630700000000.0 62404000.0 2630940000.0 9546570000.0 644507000000.0 -4.78 4.516 [-4.78]
309030000000000.0 6.86856e+18 42780400000.0 5053780000000.0 13306400000000.0 869651000000.0 9377680000000.0 315043.0 2360860000000.0 74995500000000.0 75331800000000.0 72867900.0 3013780000.0 10582700000.0 676983000000.0 -4.76 4.512 [-4.76]
309030000000000.0 6.51133e+18 45915500000.0 5273790000000.0 13364800000000.0 914883000000.0 9107850000000.0 351796.0 2490360000000.0 69851500000000.0 66924500000000.0 84924000.0 3446960000.0 11714000000.0 710040000000.0 -4.74 4.508 [-4.74]
309029000000000.0 6.17313e+18 49226800000.0 5496980000000.0 13408500000000.0 961020000000.0 8829350000000.0 392695.0 2622970000000.0 64922300000000.0 59341200000000.0 98784800.0 3936220000.0 12947300000.0 743600000000.0 -4.72 4.504 [-4.72]
309030000000000.0 5.85286e+18 52718900000.0 5722910000000.0 13437400000000.0 1007930000000.0 8543210000000.0 438199.0 2758450000000.0 60213900000000.0 52516400000000.0 114687000.0 4487920000.0 14289700000.0 777577000000.0 -4.7 4.5 [-4.7]
309029000000000.0 5.54947e+18 56394200000.0 5951030000000.0 13451100000000.0 1055460000000.0 8250540000000.0 488792.0 2896490000000.0 55730400000000.0 46387800000000.0 132893000.0 5108910000.0 15748400000.0 811881000000.0 -4.68 4.496 [-4.68]
309030000000000.0 5.26206e+18 60257300000.0 6180860000000.0 13449600000000.0 1103460000000.0 7952460000000.0 545068.0 3036870000000.0 51474200000000.0 40897200000000.0 153691000.0 5806710000.0 17330900000.0 846412000000.0 -4.66 4.492 [-4.66]
309029000000000.0 4.98978e+18 64311500000.0 6411830000000.0 13432700000000.0 1151770000000.0 7650170000000.0 607672.0 3179320000000.0 47446100000000.0 35989300000000.0 177400000.0 6589430000.0 19044800000.0 881059000000.0 -4.64 4.488 [-4.64]
309029000000000.0 4.73178e+18 68559400000.0 6643350000000.0 13400200000000.0 1200220000000.0 7344840000000.0 677329.0 3323530000000.0 43645000000000.0 31612200000000.0 204370000.0 7465840000.0 20897700000.0 915710000000.0 -4.62 4.484 [-4.62]
309030000000000.0 4.48731e+18 73002600000.0 6874760000000.0 13352000000000.0 1248640000000.0 7037660000000.0 754855.0 3469230000000.0 40068500000000.0 27717100000000.0 234983000.0 8445410000.0 22897400000.0 950242000000.0 -4.6 4.48 [-4.6]
309030000000000.0 4.25563e+18 77642100000.0 7105370000000.0 13288200000000.0 1296850000000.0 6729830000000.0 841172.0 3616110000000.0 36713000000000.0 24258300000000.0 269657000.0 9538300000.0 25051700000.0 984526000000.0 -4.58 4.476 [-4.58]
309030000000000.0 4.03605e+18 82478500000.0 7334460000000.0 13208600000000.0 1344660000000.0 6422520000000.0 937318.0 3763860000000.0 33573400000000.0 21193800000000.0 308842000.0 10755400000.0 27368400000.0 1018430000000.0 -4.56 4.472 [-4.56]
309029000000000.0 3.82794e+18 87510900000.0 7561240000000.0 13113300000000.0 1391880000000.0 6116860000000.0 1044470.0 3912200000000.0 30643900000000.0 18484300000000.0 353031000.0 12108200000.0 29855000000.0 1051810000000.0 -4.54 4.468 [-4.54]
309029000000000.0 3.63068e+18 92737800000.0 7784920000000.0 13002400000000.0 1438330000000.0 5813970000000.0 1163950.0 4060820000000.0 27917400000000.0 16093600000000.0 402753000.0 13609200000.0 32519100000.0 1084520000000.0 -4.52 4.464 [-4.52]
309029000000000.0 3.4437e+18 98156800000.0 8004670000000.0 12876000000000.0 1483820000000.0 5514880000000.0 1297270.0 4209410000000.0 25386500000000.0 13988700000000.0 458577000.0 15271200000.0 35367500000.0 1116410000000.0 -4.5 4.46 [-4.5]
309030000000000.0 3.26647e+18 103765000000.0 8219660000000.0 12734200000000.0 1528190000000.0 5220620000000.0 1446130.0 4357690000000.0 23043200000000.0 12139000000000.0 521113000.0 17108300000.0 38407100000.0 1147330000000.0 -4.48 4.457 [-4.48]
309030000000000.0 3.09847e+18 109558000000.0 8429010000000.0 12577300000000.0 1571260000000.0 4932080000000.0 1612460.0 4505360000000.0 20878800000000.0 10516900000000.0 591013000.0 19134600000.0 41644100000.0 1177120000000.0 -4.46 4.453 [-4.46]
