#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string
000000000	F	F	                  ok	2	339	-5.000000	-3.000000	-5.000000, -3.000000
000000001	F	F	                  ok	0	273	-5.000000	-2.950000	-5.000000, -2.950000
000000002	F	F	                  ok	11	523	-5.000000	-2.900000	-5.000000, -2.900000
000000003	F	F	                  ok	8	6	-5.000000	-2.850000	-5.000000, -2.850000
000000004	F	F	                  ok	6	1820	-5.000000	-2.800000	-5.000000, -2.800000
000000005	F	F	                  ok	7	1647	-5.000000	-2.750000	-5.000000, -2.750000
000000006	F	F	                  ok	10	32	-5.000000	-2.700000	-5.000000, -2.700000
000000007	F	F	                  ok	2	588	-5.000000	-2.650000	-5.000000, -2.650000
000000008	F	F	                  ok	5	781	-5.000000	-2.600000	-5.000000, -2.600000


000000010	F	F	                  ok	9	1906	-5.000000	-2.500000	-5.000000, -2.500000
000000011	F	F	                  ok	11	769	-5.000000	-2.450000	-5.000000, -2.450000
000000012	F	F	                  ok	8	975	-5.000000	-2.400000	-5.000000, -2.400000
000000013	F	F	                  ok	11	1890	-5.000000	-2.350000	-5.000000, -2.350000
000000014	F	F	                  ok	1	424	-5.000000	-2.300000	-5.000000, -2.300000
000000015	F	F	                  ok	7	50	-5.000000	-2.250000	-5.000000, -2.250000
000000016	F	F	                  ok	0	419	-5.000000	-2.200000	-5.000000, -2.200000
000000017	F	F	                  ok	2	1546	-5.000000	-2.150000	-5.000000, -2.150000


000000019	F	F	                  ok	9	373	-5.000000	-2.050000	-5.000000, -2.050000
000000020	F	F	                  ok	5	299	-5.000000	-2.000000	-5.000000, -2.000000
000000021	F	F	                  ok	6	1830	-5.000000	-1.950000	-5.000000, -1.950000
000000022	F	F	                  ok	4	1897	-5.000000	-1.900000	-5.000000, -1.900000
000000023	F	F	                  ok	7	2095	-5.000000	-1.850000	-5.000000, -1.850000
000000024	F	F	                  ok	0	931	-5.000000	-1.800000	-5.000000, -1.800000
000000025	F	F	                  ok	11	1023	-5.000000	-1.750000	-5.000000, -1.750000
000000026	F	F	                  ok	7	1497	-5.000000	-1.700000	-5.000000, -1.700000
000000027	F	F	                  ok	7	1724	-5.000000	-1.650000	-5.000000, -1.650000


000000029	F	F	                  ok	7	633	-5.000000	-1.550000	-5.000000, -1.550000
000000030	F	F	                  ok	3	396	-5.000000	-1.500000	-5.000000, -1.500000
000000031	F	F	                  ok	11	583	-5.000000	-1.450000	-5.000000, -1.450000
000000032	F	F	                  ok	9	1412	-5.000000	-1.400000	-5.000000, -1.400000
000000033	F	F	                  ok	6	1527	-5.000000	-1.350000	-5.000000, -1.350000
000000034	F	F	                  ok	11	1777	-5.000000	-1.300000	-5.000000, -1.300000
000000035	F	F	                  ok	11	599	-5.000000	-1.250000	-5.000000, -1.250000
000000036	F	F	                  ok	4	705	-5.000000	-1.200000	-5.000000, -1.200000
000000037	F	F	                  ok	2	886	-5.000000	-1.150000	-5.000000, -1.150000
000000038	F	F	                  ok	4	1273	-5.000000	-1.100000	-5.000000, -1.100000
000000039	F	F	                  ok	7	1043	-5.000000	-1.050000	-5.000000, -1.050000


000000041	F	F	                  ok	0	1694	-5.000000	-0.950000	-5.000000, -0.950000


000000043	F	F	                  ok	11	989	-5.000000	-0.850000	-5.000000, -0.850000
000000044	F	F	                  ok	7	1116	-5.000000	-0.800000	-5.000000, -0.800000
000000045	F	F	                  ok	7	315	-5.000000	-0.750000	-5.000000, -0.750000


000000047	F	F	                  ok	9	882	-5.000000	-0.650000	-5.000000, -0.650000
000000048	F	F	                  ok	3	370	-5.000000	-0.600000	-5.000000, -0.600000


000000050	F	F	                  ok	9	743	-5.000000	-0.500000	-5.000000, -0.500000
000000051	F	F	                  ok	11	87	-5.000000	-0.450000	-5.000000, -0.450000
000000052	F	F	                  ok	4	2111	-5.000000	-0.400000	-5.000000, -0.400000


000000054	F	F	                  ok	5	387	-5.000000	-0.300000	-5.000000, -0.300000
000000055	F	F	                  ok	4	235	-5.000000	-0.250000	-5.000000, -0.250000
000000056	F	F	                  ok	6	1243	-5.000000	-0.200000	-5.000000, -0.200000




000000059	F	F	                  ok	2	903	-5.000000	-0.050000	-5.000000, -0.050000




000000062	F	F	                  ok	3	479	-5.000000	0.100000	-5.000000, 0.100000
000000063	F	F	                  ok	5	2072	-5.000000	0.150000	-5.000000, 0.150000
000000064	F	F	                  ok	11	2081	-5.000000	0.200000	-5.000000, 0.200000
000000065	F	F	                  ok	7	449	-5.000000	0.250000	-5.000000, 0.250000




000000068	F	F	                  ok	11	1539	-5.000000	0.400000	-5.000000, 0.400000


000000070	F	F	                  ok	6	352	-5.000000	0.500000	-5.000000, 0.500000


000000072	F	F	                  ok	4	947	-5.000000	0.600000	-5.000000, 0.600000
000000073	F	F	                  ok	4	386	-5.000000	0.650000	-5.000000, 0.650000


000000075	F	F	                  ok	3	702	-5.000000	0.750000	-5.000000, 0.750000
000000076	F	F	                  ok	3	165	-5.000000	0.800000	-5.000000, 0.800000
000000077	F	F	                  ok	2	1215	-5.000000	0.850000	-5.000000, 0.850000
000000078	F	F	                  ok	4	426	-5.000000	0.900000	-5.000000, 0.900000
000000079	F	F	                  ok	4	1485	-5.000000	0.950000	-5.000000, 0.950000
000000080	F	F	                  ok	7	676	-5.000000	1.000000	-5.000000, 1.000000
000000081	F	F	                  ok	11	473	-5.000000	1.050000	-5.000000, 1.050000
000000082	F	F	                  ok	9	1735	-5.000000	1.100000	-5.000000, 1.100000
