H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4	Fe+	Al+
2.63027e+14	7.73312e+18	2.48430e+10	3.21722e+12	1.03421e+13	1.87458e+09	5.25049e+11	8.71090e+12	1.52171e+05	1.38911e+12	8.90372e+13	1.20798e+14	1.53861e+06	2.41786e+07	1.09897e+09	4.60076e+09	4.02732e+11	5.76822e+03	7.41540e+05
2.63027e+14	7.32569e+18	2.68303e+10	3.38115e+12	1.04594e+13	2.04060e+09	5.56885e+11	8.55122e+12	1.70202e+05	1.47842e+12	8.40348e+13	1.08601e+14	1.80035e+06	2.85037e+07	1.26919e+09	5.14083e+09	4.26273e+11	6.99051e+03	8.82797e+05
2.63027e+14	6.94056e+18	2.89452e+10	3.54918e+12	1.05660e+13	2.21895e+09	5.89899e+11	8.38020e+12	1.90313e+05	1.57120e+12	7.91395e+13	9.74449e+13	2.10296e+06	3.35375e+07	1.46347e+09	5.73562e+09	4.50525e+11	8.46411e+03	1.04852e+06
2.63027e+14	6.57644e+18	3.11934e+10	3.72116e+12	1.06615e+13	2.41023e+09	6.24049e+11	8.19839e+12	2.12737e+05	1.66737e+12	7.43662e+13	8.72631e+13	2.45218e+06	3.93841e+07	1.68481e+09	6.38957e+09	4.75455e+11	1.02388e+04	1.24254e+06
2.63027e+14	6.23204e+18	3.35805e+10	3.89688e+12	1.07457e+13	2.61501e+09	6.59288e+11	8.00640e+12	2.37735e+05	1.76684e+12	6.97275e+13	7.79906e+13	2.85451e+06	4.61621e+07	1.93661e+09	7.10751e+09	5.01025e+11	1.23740e+04	1.46925e+06
2.63027e+14	5.90627e+18	3.61107e+10	4.07606e+12	1.08183e+13	2.83372e+09	6.95538e+11	7.80491e+12	2.65577e+05	1.86942e+12	6.52362e+13	6.95675e+13	3.31699e+06	5.40013e+07	2.22252e+09	7.89431e+09	5.27186e+11	1.49396e+04	1.73359e+06
2.63027e+14	5.59802e+18	3.87891e+10	4.25844e+12	1.08790e+13	3.06685e+09	7.32725e+11	7.59465e+12	2.96581e+05	1.97498e+12	6.09021e+13	6.19326e+13	3.84763e+06	6.30503e+07	2.54663e+09	8.75526e+09	5.53888e+11	1.80188e+04	2.04123e+06
2.63027e+14	5.30628e+18	4.16203e+10	4.44371e+12	1.09277e+13	3.31481e+09	7.70760e+11	7.37638e+12	3.31094e+05	2.08333e+12	5.67335e+13	5.50281e+13	4.45531e+06	7.34740e+07	2.91345e+09	9.69585e+09	5.81075e+11	2.17105e+04	2.39860e+06
2.63027e+14	5.03011e+18	4.46087e+10	4.63152e+12	1.09642e+13	3.57802e+09	8.09545e+11	7.15090e+12	3.69510e+05	2.19431e+12	5.27372e+13	4.87985e+13	5.14990e+06	8.54566e+07	3.32790e+09	1.07218e+10	6.08682e+11	2.61311e+04	2.81296e+06
2.63027e+14	4.76863e+18	4.77580e+10	4.82148e+12	1.09881e+13	3.85679e+09	8.48967e+11	6.91912e+12	4.12262e+05	2.30770e+12	4.89185e+13	4.31908e+13	5.94221e+06	9.92018e+07	3.79534e+09	1.18389e+10	6.36638e+11	3.14183e+04	3.29253e+06
