H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4	Fe+	Al+
7.58577e+14	2.23371e+19	7.09910e+10	9.27819e+12	3.00594e+13	5.31190e+09	1.50870e+12	2.52283e+13	4.29373e+05	4.03788e+12	2.57664e+14	3.47702e+14	4.37736e+06	6.97932e+07	3.18035e+09	1.33994e+10	1.16911e+12	1.65413e+04	2.16203e+06
7.58577e+14	2.11606e+19	7.66691e+10	9.75051e+12	3.03989e+13	5.78304e+09	1.60029e+12	2.47641e+13	4.80351e+05	4.29727e+12	2.43130e+14	3.12647e+14	5.12201e+06	8.22669e+07	3.67254e+09	1.49709e+10	1.23734e+12	2.00484e+04	2.57334e+06
7.58577e+14	2.00486e+19	8.27121e+10	1.02347e+13	3.07071e+13	6.28925e+09	1.69528e+12	2.42671e+13	5.37233e+05	4.56682e+12	2.28918e+14	2.80572e+14	5.98295e+06	9.67825e+07	4.23419e+09	1.67014e+10	1.30763e+12	2.42770e+04	3.05581e+06
7.58577e+14	1.89970e+19	8.91356e+10	1.07301e+13	3.09830e+13	6.83216e+09	1.79354e+12	2.37389e+13	6.00676e+05	4.84626e+12	2.15069e+14	2.51292e+14	6.97650e+06	1.13640e+08	4.87402e+09	1.86038e+10	1.37987e+12	2.93698e+04	3.62055e+06
7.58577e+14	1.80025e+19	9.59543e+10	1.12363e+13	3.12261e+13	7.41329e+09	1.89491e+12	2.31813e+13	6.71404e+05	5.13525e+12	2.01620e+14	2.24622e+14	8.12093e+06	1.33177e+08	5.60172e+09	2.06921e+10	1.45395e+12	3.54967e+04	4.28027e+06
7.58577e+14	1.70617e+19	1.03183e+11	1.17525e+13	3.14355e+13	8.03408e+09	1.99920e+12	2.25963e+13	7.50221e+05	5.43341e+12	1.88605e+14	2.00385e+14	9.43663e+06	1.55773e+08	6.42798e+09	2.29807e+10	1.52974e+12	4.28596e+04	5.04942e+06
7.58577e+14	1.61714e+19	1.10834e+11	1.22778e+13	3.16104e+13	8.69583e+09	2.10619e+12	2.19859e+13	8.38016e+05	5.74028e+12	1.76051e+14	1.78409e+14	1.09463e+07	1.81852e+08	7.36456e+09	2.54848e+10	1.60709e+12	5.16974e+04	5.94446e+06
7.58577e+14	1.53286e+19	1.18925e+11	1.28115e+13	3.17504e+13	9.40004e+09	2.21566e+12	2.13523e+13	9.35826e+05	6.05545e+12	1.63979e+14	1.58525e+14	1.26756e+07	2.11897e+08	8.42457e+09	2.82205e+10	1.68584e+12	6.22955e+04	6.98414e+06
7.58577e+14	1.45309e+19	1.27462e+11	1.33525e+13	3.18547e+13	1.01473e+10	2.32727e+12	2.06982e+13	1.04470e+06	6.37822e+12	1.52413e+14	1.40582e+14	1.46518e+07	2.46423e+08	9.62190e+09	3.12039e+10	1.76579e+12	7.49850e+04	8.18933e+06
7.58577e+14	1.37756e+19	1.36457e+11	1.38995e+13	3.19227e+13	1.09387e+10	2.44069e+12	2.00258e+13	1.16589e+06	6.70805e+12	1.41364e+14	1.24424e+14	1.69059e+07	2.86023e+08	1.09722e+10	3.44525e+10	1.84674e+12	9.01624e+04	9.58399e+06
7.58577e+14	1.30601e+19	1.45918e+11	1.44514e+13	3.19540e+13	1.17748e+10	2.55558e+12	1.93378e+13	1.30074e+06	7.04420e+12	1.30841e+14	1.09910e+14	1.94716e+07	3.31344e+08	1.24923e+10	3.79842e+10	1.92847e+12	1.08293e+05	1.11951e+07
7.58577e+14	1.23825e+19	1.55857e+11	1.50070e+13	3.19483e+13	1.26564e+10	2.67159e+12	1.86369e+13	1.45086e+06	7.38609e+12	1.20850e+14	9.69048e+13	2.23868e+07	3.83106e+08	1.42006e+10	4.18170e+10	2.01074e+12	1.29926e+05	1.30528e+07
7.58577e+14	1.17407e+19	1.66281e+11	1.55648e+13	3.19050e+13	1.35841e+10	2.78832e+12	1.79261e+13	1.61799e+06	7.73302e+12	1.11393e+14	8.52784e+13	2.56925e+07	4.42095e+08	1.61171e+10	4.59694e+10	2.09329e+12	1.55705e+05	1.51912e+07
