# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: Fe+, datatype: float64}
# - {name: Al+, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 Fe+ Al+ log_nH parameters
758577000000000.0 2.23371e+19 70991000000.0 9278190000000.0 30059400000000.0 5311900000.0 1508700000000.0 25228300000000.0 429373.0 4037880000000.0 257664000000000.0 347702000000000.0 4377360.0 69793200.0 3180350000.0 13399400000.0 1169110000000.0 16541.3 2162030.0 -5.0 [-5.0]
758577000000000.0 2.11606e+19 76669100000.0 9750510000000.0 30398900000000.0 5783040000.0 1600290000000.0 24764100000000.0 480351.0 4297270000000.0 243130000000000.0 312647000000000.0 5122010.0 82266900.0 3672540000.0 14970900000.0 1237340000000.0 20048.4 2573340.0 -4.98 [-4.98]
758577000000000.0 2.00486e+19 82712100000.0 10234700000000.0 30707100000000.0 6289250000.0 1695280000000.0 24267100000000.0 537233.0 4566820000000.0 228918000000000.0 280572000000000.0 5982950.0 96782500.0 4234190000.0 16701400000.0 1307630000000.0 24277.0 3055810.0 -4.96 [-4.96]
758577000000000.0 1.8997e+19 89135600000.0 10730100000000.0 30983000000000.0 6832160000.0 1793540000000.0 23738900000000.0 600676.0 4846260000000.0 215069000000000.0 251292000000000.0 6976500.0 113640000.0 4874020000.0 18603800000.0 1379870000000.0 29369.8 3620550.0 -4.94 [-4.94]
758577000000000.0 1.80025e+19 95954300000.0 11236300000000.0 31226100000000.0 7413290000.0 1894910000000.0 23181300000000.0 671404.0 5135250000000.0 201620000000000.0 224622000000000.0 8120930.0 133177000.0 5601720000.0 20692100000.0 1453950000000.0 35496.7 4280270.0 -4.92 [-4.92]
758577000000000.0 1.70617e+19 103183000000.0 11752500000000.0 31435500000000.0 8034080000.0 1999200000000.0 22596300000000.0 750221.0 5433410000000.0 188605000000000.0 200385000000000.0 9436630.0 155773000.0 6427980000.0 22980700000.0 1529740000000.0 42859.6 5049420.0 -4.9 [-4.9]
758577000000000.0 1.61714e+19 110834000000.0 12277800000000.0 31610400000000.0 8695830000.0 2106190000000.0 21985900000000.0 838016.0 5740280000000.0 176051000000000.0 178409000000000.0 10946300.0 181852000.0 7364560000.0 25484800000.0 1607090000000.0 51697.4 5944460.0 -4.88 [-4.88]
758577000000000.0 1.53286e+19 118925000000.0 12811500000000.0 31750400000000.0 9400040000.0 2215660000000.0 21352300000000.0 935826.0 6055450000000.0 163979000000000.0 158525000000000.0 12675600.0 211897000.0 8424570000.0 28220500000.0 1685840000000.0 62295.5 6984140.0 -4.86 [-4.86]
758577000000000.0 1.45309e+19 127462000000.0 13352500000000.0 31854700000000.0 10147300000.0 2327270000000.0 20698200000000.0 1044700.0 6378220000000.0 152413000000000.0 140582000000000.0 14651800.0 246423000.0 9621900000.0 31203900000.0 1765790000000.0 74985.0 8189330.0 -4.84 [-4.84]
758577000000000.0 1.37756e+19 136457000000.0 13899500000000.0 31922700000000.0 10938700000.0 2440690000000.0 20025800000000.0 1165890.0 6708050000000.0 141364000000000.0 124424000000000.0 16905900.0 286023000.0 10972200000.0 34452500000.0 1846740000000.0 90162.4 9583990.0 -4.82 [-4.82]
