H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4	Fe+	Al+
2.88402e+16	9.33121e+20	3.46743e+12	5.21040e+14	1.58854e+15	2.24329e+11	7.97820e+13	1.10653e+15	1.89851e+07	2.81033e+14	1.07086e+16	1.29237e+16	1.59210e+08	3.03870e+09	1.42599e+11	6.38880e+11	5.19696e+13	8.31817e+05	1.13191e+08
2.88402e+16	8.83716e+20	3.73534e+12	5.46026e+14	1.60212e+15	2.43435e+11	8.42904e+13	1.08119e+15	2.11760e+07	2.97496e+14	1.00528e+16	1.15828e+16	1.86083e+08	3.57283e+09	1.64259e+11	7.12200e+11	5.49090e+13	1.00787e+06	1.34380e+08
2.88402e+16	8.37031e+20	4.01901e+12	5.71445e+14	1.61374e+15	2.63849e+11	8.89284e+13	1.05453e+15	2.36103e+07	3.14458e+14	9.41730e+15	1.03623e+16	2.17113e+08	4.19264e+09	1.88906e+11	7.92731e+11	5.79294e+13	1.21989e+06	1.59167e+08
2.88402e+16	7.92862e+20	4.31848e+12	5.97205e+14	1.62331e+15	2.85590e+11	9.36779e+13	1.02664e+15	2.63123e+07	3.31858e+14	8.80337e+15	9.25317e+15	2.52866e+08	4.91031e+09	2.16900e+11	8.81044e+11	6.10249e+13	1.47500e+06	1.88108e+08
2.88402e+16	7.51124e+20	4.63475e+12	6.23301e+14	1.63081e+15	3.08738e+11	9.85408e+13	9.97648e+14	2.93132e+07	3.49715e+14	8.21240e+15	8.24824e+15	2.94018e+08	5.73953e+09	2.48637e+11	9.77679e+11	6.41898e+13	1.78124e+06	2.21806e+08
2.88402e+16	7.11604e+20	4.96729e+12	6.49628e+14	1.63625e+15	3.33262e+11	1.03489e+14	9.67667e+14	3.26365e+07	3.67934e+14	7.64525e+15	7.33875e+15	3.41198e+08	6.69557e+09	2.84569e+11	1.08339e+12	6.74202e+13	2.14882e+06	2.61010e+08
2.88402e+16	6.74235e+20	5.31738e+12	6.76155e+14	1.63954e+15	3.59280e+11	1.08523e+14	9.36818e+14	3.63297e+07	3.86532e+14	7.10240e+15	6.51802e+15	3.95323e+08	7.79581e+09	3.25169e+11	1.19866e+12	7.07055e+13	2.58922e+06	3.06484e+08
2.88403e+16	6.38885e+20	5.68550e+12	7.02819e+14	1.64071e+15	3.86843e+11	1.13626e+14	9.05233e+14	4.04369e+07	4.05460e+14	6.58473e+15	5.77880e+15	4.57269e+08	9.05977e+09	3.70985e+11	1.32419e+12	7.40392e+13	3.11687e+06	3.59160e+08
2.88402e+16	6.05423e+20	6.07106e+12	7.29523e+14	1.63974e+15	4.15907e+11	1.18776e+14	8.73041e+14	4.49889e+07	4.24648e+14	6.09253e+15	5.11445e+15	5.27977e+08	1.05080e+10	4.22580e+11	1.46072e+12	7.74133e+13	3.74748e+06	4.20058e+08
2.88402e+16	5.73782e+20	6.47525e+12	7.56246e+14	1.63661e+15	4.46562e+11	1.23972e+14	8.40387e+14	5.00426e+07	4.44108e+14	5.62603e+15	4.51894e+15	6.08662e+08	1.21643e+10	4.80573e+11	1.60883e+12	8.08171e+13	4.49950e+06	4.90284e+08
2.88403e+16	5.43800e+20	6.89675e+12	7.82824e+14	1.63133e+15	4.78735e+11	1.29177e+14	8.07389e+14	5.56437e+07	4.63728e+14	5.18490e+15	3.98571e+15	7.00345e+08	1.40539e+10	5.45658e+11	1.76944e+12	8.42427e+13	5.39614e+06	5.71193e+08
