# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: Fe+, datatype: float64}
# - {name: Al+, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 Fe+ Al+ log_nH parameters
2.88402e+16 9.33121e+20 3467430000000.0 521040000000000.0 1588540000000000.0 224329000000.0 79782000000000.0 1106530000000000.0 18985100.0 281033000000000.0 1.07086e+16 1.29237e+16 159210000.0 3038700000.0 142599000000.0 638880000000.0 51969600000000.0 831817.0 113191000.0 -5.0 [-5.0]
2.88402e+16 8.83716e+20 3735340000000.0 546026000000000.0 1602120000000000.0 243435000000.0 84290400000000.0 1081190000000000.0 21176000.0 297496000000000.0 1.00528e+16 1.15828e+16 186083000.0 3572830000.0 164259000000.0 712200000000.0 54909000000000.0 1007870.0 134380000.0 -4.98 [-4.98]
2.88402e+16 8.37031e+20 4019010000000.0 571445000000000.0 1613740000000000.0 263849000000.0 88928400000000.0 1054530000000000.0 23610300.0 314458000000000.0 9417300000000000.0 1.03623e+16 217113000.0 4192640000.0 188906000000.0 792731000000.0 57929400000000.0 1219890.0 159167000.0 -4.96 [-4.96]
2.88402e+16 7.92862e+20 4318480000000.0 597205000000000.0 1623310000000000.0 285590000000.0 93677900000000.0 1026640000000000.0 26312300.0 331858000000000.0 8803370000000000.0 9253170000000000.0 252866000.0 4910310000.0 216900000000.0 881044000000.0 61024900000000.0 1475000.0 188108000.0 -4.94 [-4.94]
2.88402e+16 7.51124e+20 4634750000000.0 623301000000000.0 1630810000000000.0 308738000000.0 98540800000000.0 997648000000000.0 29313200.0 349715000000000.0 8212400000000000.0 8248240000000000.0 294018000.0 5739530000.0 248637000000.0 977679000000.0 64189800000000.0 1781240.0 221806000.0 -4.92 [-4.92]
2.88402e+16 7.11604e+20 4967290000000.0 649628000000000.0 1636250000000000.0 333262000000.0 103489000000000.0 967667000000000.0 32636500.0 367934000000000.0 7645250000000000.0 7338750000000000.0 341198000.0 6695570000.0 284569000000.0 1083390000000.0 67420200000000.0 2148820.0 261010000.0 -4.9 [-4.9]
2.88402e+16 6.74235e+20 5317380000000.0 676155000000000.0 1639540000000000.0 359280000000.0 108523000000000.0 936818000000000.0 36329700.0 386532000000000.0 7102400000000000.0 6518020000000000.0 395323000.0 7795810000.0 325169000000.0 1198660000000.0 70705500000000.0 2589220.0 306484000.0 -4.88 [-4.88]
2.88403e+16 6.38885e+20 5685500000000.0 702819000000000.0 1640710000000000.0 386843000000.0 113626000000000.0 905233000000000.0 40436900.0 405460000000000.0 6584730000000000.0 5778800000000000.0 457269000.0 9059770000.0 370985000000.0 1324190000000.0 74039200000000.0 3116870.0 359160000.0 -4.86 [-4.86]
2.88402e+16 6.05423e+20 6071060000000.0 729523000000000.0 1639740000000000.0 415907000000.0 118776000000000.0 873041000000000.0 44988900.0 424648000000000.0 6092530000000000.0 5114450000000000.0 527977000.0 10508000000.0 422580000000.0 1460720000000.0 77413300000000.0 3747480.0 420058000.0 -4.84 [-4.84]
2.88402e+16 5.73782e+20 6475250000000.0 756246000000000.0 1636610000000000.0 446562000000.0 123972000000000.0 840387000000000.0 50042600.0 444108000000000.0 5626030000000000.0 4518940000000000.0 608662000.0 12164300000.0 480573000000.0 1608830000000.0 80817100000000.0 4499500.0 490284000.0 -4.82 [-4.82]
2.88403e+16 5.438e+20 6896750000000.0 782824000000000.0 1631330000000000.0 478735000000.0 129177000000000.0 807389000000000.0 55643700.0 463728000000000.0 5184900000000000.0 3985710000000000.0 700345000.0 14053900000.0 545658000000.0 1769440000000.0 84242700000000.0 5396140.0 571193000.0 -4.8 [-4.8]
2.88402e+16 5.15428e+20 7337360000000.0 809231000000000.0 1623920000000000.0 512612000000.0 134387000000000.0 774211000000000.0 61884600.0 483502000000000.0 4769060000000000.0 3509510000000000.0 804496000.0 16207500000.0 618632000000.0 1943150000000.0 87679600000000.0 6466200.0 664274000.0 -4.78 [-4.78]
2.88402e+16 4.8856e+20 7794560000000.0 835348000000000.0 1614370000000000.0 547912000000.0 139577000000000.0 740950000000000.0 68771900.0 503367000000000.0 4378220000000000.0 3085110000000000.0 922407000.0 18651700000.0 700156000000.0 2130810000000.0 91115400000000.0 7733320.0 770954000.0 -4.76 [-4.76]
2.88403e+16 4.63105e+20 8270260000000.0 861068000000000.0 1602690000000000.0 584906000000.0 144724000000000.0 707726000000000.0 76451600.0 523261000000000.0 4011680000000000.0 2707430000000000.0 1055820000.0 21425300000.0 791230000000.0 2333100000000.0 94537700000000.0 9241240.0 893212000.0 -4.74 [-4.74]
2.88402e+16 4.39011e+20 8762980000000.0 886352000000000.0 1588960000000000.0 623392000000.0 149818000000000.0 674685000000000.0 84950300.0 543170000000000.0 3669000000000000.0 2372250000000000.0 1206350000.0 24561300000.0 892658000000.0 2550830000000.0 97935300000000.0 11023900.0 1032900000.0 -4.72 [-4.72]
2.88402e+16 4.16186e+20 9273280000000.0 911059000000000.0 1573160000000000.0 663517000000.0 154835000000000.0 641932000000000.0 94412800.0 563023000000000.0 3349360000000000.0 2075200000000000.0 1375990000.0 28103100000.0 1005510000000.0 2784670000000.0 101294000000000.0 13136000.0 1192370000.0 -4.7 [-4.7]
