H	H+	C+	C+2	C+3	N+2	N+4	O	O+2	O+5	O+6	Si+	Si+2	Si+3	Si+4
3.09029e+14	1.68084e+19	2.67133e+08	3.03449e+10	1.13424e+11	6.69425e+09	1.21074e+11	4.40291e+03	2.16763e+10	1.57957e+12	3.55459e+12	8.81556e+04	4.73086e+06	2.01933e+07	3.09760e+09
3.09029e+14	1.67977e+19	2.99481e+08	3.40429e+10	1.27265e+11	7.50303e+09	1.35829e+11	4.92061e+03	2.42784e+10	1.77195e+12	3.98540e+12	9.89824e+04	5.30999e+06	2.26726e+07	3.47607e+09
3.09029e+14	1.67856e+19	3.35712e+08	3.81910e+10	1.42795e+11	8.40844e+09	1.52378e+11	5.49658e+03	2.71871e+10	1.98770e+12	4.46803e+12	1.11148e+05	5.96027e+06	2.54582e+07	3.90085e+09
3.09029e+14	1.67722e+19	3.76283e+08	4.28437e+10	1.60221e+11	9.42174e+09	1.70941e+11	6.13663e+03	3.04370e+10	2.22966e+12	5.00861e+12	1.24821e+05	6.69050e+06	2.85889e+07	4.37763e+09
3.09029e+14	1.67572e+19	4.21706e+08	4.80623e+10	1.79774e+11	1.05555e+10	1.91761e+11	6.84730e+03	3.40668e+10	2.50100e+12	5.61400e+12	1.40189e+05	7.51058e+06	3.21076e+07	4.91280e+09
3.09029e+14	1.67405e+19	4.72547e+08	5.39152e+10	2.01714e+11	1.18236e+10	2.15113e+11	7.63529e+03	3.81185e+10	2.80528e+12	6.29182e+12	1.57467e+05	8.43167e+06	3.60635e+07	5.51353e+09
3.09029e+14	1.67218e+19	5.29434e+08	6.04794e+10	2.26331e+11	1.32415e+10	2.41302e+11	8.50779e+03	4.26385e+10	3.14645e+12	7.05055e+12	1.76896e+05	9.46631e+06	4.05118e+07	6.18789e+09
3.09029e+14	1.67011e+19	5.93066e+08	6.78407e+10	2.53954e+11	1.48262e+10	2.70672e+11	9.47231e+03	4.76776e+10	3.52898e+12	7.89959e+12	1.98749e+05	1.06287e+07	4.55151e+07	6.94495e+09
3.09029e+14	1.66780e+19	6.64217e+08	7.60956e+10	2.84950e+11	1.65965e+10	3.03607e+11	1.05367e+04	5.32911e+10	3.95784e+12	8.84946e+12	2.23335e+05	1.19347e+07	5.11443e+07	7.79492e+09


3.09029e+14	1.66238e+19	8.32586e+08	9.57298e+10	3.58756e+11	2.07790e+10	3.81950e+11	1.29973e+04	6.64885e+10	4.97749e+12	1.10993e+13	2.82148e+05	1.50518e+07	6.46121e+07	9.82088e+09
3.09029e+14	1.65921e+19	9.31793e+08	1.07365e+11	4.02548e+11	2.32392e+10	4.28381e+11	1.44098e+04	7.42091e+10	5.58150e+12	1.24265e+13	3.17218e+05	1.69062e+07	7.26451e+07	1.10243e+10
3.09029e+14	1.65571e+19	1.04251e+09	1.20408e+11	4.51690e+11	2.59812e+10	4.80434e+11	1.59542e+04	8.27777e+10	6.25840e+12	1.39090e+13	3.56722e+05	1.89911e+07	8.16960e+07	1.23759e+10
3.09029e+14	1.65183e+19	1.16599e+09	1.35028e+11	5.06835e+11	2.90351e+10	5.38787e+11	1.76378e+04	9.22766e+10	7.01695e+12	1.55642e+13	4.01234e+05	2.13359e+07	9.18986e+07	1.38941e+10
3.09029e+14	1.64754e+19	1.30361e+09	1.51413e+11	5.68719e+11	3.24337e+10	6.04198e+11	1.94671e+04	1.02793e+11	7.86682e+12	1.74114e+13	4.51410e+05	2.39734e+07	1.03405e+08	1.55997e+10
3.09029e+14	1.64281e+19	1.45687e+09	1.69774e+11	6.38165e+11	3.62124e+10	6.77513e+11	2.14475e+04	1.14419e+11	8.81891e+12	1.94716e+13	5.07989e+05	2.69410e+07	1.16389e+08	1.75160e+10
3.09029e+14	1.63760e+19	1.62741e+09	1.90347e+11	7.16102e+11	4.04100e+10	7.59680e+11	2.35829e+04	1.27253e+11	9.88541e+12	2.17682e+13	5.71813e+05	3.02808e+07	1.31049e+08	1.96694e+10
3.09029e+14	1.63188e+19	1.81699e+09	2.13393e+11	8.03569e+11	4.50680e+10	8.51761e+11	2.58748e+04	1.41397e+11	1.10798e+13	2.43264e+13	6.43840e+05	3.40405e+07	1.47612e+08	2.20898e+10


3.09029e+14	1.61874e+19	2.26103e+09	2.68109e+11	1.01192e+12	5.59474e+10	1.07054e+12	3.09232e+04	1.74046e+11	1.39150e+13	3.03426e+13	8.16981e+05	4.30431e+07	1.87528e+08	2.78705e+10
3.09029e+14	1.61120e+19	2.51962e+09	3.00466e+11	1.13560e+12	6.22648e+10	1.20005e+12	3.36628e+04	1.92756e+11	1.55915e+13	3.38631e+13	9.20745e+05	4.84171e+07	2.11528e+08	3.13120e+10
3.09029e+14	1.60305e+19	2.80581e+09	3.36683e+11	1.27443e+12	6.92440e+10	1.34513e+12	3.65433e+04	2.13235e+11	1.74681e+13	3.77747e+13	1.03798e+06	5.44733e+07	2.38722e+08	3.51836e+10
3.09029e+14	1.59420e+19	3.12194e+09	3.77207e+11	1.43029e+12	7.69396e+10	1.50763e+12	3.95436e+04	2.35583e+11	1.95683e+13	4.21157e+13	1.17048e+06	6.13015e+07	2.69571e+08	3.95406e+10
3.09029e+14	1.58463e+19	3.47058e+09	4.22536e+11	1.60526e+12	8.54125e+10	1.68964e+12	4.26443e+04	2.59916e+11	2.19184e+13	4.69294e+13	1.32028e+06	6.90024e+07	3.04599e+08	4.44454e+10
3.09029e+14	1.57431e+19	3.85437e+09	4.73221e+11	1.80173e+12	9.47267e+10	1.89348e+12	4.58216e+04	2.86349e+11	2.45478e+13	5.22626e+13	1.48964e+06	7.76901e+07	3.44413e+08	4.99689e+10
3.09029e+14	1.56323e+19	4.27607e+09	5.29875e+11	2.02235e+12	1.04950e+11	2.12174e+12	4.90477e+04	3.14999e+11	2.74895e+13	5.81663e+13	1.68110e+06	8.74941e+07	3.89715e+08	5.61915e+10
3.09029e+14	1.55137e+19	4.73845e+09	5.93171e+11	2.27012e+12	1.16151e+11	2.37735e+12	5.22899e+04	3.45977e+11	3.07799e+13	6.46956e+13	1.89752e+06	9.85608e+07	4.41318e+08	6.32047e+10
3.09029e+14	1.53872e+19	5.24432e+09	6.63859e+11	2.54842e+12	1.28406e+11	2.66356e+12	5.55128e+04	3.79400e+11	3.44604e+13	7.19107e+13	2.14208e+06	1.11056e+08	5.00165e+08	7.11122e+10


3.09029e+14	1.51102e+19	6.39724e+09	8.30751e+11	3.21218e+12	1.56375e+11	3.34274e+12	6.17463e+04	4.54015e+11	4.31785e+13	8.86610e+13	2.73005e+06	1.41100e+08	6.44129e+08	9.00969e+10
