# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+2 N+4 O O+2 O+5 O+6 Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
30903000000000.0 1.31328e+18 1703990000.0 277742000000.0 1150890000000.0 43027500000.0 1160220000000.0 8334.15 110837000000.0 14815900000000.0 26778900000000.0 999783.0 53128100.0 276560000.0 33910800000.0 -5.0 4.567 [-5.0]
30903000000000.0 1.24301e+18 1852110000.0 293970000000.0 1171810000000.0 45936500000.0 1149620000000.0 9331.22 118873000000.0 14163400000000.0 24346200000000.0 1192720.0 61943200.0 311820000.0 36203200000.0 -4.98 4.562 [-4.98]
30903000000000.0 1.17672e+18 2010910000.0 310757000000.0 1191680000000.0 48992600000.0 1137400000000.0 10447.2 127338000000.0 13510700000000.0 22093300000000.0 1420030.0 72100900.0 351010000.0 38593300000.0 -4.96 4.557 [-4.96]
30903000000000.0 1.11415e+18 2180970000.0 328098000000.0 1210460000000.0 52197400000.0 1123580000000.0 11695.6 136237000000.0 12860400000000.0 20011100000000.0 1687300.0 83786300.0 394496000.0 41080400000.0 -4.94 4.553 [-4.94]
30903000000000.0 1.05509e+18 2362830000.0 345983000000.0 1228100000000.0 55550300000.0 1108190000000.0 13090.5 145567000000.0 12215000000000.0 18090800000000.0 2000890.0 97205700.0 442672000.0 43663400000.0 -4.92 4.548 [-4.92]
30903000000000.0 9.99315e+17 2557230000.0 364411000000.0 1244570000000.0 59053300000.0 1091280000000.0 14650.1 155333000000.0 11576700000000.0 16323300000000.0 2368180.0 112594000.0 495955000.0 46340600000.0 -4.9 4.544 [-4.9]
30903000000000.0 9.46641e+17 2764870000.0 383372000000.0 1259820000000.0 62706100000.0 1072890000000.0 16393.8 165535000000.0 10947900000000.0 14700500000000.0 2797480.0 130209000.0 554777000.0 49109300000.0 -4.88 4.539 [-4.88]
30903000000000.0 8.96877e+17 2986390000.0 402853000000.0 1273820000000.0 66505900000.0 1053080000000.0 18341.8 176165000000.0 10330700000000.0 13213600000000.0 3298250.0 150340000.0 619611000.0 51966700000.0 -4.86 4.535 [-4.86]
30903000000000.0 8.49827e+17 3222240000.0 422828000000.0 1286530000000.0 70446600000.0 1031910000000.0 20514.2 187206000000.0 9727110000000.0 11853900000000.0 3881180.0 173310000.0 690980000.0 54909800000.0 -4.84 4.53 [-4.84]
30903000000000.0 8.05337e+17 3473070000.0 443281000000.0 1297920000000.0 74523700000.0 1009430000000.0 22936.1 198648000000.0 9138800000000.0 10613300000000.0 4558380.0 199474000.0 769412000.0 57934500000.0 -4.82 4.526 [-4.82]
