H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4
3.09029e+14	8.07593e+18	4.62151e+11	1.90947e+14	1.34499e+15	2.92889e+10	2.73429e+13	1.14536e+15	1.34088e+06	7.77451e+13	1.30579e+16	1.29899e+16	1.30576e+07	5.16380e+08	5.65697e+10	7.41778e+11	5.23673e+13
3.09029e+14	7.58304e+18	4.90610e+11	1.97651e+14	1.36198e+15	3.23692e+10	2.94742e+13	1.12429e+15	1.61842e+06	8.53566e+13	1.23107e+16	1.15555e+16	1.50620e+07	5.86397e+08	6.41779e+10	8.45446e+11	5.58342e+13
3.09029e+14	7.11835e+18	5.21551e+11	2.04411e+14	1.37735e+15	3.58466e+10	3.17593e+13	1.10132e+15	1.96026e+06	9.35854e+13	1.15720e+16	1.02488e+16	1.73867e+07	6.64756e+08	7.26430e+10	9.62308e+11	5.94253e+13
3.09029e+14	6.67970e+18	5.55273e+11	2.11231e+14	1.39105e+15	3.97796e+10	3.42076e+13	1.07649e+15	2.38215e+06	1.02458e+14	1.08442e+16	9.06069e+15	2.00846e+07	7.52348e+08	8.20399e+10	1.09402e+12	6.31381e+13
3.09029e+14	6.26671e+18	5.92428e+11	2.18182e+14	1.40298e+15	4.42434e+10	3.68253e+13	1.04986e+15	2.90315e+06	1.11985e+14	1.01309e+16	7.98613e+15	2.32325e+07	8.50792e+08	9.24677e+10	1.24181e+12	6.69537e+13
3.09029e+14	5.87423e+18	6.32947e+11	2.25167e+14	1.41312e+15	4.93043e+10	3.96220e+13	1.02129e+15	3.54894e+06	1.22203e+14	9.43098e+15	7.00998e+15	2.68818e+07	9.60127e+08	1.03970e+11	1.40894e+12	7.08938e+13
3.09029e+14	5.50361e+18	6.77930e+11	2.32341e+14	1.42137e+15	5.50727e+10	4.26062e+13	9.90951e+14	4.34938e+06	1.33109e+14	8.74921e+15	6.13107e+15	3.11518e+07	1.08306e+09	1.16689e+11	1.59659e+12	7.49249e+13
3.09029e+14	5.15170e+18	7.27828e+11	2.39689e+14	1.42761e+15	6.16599e+10	4.57884e+13	9.58782e+14	5.34450e+06	1.44723e+14	8.08574e+15	5.33882e+15	3.61441e+07	1.22088e+09	1.30717e+11	1.80813e+12	7.90525e+13
3.09029e+14	4.81840e+18	7.83803e+11	2.47343e+14	1.43172e+15	6.92042e+10	4.91732e+13	9.24874e+14	6.58195e+06	1.57029e+14	7.44393e+15	4.62872e+15	4.20172e+07	1.37691e+09	1.46229e+11	2.04574e+12	8.32501e+13
3.09029e+14	4.50039e+18	8.46746e+11	2.55322e+14	1.43352e+15	7.78754e+10	5.27743e+13	8.89099e+14	8.12761e+06	1.70038e+14	6.82260e+15	3.99130e+15	4.89328e+07	1.55348e+09	1.63363e+11	2.31429e+12	8.75262e+13
3.09029e+14	4.19751e+18	9.18447e+11	2.63820e+14	1.43284e+15	8.78831e+10	5.65987e+13	8.51551e+14	1.00602e+07	1.83713e+14	6.22433e+15	3.42275e+15	5.71346e+07	1.75616e+09	1.82411e+11	2.61720e+12	9.18531e+13
3.09029e+14	3.90837e+18	1.00099e+12	2.73025e+14	1.42943e+15	9.94810e+10	6.06541e+13	8.12220e+14	1.24838e+07	1.98017e+14	5.65023e+15	2.91675e+15	6.69260e+07	1.99178e+09	2.03733e+11	2.95943e+12	9.62137e+13
3.09029e+14	3.62976e+18	1.09721e+12	2.83157e+14	1.42289e+15	1.13013e+11	6.49548e+13	7.70838e+14	1.55451e+07	2.12914e+14	5.09836e+15	2.46564e+15	7.87034e+07	2.26934e+09	2.27824e+11	3.34950e+12	1.00612e+14
