H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4
3.09030e+13	8.16726e+17	4.65367e+10	1.87290e+13	1.27804e+14	2.96998e+09	2.68960e+12	1.11168e+14	1.32819e+05	7.49947e+12	1.29028e+15	1.38496e+15	1.36184e+06	5.33511e+07	5.63927e+09	7.07318e+10	5.09931e+12
3.09030e+13	7.67062e+17	4.92770e+10	1.93778e+13	1.29427e+14	3.27350e+09	2.89770e+12	1.09289e+14	1.59699e+05	8.23605e+12	1.21886e+15	1.23535e+15	1.56759e+06	6.06221e+07	6.40466e+09	8.06425e+10	5.43970e+12
3.09030e+13	7.20233e+17	5.22439e+10	2.00304e+13	1.30908e+14	3.61537e+09	3.12102e+12	1.07229e+14	1.92754e+05	9.03407e+12	1.14804e+15	1.09864e+15	1.80543e+06	6.87488e+07	7.25689e+09	9.18226e+10	5.79278e+12
3.09030e+13	6.76049e+17	5.54670e+10	2.06873e+13	1.32241e+14	4.00110e+09	3.36032e+12	1.04992e+14	2.33474e+05	9.89600e+12	1.07806e+15	9.74008e+14	2.08065e+06	7.78216e+07	8.20341e+09	1.04424e+11	6.15806e+12
3.09029e+13	6.34354e+17	5.89882e+10	2.13510e+13	1.33420e+14	4.43741e+09	3.61650e+12	1.02578e+14	2.83686e+05	1.08227e+13	1.00906e+15	8.60984e+14	2.39982e+06	8.79560e+07	9.25259e+09	1.18606e+11	6.53476e+12
3.09030e+13	5.94903e+17	6.28387e+10	2.20211e+13	1.34439e+14	4.93169e+09	3.89039e+12	9.99850e+13	3.45825e+05	1.18196e+13	9.41452e+14	7.58048e+14	2.76990e+06	9.92466e+07	1.04121e+10	1.34585e+11	6.92274e+12
3.09030e+13	5.57573e+17	6.70795e+10	2.27022e+13	1.35291e+14	5.49341e+09	4.18292e+12	9.72162e+13	4.22801e+05	1.28867e+13	8.75323e+14	6.64880e+14	3.20030e+06	1.11852e+08	1.16918e+10	1.52566e+11	7.32088e+12
3.09030e+13	5.22204e+17	7.17742e+10	2.33981e+13	1.35968e+14	6.13348e+09	4.49499e+12	9.42718e+13	5.18348e+05	1.40254e+13	8.10872e+14	5.80705e+14	3.70201e+06	1.25948e+08	1.31022e+10	1.72803e+11	7.72834e+12
3.09030e+13	4.88661e+17	7.70079e+10	2.41157e+13	1.36459e+14	6.86509e+09	4.82748e+12	9.11528e+13	6.37137e+05	1.52360e+13	7.48261e+14	5.04909e+14	4.28884e+06	1.41773e+08	1.46565e+10	1.95571e+11	8.14384e+12
3.09029e+13	4.56798e+17	8.28826e+10	2.48625e+13	1.36751e+14	7.70392e+09	5.18122e+12	8.78591e+13	7.85108e+05	1.65177e+13	6.87637e+14	4.36849e+14	4.97768e+06	1.59628e+08	1.63706e+10	2.21202e+11	8.56621e+12
3.09029e+13	4.26485e+17	8.95343e+10	2.56503e+13	1.36828e+14	8.66899e+09	5.55700e+12	8.43903e+13	9.69794e+05	1.78688e+13	6.29132e+14	3.75924e+14	5.79021e+06	1.79937e+08	1.82661e+10	2.50069e+11	8.99387e+12
3.09029e+13	3.97440e+17	9.71268e+10	2.64895e+13	1.36671e+14	9.78563e+09	5.95634e+12	8.07291e+13	1.20167e+06	1.92891e+13	5.72670e+14	3.21312e+14	6.75216e+06	2.03156e+08	2.03673e+10	2.82795e+11	9.42713e+12
3.09029e+13	3.69652e+17	1.05923e+11	2.74071e+13	1.36253e+14	1.10826e+10	6.37943e+12	7.68826e+13	1.49311e+06	2.07709e+13	5.18486e+14	2.72701e+14	7.90204e+06	2.30237e+08	2.27215e+10	3.19834e+11	9.86253e+12
3.09029e+13	3.42934e+17	1.16265e+11	2.84330e+13	1.35536e+14	1.25981e+10	6.82708e+12	7.28387e+13	1.86134e+06	2.23070e+13	4.66584e+14	2.29509e+14	9.28942e+06	2.62433e+08	2.53938e+10	3.61958e+11	1.02985e+13
3.09029e+13	3.17127e+17	1.28640e+11	2.96102e+13	1.34469e+14	1.43797e+10	7.29932e+12	6.85855e+13	2.32909e+06	2.38840e+13	4.16985e+14	1.91256e+14	1.09843e+07	3.01748e+08	2.84881e+10	4.10085e+11	1.07324e+13
3.09029e+13	2.91979e+17	1.43793e+11	3.10020e+13	1.32974e+14	1.64933e+10	7.79623e+12	6.40931e+13	2.92894e+06	2.54838e+13	3.69572e+14	1.57397e+14	1.30905e+07	3.51419e+08	3.21743e+10	4.65610e+11	1.11618e+13
3.09029e+13	2.67215e+17	1.62885e+11	3.27030e+13	1.30931e+14	1.90260e+10	8.31585e+12	5.93235e+13	3.70733e+06	2.70733e+13	3.24211e+14	1.27484e+14	1.57699e+07	4.17048e+08	3.67404e+10	5.30448e+11	1.15830e+13
3.09029e+13	2.42338e+17	1.87963e+11	3.48690e+13	1.28129e+14	2.21125e+10	8.85437e+12	5.41922e+13	4.73954e+06	2.85976e+13	2.80485e+14	1.00947e+14	1.93048e+07	5.09175e+08	4.27124e+10	6.07983e+11	1.19918e+13
3.09029e+13	2.16665e+17	2.22803e+11	3.77576e+13	1.24191e+14	2.59522e+10	9.39851e+12	4.85744e+13	6.15320e+06	2.99481e+13	2.37789e+14	7.72618e+13	2.42371e+07	6.49625e+08	5.11001e+10	7.03988e+11	1.23782e+13
3.09029e+13	1.88462e+17	2.76536e+11	4.19021e+13	1.18207e+14	3.09358e+10	9.90957e+12	4.21401e+13	8.23490e+06	3.08738e+13	1.94184e+14	5.54791e+13	3.19203e+07	8.95877e+08	6.42534e+10	8.32727e+11	1.27225e+13
3.09029e+13	1.62659e+17	3.47293e+11	4.65863e+13	1.10806e+14	3.64045e+10	1.02661e+13	3.60645e+13	1.09906e+07	3.12745e+13	1.55423e+14	3.87825e+13	4.30361e+07	1.28890e+09	8.20736e+10	9.79623e+11	1.29157e+13
3.09029e+13	1.42618e+17	4.23380e+11	5.06197e+13	1.03486e+14	4.15646e+10	1.04604e+13	3.12302e+13	1.42287e+07	3.14743e+13	1.25064e+14	2.77170e+13	5.69265e+07	1.80988e+09	1.01534e+11	1.11985e+12	1.29345e+13
3.09029e+13	1.23586e+17	5.20345e+11	5.45678e+13	9.48774e+13	4.69720e+10	1.04621e+13	2.67174e+13	1.86313e+07	3.13088e+13	9.70167e+13	1.89523e+13	7.70557e+07	2.61639e+09	1.25338e+11	1.27813e+12	1.27782e+13
3.09029e+13	1.05614e+17	6.43644e+11	5.80102e+13	8.49833e+13	5.24447e+10	1.02220e+13	2.25960e+13	2.48838e+07	3.08848e+13	7.13954e+13	1.22040e+13	1.07598e+08	3.89176e+09	1.53335e+11	1.45399e+12	1.23982e+13
