# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 log_nH parameters
30903000000000.0 8.16726e+17 46536700000.0 18729000000000.0 127804000000000.0 2969980000.0 2689600000000.0 111168000000000.0 132819.0 7499470000000.0 1290280000000000.0 1384960000000000.0 1361840.0 53351100.0 5639270000.0 70731800000.0 5099310000000.0 -5.0 [-5.0]
30903000000000.0 7.67062e+17 49277000000.0 19377800000000.0 129427000000000.0 3273500000.0 2897700000000.0 109289000000000.0 159699.0 8236050000000.0 1218860000000000.0 1235350000000000.0 1567590.0 60622100.0 6404660000.0 80642500000.0 5439700000000.0 -4.98 [-4.98]
30903000000000.0 7.20233e+17 52243900000.0 20030400000000.0 130908000000000.0 3615370000.0 3121020000000.0 107229000000000.0 192754.0 9034070000000.0 1148040000000000.0 1098640000000000.0 1805430.0 68748800.0 7256890000.0 91822600000.0 5792780000000.0 -4.96 [-4.96]
30903000000000.0 6.76049e+17 55467000000.0 20687300000000.0 132241000000000.0 4001100000.0 3360320000000.0 104992000000000.0 233474.0 9896000000000.0 1078060000000000.0 974008000000000.0 2080650.0 77821600.0 8203410000.0 104424000000.0 6158060000000.0 -4.94 [-4.94]
30902900000000.0 6.34354e+17 58988200000.0 21351000000000.0 133420000000000.0 4437410000.0 3616500000000.0 102578000000000.0 283686.0 10822700000000.0 1009060000000000.0 860984000000000.0 2399820.0 87956000.0 9252590000.0 118606000000.0 6534760000000.0 -4.92 [-4.92]
30903000000000.0 5.94903e+17 62838700000.0 22021100000000.0 134439000000000.0 4931690000.0 3890390000000.0 99985000000000.0 345825.0 11819600000000.0 941452000000000.0 758048000000000.0 2769900.0 99246600.0 10412100000.0 134585000000.0 6922740000000.0 -4.9 [-4.9]
30903000000000.0 5.57573e+17 67079500000.0 22702200000000.0 135291000000000.0 5493410000.0 4182920000000.0 97216200000000.0 422801.0 12886700000000.0 875323000000000.0 664880000000000.0 3200300.0 111852000.0 11691800000.0 152566000000.0 7320880000000.0 -4.88 [-4.88]
30903000000000.0 5.22204e+17 71774200000.0 23398100000000.0 135968000000000.0 6133480000.0 4494990000000.0 94271800000000.0 518348.0 14025400000000.0 810872000000000.0 580705000000000.0 3702010.0 125948000.0 13102200000.0 172803000000.0 7728340000000.0 -4.86 [-4.86]
30903000000000.0 4.88661e+17 77007900000.0 24115700000000.0 136459000000000.0 6865090000.0 4827480000000.0 91152800000000.0 637137.0 15236000000000.0 748261000000000.0 504909000000000.0 4288840.0 141773000.0 14656500000.0 195571000000.0 8143840000000.0 -4.84 [-4.84]
30902900000000.0 4.56798e+17 82882600000.0 24862500000000.0 136751000000000.0 7703920000.0 5181220000000.0 87859100000000.0 785108.0 16517700000000.0 687637000000000.0 436849000000000.0 4977680.0 159628000.0 16370600000.0 221202000000.0 8566210000000.0 -4.82 [-4.82]
30902900000000.0 4.26485e+17 89534300000.0 25650300000000.0 136828000000000.0 8668990000.0 5557000000000.0 84390300000000.0 969794.0 17868800000000.0 629132000000000.0 375924000000000.0 5790210.0 179937000.0 18266100000.0 250069000000.0 8993870000000.0 -4.8 [-4.8]
30902900000000.0 3.9744e+17 97126800000.0 26489500000000.0 136671000000000.0 9785630000.0 5956340000000.0 80729100000000.0 1201670.0 19289100000000.0 572670000000000.0 321312000000000.0 6752160.0 203156000.0 20367300000.0 282795000000.0 9427130000000.0 -4.78 [-4.78]
30902900000000.0 3.69652e+17 105923000000.0 27407100000000.0 136253000000000.0 11082600000.0 6379430000000.0 76882600000000.0 1493110.0 20770900000000.0 518486000000000.0 272701000000000.0 7902040.0 230237000.0 22721500000.0 319834000000.0 9862530000000.0 -4.76 [-4.76]
30902900000000.0 3.42934e+17 116265000000.0 28433000000000.0 135536000000000.0 12598100000.0 6827080000000.0 72838700000000.0 1861340.0 22307000000000.0 466584000000000.0 229509000000000.0 9289420.0 262433000.0 25393800000.0 361958000000.0 10298500000000.0 -4.74 [-4.74]
30902900000000.0 3.17127e+17 128640000000.0 29610200000000.0 134469000000000.0 14379700000.0 7299320000000.0 68585500000000.0 2329090.0 23884000000000.0 416985000000000.0 191256000000000.0 10984300.0 301748000.0 28488100000.0 410085000000.0 10732400000000.0 -4.72 [-4.72]
