H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4	Fe+	Al+
1.99526e+13	6.24521e+17	1.73817e+09	2.32951e+11	7.76276e+11	1.30748e+08	3.77537e+10	6.76255e+11	1.02694e+04	9.86740e+10	7.19890e+12	1.02807e+13	9.92391e+04	1.53862e+06	7.16568e+07	3.10261e+08	2.88301e+10	3.53431e+02	4.63988e+04
1.99526e+13	5.91531e+17	1.87921e+09	2.45117e+11	7.86002e+11	1.42457e+08	4.00899e+10	6.65007e+11	1.14862e+04	1.05159e+11	6.81001e+12	9.26107e+12	1.16324e+05	1.81766e+06	8.28946e+07	3.47228e+08	3.05621e+10	4.28682e+02	5.53814e+04
1.99526e+13	5.60369e+17	2.02965e+09	2.57613e+11	7.94936e+11	1.55073e+08	4.25202e+10	6.52861e+11	1.28456e+04	1.11918e+11	6.42804e+12	8.32654e+12	1.36126e+05	2.14317e+06	9.57419e+07	3.87994e+08	3.23502e+10	5.19512e+02	6.59425e+04
1.99526e+13	5.30915e+17	2.18978e+09	2.70425e+11	8.03053e+11	1.68628e+08	4.50406e+10	6.39850e+11	1.43618e+04	1.18941e+11	6.05418e+12	7.47166e+12	1.59022e+05	2.52207e+06	1.10405e+08	4.32888e+08	3.41925e+10	6.29019e+02	7.83345e+04
1.99526e+13	5.03063e+17	2.35996e+09	2.83537e+11	8.10333e+11	1.83160e+08	4.76473e+10	6.26017e+11	1.60511e+04	1.26218e+11	5.68958e+12	6.69134e+12	1.85441e+05	2.96222e+06	1.27112e+08	4.82256e+08	3.60867e+10	7.60894e+02	9.28460e+04
1.99526e+13	4.76726e+17	2.54070e+09	2.96937e+11	8.16755e+11	1.98722e+08	5.03375e+10	6.11408e+11	1.79343e+04	1.33746e+11	5.33526e+12	5.98081e+12	2.15882e+05	3.47252e+06	1.46118e+08	5.36444e+08	3.80294e+10	9.19549e+02	1.09803e+05
1.99526e+13	4.51809e+17	2.73229e+09	3.10602e+11	8.22299e+11	2.15341e+08	5.31050e+10	5.96073e+11	2.00312e+04	1.41509e+11	4.99212e+12	5.33523e+12	2.50878e+05	4.06289e+06	1.67703e+08	5.95839e+08	4.00175e+10	1.11019e+03	1.29580e+05
1.99526e+13	4.28232e+17	2.93513e+09	3.24513e+11	8.26946e+11	2.33056e+08	5.59441e+10	5.80066e+11	2.23654e+04	1.49497e+11	4.66093e+12	4.75002e+12	2.91035e+05	4.74448e+06	1.92174e+08	6.60835e+08	4.20471e+10	1.33902e+03	1.52601e+05
1.99526e+13	4.05918e+17	3.14955e+09	3.38646e+11	8.30680e+11	2.51900e+08	5.88482e+10	5.63446e+11	2.49633e+04	1.57698e+11	4.34234e+12	4.22074e+12	3.37027e+05	5.52978e+06	2.19873e+08	7.31846e+08	4.41138e+10	1.61335e+03	1.79348e+05
1.99526e+13	3.84794e+17	3.37589e+09	3.52974e+11	8.33484e+11	2.71900e+08	6.18095e+10	5.46277e+11	2.78538e+04	1.66097e+11	4.03688e+12	3.74317e+12	3.89596e+05	6.43266e+06	2.51169e+08	8.09300e+08	4.62128e+10	1.94186e+03	2.10366e+05
