# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: Fe+, datatype: float64}
# - {name: Al+, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 Fe+ Al+ log_nH parameters
19952600000000.0 6.24521e+17 1738170000.0 232951000000.0 776276000000.0 130748000.0 37753700000.0 676255000000.0 10269.4 98674000000.0 7198900000000.0 10280700000000.0 99239.1 1538620.0 71656800.0 310261000.0 28830100000.0 353.431 46398.8 -5.0 [-5.0]
19952600000000.0 5.91531e+17 1879210000.0 245117000000.0 786002000000.0 142457000.0 40089900000.0 665007000000.0 11486.2 105159000000.0 6810010000000.0 9261070000000.0 116324.0 1817660.0 82894600.0 347228000.0 30562100000.0 428.682 55381.4 -4.98 [-4.98]
19952600000000.0 5.60369e+17 2029650000.0 257613000000.0 794936000000.0 155073000.0 42520200000.0 652861000000.0 12845.6 111918000000.0 6428040000000.0 8326540000000.0 136126.0 2143170.0 95741900.0 387994000.0 32350200000.0 519.512 65942.5 -4.96 [-4.96]
19952600000000.0 5.30915e+17 2189780000.0 270425000000.0 803053000000.0 168628000.0 45040600000.0 639850000000.0 14361.8 118941000000.0 6054180000000.0 7471660000000.0 159022.0 2522070.0 110405000.0 432888000.0 34192500000.0 629.019 78334.5 -4.94 [-4.94]
19952600000000.0 5.03063e+17 2359960000.0 283537000000.0 810333000000.0 183160000.0 47647300000.0 626017000000.0 16051.1 126218000000.0 5689580000000.0 6691340000000.0 185441.0 2962220.0 127112000.0 482256000.0 36086700000.0 760.894 92846.0 -4.92 [-4.92]
19952600000000.0 4.76726e+17 2540700000.0 296937000000.0 816755000000.0 198722000.0 50337500000.0 611408000000.0 17934.3 133746000000.0 5335260000000.0 5980810000000.0 215882.0 3472520.0 146118000.0 536444000.0 38029400000.0 919.549 109803.0 -4.9 [-4.9]
19952600000000.0 4.51809e+17 2732290000.0 310602000000.0 822299000000.0 215341000.0 53105000000.0 596073000000.0 20031.2 141509000000.0 4992120000000.0 5335230000000.0 250878.0 4062890.0 167703000.0 595839000.0 40017500000.0 1110.19 129580.0 -4.88 [-4.88]
19952600000000.0 4.28232e+17 2935130000.0 324513000000.0 826946000000.0 233056000.0 55944100000.0 580066000000.0 22365.4 149497000000.0 4660930000000.0 4750020000000.0 291035.0 4744480.0 192174000.0 660835000.0 42047100000.0 1339.02 152601.0 -4.86 [-4.86]
19952600000000.0 4.05918e+17 3149550000.0 338646000000.0 830680000000.0 251900000.0 58848200000.0 563446000000.0 24963.3 157698000000.0 4342340000000.0 4220740000000.0 337027.0 5529780.0 219873000.0 731846000.0 44113800000.0 1613.35 179348.0 -4.84 [-4.84]
19952600000000.0 3.84794e+17 3375890000.0 352974000000.0 833484000000.0 271900000.0 61809500000.0 546277000000.0 27853.8 166097000000.0 4036880000000.0 3743170000000.0 389596.0 6432660.0 251169000.0 809300000.0 46212800000.0 1941.86 210366.0 -4.82 [-4.82]
19952600000000.0 3.64792e+17 3614400000.0 367468000000.0 835344000000.0 293078000.0 64819200000.0 528621000000.0 31069.0 174678000000.0 3744960000000.0 3313230000000.0 449562.0 7468530.0 286472000.0 893655000.0 48339000000.0 2334.78 246275.0 -4.8 [-4.8]
19952600000000.0 3.45848e+17 3865330000.0 382095000000.0 836245000000.0 315452000.0 67868000000.0 510549000000.0 34645.0 183423000000.0 3466830000000.0 2927030000000.0 517827.0 8654500.0 326226000.0 985373000.0 50486500000.0 2804.16 287770.0 -4.78 [-4.78]
19952600000000.0 3.27905e+17 4128900000.0 396820000000.0 836177000000.0 339038000.0 70945800000.0 492132000000.0 38622.6 192317000000.0 3202700000000.0 2580960000000.0 595383.0 10009300.0 370909000.0 1084920000.0 52648900000.0 3364.16 335632.0 -4.76 [-4.76]
19952600000000.0 3.10907e+17 4405240000.0 411605000000.0 835130000000.0 363843000.0 74042000000.0 473443000000.0 43046.9 201341000000.0 2952610000000.0 2271530000000.0 683315.0 11553700.0 421049000.0 1192800000.0 54819700000.0 4031.48 390748.0 -4.74 [-4.74]
19952600000000.0 2.94807e+17 4694750000.0 426417000000.0 833097000000.0 389897000.0 77147400000.0 454558000000.0 47973.1 210482000000.0 2716530000000.0 1995520000000.0 782858.0 13310700.0 477212000.0 1309480000.0 56991300000.0 4825.7 454095.0 -4.72 [-4.72]
19952600000000.0 2.79551e+17 4997240000.0 441204000000.0 830071000000.0 417175000.0 80248400000.0 435550000000.0 53455.3 219716000000.0 2494310000000.0 1749830000000.0 895266.0 15305000.0 540007000.0 1435480000.0 59156500000.0 5769.74 526788.0 -4.7 [-4.7]
19952600000000.0 2.65095e+17 5312840000.0 455925000000.0 826050000000.0 445685000.0 83333900000.0 416493000000.0 59560.3 229025000000.0 2285750000000.0 1531620000000.0 1021960.0 17563700.0 610089000.0 1571300000.0 61307100000.0 6890.36 610057.0 -4.68 [-4.68]
19952600000000.0 2.51397e+17 5641490000.0 470529000000.0 821032000000.0 475417000.0 86391600000.0 397464000000.0 66361.1 238389000000.0 2090560000000.0 1338260000000.0 1164430.0 20116100.0 688156000.0 1717430000.0 63434400000.0 8217.45 705135.0 -4.66 [-4.66]
19952600000000.0 2.38415e+17 5983220000.0 484970000000.0 815020000000.0 506369000.0 89410500000.0 378530000000.0 73943.6 247792000000.0 1908370000000.0 1167250000000.0 1324390.0 22994600.0 774966000.0 1874360000.0 65529900000.0 9788.36 813643.0 -4.64 [-4.64]
19952600000000.0 2.26112e+17 6337830000.0 499194000000.0 808018000000.0 538522000.0 92377900000.0 359763000000.0 82401.3 257214000000.0 1738760000000.0 1016350000000.0 1503590.0 26233500.0 871310000.0 2042580000.0 67584200000.0 11645.2 937255.0 -4.62 [-4.62]
19952600000000.0 2.14451e+17 6705140000.0 513148000000.0 800034000000.0 571864000.0 95282300000.0 341228000000.0 91841.8 266634000000.0 1581280000000.0 883462000000.0 1703960.0 29869800.0 978034000.0 2222540000.0 69587900000.0 13837.1 1077830.0 -4.6 [-4.6]
19952600000000.0 2.034e+17 7084880000.0 526776000000.0 791079000000.0 606373000.0 98112100000.0 322988000000.0 102387.0 276036000000.0 1435430000000.0 766672000000.0 1927550.0 33943200.0 1096030000.0 2414680000.0 71531400000.0 16420.7 1237420.0 -4.58 [-4.58]
