H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4	Fe+	Al+
7.24436e+13	1.35864e+18	1.56823e+11	5.16494e+13	3.06746e+14	1.22044e+10	9.02764e+12	2.26450e+14	8.85128e+05	2.74661e+13	2.15275e+15	1.71589e+15	6.79802e+06	2.39938e+08	2.42479e+10	3.03637e+11	1.56092e+13	1.63170e+05	2.46845e+07
7.24436e+13	1.27366e+18	1.67311e+11	5.32550e+13	3.08794e+14	1.35815e+10	9.70439e+12	2.20244e+14	1.08065e+06	2.99303e+13	2.00154e+15	1.50590e+15	7.85081e+06	2.70507e+08	2.72423e+10	3.44250e+11	1.65109e+13	2.02550e+05	2.83622e+07
7.24436e+13	1.19319e+18	1.78897e+11	5.48909e+13	3.10431e+14	1.51489e+10	1.04259e+13	2.13644e+14	1.32299e+06	3.25574e+13	1.85423e+15	1.31641e+15	9.07711e+06	3.04691e+08	3.05439e+10	3.89932e+11	1.74337e+13	2.51358e+05	3.24502e+07
7.24436e+13	1.11692e+18	1.91781e+11	5.65712e+13	3.11635e+14	1.69376e+10	1.11941e+13	2.06655e+14	1.62383e+06	3.53484e+13	1.71124e+15	1.14588e+15	1.05100e+07	3.43044e+08	3.41821e+10	4.41297e+11	1.83747e+13	3.11853e+05	3.69625e+07
7.24436e+13	1.04446e+18	2.06186e+11	5.83092e+13	3.12378e+14	1.89847e+10	1.20109e+13	1.99271e+14	1.99807e+06	3.83030e+13	1.57286e+15	9.92678e+14	1.21885e+07	3.86214e+08	3.81902e+10	4.99121e+11	1.93318e+13	3.86880e+05	4.18998e+07
7.24436e+13	9.75696e+17	2.22455e+11	6.01359e+13	3.12624e+14	2.13349e+10	1.28776e+13	1.91511e+14	2.46396e+06	4.14144e+13	1.43958e+15	8.55741e+14	1.41664e+07	4.35306e+08	4.26205e+10	5.64082e+11	2.02994e+13	4.79926e+05	4.72626e+07
7.24436e+13	9.09936e+17	2.40941e+11	6.20694e+13	3.12334e+14	2.40460e+10	1.37972e+13	1.83336e+14	3.04702e+06	4.46821e+13	1.31116e+15	7.33181e+14	1.65029e+07	4.91309e+08	4.75234e+10	6.37534e+11	2.12785e+13	5.95710e+05	5.30010e+07
7.24436e+13	8.46997e+17	2.62225e+11	6.41605e+13	3.11448e+14	2.71873e+10	1.47710e+13	1.74749e+14	3.77852e+06	4.80931e+13	1.18794e+15	6.23953e+14	1.92848e+07	5.56202e+08	5.29931e+10	7.20637e+11	2.22634e+13	7.40026e+05	5.90667e+07
7.24435e+13	7.86645e+17	2.87075e+11	6.64747e+13	3.09892e+14	3.08439e+10	1.57998e+13	1.65748e+14	4.69908e+06	5.16281e+13	1.07014e+15	5.27008e+14	2.26275e+07	6.32865e+08	5.91680e+10	8.14803e+11	2.32483e+13	9.20382e+05	6.53930e+07
7.24436e+13	7.28483e+17	3.16550e+11	6.90974e+13	3.07558e+14	3.51241e+10	1.68835e+13	1.56302e+14	5.86359e+06	5.52613e+13	9.57758e+14	4.41152e+14	2.66874e+07	7.25552e+08	6.62569e+10	9.22009e+11	2.42278e+13	1.14681e+06	7.18831e+07
