# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: Fe+, datatype: float64}
# - {name: Al+, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 Fe+ Al+ log_nH parameters
72443600000000.0 1.35864e+18 156823000000.0 51649400000000.0 306746000000000.0 12204400000.0 9027640000000.0 226450000000000.0 885128.0 27466100000000.0 2152750000000000.0 1715890000000000.0 6798020.0 239938000.0 24247900000.0 303637000000.0 15609200000000.0 163170.0 24684500.0 -5.0 [-5.0]
72443600000000.0 1.27366e+18 167311000000.0 53255000000000.0 308794000000000.0 13581500000.0 9704390000000.0 220244000000000.0 1080650.0 29930300000000.0 2001540000000000.0 1505900000000000.0 7850810.0 270507000.0 27242300000.0 344250000000.0 16510900000000.0 202550.0 28362200.0 -4.98 [-4.98]
72443600000000.0 1.19319e+18 178897000000.0 54890900000000.0 310431000000000.0 15148900000.0 10425900000000.0 213644000000000.0 1322990.0 32557400000000.0 1854230000000000.0 1316410000000000.0 9077110.0 304691000.0 30543900000.0 389932000000.0 17433700000000.0 251358.0 32450200.0 -4.96 [-4.96]
72443600000000.0 1.11692e+18 191781000000.0 56571200000000.0 311635000000000.0 16937600000.0 11194100000000.0 206655000000000.0 1623830.0 35348400000000.0 1711240000000000.0 1145880000000000.0 10510000.0 343044000.0 34182100000.0 441297000000.0 18374700000000.0 311853.0 36962500.0 -4.94 [-4.94]
72443600000000.0 1.04446e+18 206186000000.0 58309200000000.0 312378000000000.0 18984700000.0 12010900000000.0 199271000000000.0 1998070.0 38303000000000.0 1572860000000000.0 992678000000000.0 12188500.0 386214000.0 38190200000.0 499121000000.0 19331800000000.0 386880.0 41899800.0 -4.92 [-4.92]
72443600000000.0 9.75696e+17 222455000000.0 60135900000000.0 312624000000000.0 21334900000.0 12877600000000.0 191511000000000.0 2463960.0 41414400000000.0 1439580000000000.0 855741000000000.0 14166400.0 435306000.0 42620500000.0 564082000000.0 20299400000000.0 479926.0 47262600.0 -4.9 [-4.9]
72443600000000.0 9.09936e+17 240941000000.0 62069400000000.0 312334000000000.0 24046000000.0 13797200000000.0 183336000000000.0 3047020.0 44682100000000.0 1311160000000000.0 733181000000000.0 16502900.0 491309000.0 47523400000.0 637534000000.0 21278500000000.0 595710.0 53001000.0 -4.88 [-4.88]
72443600000000.0 8.46997e+17 262225000000.0 64160500000000.0 311448000000000.0 27187300000.0 14771000000000.0 174749000000000.0 3778520.0 48093100000000.0 1187940000000000.0 623953000000000.0 19284800.0 556202000.0 52993100000.0 720637000000.0 22263400000000.0 740026.0 59066700.0 -4.86 [-4.86]
72443500000000.0 7.86645e+17 287075000000.0 66474700000000.0 309892000000000.0 30843900000.0 15799800000000.0 165748000000000.0 4699080.0 51628100000000.0 1070140000000000.0 527008000000000.0 22627500.0 632865000.0 59168000000.0 814803000000.0 23248300000000.0 920382.0 65393000.0 -4.84 [-4.84]
72443600000000.0 7.28483e+17 316550000000.0 69097400000000.0 307558000000000.0 35124100000.0 16883500000000.0 156302000000000.0 5863590.0 55261300000000.0 957758000000000.0 441152000000000.0 26687400.0 725552000.0 66256900000.0 922009000000.0 24227800000000.0 1146810.0 71883100.0 -4.82 [-4.82]
72443500000000.0 6.72055e+17 352234000000.0 72153700000000.0 304298000000000.0 40171900000.0 18021300000000.0 146367000000000.0 7348120.0 58955200000000.0 850666000000000.0 365224000000000.0 31691800.0 841107000.0 74597400000.0 1044920000000.0 25195500000000.0 1433210.0 78446600.0 -4.8 [-4.8]
72443600000000.0 6.16863e+17 396483000000.0 75821000000000.0 299882000000000.0 46171400000.0 19208300000000.0 135885000000000.0 9258070.0 62644000000000.0 748676000000000.0 298234000000000.0 37981700.0 990871000.0 84740200000.0 1187100000000.0 26142300000000.0 1798940.0 85070100.0 -4.78 [-4.78]
72443500000000.0 5.61914e+17 453344000000.0 80387100000000.0 293917000000000.0 53406200000.0 20437800000000.0 124703000000000.0 11760600.0 66227900000000.0 650968000000000.0 238896000000000.0 46126700.0 1195340000.0 97663400000.0 1354880000000.0 27059900000000.0 2274640.0 91952500.0 -4.76 [-4.76]
72443500000000.0 5.05987e+17 529949000000.0 86316100000000.0 285732000000000.0 62283300000.0 21687400000000.0 112610000000000.0 15125000.0 69514500000000.0 556523000000000.0 186102000000000.0 57161400.0 1494890000.0 115179000000.0 1558340000000.0 27929700000000.0 2911130.0 100151000.0 -4.74 [-4.74]
72443400000000.0 4.46563e+17 641372000000.0 94461200000000.0 273923000000000.0 73504200000.0 22897500000000.0 99140500000000.0 19879700.0 72100000000000.0 462744000000000.0 138342000000000.0 73344200.0 1983060000.0 141084000000.0 1818800000000.0 28715600000000.0 3811030.0 113365000.0 -4.72 [-4.72]
72443500000000.0 3.81906e+17 815199000000.0 105778000000000.0 256263000000000.0 87710300000.0 23861100000000.0 84109500000000.0 26978000.0 73195600000000.0 367512000000000.0 95387500000000.0 99603800.0 2880840000.0 182176000000.0 2168410000000.0 29285600000000.0 5178530.0 143438000.0 -4.7 [-4.7]
72443400000000.0 3.36751e+17 986013000000.0 114776000000000.0 240478000000000.0 100255000000.0 24432500000000.0 73180900000000.0 34714100.0 73972000000000.0 299330000000000.0 69458500000000.0 130182000.0 3982320000.0 224333000000.0 2472340000000.0 29418000000000.0 6766370.0 187225000.0 -4.68 [-4.68]
72443400000000.0 2.93835e+17 1201770000000.0 123795000000000.0 221955000000000.0 113549000000.0 24611200000000.0 62907900000000.0 45041200.0 73870800000000.0 236554000000000.0 48689400000000.0 173480000.0 5655990000.0 276289000000.0 2814520000000.0 29196400000000.0 8944840.0 255849000.0 -4.66 [-4.66]
