H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4	Fe+	Al+
1.99526e+13	3.75647e+17	4.36408e+10	1.42803e+13	8.39506e+13	3.38960e+09	2.48867e+12	6.22824e+13	2.41063e+05	7.45030e+12	5.88958e+14	4.90502e+14	1.90209e+06	6.71877e+07	6.71073e+09	8.26126e+10	4.27308e+12	4.49748e+04	6.82656e+06
1.99526e+13	3.52151e+17	4.64980e+10	1.47177e+13	8.45180e+13	3.76739e+09	2.67444e+12	6.05957e+13	2.94245e+05	8.12597e+12	5.48296e+14	4.30573e+14	2.19375e+06	7.57025e+07	7.53963e+09	9.36843e+10	4.52080e+12	5.58143e+04	7.84794e+06
1.99526e+13	3.29903e+17	4.96507e+10	1.51624e+13	8.49753e+13	4.19696e+09	2.87248e+12	5.87998e+13	3.60188e+05	8.84742e+12	5.08590e+14	3.76414e+14	2.53291e+06	8.52043e+07	8.45285e+09	1.06143e+11	4.77442e+12	6.92451e+04	8.98394e+06
1.99526e+13	3.08822e+17	5.31537e+10	1.56183e+13	8.53169e+13	4.68686e+09	3.08332e+12	5.68961e+13	4.42082e+05	9.61491e+12	4.69962e+14	3.27624e+14	2.92860e+06	9.58434e+07	9.45831e+09	1.20153e+11	5.03312e+12	8.58869e+04	1.02388e+07
1.99526e+13	2.88812e+17	5.70695e+10	1.60895e+13	8.55344e+13	5.24713e+09	3.30742e+12	5.48844e+13	5.43973e+05	1.04282e+13	4.32510e+14	2.83773e+14	3.39167e+06	1.07803e+08	1.05652e+10	1.35914e+11	5.29614e+12	1.06514e+05	1.16136e+07
1.99526e+13	2.69799e+17	6.14841e+10	1.65828e+13	8.56197e+13	5.89009e+09	3.54527e+12	5.27658e+13	6.70965e+05	1.12864e+13	3.96328e+14	2.44505e+14	3.93606e+06	1.21344e+08	1.17861e+10	1.53648e+11	5.56250e+12	1.32101e+05	1.31067e+07
1.99526e+13	2.51642e+17	6.64985e+10	1.71045e+13	8.55615e+13	6.63123e+09	3.79756e+12	5.05344e+13	8.29904e+05	1.21887e+13	3.61418e+14	2.09358e+14	4.57846e+06	1.36763e+08	1.31353e+10	1.73682e+11	5.83188e+12	1.63919e+05	1.47072e+07
1.99526e+13	2.34265e+17	7.22654e+10	1.76672e+13	8.53438e+13	7.48957e+09	4.06469e+12	4.81881e+13	1.02943e+06	1.31320e+13	3.27843e+14	1.78019e+14	5.34204e+06	1.54564e+08	1.46368e+10	1.96353e+11	6.10307e+12	2.03567e+05	1.64003e+07
1.99526e+13	2.17598e+17	7.89921e+10	1.82888e+13	8.49466e+13	8.48853e+09	4.34691e+12	4.57254e+13	1.28074e+06	1.41113e+13	2.95666e+14	1.50192e+14	6.25789e+06	1.75508e+08	1.63266e+10	2.22058e+11	6.37453e+12	2.53107e+05	1.81657e+07
1.99526e+13	2.01551e+17	8.69647e+10	1.89925e+13	8.43418e+13	9.65742e+09	4.64422e+12	4.31413e+13	1.59870e+06	1.51193e+13	2.64917e+14	1.25570e+14	7.36857e+06	2.00744e+08	1.82607e+10	2.51306e+11	6.64453e+12	3.15266e+05	1.99781e+07
1.99526e+13	1.85988e+17	9.66030e+10	1.98114e+13	8.34884e+13	1.10354e+10	4.95647e+12	4.04228e+13	2.00401e+06	1.61457e+13	2.35559e+14	1.03820e+14	8.73469e+06	2.32064e+08	2.05266e+10	2.84830e+11	6.91154e+12	3.93807e+05	2.18066e+07
1.99526e+13	1.70764e+17	1.08549e+11	2.07946e+13	8.23255e+13	1.26742e+10	5.28276e+12	3.75524e+13	2.52576e+06	1.71739e+13	2.07536e+14	8.46411e+13	1.04484e+07	2.72498e+08	2.32718e+10	3.23628e+11	7.17324e+12	4.94048e+05	2.36396e+07
