H	H+	C+	C+2	C+3	O+5	O+6	Si+	Si+2	Si+3
1.34896e+14	1.13315e+19	5.67251e+09	2.24031e+12	1.98430e+13	5.31955e+14	1.59835e+15	1.39717e+06	1.30317e+08	1.43460e+09
1.34896e+14	1.06648e+19	6.13883e+09	2.39340e+12	2.05174e+13	5.21087e+14	1.47855e+15	1.68817e+06	1.54726e+08	1.66315e+09
1.34896e+14	1.00418e+19	6.63525e+09	2.55252e+12	2.11808e+13	5.09556e+14	1.36596e+15	2.03452e+06	1.83286e+08	1.92394e+09
1.34896e+14	9.45929e+18	7.16379e+09	2.71772e+12	2.18314e+13	4.97400e+14	1.26030e+15	2.44590e+06	2.16636e+08	2.22087e+09
1.34896e+14	8.91426e+18	7.72674e+09	2.88906e+12	2.24678e+13	4.84667e+14	1.16125e+15	2.93361e+06	2.55504e+08	2.55823e+09
1.34896e+14	8.40385e+18	8.32606e+09	3.06653e+12	2.30887e+13	4.71407e+14	1.06850e+15	3.51062e+06	3.00715e+08	2.94080e+09
1.34896e+14	7.92572e+18	8.96479e+09	3.25024e+12	2.36927e+13	4.57671e+14	9.81784e+14	4.19213e+06	3.53205e+08	3.37364e+09
0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00
1.34896e+14	7.05724e+18	1.03724e+10	3.63660e+12	2.48450e+13	4.28981e+14	8.25304e+14	5.94153e+06	4.84396e+08	4.41295e+09
1.34896e+14	6.66267e+18	1.11465e+10	3.83921e+12	2.53912e+13	4.14137e+14	7.54964e+14	7.05273e+06	5.65645e+08	5.03231e+09
1.34896e+14	6.29210e+18	1.19719e+10	4.04821e+12	2.59161e+13	3.99038e+14	6.89531e+14	8.35609e+06	6.59302e+08	5.72762e+09
1.34896e+14	5.94380e+18	1.28516e+10	4.26349e+12	2.64189e+13	3.83734e+14	6.28749e+14	9.88208e+06	7.67070e+08	6.50682e+09
0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00
1.34896e+14	5.30817e+18	1.47889e+10	4.71308e+12	2.73547e+13	3.52740e+14	5.20171e+14	1.37473e+07	1.03282e+09	8.35142e+09
1.34896e+14	5.01808e+18	1.58539e+10	4.94736e+12	2.77860e+13	3.37164e+14	4.71892e+14	1.61717e+07	1.19533e+09	9.43604e+09
1.34896e+14	4.74484e+18	1.69874e+10	5.18758e+12	2.81921e+13	3.21607e+14	4.27326e+14	1.89907e+07	1.38102e+09	1.06427e+10
1.34896e+14	4.48734e+18	1.81933e+10	5.43368e+12	2.85724e+13	3.06124e+14	3.86255e+14	2.22624e+07	1.59285e+09	1.19831e+10
1.34896e+14	4.24463e+18	1.94778e+10	5.68586e+12	2.89261e+13	2.90767e+14	3.48481e+14	2.60539e+07	1.83410e+09	1.34690e+10
1.34896e+14	4.01571e+18	2.08444e+10	5.94391e+12	2.92526e+13	2.75586e+14	3.13802e+14	3.04396e+07	2.10838e+09	1.51138e+10
1.34896e+14	3.79971e+18	2.22972e+10	6.20742e+12	2.95516e+13	2.60630e+14	2.82026e+14	3.55032e+07	2.41965e+09	1.69312e+10
0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00
1.34896e+14	3.40335e+18	2.54814e+10	6.75034e+12	3.00647e+13	2.31572e+14	2.26445e+14	4.80532e+07	3.17113e+09	2.11437e+10
0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00
