# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 O+5 O+6 Si+ Si+2 Si+3 log_nH log_Te parameters
1.25891e+16 1.01706e+21 880855000000.0 476873000000000.0 4922970000000000.0 1.1633e+17 2.74428e+17 277124000.0 31142200000.0 422819000000.0 -5.0 4.479 [-5.0]
1.25892e+16 9.55843e+20 944995000000.0 506664000000000.0 5078650000000000.0 1.1328e+17 2.52138e+17 330368000.0 36708100000.0 489619000000.0 -4.98 4.47 [-4.98]
1.25893e+16 8.98832e+20 1013180000000.0 537499000000000.0 5231680000000000.0 1.10119e+17 2.31383e+17 392881000.0 43166300000.0 565714000000.0 -4.96 4.463 [-4.96]
1.25892e+16 8.45638e+20 1085650000000.0 569362000000000.0 5381470000000000.0 1.06853e+17 2.12059e+17 466170000.0 50648200000.0 652271000000.0 -4.94 4.455 [-4.94]
1.25892e+16 7.95936e+20 1162740000000.0 602249000000000.0 5527680000000000.0 1.03493e+17 1.94078e+17 552002000.0 59305500000.0 750612000000.0 -4.92 4.447 [-4.92]
1.25892e+16 7.49472e+20 1244750000000.0 636123000000000.0 5669680000000000.0 1.00048e+17 1.77374e+17 652123000.0 69278400000.0 861803000000.0 -4.9 4.439 [-4.9]
1.25892e+16 7.05999e+20 1332080000000.0 670994000000000.0 5807250000000000.0 9.65324e+16 1.61874e+17 768696000.0 80742600000.0 987260000000.0 -4.88 4.432 [-4.88]
1.25892e+16 6.6527e+20 1425070000000.0 706837000000000.0 5939910000000000.0 9.29564e+16 1.47503e+17 904219000.0 93899500000.0 1128600000000.0 -4.86 4.425 [-4.86]
1.25892e+16 6.27099e+20 1524160000000.0 743651000000000.0 6067630000000000.0 8.93359e+16 1.34199e+17 1061540000.0 108975000000.0 1287590000000.0 -4.84 4.418 [-4.84]
1.25892e+16 5.91304e+20 1629650000000.0 781392000000000.0 6190080000000000.0 8.56861e+16 1.21896e+17 1244110000.0 126243000000.0 1466430000000.0 -4.82 4.411 [-4.82]
1.25892e+16 5.5769e+20 1742090000000.0 820070000000000.0 6306990000000000.0 8.20165e+16 1.10529e+17 1455600000.0 145983000000.0 1667170000000.0 -4.8 4.404 [-4.8]
1.25892e+16 5.26098e+20 1862010000000.0 859624000000000.0 6417650000000000.0 7.8335e+16 1.00052e+17 1699410000.0 168415000000.0 1891080000000.0 -4.78 4.397 [-4.78]
1.25892e+16 4.96399e+20 1989660000000.0 900077000000000.0 6522620000000000.0 7.46623e+16 9.04062e+16 1980120000.0 193913000000.0 2141310000000.0 -4.76 4.39 [-4.76]
1.25892e+16 4.68459e+20 2125750000000.0 941388000000000.0 6621300000000000.0 7.10078e+16 8.15408e+16 2302850000.0 222827000000.0 2420120000000.0 -4.74 4.384 [-4.74]
1.25892e+16 4.42169e+20 2271010000000.0 983551000000000.0 6713450000000000.0 6.73849e+16 7.34078e+16 2673570000.0 255571000000.0 2730300000000.0 -4.72 4.377 [-4.72]
1.25892e+16 4.17414e+20 2425910000000.0 1026520000000000.0 6798940000000000.0 6.38052e+16 6.59584e+16 3098490000.0 292577000000.0 3074910000000.0 -4.7 4.371 [-4.7]
1.25892e+16 3.94104e+20 2591450000000.0 1070300000000000.0 6877490000000000.0 6.02808e+16 5.91501e+16 3585150000.0 334332000000.0 3456890000000.0 -4.68 4.364 [-4.68]
1.25892e+16 3.72141e+20 2768230000000.0 1114840000000000.0 6948980000000000.0 5.6822e+16 5.29388e+16 4141420000.0 381353000000.0 3879680000000.0 -4.66 4.358 [-4.66]
1.25892e+16 3.51448e+20 2957300000000.0 1160140000000000.0 7013180000000000.0 5.34395e+16 4.72859e+16 4776610000.0 434210000000.0 4346560000000.0 -4.64 4.351 [-4.64]
1.25892e+16 3.3194e+20 3159430000000.0 1206140000000000.0 7069990000000000.0 5.01423e+16 4.21509e+16 5500530000.0 493507000000.0 4861330000000.0 -4.62 4.345 [-4.62]
1.25892e+16 3.13559e+20 3376080000000.0 1252950000000000.0 7119540000000000.0 4.69407e+16 3.74985e+16 6325240000.0 559957000000.0 5427970000000.0 -4.6 4.339 [-4.6]
1.25892e+16 2.962e+20 3607290000000.0 1300280000000000.0 7161190000000000.0 4.38384e+16 3.32873e+16 7261740000.0 634197000000.0 6050680000000.0 -4.58 4.332 [-4.58]
1.25892e+16 2.79811e+20 3854370000000.0 1348130000000000.0 7194990000000000.0 4.08436e+16 2.94855e+16 8323930000.0 717009000000.0 6733970000000.0 -4.56 4.326 [-4.56]
1.25892e+16 2.64327e+20 4118080000000.0 1396410000000000.0 7220800000000000.0 3.79614e+16 2.60595e+16 9525980000.0 809183000000.0 7482940000000.0 -4.54 4.32 [-4.54]
1.25892e+16 2.497e+20 4399870000000.0 1445090000000000.0 7238520000000000.0 3.51974e+16 2.29808e+16 10884900000.0 911594000000.0 8302130000000.0 -4.52 4.313 [-4.52]
1.25892e+16 2.35884e+20 4701220000000.0 1494160000000000.0 7248000000000000.0 3.25557e+16 2.02212e+16 12419800000.0 1025180000000.0 9196150000000.0 -4.5 4.307 [-4.5]
1.25892e+16 2.22836e+20 5023720000000.0 1543580000000000.0 7249190000000000.0 3.00396e+16 1.7754e+16 14151600000.0 1150930000000.0 10170000000000.0 -4.48 4.3 [-4.48]
1.25892e+16 2.10511e+20 5369140000000.0 1593330000000000.0 7241980000000000.0 2.76509e+16 1.55535e+16 16104200000.0 1289920000000.0 11228500000000.0 -4.46 4.294 [-4.46]
1.25892e+16 1.9887e+20 5739320000000.0 1643380000000000.0 7226310000000000.0 2.53906e+16 1.35955e+16 18304100000.0 1443300000000.0 12376700000000.0 -4.44 4.288 [-4.44]
1.25892e+16 1.87874e+20 6136120000000.0 1693690000000000.0 7202150000000000.0 2.3259e+16 1.18579e+16 20780900000.0 1612290000000.0 13619600000000.0 -4.42 4.281 [-4.42]
1.25892e+16 1.77489e+20 6561550000000.0 1744220000000000.0 7169430000000000.0 2.12558e+16 1.03205e+16 23567600000.0 1798130000000.0 14962000000000.0 -4.4 4.275 [-4.4]
1.25892e+16 1.67677e+20 7017530000000.0 1794870000000000.0 7128140000000000.0 1.93777e+16 8962490000000000.0 26700100000.0 2002170000000.0 16409200000000.0 -4.38 4.268 [-4.38]
1.25892e+16 1.58412e+20 7506760000000.0 1845680000000000.0 7078250000000000.0 1.76247e+16 7767660000000000.0 30221500000.0 2225850000000.0 17964700000000.0 -4.36 4.262 [-4.36]
1.25892e+16 1.49662e+20 8031610000000.0 1896560000000000.0 7019810000000000.0 1.59932e+16 6718430000000000.0 34179500000.0 2470770000000.0 19633100000000.0 -4.34 4.256 [-4.34]
1.25892e+16 1.41399e+20 8594570000000.0 1947470000000000.0 6952880000000000.0 1.44798e+16 5799270000000000.0 38627100000.0 2738540000000.0 21418200000000.0 -4.32 4.249 [-4.32]
1.25892e+16 1.33597e+20 9198300000000.0 1998380000000000.0 6877550000000000.0 1.30803e+16 4996240000000000.0 43624300000.0 3030900000000.0 23323100000000.0 -4.3 4.243 [-4.3]
1.25892e+16 1.2623e+20 9845800000000.0 2049230000000000.0 6793920000000000.0 1.17901e+16 4295970000000000.0 49240000000.0 3349760000000.0 25350700000000.0 -4.28 4.236 [-4.28]
1.25892e+16 1.19275e+20 10539700000000.0 2099900000000000.0 6702130000000000.0 1.06045e+16 3686970000000000.0 55550100000.0 3697030000000.0 27503100000000.0 -4.26 4.23 [-4.26]
1.25892e+16 1.12708e+20 11282800000000.0 2150330000000000.0 6602300000000000.0 9517500000000000.0 3158500000000000.0 62641800000.0 4074840000000.0 29781500000000.0 -4.24 4.224 [-4.24]
1.25892e+16 1.0651e+20 12078300000000.0 2200410000000000.0 6494680000000000.0 8524280000000000.0 2701080000000000.0 70612800000.0 4485410000000.0 32186700000000.0 -4.22 4.217 [-4.22]
1.25892e+16 1.00659e+20 12928900000000.0 2250030000000000.0 6379460000000000.0 7619590000000000.0 2306020000000000.0 79571600000.0 4931010000000.0 34718200000000.0 -4.2 4.211 [-4.2]
1.25892e+16 9.51364e+19 13837400000000.0 2299050000000000.0 6256910000000000.0 6797780000000000.0 1965610000000000.0 89642300000.0 5414110000000.0 37374900000000.0 -4.18 4.205 [-4.18]
1.25892e+16 8.99254e+19 14807000000000.0 2347350000000000.0 6127350000000000.0 6052880000000000.0 1672820000000000.0 100967000000.0 5937440000000.0 40153300000000.0 -4.16 4.199 [-4.16]
1.25892e+16 8.50039e+19 15839600000000.0 2394670000000000.0 5991040000000000.0 5379490000000000.0 1421340000000000.0 113693000000.0 6503350000000.0 43053000000000.0 -4.14 4.193 [-4.14]
1.25892e+16 8.03585e+19 16937800000000.0 2440870000000000.0 5848390000000000.0 4772400000000000.0 1205960000000000.0 128000000000.0 7114920000000.0 46068900000000.0 -4.12 4.187 [-4.12]
1.25892e+16 7.59716e+19 18103600000000.0 2485720000000000.0 5699730000000000.0 4226130000000000.0 1021750000000000.0 144077000000.0 7774880000000.0 49198800000000.0 -4.1 4.181 [-4.1]
1.25892e+16 7.18353e+19 19340000000000.0 2529130000000000.0 5545720000000000.0 3736300000000000.0 864578000000000.0 162166000000.0 8487080000000.0 52429300000000.0 -4.08 4.175 [-4.08]
1.25892e+16 6.79306e+19 20648000000000.0 2570810000000000.0 5386700000000000.0 3297710000000000.0 730631000000000.0 182490000000.0 9253890000000.0 55757300000000.0 -4.06 4.169 [-4.06]
1.25892e+16 6.4246e+19 22028800000000.0 2610490000000000.0 5223170000000000.0 2905920000000000.0 616678000000000.0 205324000000.0 10078600000000.0 59171000000000.0 -4.04 4.163 [-4.04]
1.25892e+16 6.07714e+19 23483100000000.0 2647980000000000.0 5055780000000000.0 2556790000000000.0 519894000000000.0 230975000000.0 10964700000000.0 62656900000000.0 -4.02 4.157 [-4.02]
1.25892e+16 5.74905e+19 25010800000000.0 2682920000000000.0 4884920000000000.0 2246070000000000.0 437729000000000.0 259750000000.0 11914300000000.0 66206500000000.0 -4.0 4.152 [-4.0]
1.25892e+16 5.43926e+19 26611800000000.0 2715040000000000.0 4711190000000000.0 1970020000000000.0 368098000000000.0 292014000000.0 12930500000000.0 69805900000000.0 -3.98 4.146 [-3.98]
1.25892e+16 5.1471e+19 28285100000000.0 2744210000000000.0 4535370000000000.0 1725410000000000.0 309233000000000.0 328166000000.0 14016500000000.0 73435000000000.0 -3.96 4.141 [-3.96]
1.25892e+16 4.87137e+19 30029600000000.0 2770170000000000.0 4358070000000000.0 1508930000000000.0 259478000000000.0 368632000000.0 15174700000000.0 77080200000000.0 -3.94 4.135 [-3.94]
1.25892e+16 4.61113e+19 31842200000000.0 2792590000000000.0 4179790000000000.0 1317610000000000.0 217475000000000.0 413871000000.0 16407300000000.0 80723700000000.0 -3.92 4.13 [-3.92]
1.25892e+16 4.36551e+19 33720700000000.0 2811350000000000.0 4001290000000000.0 1148990000000000.0 182073000000000.0 464386000000.0 17716400000000.0 84347200000000.0 -3.9 4.125 [-3.9]
1.25892e+16 4.1337e+19 35661100000000.0 2826180000000000.0 3823170000000000.0 1000800000000000.0 152275000000000.0 520705000000.0 19103100000000.0 87928000000000.0 -3.88 4.119 [-3.88]
1.25892e+16 3.91495e+19 37659300000000.0 2836970000000000.0 3646110000000000.0 870746000000000.0 127221000000000.0 583395000000.0 20568600000000.0 91446400000000.0 -3.86 4.114 [-3.86]
1.25892e+16 3.70849e+19 39710000000000.0 2843530000000000.0 3470710000000000.0 756793000000000.0 106192000000000.0 653037000000.0 22112700000000.0 94878300000000.0 -3.84 4.109 [-3.84]
1.25892e+16 3.5136e+19 41808800000000.0 2845810000000000.0 3297630000000000.0 657064000000000.0 88544200000000.0 730280000000.0 23735600000000.0 98205700000000.0 -3.82 4.104 [-3.82]
1.25892e+16 3.32958e+19 43949600000000.0 2843690000000000.0 3127350000000000.0 569894000000000.0 73753000000000.0 815771000000.0 25435800000000.0 101404000000000.0 -3.8 4.1 [-3.8]
1.25892e+16 3.15586e+19 46125400000000.0 2837110000000000.0 2960400000000000.0 493819000000000.0 61372100000000.0 910172000000.0 27211100000000.0 104450000000000.0 -3.78 4.095 [-3.78]
1.25892e+16 2.99184e+19 48330000000000.0 2826120000000000.0 2797270000000000.0 427496000000000.0 51020100000000.0 1014170000000.0 29058900000000.0 107324000000000.0 -3.76 4.091 [-3.76]
