#depth	Te	cC/dT	dt/dr	d^2T/dr^2
1.19141e+23	3.2435e+04	5.18e-38
7.14844e+23	3.2151e+04	5.20e-38	-2.98e-22
2.80799e+24	3.1684e+04	5.24e-38	-1.45e-22	4.76e-47
7.71338e+24	3.1358e+04	5.25e-38	-4.95e-23	1.44e-47
1.52776e+25	3.1103e+04	5.24e-38	-2.98e-23	2.30e-48
2.34679e+25	3.0929e+04	5.23e-38	-2.22e-23	9.75e-49
3.09485e+25	3.0807e+04	5.23e-38	-1.71e-23	7.17e-49
3.77560e+25	3.0713e+04	5.22e-38	-1.46e-23	3.87e-49
4.39398e+25	3.0637e+04	5.22e-38	-1.29e-23	2.81e-49
4.95493e+25	3.0588e+04	5.22e-38	-9.06e-24	7.26e-49
5.46325e+25	3.0520e+04	5.22e-38	-1.40e-23	-1.03e-48
5.92336e+25	3.0483e+04	5.22e-38	-8.66e-24	1.23e-48
6.33961e+25	3.0436e+04	5.22e-38	-1.19e-23	-8.09e-49
6.71604e+25	3.0404e+04	5.22e-38	-8.83e-24	8.46e-49
7.05618e+25	3.0368e+04	5.22e-38	-1.12e-23	-7.46e-49
7.36333e+25	3.0349e+04	5.23e-38	-6.54e-24	1.61e-48
7.64064e+25	3.0316e+04	5.22e-38	-1.26e-23	-2.29e-48
7.89091e+25	3.0299e+04	5.23e-38	-6.97e-24	2.36e-48
8.11669e+25	3.0279e+04	5.23e-38	-9.52e-24	-1.19e-48
8.32035e+25	3.0266e+04	5.23e-38	-6.68e-24	1.47e-48
8.50400e+25	3.0247e+04	5.23e-38	-1.10e-23	-2.49e-48
8.66958e+25	3.0236e+04	5.23e-38	-6.60e-24	2.82e-48
8.81882e+25	3.0224e+04	5.23e-38	-8.57e-24	-1.39e-48
8.95333e+25	3.0209e+04	5.23e-38	-1.20e-23	-2.71e-48
9.07453e+25	3.0209e+04	5.24e-38	-2.99e-25	1.02e-47
9.18477e+25	3.0190e+04	5.24e-38	-1.76e-23	-1.64e-47
9.29041e+25	3.0187e+04	5.24e-38	-2.65e-24	1.41e-47
9.39612e+25	3.0167e+04	5.24e-38	-1.95e-23	-1.59e-47
9.50189e+25	3.0173e+04	5.24e-38	5.57e-24	2.37e-47
9.60774e+25	3.0136e+04	5.24e-38	-3.42e-23	-3.75e-47
9.71365e+25	3.0136e+04	5.24e-38	-2.08e-26	3.23e-47
9.81959e+25	3.0127e+04	5.24e-38	-8.30e-24	-7.81e-48
9.92562e+25	3.0123e+04	5.24e-38	-3.93e-24	4.11e-48
1.00317e+26	3.0098e+04	5.24e-38	-2.36e-23	-1.85e-47
1.01277e+26	3.0105e+04	5.24e-38	7.32e-24	3.60e-47
1.01277e+26	3.0105e+04	5.24e-38	7.32e-24	0.00e+00
1.07121e+23	3.1784e+04	5.77e-38
6.42723e+23	3.1516e+04	5.80e-38	-3.13e-22
2.58237e+24	3.1065e+04	5.84e-38	-1.49e-22	5.41e-47
7.21293e+24	3.0745e+04	5.84e-38	-5.13e-23	1.57e-47
1.41814e+25	3.0498e+04	5.83e-38	-3.20e-23	2.52e-48
2.15248e+25	3.0332e+04	5.82e-38	-2.37e-23	1.18e-48
2.82016e+25	3.0215e+04	5.81e-38	-1.85e-23	8.24e-49
3.42760e+25	3.0124e+04	5.80e-38	-1.58e-23	4.73e-49
3.97926e+25	3.0050e+04	5.80e-38	-1.40e-23	3.27e-49
4.47958e+25	3.0003e+04	5.80e-38	-9.83e-24	8.86e-49
4.93289e+25	2.9938e+04	5.80e-38	-1.50e-23	-1.21e-48
5.34317e+25	2.9901e+04	5.80e-38	-9.64e-24	1.38e-48
5.71429e+25	2.9855e+04	5.80e-38	-1.31e-23	-9.93e-49
6.04979e+25	2.9831e+04	5.80e-38	-7.48e-24	1.78e-48
6.35294e+25	2.9789e+04	5.80e-38	-1.44e-23	-2.41e-48
6.62673e+25	2.9769e+04	5.80e-38	-7.65e-24	2.61e-48
6.87387e+25	2.9744e+04	5.80e-38	-1.09e-23	-1.40e-48
7.09691e+25	2.9729e+04	5.81e-38	-7.15e-24	1.79e-48
7.29813e+25	2.9705e+04	5.81e-38	-1.25e-23	-2.80e-48
7.47963e+25	2.9693e+04	5.81e-38	-7.09e-24	3.14e-48
7.64328e+25	2.9677e+04	5.81e-38	-9.88e-24	-1.80e-48
7.79082e+25	2.9667e+04	5.81e-38	-6.99e-24	2.06e-48
7.92381e+25	2.9653e+04	5.81e-38	-1.13e-23	-3.41e-48
8.04366e+25	2.9646e+04	5.81e-38	-6.01e-24	4.66e-48
8.15167e+25	2.9631e+04	5.81e-38	-1.53e-23	-9.12e-48
8.25022e+25	2.9630e+04	5.82e-38	-3.08e-25	1.59e-47
