# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 O+5 O+6 Si+ Si+2 Si+3 log_nH parameters
134896000000000.0 1.13315e+19 5672510000.0 2240310000000.0 19843000000000.0 531955000000000.0 1598350000000000.0 1397170.0 130317000.0 1434600000.0 -5.0 [-5.0]
134896000000000.0 1.06648e+19 6138830000.0 2393400000000.0 20517400000000.0 521087000000000.0 1478550000000000.0 1688170.0 154726000.0 1663150000.0 -4.98 [-4.98]
134896000000000.0 1.00418e+19 6635250000.0 2552520000000.0 21180800000000.0 509556000000000.0 1365960000000000.0 2034520.0 183286000.0 1923940000.0 -4.96 [-4.96]
134896000000000.0 9.45929e+18 7163790000.0 2717720000000.0 21831400000000.0 497400000000000.0 1260300000000000.0 2445900.0 216636000.0 2220870000.0 -4.94 [-4.94]
134896000000000.0 8.91426e+18 7726740000.0 2889060000000.0 22467800000000.0 484667000000000.0 1161250000000000.0 2933610.0 255504000.0 2558230000.0 -4.92 [-4.92]
134896000000000.0 8.40385e+18 8326060000.0 3066530000000.0 23088700000000.0 471407000000000.0 1068500000000000.0 3510620.0 300715000.0 2940800000.0 -4.9 [-4.9]
134896000000000.0 7.92572e+18 8964790000.0 3250240000000.0 23692700000000.0 457671000000000.0 981784000000000.0 4192130.0 353205000.0 3373640000.0 -4.88 [-4.88]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
134896000000000.0 7.05724e+18 10372400000.0 3636600000000.0 24845000000000.0 428981000000000.0 825304000000000.0 5941530.0 484396000.0 4412950000.0 -4.84 [-4.84]
134896000000000.0 6.66267e+18 11146500000.0 3839210000000.0 25391200000000.0 414137000000000.0 754964000000000.0 7052730.0 565645000.0 5032310000.0 -4.82 [-4.82]
134896000000000.0 6.2921e+18 11971900000.0 4048210000000.0 25916100000000.0 399038000000000.0 689531000000000.0 8356090.0 659302000.0 5727620000.0 -4.8 [-4.8]
134896000000000.0 5.9438e+18 12851600000.0 4263490000000.0 26418900000000.0 383734000000000.0 628749000000000.0 9882080.0 767070000.0 6506820000.0 -4.78 [-4.78]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
134896000000000.0 5.30817e+18 14788900000.0 4713080000000.0 27354700000000.0 352740000000000.0 520171000000000.0 13747300.0 1032820000.0 8351420000.0 -4.74 [-4.74]
134896000000000.0 5.01808e+18 15853900000.0 4947360000000.0 27786000000000.0 337164000000000.0 471892000000000.0 16171700.0 1195330000.0 9436040000.0 -4.72 [-4.72]
