H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4
1.00000e+13	4.83434e+17	4.52050e+08	7.97777e+10	3.61879e+11	3.22364e+07	1.21428e+10	3.87174e+11	2.05516e+03	3.09777e+10	5.31671e+12	1.06425e+13	1.46581e+04	2.20778e+05	1.24340e+07	6.99737e+07	9.65098e+09
1.00000e+14	4.83672e+18	4.49503e+09	7.95323e+11	3.62615e+12	3.19800e+08	1.20897e+11	3.87666e+12	2.03981e+04	3.09987e+11	5.32288e+13	1.06439e+14	1.45860e+05	2.20697e+06	1.24390e+08	7.01262e+08	9.66771e+10
1.00000e+15	4.85292e+19	4.41103e+10	7.94664e+12	3.68114e+13	3.08320e+09	1.19710e+12	3.91182e+13	1.95110e+05	3.14619e+12	5.38884e+14	1.05966e+15	1.41711e+06	2.20750e+07	1.25054e+09	7.13822e+09	9.78753e+11
9.99998e+15	5.00332e+20	4.46869e+11	8.71452e+13	4.14512e+14	2.89145e+10	1.26502e+13	4.17558e+14	1.79960e+06	3.75706e+13	5.78273e+15	1.04138e+16	1.30389e+07	2.28849e+08	1.32545e+10	7.94090e+10	1.05363e+13
1.00000e+17	6.76275e+21	4.61955e+13	8.50573e+15	1.58240e+16	4.85681e+12	1.89063e+15	4.94590e+15	4.22037e+09	6.41325e+16	4.44227e+16	7.70490e+16	5.56727e+09	3.05048e+11	1.60130e+13	3.81337e+13	7.47903e+14
1.00012e+18	2.06829e+22	3.24776e+14	1.04427e+17	2.02348e+17	2.10311e+13	1.51643e+16	9.75230e+15	2.27609e+10	5.70277e+17	5.54123e+16	8.31340e+16	3.61015e+11	2.87965e+13	1.62834e+15	5.89618e+15	2.64031e+16
1.00000e+13	1.26039e+17	2.79041e+09	2.45733e+11	4.27597e+11	2.35267e+08	4.53055e+10	2.01488e+11	3.27753e+04	1.26071e+11	1.01290e+12	6.12172e+11	6.27431e+05	1.12522e+07	3.87991e+08	9.60406e+08	3.42165e+10
1.00000e+14	1.26114e+18	2.77643e+10	2.45061e+12	4.28491e+12	2.33733e+09	4.51537e+11	2.01725e+12	3.26183e+05	1.26264e+12	1.01372e+13	6.12247e+12	6.24552e+06	1.12410e+08	3.87941e+09	9.62155e+09	3.42625e+11
1.00000e+15	1.26635e+19	2.72596e+11	2.44551e+13	4.34170e+13	2.26766e+10	4.48769e+12	2.03049e+13	3.15666e+06	1.28103e+13	1.01801e+14	6.12136e+13	6.07681e+07	1.11877e+09	3.88197e+10	9.75672e+10	3.45719e+12
9.99998e+15	1.30605e+20	2.73064e+12	2.62791e+14	4.78395e+14	2.13384e+11	4.68838e+13	2.09508e+14	2.99032e+07	1.48676e+14	1.03558e+15	5.99246e+14	5.61321e+08	1.12943e+10	4.00450e+11	1.05790e+12	3.64725e+13
1.00000e+17	1.63895e+21	1.14150e+14	9.92132e+15	8.21154e+15	9.53355e+12	1.89561e+15	1.57788e+15	5.49947e+09	2.29999e+16	6.03198e+15	3.45006e+15	2.41128e+10	7.24019e+11	2.32585e+13	3.17302e+13	6.09372e+14
1.00003e+18	5.73457e+21	5.51907e+14	6.08085e+16	4.44017e+16	4.80033e+13	1.18156e+16	2.77434e+15	1.10953e+11	1.92217e+17	7.02142e+15	3.76360e+15	9.15865e+11	7.18414e+13	2.29107e+15	3.10337e+15	5.92063e+15
1.00000e+13	3.40325e+16	8.14657e+09	3.31646e+11	2.24309e+11	7.57468e+08	6.44738e+10	3.19737e+10	5.40693e+05	2.25664e+11	6.07797e+10	1.24250e+10	8.58252e+06	1.67341e+08	4.26797e+09	4.93844e+09	4.25586e+10
1.00000e+14	3.40510e+17	8.12068e+10	3.31129e+12	2.24914e+12	7.54192e+09	6.43492e+11	3.20222e+11	5.39246e+06	2.26009e+12	6.07972e+11	1.24227e+11	8.55766e+07	1.67163e+09	4.26568e+10	4.94470e+10	4.25920e+11
