#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	STOP NEUT	grid parameter string
000000000	F	F	                  ok	7	1	-5.000000	13.000000	-5.000000, 13.000000
000000001	F	F	                  ok	9	1	-5.000000	14.000000	-5.000000, 14.000000
000000002	F	F	                  ok	5	1	-5.000000	15.000000	-5.000000, 15.000000
000000003	F	F	                  ok	0	1	-5.000000	16.000000	-5.000000, 16.000000
000000004	F	F	                  ok	3	2	-5.000000	17.000000	-5.000000, 17.000000
000000005	F	F	                  ok	1	3	-5.000000	18.000000	-5.000000, 18.000000
000000006	F	F	                  ok	7	2	-4.000000	13.000000	-4.000000, 13.000000
000000007	F	F	                  ok	3	0	-4.000000	14.000000	-4.000000, 14.000000
000000008	F	F	                  ok	2	3	-4.000000	15.000000	-4.000000, 15.000000
000000009	F	F	                  ok	9	2	-4.000000	16.000000	-4.000000, 16.000000
000000010	F	F	                  ok	3	3	-4.000000	17.000000	-4.000000, 17.000000
000000011	F	F	                  ok	6	1	-4.000000	18.000000	-4.000000, 18.000000
000000012	F	F	                  ok	0	2	-3.000000	13.000000	-3.000000, 13.000000
000000013	F	F	                  ok	3	1	-3.000000	14.000000	-3.000000, 14.000000
000000014	F	F	                  ok	8	2	-3.000000	15.000000	-3.000000, 15.000000
000000015	F	F	                  ok	10	0	-3.000000	16.000000	-3.000000, 16.000000
000000016	F	F	                  ok	8	0	-3.000000	17.000000	-3.000000, 17.000000
000000017	F	F	                  ok	2	1	-3.000000	18.000000	-3.000000, 18.000000
000000018	F	F	                  ok	1	0	-2.000000	13.000000	-2.000000, 13.000000
000000019	F	F	                  ok	6	0	-2.000000	14.000000	-2.000000, 14.000000
000000020	F	F	                  ok	8	1	-2.000000	15.000000	-2.000000, 15.000000
000000021	F	F	                  ok	1	1	-2.000000	16.000000	-2.000000, 16.000000
000000022	F	F	                  ok	4	0	-2.000000	17.000000	-2.000000, 17.000000
000000023	F	F	                  ok	6	2	-2.000000	18.000000	-2.000000, 18.000000
000000024	F	F	                  ok	0	3	-1.000000	13.000000	-1.000000, 13.000000
000000025	F	F	                  ok	5	3	-1.000000	14.000000	-1.000000, 14.000000
000000026	F	F	                  ok	5	2	-1.000000	15.000000	-1.000000, 15.000000
000000027	F	F	                  ok	4	2	-1.000000	16.000000	-1.000000, 16.000000
000000028	F	F	                  ok	10	1	-1.000000	17.000000	-1.000000, 17.000000
000000029	F	F	                  ok	11	1	-1.000000	18.000000	-1.000000, 18.000000
000000030	F	F	                  ok	7	0	0.000000	13.000000	0.000000, 13.000000
000000031	F	F	                  ok	0	0	0.000000	14.000000	0.000000, 14.000000
000000032	F	F	                  ok	10	2	0.000000	15.000000	0.000000, 15.000000
000000033	F	F	                  ok	4	1	0.000000	16.000000	0.000000, 16.000000
000000034	F	F	                  ok	1	2	0.000000	17.000000	0.000000, 17.000000
000000035	F	F	                  ok	4	3	0.000000	18.000000	0.000000, 18.000000
000000036	F	F	                  ok	5	0	1.000000	13.000000	1.000000, 13.000000
000000037	F	F	                  ok	11	2	1.000000	14.000000	1.000000, 14.000000
000000038	F	F	                  ok	2	2	1.000000	15.000000	1.000000, 15.000000
000000039	F	F	                  ok	9	0	1.000000	16.000000	1.000000, 16.000000
000000040	F	F	                  ok	11	0	1.000000	17.000000	1.000000, 17.000000
000000041	F	F	                  ok	2	0	1.000000	18.000000	1.000000, 18.000000
