# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+2 C+3 O+6 Si+2 Si+3 log_nH parameters
1.25892e+16 1.33573e+21 51403300000000.0 417947000000000.0 3.77064e+16 2379720000.0 22709300000.0 -5.0 [-5.0]
1.25892e+16 1.26041e+21 55443700000000.0 433053000000000.0 3.49791e+16 2840570000.0 26182400000.0 -4.98 [-4.98]
1.25892e+16 1.18968e+21 59696700000000.0 447987000000000.0 3.24011e+16 3383230000.0 30124600000.0 -4.96 [-4.96]
1.25892e+16 1.12331e+21 64173900000000.0 462778000000000.0 2.99699e+16 4021660000.0 34597700000.0 -4.94 [-4.94]
1.25892e+16 1.06097e+21 68876100000000.0 477353000000000.0 2.76796e+16 4771030000.0 39660300000.0 -4.92 [-4.92]
1.25892e+16 1.00238e+21 73808200000000.0 491683000000000.0 2.55257e+16 5648970000.0 45379700000.0 -4.9 [-4.9]
1.25892e+16 9.4729e+20 78974600000000.0 505735000000000.0 2.35031e+16 6675650000.0 51828800000.0 -4.88 [-4.88]
1.25892e+16 8.95469e+20 84377300000000.0 519464000000000.0 2.16068e+16 7874140000.0 59087600000.0 -4.86 [-4.86]
1.25892e+16 8.46701e+20 90019500000000.0 532839000000000.0 1.9832e+16 9270800000.0 67243200000.0 -4.84 [-4.84]
1.25892e+16 8.00789e+20 95905600000000.0 545834000000000.0 1.81735e+16 10895500000.0 76390800000.0 -4.82 [-4.82]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
1.25892e+16 7.16801e+20 108414000000000.0 570552000000000.0 1.51866e+16 14969500000.0 98080600000.0 -4.78 [-4.78]
1.25892e+16 6.78397e+20 115040000000000.0 582220000000000.0 1.38479e+16 17501000000.0 110855000000.0 -4.76 [-4.76]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
1.25892e+16 6.07987e+20 129034000000000.0 604026000000000.0 1.14553e+16 23800300000.0 140913000000.0 -4.72 [-4.72]
1.25892e+16 5.75726e+20 136402000000000.0 614119000000000.0 1.03919e+16 27686500000.0 158487000000.0 -4.7 [-4.7]
1.25892e+16 5.4527e+20 144015000000000.0 623643000000000.0 9410770000000000.0 32154700000.0 177969000000.0 -4.68 [-4.68]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
1.25892e+16 4.89346e+20 159972000000000.0 640897000000000.0 7677380000000000.0 43162300000.0 223345000000.0 -4.64 [-4.64]
1.25892e+16 4.63667e+20 168305000000000.0 648590000000000.0 6916000000000000.0 49888000000.0 249623000000.0 -4.62 [-4.62]
1.25892e+16 4.39389e+20 176865000000000.0 655630000000000.0 6218920000000000.0 57570800000.0 278565000000.0 -4.6 [-4.6]
1.25892e+16 4.1643e+20 185645000000000.0 661999000000000.0 5582350000000000.0 66331800000.0 310386000000.0 -4.58 [-4.58]
1.25892e+16 3.94706e+20 194633000000000.0 667680000000000.0 5001970000000000.0 76305900000.0 345326000000.0 -4.56 [-4.56]
1.25892e+16 3.74153e+20 203823000000000.0 672659000000000.0 4473990000000000.0 87642700000.0 383623000000.0 -4.54 [-4.54]
1.25892e+16 3.54699e+20 213200000000000.0 676919000000000.0 3994670000000000.0 100507000000.0 425534000000.0 -4.52 [-4.52]
1.25892e+16 3.36282e+20 222751000000000.0 680450000000000.0 3560330000000000.0 115081000000.0 471330000000.0 -4.5 [-4.5]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
1.25892e+16 3.02323e+20 242308000000000.0 685271000000000.0 2813410000000000.0 150171000000.0 575708000000.0 -4.46 [-4.46]
1.25892e+16 2.86676e+20 252279000000000.0 686541000000000.0 2494340000000000.0 171146000000.0 634885000000.0 -4.44 [-4.44]
1.25892e+16 2.71851e+20 262350000000000.0 687039000000000.0 2207610000000000.0 194745000000.0 699129000000.0 -4.42 [-4.42]
1.25892e+16 2.57805e+20 272499000000000.0 686756000000000.0 1950390000000000.0 221254000000.0 768757000000.0 -4.4 [-4.4]
1.25892e+16 2.44493e+20 282702000000000.0 685689000000000.0 1720210000000000.0 250976000000.0 844095000000.0 -4.38 [-4.38]
1.25892e+16 2.3188e+20 292937000000000.0 683835000000000.0 1514600000000000.0 284247000000.0 925464000000.0 -4.36 [-4.36]
1.25892e+16 2.19922e+20 303168000000000.0 681190000000000.0 1331250000000000.0 321420000000.0 1013220000000.0 -4.34 [-4.34]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
1.25892e+16 1.97847e+20 323519000000000.0 673531000000000.0 1023240000000000.0 409043000000.0 1209140000000.0 -4.3 [-4.3]
1.25892e+16 1.87665e+20 333576000000000.0 668525000000000.0 894862000000000.0 460346000000.0 1317970000000.0 -4.28 [-4.28]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
1.25892e+16 1.68865e+20 353291000000000.0 656184000000000.0 681090000000000.0 580280000000.0 1558910000000.0 -4.24 [-4.24]
1.25892e+16 1.6019e+20 362873000000000.0 648873000000000.0 592751000000000.0 649923000000.0 1691630000000.0 -4.22 [-4.22]
1.25892e+16 1.51967e+20 372228000000000.0 640819000000000.0 515054000000000.0 726748000000.0 1832870000000.0 -4.2 [-4.2]
1.25892e+16 1.44172e+20 381316000000000.0 632037000000000.0 446807000000000.0 811323000000.0 1982840000000.0 -4.18 [-4.18]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
1.25892e+16 1.29777e+20 398552000000000.0 612376000000000.0 334644000000000.0 1006180000000.0 2309820000000.0 -4.14 [-4.14]
1.25892e+16 1.23136e+20 406627000000000.0 601548000000000.0 288935000000000.0 1117740000000.0 2487130000000.0 -4.12 [-4.12]
1.25892e+16 1.1684e+20 414294000000000.0 590088000000000.0 249082000000000.0 1239600000000.0 2673750000000.0 -4.1 [-4.1]
1.25892e+16 1.10872e+20 421512000000000.0 578027000000000.0 214391000000000.0 1372440000000.0 2869750000000.0 -4.08 [-4.08]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
1.25892e+16 9.98494e+19 434471000000000.0 552242000000000.0 158118000000000.0 1673800000000.0 3289630000000.0 -4.04 [-4.04]
1.25892e+16 9.4764e+19 440149000000000.0 538594000000000.0 135489000000000.0 1843690000000.0 3513250000000.0 -4.02 [-4.02]
1.25892e+16 8.99422e+19 445258000000000.0 524505000000000.0 115928000000000.0 2027290000000.0 3745670000000.0 -4.0 [-4.0]
1.25892e+16 8.53693e+19 449758000000000.0 510016000000000.0 99046900000000.0 2225220000000.0 3986630000000.0 -3.98 [-3.98]
1.25892e+16 8.10335e+19 453639000000000.0 495159000000000.0 84506600000000.0 2438130000000.0 4235520000000.0 -3.96 [-3.96]
