H	H+	C+	C+2	C+3	O+5	O+6	Si+	Si+2	Si+3
1.25892e+16	1.33575e+21	1.66770e+11	5.14037e+13	4.17943e+14	1.17676e+16	3.77070e+16	2.85415e+07	2.38049e+09	2.27160e+10
1.25892e+16	1.26043e+21	1.84474e+11	5.54442e+13	4.33049e+14	1.15159e+16	3.49799e+16	3.50306e+07	2.84143e+09	2.61894e+10
1.25892e+16	1.18971e+21	2.03727e+11	5.96972e+13	4.47982e+14	1.12480e+16	3.24021e+16	4.28855e+07	3.38418e+09	3.01318e+10
1.25892e+16	1.12334e+21	2.24641e+11	6.41745e+13	4.62771e+14	1.09665e+16	2.99708e+16	5.23758e+07	4.02271e+09	3.46051e+10
1.25892e+16	1.06100e+21	2.47340e+11	6.88770e+13	4.77346e+14	1.06720e+16	2.76808e+16	6.38153e+07	4.77216e+09	3.96675e+10
1.25892e+16	1.00241e+21	2.71945e+11	7.38093e+13	4.91675e+14	1.03657e+16	2.55269e+16	7.75740e+07	5.65021e+09	4.53868e+10
1.25892e+16	9.47330e+20	2.98596e+11	7.89760e+13	5.05725e+14	1.00488e+16	2.35043e+16	9.40874e+07	6.67701e+09	5.18355e+10
1.25892e+16	8.95514e+20	3.27429e+11	8.43792e+13	5.19454e+14	9.72278e+15	2.16082e+16	1.13865e+08	7.87559e+09	5.90935e+10
1.25892e+16	8.46747e+20	3.58595e+11	9.00219e+13	5.32827e+14	9.38889e+15	1.98334e+16	1.37506e+08	9.27234e+09	6.72483e+10
1.25892e+16	8.00841e+20	3.92254e+11	9.59088e+13	5.45822e+14	9.04872e+15	1.81750e+16	1.65705e+08	1.08971e+10	7.63947e+10
1.25892e+16	7.57603e+20	4.28567e+11	1.02040e+14	5.58403e+14	8.70340e+15	1.66283e+16	1.99275e+08	1.27839e+10	8.66350e+10
1.25892e+16	7.16860e+20	4.67707e+11	1.08419e+14	5.70541e+14	8.35446e+15	1.51881e+16	2.39160e+08	1.49713e+10	9.80810e+10
1.25892e+16	6.78455e+20	5.09869e+11	1.15046e+14	5.82207e+14	8.00335e+15	1.38494e+16	2.86453e+08	1.75029e+10	1.10852e+11
1.25892e+16	6.42223e+20	5.55212e+11	1.21919e+14	5.93368e+14	7.65125e+15	1.26071e+16	3.42426e+08	2.04281e+10	1.25080e+11
1.25892e+16	6.08050e+20	6.03942e+11	1.29043e+14	6.04014e+14	7.29977e+15	1.14568e+16	4.08536e+08	2.38025e+10	1.40904e+11
1.25892e+16	5.75787e+20	6.56237e+11	1.36411e+14	6.14104e+14	6.94996e+15	1.03932e+16	4.86468e+08	2.76885e+10	1.58473e+11
1.25892e+16	5.45337e+20	7.12343e+11	1.44028e+14	6.23631e+14	6.60333e+15	9.41219e+15	5.78172e+08	3.21571e+10	1.77949e+11
1.25892e+16	5.16582e+20	7.72468e+11	1.51888e+14	6.32562e+14	6.26103e+15	8.50886e+15	6.85864e+08	3.72864e+10	1.99500e+11
1.25892e+16	4.89412e+20	8.36815e+11	1.59989e+14	6.40885e+14	5.92416e+15	7.67866e+15	8.12076e+08	4.31648e+10	2.23312e+11
1.25892e+16	4.63733e+20	9.05592e+11	1.68324e+14	6.48580e+14	5.59380e+15	6.91723e+15	9.59706e+08	4.98907e+10	2.49581e+11
1.25892e+16	4.39454e+20	9.79009e+11	1.76887e+14	6.55621e+14	5.27086e+15	6.22007e+15	1.13205e+09	5.75737e+10	2.78516e+11
1.25892e+16	4.16492e+20	1.05729e+12	1.85669e+14	6.61990e+14	4.95622e+15	5.58341e+15	1.33281e+09	6.63344e+10	3.10327e+11
1.25892e+16	3.94770e+20	1.14064e+12	1.94661e+14	6.67673e+14	4.65076e+15	5.00297e+15	1.56624e+09	7.63086e+10	3.45254e+11
1.25892e+16	3.74213e+20	1.22927e+12	2.03853e+14	6.72652e+14	4.35504e+15	4.47491e+15	1.83710e+09	8.76456e+10	3.83540e+11
1.25892e+16	3.54759e+20	1.32342e+12	2.13235e+14	6.76915e+14	4.06979e+15	3.99553e+15	2.15078e+09	1.00511e+11	4.25436e+11
1.25892e+16	3.36342e+20	1.42327e+12	2.22790e+14	6.80448e+14	3.79543e+15	3.56113e+15	2.51329e+09	1.15085e+11	4.71217e+11
1.25892e+16	3.18899e+20	1.52898e+12	2.32501e+14	6.83236e+14	3.53233e+15	3.16841e+15	2.93134e+09	1.31568e+11	5.21163e+11
1.25892e+16	3.02378e+20	1.64075e+12	2.42353e+14	6.85272e+14	3.28083e+15	2.81406e+15	3.41248e+09	1.50178e+11	5.75566e+11
1.25892e+16	2.86729e+20	1.75876e+12	2.52327e+14	6.86543e+14	3.04110e+15	2.49493e+15	3.96505e+09	1.71154e+11	6.34723e+11
1.25892e+16	2.71902e+20	1.88316e+12	2.62402e+14	6.87042e+14	2.81326e+15	2.20813e+15	4.59832e+09	1.94756e+11	6.98948e+11
1.25892e+16	2.57852e+20	2.01409e+12	2.72555e+14	6.86761e+14	2.59734e+15	1.95086e+15	5.32259e+09	2.21266e+11	7.68557e+11
1.25892e+16	2.44539e+20	2.15170e+12	2.82761e+14	6.85694e+14	2.39326e+15	1.72063e+15	6.14912e+09	2.50991e+11	8.43872e+11
1.25892e+16	2.31921e+20	2.29609e+12	2.92997e+14	6.83841e+14	2.20090e+15	1.51496e+15	7.09044e+09	2.84265e+11	9.25227e+11
1.25892e+16	2.19962e+20	2.44734e+12	3.03232e+14	6.81198e+14	2.02006e+15	1.33157e+15	8.16012e+09	3.21442e+11	1.01296e+12
1.25892e+16	2.08627e+20	2.60555e+12	3.13440e+14	6.77764e+14	1.85048e+15	1.16839e+15	9.37313e+09	3.62908e+11	1.10738e+12
1.25892e+16	1.97882e+20	2.77073e+12	3.23588e+14	6.73541e+14	1.69189e+15	1.02348e+15	1.07457e+10	4.09073e+11	1.20884e+12
1.25892e+16	1.87698e+20	2.94300e+12	3.33647e+14	6.68535e+14	1.54406e+15	8.95073e+14	1.22956e+10	4.60381e+11	1.31765e+12
1.25892e+16	1.78045e+20	3.12243e+12	3.43586e+14	6.62748e+14	1.40661e+15	7.81521e+14	1.40422e+10	5.17301e+11	1.43410e+12
1.25892e+16	1.68892e+20	3.30873e+12	3.53363e+14	6.56194e+14	1.27912e+15	6.81243e+14	1.60057e+10	5.80326e+11	1.55856e+12
1.25892e+16	1.60216e+20	3.50200e+12	3.62946e+14	6.48883e+14	1.16115e+15	5.92882e+14	1.82083e+10	6.49976e+11	1.69126e+12
1.25892e+16	1.51990e+20	3.70214e+12	3.72300e+14	6.40829e+14	1.05225e+15	5.15164e+14	2.06740e+10	7.26809e+11	1.83248e+12
1.25892e+16	1.44193e+20	3.90901e+12	3.81388e+14	6.32048e+14	9.51947e+14	4.46900e+14	2.34279e+10	8.11391e+11	1.98244e+12
1.25892e+16	1.36801e+20	4.12255e+12	3.90175e+14	6.22559e+14	8.59773e+14	3.87064e+14	2.64974e+10	9.04336e+11	2.14135e+12
1.25892e+16	1.29794e+20	4.34250e+12	3.98623e+14	6.12387e+14	7.75251e+14	3.34710e+14	2.99111e+10	1.00627e+12	2.30939e+12
1.25892e+16	1.23151e+20	4.56866e+12	4.06696e+14	6.01556e+14	6.97907e+14	2.88989e+14	3.36990e+10	1.11783e+12	2.48669e+12
