H	H+	C+	C+2	C+3	O+5	O+6	Si+	Si+2	Si+3
1.25891e+16	1.69718e+21	2.17220e+09	4.99401e+11	3.83108e+12	1.15766e+14	4.99290e+14	2.19567e+05	1.89557e+07	1.59208e+08
1.25893e+16	1.69641e+21	2.38111e+09	5.47634e+11	4.20115e+12	1.26924e+14	5.47196e+14	2.40929e+05	2.07939e+07	1.74666e+08
1.25893e+16	1.69554e+21	2.60999e+09	6.00528e+11	4.60700e+12	1.39158e+14	5.99653e+14	2.64391e+05	2.28115e+07	1.91635e+08
1.25891e+16	1.69458e+21	2.86078e+09	6.58528e+11	5.05205e+12	1.52576e+14	6.57095e+14	2.90151e+05	2.50254e+07	2.10261e+08
1.25891e+16	1.69355e+21	3.13559e+09	7.22146e+11	5.54023e+12	1.67295e+14	7.19992e+14	3.18451e+05	2.74559e+07	2.30716e+08
1.25891e+16	1.69244e+21	3.43666e+09	7.91911e+11	6.07561e+12	1.83441e+14	7.88854e+14	3.49537e+05	3.01238e+07	2.53174e+08
1.25891e+16	1.69119e+21	3.76648e+09	8.68434e+11	6.66289e+12	2.01151e+14	8.64217e+14	3.83706e+05	3.30536e+07	2.77845e+08
1.25891e+16	1.68983e+21	4.12775e+09	9.52366e+11	7.30706e+12	2.20580e+14	9.46691e+14	4.21262e+05	3.62709e+07	3.04948e+08
1.25891e+16	1.68835e+21	4.52345e+09	1.04442e+12	8.01362e+12	2.41893e+14	1.03694e+15	4.62543e+05	3.98039e+07	3.34722e+08
1.25893e+16	1.68687e+21	4.95704e+09	1.14538e+12	8.78864e+12	2.65283e+14	1.13576e+15	5.07881e+05	4.36818e+07	3.67415e+08
1.25892e+16	1.68510e+21	5.43160e+09	1.25613e+12	9.63887e+12	2.90940e+14	1.24375e+15	5.57802e+05	4.79450e+07	4.03377e+08
1.25892e+16	1.68318e+21	5.95122e+09	1.37761e+12	1.05716e+13	3.19097e+14	1.36184e+15	6.12713e+05	5.26287e+07	4.42908e+08
1.25893e+16	1.68111e+21	6.52012e+09	1.51088e+12	1.15949e+13	3.50002e+14	1.49094e+15	6.73134e+05	5.77758e+07	4.86375e+08
1.25891e+16	1.67882e+21	7.14275e+09	1.65705e+12	1.27175e+13	3.83920e+14	1.63200e+15	7.39638e+05	6.34329e+07	5.34182e+08
1.25892e+16	1.67631e+21	7.82411e+09	1.81746e+12	1.39495e+13	4.21155e+14	1.78611e+15	8.12900e+05	6.96548e+07	5.86809e+08
1.25892e+16	1.67363e+21	8.56978e+09	1.99341e+12	1.53012e+13	4.62027e+14	1.95449e+15	8.93562e+05	7.64949e+07	6.44704e+08
1.25892e+16	1.67072e+21	9.38556e+09	2.18645e+12	1.67844e+13	5.06903e+14	2.13833e+15	9.82433e+05	8.40183e+07	7.08439e+08
1.25893e+16	1.66759e+21	1.02781e+10	2.39828e+12	1.84124e+13	5.56170e+14	2.33907e+15	1.08038e+06	9.22954e+07	7.78620e+08
1.25891e+16	1.66434e+21	1.12547e+10	2.63063e+12	2.01986e+13	6.10263e+14	2.55836e+15	1.18818e+06	1.01394e+08	8.55837e+08
1.25892e+16	1.66051e+21	1.23209e+10	2.88575e+12	2.21606e+13	6.69656e+14	2.79703e+15	1.30748e+06	1.11430e+08	9.41158e+08
1.25892e+16	1.65651e+21	1.34869e+10	3.16567e+12	2.43140e+13	7.34877e+14	3.05750e+15	1.43898e+06	1.22475e+08	1.03516e+09
1.25891e+16	1.65222e+21	1.47611e+10	3.47283e+12	2.66776e+13	8.06487e+14	3.34148e+15	1.58409e+06	1.34638e+08	1.13881e+09
1.25892e+16	1.64744e+21	1.61517e+10	3.81008e+12	2.92744e+13	8.85109e+14	3.65052e+15	1.74468e+06	1.48059e+08	1.25341e+09
1.25892e+16	1.64235e+21	1.76699e+10	4.18015e+12	3.21256e+13	9.71435e+14	3.98720e+15	1.92201e+06	1.62846e+08	1.37990e+09
1.25892e+16	1.63692e+21	1.93269e+10	4.58638e+12	3.52571e+13	1.06628e+15	4.35366e+15	2.11804e+06	1.79154e+08	1.51966e+09
1.25892e+16	1.63111e+21	2.11341e+10	5.03219e+12	3.86968e+13	1.17043e+15	4.75245e+15	2.33479e+06	1.97141e+08	1.67416e+09
1.25892e+16	1.62486e+21	2.31044e+10	5.52176e+12	4.24765e+13	1.28477e+15	5.18599e+15	2.57479e+06	2.17005e+08	1.84521e+09
1.25892e+16	1.61816e+21	2.52507e+10	6.05916e+12	4.66300e+13	1.41033e+15	5.65718e+15	2.84051e+06	2.38941e+08	2.03460e+09
1.25892e+16	1.61104e+21	2.75879e+10	6.64914e+12	5.11953e+13	1.54813e+15	6.16922e+15	3.13477e+06	2.63174e+08	2.24445e+09
1.25893e+16	1.60345e+21	3.01308e+10	7.29694e+12	5.62145e+13	1.69938e+15	6.72524e+15	3.46089e+06	2.89963e+08	2.47721e+09
1.25892e+16	1.59535e+21	3.28952e+10	8.00819e+12	6.17335e+13	1.86533e+15	7.32867e+15	3.82244e+06	3.19593e+08	2.73558e+09
1.25893e+16	1.58682e+21	3.58994e+10	8.78915e+12	6.78036e+13	2.04741e+15	7.98361e+15	4.22327e+06	3.52372e+08	3.02254e+09
1.25892e+16	1.57777e+21	3.91599e+10	9.64659e+12	7.44808e+13	2.24716e+15	8.69373e+15	4.66784e+06	3.88656e+08	3.34156e+09
1.25892e+16	1.56814e+21	4.26956e+10	1.05880e+13	8.18238e+13	2.46615e+15	9.46296e+15	5.16104e+06	4.28826e+08	3.69642e+09
1.25892e+16	1.55788e+21	4.65196e+10	1.16199e+13	8.98971e+13	2.70604e+15	1.02955e+16	5.70777e+06	4.73265e+08	4.09109e+09
1.25892e+16	1.54708e+21	5.06552e+10	1.27520e+13	9.87787e+13	2.96890e+15	1.11968e+16	6.31384e+06	5.22462e+08	4.53048e+09
1.25892e+16	1.53579e+21	5.51243e+10	1.39941e+13	1.08552e+14	3.25702e+15	1.21721e+16	6.98569e+06	5.76959e+08	5.02021e+09
1.25892e+16	1.52394e+21	5.99454e+10	1.53566e+13	1.19311e+14	3.57277e+15	1.32267e+16	7.73081e+06	6.37371e+08	5.56675e+09
1.25892e+16	1.51154e+21	6.51396e+10	1.68511e+13	1.31157e+14	3.91855e+15	1.43663e+16	8.55694e+06	7.04357e+08	6.17721e+09
1.25892e+16	1.49879e+21	7.07434e+10	1.84920e+13	1.44216e+14	4.29743e+15	1.55995e+16	9.47114e+06	7.78572e+08	6.85867e+09
1.25892e+16	1.48553e+21	7.67758e+10	2.02931e+13	1.58618e+14	4.71228e+15	1.69313e+16	1.04838e+07	8.60892e+08	7.62100e+09
1.25891e+16	1.47179e+21	8.32614e+10	2.22701e+13	1.74506e+14	5.16648e+15	1.83691e+16	1.16044e+07	9.52202e+08	8.47431e+09
1.25892e+16	1.45771e+21	9.02353e+10	2.44415e+13	1.92049e+14	5.66365e+15	1.99220e+16	1.28433e+07	1.05348e+09	9.42979e+09
1.25892e+16	1.44331e+21	9.77195e+10	2.68249e+13	2.11423e+14	6.20787e+15	2.15989e+16	1.42118e+07	1.16582e+09	1.05003e+10
1.25892e+16	1.42854e+21	1.05738e+11	2.94409e+13	2.32828e+14	6.80342e+15	2.34080e+16	1.57222e+07	1.29044e+09	1.17009e+10
1.25892e+16	1.41353e+21	1.14324e+11	3.23117e+13	2.56481e+14	7.45550e+15	2.53608e+16	1.73870e+07	1.42864e+09	1.30477e+10
