# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: log_T, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 O+5 O+6 Si+ Si+2 Si+3 log_T parameters
134896000000000.0 4.61067e+16 1104930000000.0 9925970000000.0 1199260000000.0 8832950000.0 243105000.0 141467000000.0 674560000000.0 465378000000.0 4.0 [4.0]
134896000000000.0 4.76371e+16 1113790000000.0 10233500000000.0 1277900000000.0 9492970000.0 268709000.0 132224000000.0 703008000000.0 482025000000.0 4.02 [4.02]
134896000000000.0 4.92232e+16 1123210000000.0 10551400000000.0 1359500000000.0 10205400000.0 297193000.0 123798000000.0 732836000000.0 497755000000.0 4.04 [4.04]
134896000000000.0 5.08674e+16 1133350000000.0 10880800000000.0 1443290000000.0 10975500000.0 328913000.0 116259000000.0 764541000000.0 512086000000.0 4.06 [4.06]
134896000000000.0 5.25724e+16 1144490000000.0 11223200000000.0 1528280000000.0 11809000000.0 364268000.0 109649000000.0 798701000000.0 524493000000.0 4.08 [4.08]
134896000000000.0 5.43415e+16 1157020000000.0 11580300000000.0 1613230000000.0 12711600000.0 403704000.0 103988000000.0 835940000000.0 534429000000.0 4.1 [4.1]
134896000000000.0 5.61783e+16 1171510000000.0 11954200000000.0 1696670000000.0 13689500000.0 447716000.0 99279700000.0 876878000000.0 541385000000.0 4.12 [4.12]
134896000000000.0 5.80875e+16 1188750000000.0 12346900000000.0 1776990000000.0 14748500000.0 496862000.0 95510600000.0 922061000000.0 544950000000.0 4.14 [4.14]
134896000000000.0 6.00751e+16 1209770000000.0 12760900000000.0 1852530000000.0 15894800000.0 551773000.0 92657000000.0 971913000000.0 544867000000.0 4.16 [4.16]
134896000000000.0 6.21493e+16 1235890000000.0 13198600000000.0 1921750000000.0 17134300000.0 613171000.0 90688200000.0 1026680000000.0 541091000000.0 4.18 [4.18]
134896000000000.0 6.43212e+16 1268810000000.0 13662800000000.0 1983390000000.0 18472800000.0 681903000.0 89570700000.0 1086430000000.0 533815000000.0 4.2 [4.2]
134896000000000.0 6.6606e+16 1310620000000.0 14156200000000.0 2036590000000.0 19916500000.0 758982000.0 89272000000.0 1151060000000.0 523469000000.0 4.22 [4.22]
134896000000000.0 6.90251e+16 1363920000000.0 14682200000000.0 2081110000000.0 21472300000.0 845654000.0 89764200000.0 1220360000000.0 510682000000.0 4.24 [4.24]
134896000000000.0 7.16075e+16 1431900000000.0 15244900000000.0 2117320000000.0 23148500000.0 943494000.0 91025500000.0 1294150000000.0 496220000000.0 4.26 [4.26]
134896000000000.0 7.43936e+16 1518420000000.0 15849800000000.0 2146340000000.0 24956500000.0 1054550000.0 93041900000.0 1372350000000.0 480927000000.0 4.28 [4.28]
134896000000000.0 7.74387e+16 1628170000000.0 16504600000000.0 2169990000000.0 26912700000.0 1181570000.0 95807500000.0 1455180000000.0 465659000000.0 4.3 [4.3]
134896000000000.0 8.08217e+16 1766830000000.0 17221400000000.0 2190970000000.0 29046000000.0 1328530000.0 99321900000.0 1543260000000.0 451274000000.0 4.32 [4.32]
134896000000000.0 8.46266e+16 1941350000000.0 18012600000000.0 2211590000000.0 31372900000.0 1499580000.0 103602000000.0 1637520000000.0 438401000000.0 4.34 [4.34]
134896000000000.0 8.89935e+16 2160230000000.0 18901400000000.0 2235970000000.0 33951300000.0 1702190000.0 108662000000.0 1739760000000.0 427820000000.0 4.36 [4.36]
134896000000000.0 9.40889e+16 2434010000000.0 19916100000000.0 2268120000000.0 36842000000.0 1945660000.0 114530000000.0 1852280000000.0 420147000000.0 4.38 [4.38]
134896000000000.0 1.0013e+17 2775880000000.0 21094600000000.0 2312700000000.0 40127800000.0 2242940000.0 121241000000.0 1978180000000.0 415984000000.0 4.4 [4.4]
134896000000000.0 1.0738e+17 3202430000000.0 22483000000000.0 2374310000000.0 43893600000.0 2610190000.0 128842000000.0 2121110000000.0 415838000000.0 4.42 [4.42]
134896000000000.0 1.16178e+17 3734380000000.0 24141800000000.0 2458610000000.0 48253000000.0 3069780000.0 137373000000.0 2285540000000.0 420301000000.0 4.44 [4.44]
134896000000000.0 1.2694e+17 4397430000000.0 26145200000000.0 2571800000000.0 53325800000.0 3650250000.0 146862000000.0 2476510000000.0 429974000000.0 4.46 [4.46]
134896000000000.0 1.40173e+17 5222660000000.0 28584000000000.0 2720920000000.0 59236200000.0 4387770000.0 157306000000.0 2699500000000.0 445511000000.0 4.48 [4.48]
134896000000000.0 1.56485e+17 6246350000000.0 31568400000000.0 2914110000000.0 66105500000.0 5327350000.0 168645000000.0 2960150000000.0 467637000000.0 4.5 [4.5]
134896000000000.0 1.76612e+17 7509150000000.0 35233700000000.0 3161130000000.0 74025200000.0 6520170000.0 180747000000.0 3264120000000.0 497202000000.0 4.52 [4.52]
134896000000000.0 2.01425e+17 9053110000000.0 39745100000000.0 3473800000000.0 83069900000.0 8025640000.0 193392000000.0 3616680000000.0 535200000000.0 4.54 [4.54]
134896000000000.0 2.3195e+17 10916900000000.0 45305200000000.0 3866570000000.0 93284500000.0 9908370000.0 206262000000.0 4022320000000.0 582838000000.0 4.56 [4.56]
134896000000000.0 2.69379e+17 13128800000000.0 52163500000000.0 4357630000000.0 104688000000.0 12235700000.0 218961000000.0 4484540000000.0 641644000000.0 4.58 [4.58]
134896000000000.0 3.15099e+17 15698300000000.0 60627800000000.0 4970070000000.0 117283000000.0 15075100000.0 231039000000.0 5005600000000.0 713629000000.0 4.6 [4.6]
134896000000000.0 3.70709e+17 18607300000000.0 71074800000000.0 5733100000000.0 131071000000.0 18492400000.0 242035000000.0 5586390000000.0 801512000000.0 4.62 [4.62]
134896000000000.0 4.38044e+17 21804000000000.0 83959000000000.0 6683620000000.0 146075000000.0 22551700000.0 251517000000.0 6226310000000.0 909027000000.0 4.64 [4.64]
134896000000000.0 5.19158e+17 25199400000000.0 99807500000000.0 7867970000000.0 162346000000.0 27314900000.0 259096000000.0 6922670000000.0 1041270000000.0 4.66 [4.66]
