# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: log_T, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 O+5 O+6 Si+ Si+2 Si+3 log_T parameters
134896000000000.0 4.43392e+17 291526000000.0 25351200000000.0 38365200000000.0 16648700000000.0 2587490000000.0 3098880000.0 120797000000.0 795159000000.0 4.0 [4.0]
134896000000000.0 4.58235e+17 282077000000.0 25098900000000.0 39389500000000.0 17446200000000.0 2798570000000.0 2950140000.0 118197000000.0 780455000000.0 4.02 [4.02]
134896000000000.0 4.73617e+17 273309000000.0 24874400000000.0 40393900000000.0 18282400000000.0 3027330000000.0 2823050000.0 116086000000.0 765191000000.0 4.04 [4.04]
134896000000000.0 4.89561e+17 265357000000.0 24692400000000.0 41371400000000.0 19161200000000.0 3275500000000.0 2719360000.0 114566000000.0 749310000000.0 4.06 [4.06]
134896000000000.0 5.0609e+17 258383000000.0 24569300000000.0 42315000000000.0 20086200000000.0 3544920000000.0 2641030000.0 113744000000.0 732744000000.0 4.08 [4.08]
134896000000000.0 5.23229e+17 252567000000.0 24522800000000.0 43217100000000.0 21060000000000.0 3837450000000.0 2590350000.0 113724000000.0 715445000000.0 4.1 [4.1]
134896000000000.0 5.41003e+17 248117000000.0 24571400000000.0 44070700000000.0 22083900000000.0 4154960000000.0 2569740000.0 114596000000.0 697359000000.0 4.12 [4.12]
134896000000000.0 5.59439e+17 245261000000.0 24733500000000.0 44869200000000.0 23158000000000.0 4499210000000.0 2581830000.0 116438000000.0 678446000000.0 4.14 [4.14]
134896000000000.0 5.7857e+17 244257000000.0 25026900000000.0 45606800000000.0 24280000000000.0 4871830000000.0 2629430000.0 119301000000.0 658699000000.0 4.16 [4.16]
134896000000000.0 5.98427e+17 245398000000.0 25467900000000.0 46279300000000.0 25445300000000.0 5274200000000.0 2715460000.0 123207000000.0 638126000000.0 4.18 [4.18]
134896000000000.0 6.19049e+17 249023000000.0 26070400000000.0 46883700000000.0 26646800000000.0 5707370000000.0 2842940000.0 128138000000.0 616767000000.0 4.2 [4.2]
134896000000000.0 6.40479e+17 255528000000.0 26845100000000.0 47419300000000.0 27874300000000.0 6172020000000.0 3014800000.0 134039000000.0 594698000000.0 4.22 [4.22]
134896000000000.0 6.62766e+17 265393000000.0 27799400000000.0 47887400000000.0 29114600000000.0 6668330000000.0 3233750000.0 140810000000.0 572029000000.0 4.24 [4.24]
134896000000000.0 6.85969e+17 279193000000.0 28936300000000.0 48291300000000.0 30351800000000.0 7195970000000.0 3501840000.0 148317000000.0 548898000000.0 4.26 [4.26]
134896000000000.0 7.10158e+17 297624000000.0 30255400000000.0 48636900000000.0 31568100000000.0 7754200000000.0 3820170000.0 156391000000.0 525478000000.0 4.28 [4.28]
134896000000000.0 7.35487e+17 321483000000.0 31751600000000.0 48934600000000.0 32751500000000.0 8344110000000.0 4187370000.0 164820000000.0 501929000000.0 4.3 [4.3]
134896000000000.0 7.61933e+17 351825000000.0 33419900000000.0 49189600000000.0 33869000000000.0 8959900000000.0 4602980000.0 173455000000.0 478522000000.0 4.32 [4.32]
134896000000000.0 7.89703e+17 389729000000.0 35249600000000.0 49416800000000.0 34911500000000.0 9602810000000.0 5061140000.0 182071000000.0 455427000000.0 4.34 [4.34]
134896000000000.0 8.19004e+17 436426000000.0 37229300000000.0 49631300000000.0 35869800000000.0 10273800000000.0 5553430000.0 190466000000.0 432826000000.0 4.36 [4.36]
134896000000000.0 8.49971e+17 493341000000.0 39349300000000.0 49846000000000.0 36727100000000.0 10970200000000.0 6070660000.0 198508000000.0 410937000000.0 4.38 [4.38]
134896000000000.0 8.82901e+17 561900000000.0 41598400000000.0 50079500000000.0 37484900000000.0 11694800000000.0 6598780000.0 206050000000.0 389909000000.0 4.4 [4.4]
134896000000000.0 9.18119e+17 643608000000.0 43968300000000.0 50350300000000.0 38147300000000.0 12451000000000.0 7121850000.0 212993000000.0 369880000000.0 4.42 [4.42]
134896000000000.0 9.5601e+17 739987000000.0 46453900000000.0 50678400000000.0 38723900000000.0 13243300000000.0 7622420000.0 219278000000.0 350966000000.0 4.44 [4.44]
134896000000000.0 9.97044e+17 852532000000.0 49053800000000.0 51084900000000.0 39230500000000.0 14078600000000.0 8082080000.0 224881000000.0 333252000000.0 4.46 [4.46]
134896000000000.0 1.04179e+18 982675000000.0 51771400000000.0 51592800000000.0 39687900000000.0 14965900000000.0 8482780000.0 229811000000.0 316799000000.0 4.48 [4.48]
134896000000000.0 1.09091e+18 1131750000000.0 54614900000000.0 52226000000000.0 40121000000000.0 15916600000000.0 8807920000.0 234100000000.0 301644000000.0 4.5 [4.5]
134896000000000.0 1.14521e+18 1300980000000.0 57600300000000.0 53010400000000.0 40556700000000.0 16944300000000.0 9043860000.0 237806000000.0 287807000000.0 4.52 [4.52]
134896000000000.0 1.20565e+18 1491340000000.0 60745100000000.0 53976000000000.0 41024600000000.0 18065500000000.0 9180830000.0 240997000000.0 275295000000.0 4.54 [4.54]
134896000000000.0 1.27334e+18 1703610000000.0 64076200000000.0 55153000000000.0 41555200000000.0 19299300000000.0 9213960000.0 243751000000.0 264103000000.0 4.56 [4.56]
134896000000000.0 1.34956e+18 1938210000000.0 67624400000000.0 56574300000000.0 42179300000000.0 20667900000000.0 9143470000.0 246149000000.0 254222000000.0 4.58 [4.58]
134896000000000.0 1.4358e+18 2195080000000.0 71424800000000.0 58275600000000.0 42928400000000.0 22196700000000.0 8974640000.0 248264000000.0 245644000000.0 4.6 [4.6]
134896000000000.0 1.53374e+18 2473500000000.0 75516200000000.0 60295300000000.0 43834100000000.0 23914900000000.0 8717080000.0 250162000000.0 238365000000.0 4.62 [4.62]
134896000000000.0 1.64532e+18 2771860000000.0 79939600000000.0 62674700000000.0 44929100000000.0 25856300000000.0 8383640000.0 251898000000.0 232390000000.0 4.64 [4.64]
134896000000000.0 1.77272e+18 3087430000000.0 84736400000000.0 65458600000000.0 46246900000000.0 28059500000000.0 7989130000.0 253505000000.0 227739000000.0 4.66 [4.66]
134896000000000.0 1.9184e+18 3416050000000.0 89947100000000.0 68694400000000.0 47823000000000.0 30568900000000.0 7548920000.0 254998000000.0 224452000000.0 4.68 [4.68]
134896000000000.0 2.08513e+18 3751850000000.0 95606500000000.0 72434400000000.0 49695600000000.0 33435900000000.0 7076010000.0 256302000000.0 222539000000.0 4.7 [4.7]
134896000000000.0 2.27596e+18 4087090000000.0 101739000000000.0 76733900000000.0 51907400000000.0 36720400000000.0 6556290000.0 256295000000.0 221160000000.0 4.72 [4.72]
134896000000000.0 2.49434e+18 4412310000000.0 108360000000000.0 81654700000000.0 54504300000000.0 40491600000000.0 6036980000.0 256138000000.0 221501000000.0 4.74 [4.74]
134896000000000.0 2.74408e+18 4716460000000.0 115461000000000.0 87262300000000.0 57539100000000.0 44830200000000.0 5526900000.0 255753000000.0 223714000000.0 4.76 [4.76]
134896000000000.0 3.02913e+18 4986760000000.0 122997000000000.0 93621400000000.0 61067800000000.0 49827300000000.0 5032280000.0 255020000000.0 227987000000.0 4.78 [4.78]
134896000000000.0 3.35416e+18 5210400000000.0 130897000000000.0 100812000000000.0 65162700000000.0 55596300000000.0 4557810000.0 253814000000.0 234567000000.0 4.8 [4.8]
