H	H+	C+	C+2	C+3	O+5	O+6	Si+	Si+2	Si+3
1.34896e+14	1.07165e+19	8.69339e+09	3.87961e+12	3.61317e+13	9.48148e+14	2.66084e+15	2.38099e+06	2.39236e+08	2.86072e+09
1.34896e+14	1.00751e+19	9.33221e+09	4.12928e+12	3.73405e+13	9.27750e+14	2.45603e+15	2.85544e+06	2.83299e+08	3.32413e+09
1.34896e+14	9.47659e+18	1.00083e+10	4.38748e+12	3.85264e+13	9.06179e+14	2.26414e+15	3.41560e+06	3.34677e+08	3.85389e+09
1.34896e+14	8.91801e+18	1.07251e+10	4.65418e+12	3.96859e+13	8.83522e+14	2.08462e+15	4.07583e+06	3.94454e+08	4.45776e+09
1.34896e+14	8.39583e+18	1.14846e+10	4.92942e+12	4.08174e+13	8.59867e+14	1.91674e+15	4.85230e+06	4.63871e+08	5.14519e+09
1.34896e+14	7.90770e+18	1.22910e+10	5.21319e+12	4.19181e+13	8.35312e+14	1.76003e+15	5.76417e+06	5.44318e+08	5.92557e+09
1.34896e+14	7.45083e+18	1.31471e+10	5.50550e+12	4.29860e+13	8.09946e+14	1.61386e+15	6.83295e+06	6.37369e+08	6.80995e+09
1.34896e+14	7.02275e+18	1.40556e+10	5.80631e+12	4.40193e+13	7.83863e+14	1.47764e+15	8.08310e+06	7.44799e+08	7.81060e+09
1.34896e+14	6.62165e+18	1.50218e+10	6.11564e+12	4.50157e+13	7.57175e+14	1.35091e+15	9.54369e+06	8.68596e+08	8.93978e+09
1.34896e+14	6.24540e+18	1.60487e+10	6.43340e+12	4.59737e+13	7.29982e+14	1.23312e+15	1.12466e+07	1.01098e+09	1.02120e+10
1.34896e+14	5.89229e+18	1.71409e+10	6.75959e+12	4.68914e+13	7.02374e+14	1.12380e+15	1.32289e+07	1.17443e+09	1.16424e+10
1.34896e+14	5.56064e+18	1.83033e+10	7.09428e+12	4.77671e+13	6.74448e+14	1.02249e+15	1.55327e+07	1.36174e+09	1.32477e+10
1.34896e+14	5.24896e+18	1.95395e+10	7.43701e+12	4.85994e+13	6.46312e+14	9.28720e+14	1.82051e+07	1.57597e+09	1.50460e+10
1.34896e+14	4.95585e+18	2.08550e+10	7.78780e+12	4.93869e+13	6.18061e+14	8.42069e+14	2.13001e+07	1.82056e+09	1.70568e+10
1.34896e+14	4.68001e+18	2.22534e+10	8.14636e+12	5.01289e+13	5.89799e+14	7.62110e+14	2.48773e+07	2.09930e+09	1.93020e+10
1.34896e+14	4.42045e+18	2.37438e+10	8.51306e+12	5.08237e+13	5.61631e+14	6.88488e+14	2.90072e+07	2.41638e+09	2.18030e+10
1.34896e+14	4.17598e+18	2.53286e+10	8.88700e+12	5.14706e+13	5.33654e+14	6.20776e+14	3.37646e+07	2.77638e+09	2.45851e+10
1.34896e+14	3.94552e+18	2.70132e+10	9.26810e+12	5.20685e+13	5.05952e+14	5.58605e+14	3.92334e+07	3.18435e+09	2.76760e+10
1.34896e+14	3.72817e+18	2.88019e+10	9.65551e+12	5.26168e+13	4.78613e+14	5.01632e+14	4.55073e+07	3.64575e+09	3.11043e+10
1.34896e+14	3.52337e+18	3.07093e+10	1.00501e+13	5.31139e+13	4.51734e+14	4.49575e+14	5.27021e+07	4.16678e+09	3.48955e+10
1.34896e+14	3.33019e+18	3.27395e+10	1.04510e+13	5.35591e+13	4.25393e+14	4.02075e+14	6.09338e+07	4.75397e+09	3.90834e+10
1.34896e+14	3.14794e+18	3.49014e+10	1.08581e+13	5.39518e+13	3.99664e+14	3.58829e+14	7.03377e+07	5.41451e+09	4.37006e+10
1.34896e+14	2.97588e+18	3.72006e+10	1.12706e+13	5.42913e+13	3.74612e+14	3.19535e+14	8.10566e+07	6.15604e+09	4.87843e+10
1.34896e+14	2.81345e+18	3.96488e+10	1.16885e+13	5.45768e+13	3.50305e+14	2.83914e+14	9.32596e+07	6.98703e+09	5.43696e+10
1.34896e+14	2.66017e+18	4.22601e+10	1.21116e+13	5.48074e+13	3.26803e+14	2.51717e+14	1.07141e+08	7.91672e+09	6.04905e+10
1.34896e+14	2.51539e+18	4.50412e+10	1.25394e+13	5.49827e+13	3.04149e+14	2.22665e+14	1.22894e+08	8.95463e+09	6.71915e+10
1.34896e+14	2.37860e+18	4.80028e+10	1.29712e+13	5.51023e+13	2.82383e+14	1.96520e+14	1.40742e+08	1.01112e+10	7.45136e+10
1.34896e+14	2.24935e+18	5.11585e+10	1.34068e+13	5.51656e+13	2.61539e+14	1.73048e+14	1.60934e+08	1.13974e+10	8.24998e+10
1.34896e+14	2.12719e+18	5.45187e+10	1.38451e+13	5.51719e+13	2.41644e+14	1.52028e+14	1.83741e+08	1.28250e+10	9.11931e+10
1.34896e+14	2.01153e+18	5.80815e+10	1.42835e+13	5.51211e+13	2.22705e+14	1.33230e+14	2.09407e+08	1.44051e+10	1.00655e+11
1.34896e+14	1.90215e+18	6.18740e+10	1.47236e+13	5.50124e+13	2.04745e+14	1.16479e+14	2.38291e+08	1.61515e+10	1.10922e+11
1.34896e+14	1.79876e+18	6.59151e+10	1.51649e+13	5.48456e+13	1.87774e+14	1.01596e+14	2.70773e+08	1.80784e+10	1.22033e+11
1.34896e+14	1.70101e+18	7.02224e+10	1.56069e+13	5.46205e+13	1.71790e+14	8.84076e+13	3.07259e+08	2.02006e+10	1.34034e+11
1.34896e+14	1.60862e+18	7.48144e+10	1.60492e+13	5.43368e+13	1.56786e+14	7.67525e+13	3.48202e+08	2.25334e+10	1.46965e+11
1.34896e+14	1.52128e+18	7.97121e+10	1.64914e+13	5.39945e+13	1.42749e+14	6.64838e+13	3.94106e+08	2.50933e+10	1.60868e+11
1.34896e+14	1.43873e+18	8.49362e+10	1.69329e+13	5.35937e+13	1.29658e+14	5.74635e+13	4.45530e+08	2.78975e+10	1.75779e+11
1.34896e+14	1.36070e+18	9.05087e+10	1.73731e+13	5.31343e+13	1.17489e+14	4.95605e+13	5.03093e+08	3.09637e+10	1.91733e+11
1.34896e+14	1.28694e+18	9.64522e+10	1.78114e+13	5.26167e+13	1.06215e+14	4.26544e+13	5.67484e+08	3.43108e+10	2.08760e+11
1.34896e+14	1.21724e+18	1.02791e+11	1.82473e+13	5.20412e+13	9.58022e+13	3.66350e+13	6.39475e+08	3.79586e+10	2.26888e+11
1.34896e+14	1.15136e+18	1.09550e+11	1.86799e+13	5.14085e+13	8.62161e+13	3.14019e+13	7.19918e+08	4.19274e+10	2.46134e+11
