# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 O+5 O+6 Si+ Si+2 Si+3 log_nH parameters
134896000000000.0 1.07165e+19 8693390000.0 3879610000000.0 36131700000000.0 948148000000000.0 2660840000000000.0 2380990.0 239236000.0 2860720000.0 -5.0 [-5.0]
134896000000000.0 1.00751e+19 9332210000.0 4129280000000.0 37340500000000.0 927750000000000.0 2456030000000000.0 2855440.0 283299000.0 3324130000.0 -4.98 [-4.98]
134896000000000.0 9.47659e+18 10008300000.0 4387480000000.0 38526400000000.0 906179000000000.0 2264140000000000.0 3415600.0 334677000.0 3853890000.0 -4.96 [-4.96]
134896000000000.0 8.91801e+18 10725100000.0 4654180000000.0 39685900000000.0 883522000000000.0 2084620000000000.0 4075830.0 394454000.0 4457760000.0 -4.94 [-4.94]
134896000000000.0 8.39583e+18 11484600000.0 4929420000000.0 40817400000000.0 859867000000000.0 1916740000000000.0 4852300.0 463871000.0 5145190000.0 -4.92 [-4.92]
134896000000000.0 7.9077e+18 12291000000.0 5213190000000.0 41918100000000.0 835312000000000.0 1760030000000000.0 5764170.0 544318000.0 5925570000.0 -4.9 [-4.9]
134896000000000.0 7.45083e+18 13147100000.0 5505500000000.0 42986000000000.0 809946000000000.0 1613860000000000.0 6832950.0 637369000.0 6809950000.0 -4.88 [-4.88]
134896000000000.0 7.02275e+18 14055600000.0 5806310000000.0 44019300000000.0 783863000000000.0 1477640000000000.0 8083100.0 744799000.0 7810600000.0 -4.86 [-4.86]
134896000000000.0 6.62165e+18 15021800000.0 6115640000000.0 45015700000000.0 757175000000000.0 1350910000000000.0 9543690.0 868596000.0 8939780000.0 -4.84 [-4.84]
134896000000000.0 6.2454e+18 16048700000.0 6433400000000.0 45973700000000.0 729982000000000.0 1233120000000000.0 11246600.0 1010980000.0 10212000000.0 -4.82 [-4.82]
134896000000000.0 5.89229e+18 17140900000.0 6759590000000.0 46891400000000.0 702374000000000.0 1123800000000000.0 13228900.0 1174430000.0 11642400000.0 -4.8 [-4.8]
134896000000000.0 5.56064e+18 18303300000.0 7094280000000.0 47767100000000.0 674448000000000.0 1022490000000000.0 15532700.0 1361740000.0 13247700000.0 -4.78 [-4.78]
134896000000000.0 5.24896e+18 19539500000.0 7437010000000.0 48599400000000.0 646312000000000.0 928720000000000.0 18205100.0 1575970000.0 15046000000.0 -4.76 [-4.76]
134896000000000.0 4.95585e+18 20855000000.0 7787800000000.0 49386900000000.0 618061000000000.0 842069000000000.0 21300100.0 1820560000.0 17056800000.0 -4.74 [-4.74]
134896000000000.0 4.68001e+18 22253400000.0 8146360000000.0 50128900000000.0 589799000000000.0 762110000000000.0 24877300.0 2099300000.0 19302000000.0 -4.72 [-4.72]
134896000000000.0 4.42045e+18 23743800000.0 8513060000000.0 50823700000000.0 561631000000000.0 688488000000000.0 29007200.0 2416380000.0 21803000000.0 -4.7 [-4.7]
134896000000000.0 4.17598e+18 25328600000.0 8887000000000.0 51470600000000.0 533654000000000.0 620776000000000.0 33764600.0 2776380000.0 24585100000.0 -4.68 [-4.68]
134896000000000.0 3.94552e+18 27013200000.0 9268100000000.0 52068500000000.0 505952000000000.0 558605000000000.0 39233400.0 3184350000.0 27676000000.0 -4.66 [-4.66]
134896000000000.0 3.72817e+18 28801900000.0 9655510000000.0 52616800000000.0 478613000000000.0 501632000000000.0 45507300.0 3645750000.0 31104300000.0 -4.64 [-4.64]
134896000000000.0 3.52337e+18 30709300000.0 10050100000000.0 53113900000000.0 451734000000000.0 449575000000000.0 52702100.0 4166780000.0 34895500000.0 -4.62 [-4.62]
134896000000000.0 3.33019e+18 32739500000.0 10451000000000.0 53559100000000.0 425393000000000.0 402075000000000.0 60933800.0 4753970000.0 39083400000.0 -4.6 [-4.6]
134896000000000.0 3.14794e+18 34901400000.0 10858100000000.0 53951800000000.0 399664000000000.0 358829000000000.0 70337700.0 5414510000.0 43700600000.0 -4.58 [-4.58]
134896000000000.0 2.97588e+18 37200600000.0 11270600000000.0 54291300000000.0 374612000000000.0 319535000000000.0 81056600.0 6156040000.0 48784300000.0 -4.56 [-4.56]
134896000000000.0 2.81345e+18 39648800000.0 11688500000000.0 54576800000000.0 350305000000000.0 283914000000000.0 93259600.0 6987030000.0 54369600000.0 -4.54 [-4.54]
134896000000000.0 2.66017e+18 42260100000.0 12111600000000.0 54807400000000.0 326803000000000.0 251717000000000.0 107141000.0 7916720000.0 60490500000.0 -4.52 [-4.52]
134896000000000.0 2.51539e+18 45041200000.0 12539400000000.0 54982700000000.0 304149000000000.0 222665000000000.0 122894000.0 8954630000.0 67191500000.0 -4.5 [-4.5]
134896000000000.0 2.3786e+18 48002800000.0 12971200000000.0 55102300000000.0 282383000000000.0 196520000000000.0 140742000.0 10111200000.0 74513600000.0 -4.48 [-4.48]
134896000000000.0 2.24935e+18 51158500000.0 13406800000000.0 55165600000000.0 261539000000000.0 173048000000000.0 160934000.0 11397400000.0 82499800000.0 -4.46 [-4.46]
134896000000000.0 2.12719e+18 54518700000.0 13845100000000.0 55171900000000.0 241644000000000.0 152028000000000.0 183741000.0 12825000000.0 91193100000.0 -4.44 [-4.44]
134896000000000.0 2.01153e+18 58081500000.0 14283500000000.0 55121100000000.0 222705000000000.0 133230000000000.0 209407000.0 14405100000.0 100655000000.0 -4.42 [-4.42]
134896000000000.0 1.90215e+18 61874000000.0 14723600000000.0 55012400000000.0 204745000000000.0 116479000000000.0 238291000.0 16151500000.0 110922000000.0 -4.4 [-4.4]
134896000000000.0 1.79876e+18 65915100000.0 15164900000000.0 54845600000000.0 187774000000000.0 101596000000000.0 270773000.0 18078400000.0 122033000000.0 -4.38 [-4.38]
134896000000000.0 1.70101e+18 70222400000.0 15606900000000.0 54620500000000.0 171790000000000.0 88407600000000.0 307259000.0 20200600000.0 134034000000.0 -4.36 [-4.36]
134896000000000.0 1.60862e+18 74814400000.0 16049200000000.0 54336800000000.0 156786000000000.0 76752500000000.0 348202000.0 22533400000.0 146965000000.0 -4.34 [-4.34]
