H	H+	C+2	C+3	O+6	Si+2	Si+3
1.34896e+14	4.40984e+18	3.13744e+11	4.88398e+12	8.48303e+13	3.17359e+07	2.07203e+09
1.34896e+14	4.79069e+18	2.82003e+11	4.79275e+12	9.57291e+13	2.66537e+07	1.73867e+09
1.34896e+14	5.20729e+18	2.58390e+11	4.69258e+12	1.07893e+14	2.32578e+07	1.45294e+09
1.34896e+14	5.66340e+18	2.44547e+11	4.58374e+12	1.21446e+14	2.14280e+07	1.20824e+09
1.34896e+14	6.16321e+18	2.41587e+11	4.46667e+12	1.36482e+14	2.09263e+07	9.99322e+08
1.34896e+14	6.71151e+18	2.49617e+11	4.34197e+12	1.53057e+14	2.13826e+07	8.22063e+08
1.34896e+14	7.31370e+18	2.67454e+11	4.21052e+12	1.71188e+14	2.23386e+07	6.73077e+08
1.34896e+14	7.97667e+18	2.92663e+11	4.07373e+12	1.90896e+14	2.33392e+07	5.49412e+08
1.34896e+14	8.70887e+18	3.21884e+11	3.93328e+12	2.12243e+14	2.40262e+07	4.48179e+08
1.34896e+14	9.52124e+18	3.51403e+11	3.79121e+12	2.35403e+14	2.41934e+07	3.66423e+08
1.34896e+14	1.04283e+19	3.77771e+11	3.64985e+12	2.60713e+14	2.37842e+07	3.01121e+08
1.34896e+14	1.14491e+19	3.98290e+11	3.51164e+12	2.88708e+14	2.28503e+07	2.49320e+08
1.34896e+14	1.26098e+19	4.11326e+11	3.37929e+12	3.20163e+14	2.15008e+07	2.08340e+08
1.34896e+14	1.39444e+19	4.16300e+11	3.25523e+12	3.56088e+14	1.98636e+07	1.75913e+08
1.34896e+14	1.54967e+19	4.13513e+11	3.14156e+12	3.97744e+14	1.80705e+07	1.50316e+08
1.34896e+14	1.73223e+19	4.03841e+11	3.03984e+12	4.46671e+14	1.62233e+07	1.30154e+08
1.34896e+14	1.94894e+19	3.88372e+11	2.95085e+12	5.04696e+14	1.45024e+07	1.15227e+08
1.34896e+14	2.20815e+19	3.68080e+11	2.87451e+12	5.73964e+14	1.30363e+07	1.05466e+08
1.34896e+14	2.51984e+19	3.43570e+11	2.80954e+12	6.56918e+14	1.19251e+07	1.01235e+08
1.34896e+14	2.89571e+19	3.14979e+11	2.75306e+12	7.56267e+14	1.12234e+07	1.03336e+08
1.34896e+14	3.34944e+19	2.82100e+11	2.70004e+12	8.74940e+14	1.09296e+07	1.13096e+08
1.34896e+14	3.89682e+19	2.44649e+11	2.64032e+12	1.01603e+15	1.09841e+07	1.32490e+08
1.34896e+14	4.55585e+19	2.03584e+11	2.56487e+12	1.18268e+15	1.12798e+07	1.64225e+08
1.34896e+14	5.34704e+19	1.60932e+11	2.45972e+12	1.37804e+15	1.16964e+07	2.11924e+08
1.34896e+14	6.29363e+19	1.19916e+11	2.31138e+12	1.60516e+15	1.21525e+07	2.80765e+08
1.34896e+14	7.42184e+19	8.39390e+10	2.11251e+12	1.86696e+15	1.26351e+07	3.78728e+08
1.34896e+14	8.76149e+19	5.53111e+10	1.86792e+12	2.16620e+15	1.31608e+07	5.17282e+08
1.34896e+14	1.03453e+20	3.45625e+10	1.59544e+12	2.50519e+15	1.36862e+07	7.08898e+08
1.34896e+14	1.22102e+20	2.07158e+10	1.32028e+12	2.88584e+15	1.40576e+07	9.60071e+08
1.34896e+14	1.43975e+20	1.20740e+10	1.06575e+12	3.30930e+15	1.40484e+07	1.26161e+09
1.34896e+14	1.69532e+20	6.94017e+09	8.46818e+11	3.77550e+15	1.34490e+07	1.58023e+09
1.34896e+14	1.99284e+20	3.99006e+09	6.69484e+11	4.28263e+15	1.21489e+07	1.85563e+09
1.34896e+14	2.33814e+20	2.33044e+09	5.33737e+11	4.82736e+15	1.01910e+07	2.00867e+09
1.34896e+14	2.73765e+20	1.41006e+09	4.36806e+11	5.40478e+15	7.79798e+06	1.96788e+09
1.34896e+14	3.19821e+20	8.99365e+08	3.73250e+11	6.00887e+15	5.33867e+06	1.71130e+09
1.34896e+14	3.72726e+20	6.14378e+08	3.38257e+11	6.63359e+15	3.21251e+06	1.29780e+09
1.34896e+14	4.33350e+20	4.52285e+08	3.27144e+11	7.27506e+15	1.67629e+06	8.47087e+08
1.34896e+14	5.02626e+20	3.55887e+08	3.34907e+11	7.93155e+15	7.51793e+05	4.71850e+08
1.34896e+14	5.81664e+20	2.93000e+08	3.55027e+11	8.60797e+15	2.88703e+05	2.23519e+08
1.34896e+14	6.71702e+20	2.43271e+08	3.75771e+11	9.31803e+15	9.47157e+04	8.98898e+07
1.34896e+14	7.74106e+20	1.96571e+08	3.82922e+11	1.00851e+16	2.64577e+04	3.06072e+07
1.34896e+14	8.90345e+20	1.49549e+08	3.63355e+11	1.09350e+16	6.28124e+03	8.80421e+06
1.34896e+14	1.02212e+21	1.05191e+08	3.14438e+11	1.18746e+16	1.25314e+03	2.11550e+06
1.34896e+14	1.17138e+21	6.80016e+07	2.46336e+11	1.28492e+16	2.05599e+02	4.15548e+05
1.34896e+14	1.34035e+21	4.01876e+07	1.74484e+11	1.36907e+16	2.70558e+01	6.51677e+04
1.34896e+14	1.53159e+21	2.19522e+07	1.13676e+11	1.41003e+16	2.87487e+00	8.22413e+03
1.34896e+14	1.74797e+21	1.14466e+07	7.05057e+10	1.37313e+16	2.60331e-01	8.82021e+02
1.34896e+14	1.99269e+21	5.84275e+06	4.26379e+10	1.23884e+16	2.17836e-02	8.71519e+01
1.34896e+14	2.26965e+21	2.96910e+06	2.55466e+10	1.02252e+16	1.80988e-03	8.52621e+00
1.34896e+14	2.58316e+21	1.51694e+06	1.53164e+10	7.71737e+15	1.56537e-04	8.66053e-01
1.34896e+14	2.93815e+21	7.83215e+05	9.24138e+09	5.39905e+15	1.45051e-05	9.40232e-02
1.34896e+14	3.34041e+21	4.09696e+05	5.63073e+09	3.59113e+15	1.46187e-06	1.10791e-02
1.34896e+14	3.79666e+21	2.17229e+05	3.46869e+09	2.31817e+15	1.61184e-07	1.42562e-03
1.34896e+14	4.31460e+21	1.16774e+05	2.16220e+09	1.48037e+15	1.94400e-08	2.00350e-04
1.34896e+14	4.90300e+21	6.36686e+04	1.36493e+09	9.49756e+14	2.55225e-09	3.06087e-05
1.34896e+14	5.57218e+21	3.52033e+04	8.72679e+08	6.16661e+14	3.66616e-10	5.03191e-06
1.34896e+14	6.33393e+21	1.97335e+04	5.65080e+08	4.07251e+14	5.51573e-11	8.78395e-07
1.34896e+14	7.20198e+21	1.12086e+04	3.70493e+08	2.74377e+14	7.29432e-12	1.60284e-07
1.34896e+14	8.19224e+21	6.44469e+03	2.45780e+08	1.88659e+14	1.18724e-13	3.00370e-08
1.34896e+14	9.32307e+21	3.74597e+03	1.64790e+08	1.32285e+14	1.94094e-14	5.67549e-09
1.34896e+14	1.06159e+22	2.19769e+03	1.11536e+08	9.44371e+13	3.19406e-15	1.07878e-09
1.34896e+14	4.21155e+18	3.32655e+11	4.94470e+12	7.85877e+13	3.67175e+07	2.28955e+09
1.34896e+14	4.57526e+18	2.99390e+11	4.85862e+12	8.88231e+13	3.08962e+07	1.92485e+09
1.34896e+14	4.97311e+18	2.74679e+11	4.76327e+12	1.00269e+14	2.70100e+07	1.61152e+09
1.34896e+14	5.40869e+18	2.60303e+11	4.65889e+12	1.13045e+14	2.49305e+07	1.34257e+09
1.34896e+14	5.88601e+18	2.57490e+11	4.54588e+12	1.27245e+14	2.43906e+07	1.11243e+09
1.34896e+14	6.40966e+18	2.66398e+11	4.42486e+12	1.42921e+14	2.49662e+07	9.16729e+08
1.34896e+14	6.98479e+18	2.85815e+11	4.29669e+12	1.60086e+14	2.61269e+07	7.51880e+08
1.34896e+14	7.61803e+18	3.13178e+11	4.16280e+12	1.78756e+14	2.73422e+07	6.14763e+08
1.34896e+14	8.31755e+18	3.44928e+11	4.02496e+12	1.98987e+14	2.81921e+07	5.02304e+08
1.34896e+14	9.09394e+18	3.77111e+11	3.88530e+12	2.20943e+14	2.84325e+07	4.11328e+08
1.34896e+14	9.96134e+18	4.06034e+11	3.74625e+12	2.44956e+14	2.79954e+07	3.38560e+08
1.34896e+14	1.09385e+19	4.28801e+11	3.61042e+12	2.71556e+14	2.69396e+07	2.80779e+08
1.34896e+14	1.20509e+19	4.43639e+11	3.48068e+12	3.01511e+14	2.53926e+07	2.35040e+08
1.34896e+14	1.33321e+19	4.49900e+11	3.35962e+12	3.35827e+14	2.35039e+07	1.98842e+08
1.34896e+14	1.48254e+19	4.47877e+11	3.24953e+12	3.75767e+14	2.14273e+07	1.70279e+08
1.34896e+14	1.65855e+19	4.38471e+11	3.15208e+12	4.22877e+14	1.92791e+07	1.47787e+08
1.34896e+14	1.86801e+19	4.22797e+11	3.06814e+12	4.79002e+14	1.72728e+07	1.31182e+08
1.34896e+14	2.11917e+19	4.01838e+11	2.99766e+12	5.46322e+14	1.55593e+07	1.20411e+08
1.34896e+14	2.42190e+19	3.76155e+11	2.93925e+12	6.27333e+14	1.42567e+07	1.15921e+08
1.34896e+14	2.78780e+19	3.45781e+11	2.88981e+12	7.24822e+14	1.34301e+07	1.18667e+08
1.34896e+14	3.23040e+19	3.10372e+11	2.84382e+12	8.41823e+14	1.30771e+07	1.30211e+08
1.34896e+14	3.76537e+19	2.69523e+11	2.79003e+12	9.81561e+14	1.31254e+07	1.52855e+08
