H	H+	C+	C+2	C+3	O+5	O+6	Si+	Si+2	Si+3
1.34896e+14	8.45791e+19	1.48392e+06	6.94886e+08	2.20651e+10	2.17023e+12	2.41056e+13	2.16922e+02	1.50056e+05	5.57916e+06
1.34896e+14	8.45791e+19	1.66498e+06	7.79673e+08	2.47574e+10	2.43503e+12	2.70469e+13	2.43391e+02	1.68366e+05	6.25993e+06
1.34896e+14	8.45791e+19	1.86813e+06	8.74805e+08	2.77782e+10	2.73215e+12	3.03471e+13	2.73089e+02	1.88910e+05	7.02377e+06
1.34896e+14	8.45791e+19	2.09607e+06	9.81545e+08	3.11676e+10	3.06553e+12	3.40501e+13	3.06412e+02	2.11961e+05	7.88081e+06
1.34896e+14	8.45791e+19	2.35182e+06	1.10131e+09	3.49705e+10	3.43958e+12	3.82048e+13	3.43800e+02	2.37825e+05	8.84243e+06
1.34896e+14	8.45792e+19	2.63877e+06	1.23568e+09	3.92374e+10	3.85928e+12	4.28665e+13	3.85751e+02	2.66844e+05	9.92140e+06
1.34896e+14	8.45792e+19	2.96073e+06	1.38645e+09	4.40248e+10	4.33019e+12	4.80970e+13	4.32821e+02	2.99405e+05	1.11320e+07
1.34896e+14	8.45792e+19	3.32197e+06	1.55562e+09	4.93964e+10	4.85855e+12	5.39658e+13	4.85634e+02	3.35939e+05	1.24903e+07
1.34896e+14	8.45793e+19	3.72727e+06	1.74542e+09	5.54234e+10	5.45140e+12	6.05506e+13	5.44892e+02	3.76931e+05	1.40144e+07
1.34896e+14	8.45794e+19	4.18202e+06	1.95838e+09	6.21857e+10	6.11657e+12	6.79390e+13	6.11380e+02	4.22924e+05	1.57245e+07
1.34896e+14	8.45795e+19	4.69225e+06	2.19732e+09	6.97730e+10	6.86292e+12	7.62288e+13	6.85982e+02	4.74531e+05	1.76433e+07
1.34896e+14	8.45796e+19	5.26471e+06	2.46541e+09	7.82859e+10	7.70034e+12	8.55303e+13	7.69688e+02	5.32434e+05	1.97961e+07
1.34896e+14	8.45797e+19	5.90700e+06	2.76621e+09	8.78374e+10	8.63995e+12	9.59667e+13	8.63607e+02	5.97404e+05	2.22117e+07
1.34896e+14	8.45799e+19	6.62763e+06	3.10370e+09	9.85543e+10	9.69422e+12	1.07677e+14	9.68988e+02	6.70302e+05	2.49221e+07
1.34896e+14	8.45802e+19	7.43615e+06	3.48237e+09	1.10578e+11	1.08771e+13	1.20816e+14	1.08723e+03	7.52095e+05	2.79632e+07
1.34896e+14	8.45805e+19	8.34327e+06	3.90724e+09	1.24070e+11	1.22045e+13	1.35558e+14	1.21990e+03	8.43871e+05	3.13755e+07
1.34896e+14	8.45809e+19	9.36103e+06	4.38394e+09	1.39207e+11	1.36938e+13	1.52099e+14	1.36876e+03	9.46847e+05	3.52042e+07
1.34896e+14	8.45814e+19	1.05029e+07	4.91880e+09	1.56191e+11	1.53649e+13	1.70659e+14	1.53579e+03	1.06239e+06	3.95001e+07
1.34896e+14	8.45820e+19	1.17839e+07	5.51891e+09	1.75248e+11	1.72399e+13	1.91484e+14	1.72320e+03	1.19204e+06	4.43205e+07
1.34896e+14	8.45828e+19	1.32211e+07	6.19223e+09	1.96629e+11	1.93438e+13	2.14850e+14	1.93349e+03	1.33751e+06	4.97292e+07
1.34896e+14	8.45839e+19	1.48335e+07	6.94769e+09	2.20619e+11	2.17045e+13	2.41069e+14	2.16944e+03	1.50073e+06	5.57980e+07
1.34896e+14	8.45852e+19	1.66423e+07	7.79532e+09	2.47536e+11	2.43535e+13	2.70487e+14	2.43419e+03	1.68388e+06	6.26078e+07
1.34896e+14	8.45868e+19	1.86715e+07	8.74637e+09	2.77737e+11	2.73260e+13	3.03498e+14	2.73126e+03	1.88940e+06	7.02490e+07
1.34896e+14	8.45889e+19	2.09477e+07	9.81346e+09	3.11624e+11	3.06614e+13	3.40538e+14	3.06460e+03	2.12000e+06	7.88233e+07
1.34896e+14	8.45914e+19	2.35009e+07	1.10107e+10	3.49646e+11	3.44041e+13	3.82101e+14	3.43864e+03	2.37877e+06	8.84447e+07
1.34896e+14	8.45945e+19	2.63648e+07	1.23541e+10	3.92308e+11	3.86040e+13	4.28740e+14	3.85835e+03	2.66914e+06	9.92414e+07
1.34896e+14	8.45981e+19	2.95776e+07	1.38614e+10	4.40178e+11	4.33170e+13	4.81075e+14	4.32931e+03	2.99497e+06	1.11357e+08
1.34896e+14	8.46022e+19	3.31826e+07	1.55526e+10	4.93889e+11	4.86057e+13	5.39801e+14	4.85778e+03	3.36060e+06	1.24953e+08
1.34896e+14	8.46073e+19	3.72264e+07	1.74502e+10	5.54158e+11	5.45409e+13	6.05702e+14	5.45081e+03	3.77090e+06	1.40210e+08
1.34896e+14	8.46134e+19	4.17624e+07	1.95794e+10	6.21787e+11	6.12018e+13	6.79658e+14	6.11630e+03	4.23136e+06	1.57333e+08
1.34896e+14	8.46209e+19	4.68513e+07	2.19686e+10	6.97678e+11	6.86773e+13	7.62655e+14	6.86313e+03	4.74811e+06	1.76550e+08
1.34896e+14	8.46275e+19	5.25581e+07	2.46490e+10	7.82820e+11	7.70656e+13	8.55780e+14	7.70109e+03	5.32793e+06	1.98114e+08
1.34896e+14	8.46333e+19	5.89577e+07	2.76560e+10	8.78341e+11	8.64779e+13	9.60268e+14	8.64129e+03	5.97850e+06	2.22311e+08
1.34896e+14	8.46399e+19	6.61348e+07	3.10298e+10	9.85521e+11	9.70409e+13	1.07752e+15	9.69639e+03	6.70859e+06	2.49468e+08
1.34896e+14	8.46474e+19	7.41838e+07	3.48153e+10	1.10579e+12	1.08898e+14	1.20911e+15	1.08805e+04	7.52798e+06	2.79947e+08
1.34896e+14	8.46560e+19	8.32094e+07	3.90626e+10	1.24074e+12	1.22212e+14	1.35677e+15	1.22093e+04	8.44757e+06	3.14157e+08
1.34896e+14	8.46659e+19	9.33304e+07	4.38280e+10	1.39216e+12	1.37164e+14	1.52248e+15	1.37008e+04	9.47974e+06	3.52557e+08
1.34896e+14	8.46772e+19	1.04678e+08	4.91748e+10	1.56209e+12	1.53957e+14	1.70845e+15	1.53748e+04	1.06383e+07	3.95662e+08
1.34896e+14	8.46904e+19	1.17399e+08	5.51738e+10	1.75276e+12	1.72820e+14	1.91718e+15	1.72538e+04	1.19389e+07	4.44057e+08
1.34896e+14	8.47053e+19	1.31660e+08	6.19040e+10	1.96672e+12	1.94017e+14	2.15143e+15	1.93631e+04	1.33989e+07	4.98392e+08
1.34896e+14	8.47212e+19	1.47642e+08	6.94537e+10	2.20677e+12	2.17837e+14	2.41431e+15	2.17308e+04	1.50379e+07	5.59395e+08
1.34896e+14	8.47395e+19	1.65552e+08	7.79230e+10	2.47613e+12	2.44613e+14	2.70938e+15	2.43890e+04	1.68782e+07	6.27897e+08
1.34896e+14	8.47608e+19	1.85617e+08	8.74232e+10	2.77836e+12	2.74720e+14	3.04058e+15	2.73737e+04	1.89446e+07	7.04828e+08
1.34896e+14	8.47849e+19	2.08105e+08	9.80783e+10	3.11746e+12	3.08577e+14	3.41237e+15	3.07254e+04	2.12654e+07	7.91234e+08
1.34896e+14	8.48130e+19	2.33290e+08	1.10028e+11	3.49792e+12	3.46665e+14	3.82975e+15	3.44897e+04	2.38721e+07	8.88304e+08
1.34896e+14	8.48458e+19	2.61487e+08	1.23427e+11	3.92473e+12	3.89528e+14	4.29839e+15	3.87178e+04	2.68003e+07	9.97370e+08
1.34896e+14	8.48838e+19	2.93054e+08	1.38449e+11	4.40351e+12	4.37781e+14	4.82462e+15	4.34677e+04	3.00905e+07	1.11994e+09
1.34896e+14	8.49285e+19	3.28370e+08	1.55287e+11	4.94051e+12	4.92116e+14	5.41564e+15	4.88050e+04	3.37880e+07	1.25773e+09
1.34896e+14	8.49809e+19	3.67862e+08	1.74154e+11	5.54274e+12	5.53339e+14	6.07955e+15	5.48038e+04	3.79447e+07	1.41266e+09
1.34896e+14	8.50418e+19	4.11988e+08	1.95286e+11	6.21793e+12	6.22354e+14	6.82544e+15	6.15472e+04	4.26182e+07	1.58693e+09
1.34896e+14	8.51136e+19	4.61391e+08	2.19007e+11	6.97628e+12	7.00196e+14	7.66374e+15	6.91320e+04	4.78761e+07	1.78304e+09
1.34896e+14	8.51987e+19	5.16773e+08	2.45675e+11	7.82915e+12	7.88041e+14	8.60624e+15	7.76684e+04	5.37952e+07	2.00387e+09
1.34896e+14	8.52839e+19	5.78614e+08	2.75546e+11	8.78533e+12	8.87081e+14	9.66454e+15	8.72633e+04	6.04501e+07	2.25225e+09
1.34896e+14	8.53771e+19	6.47696e+08	3.09037e+11	9.85842e+12	9.98885e+14	1.08538e+16	9.80580e+04	6.79397e+07	2.53190e+09
1.34896e+14	8.54848e+19	7.24949e+08	3.46643e+11	1.10644e+13	1.12526e+15	1.21914e+16	1.10214e+05	7.63770e+07	2.84708e+09
1.34896e+14	8.56096e+19	8.11228e+08	3.88840e+11	1.24191e+13	1.26817e+15	1.36963e+16	1.23909e+05	8.58870e+07	3.20251e+09
1.34896e+14	8.57549e+19	9.07537e+08	4.36197e+11	1.39415e+13	1.42990e+15	1.53905e+16	1.39349e+05	9.66138e+07	3.60366e+09
1.34896e+14	8.59242e+19	1.01499e+09	4.89356e+11	1.56527e+13	1.61310e+15	1.72989e+16	1.56768e+05	1.08723e+08	4.05682e+09
1.34896e+14	8.61115e+19	1.13468e+09	5.48970e+11	1.75750e+13	1.82059e+15	1.94478e+16	1.76418e+05	1.22392e+08	4.56871e+09
1.34896e+14	8.63172e+19	1.26825e+09	6.16008e+11	1.97393e+13	2.05571e+15	2.18681e+16	1.98598e+05	1.37835e+08	5.14739e+09
1.34895e+14	8.65547e+19	1.41743e+09	6.91521e+11	2.21804e+13	2.32248e+15	2.45986e+16	2.23678e+05	1.55311e+08	5.80287e+09
1.34895e+14	8.68275e+19	1.58385e+09	7.76595e+11	2.49349e+13	2.62535e+15	2.76813e+16	2.52064e+05	1.75112e+08	6.54618e+09
1.34896e+14	8.71411e+19	1.76928e+09	8.72417e+11	2.80434e+13	2.96950e+15	3.11652e+16	2.84223e+05	1.97571e+08	7.39024e+09
1.34896e+14	8.74934e+19	1.97572e+09	9.80379e+11	3.15531e+13	3.36058e+15	3.51033e+16	3.20677e+05	2.23064e+08	8.34954e+09
1.34896e+14	8.78944e+19	2.20509e+09	1.10203e+12	3.55185e+13	3.80541e+15	3.95618e+16	3.62067e+05	2.52056e+08	9.44193e+09
1.34896e+14	8.83556e+19	2.45990e+09	1.23930e+12	4.00063e+13	4.31222e+15	4.46176e+16	4.09150e+05	2.85094e+08	1.06888e+10
1.34896e+14	8.88912e+19	2.74258e+09	1.39437e+12	4.50934e+13	4.89036e+15	5.03623e+16	4.62815e+05	3.22835e+08	1.21157e+10
1.34896e+14	8.95115e+19	3.05608e+09	1.56981e+12	5.08710e+13	5.55120e+15	5.69008e+16	5.24107e+05	3.66048e+08	1.37529e+10
1.34896e+14	9.02313e+19	3.40432e+09	1.76899e+12	5.74556e+13	6.30836e+15	6.43602e+16	5.94381e+05	4.15737e+08	1.56398e+10
1.34896e+14	9.10726e+19	3.78885e+09	1.99461e+12	6.49562e+13	7.17781e+15	7.28940e+16	6.74957e+05	4.72915e+08	1.78175e+10
1.34896e+14	9.20543e+19	4.21387e+09	2.25114e+12	7.35347e+13	8.17947e+15	8.26843e+16	7.67719e+05	5.39009e+08	2.03432e+10
1.34896e+14	9.32041e+19	4.68263e+09	2.54323e+12	8.33711e+13	9.33744e+15	9.39569e+16	8.74864e+05	6.15723e+08	2.32863e+10
1.34896e+14	9.45459e+19	5.19867e+09	2.87645e+12	9.46846e+13	1.06813e+16	1.06977e+17	9.98999e+05	7.05116e+08	2.67316e+10
1.34895e+14	9.61227e+19	5.76628e+09	3.25782e+12	1.07759e+14	1.22487e+16	1.22090e+17	1.14343e+06	8.09842e+08	3.07900e+10
1.34896e+14	9.79891e+19	6.39141e+09	3.69632e+12	1.22959e+14	1.40889e+16	1.39735e+17	1.31277e+06	9.33625e+08	3.56167e+10
1.34896e+14	1.00213e+20	7.07552e+09	4.20102e+12	1.40701e+14	1.62623e+16	1.60465e+17	1.51155e+06	1.08039e+09	4.13859e+10
1.34896e+14	1.02874e+20	7.82541e+09	4.78522e+12	1.61571e+14	1.88507e+16	1.84999e+17	1.74669e+06	1.25609e+09	4.83581e+10
1.34896e+14	1.06079e+20	8.64494e+09	5.46345e+12	1.86278e+14	2.19618e+16	2.14287e+17	2.02661e+06	1.46831e+09	5.68768e+10
1.34896e+14	1.09982e+20	9.53502e+09	6.25353e+12	2.15761e+14	2.57448e+16	2.49632e+17	2.36233e+06	1.72745e+09	6.74281e+10
1.34896e+14	1.14762e+20	1.05033e+10	7.17802e+12	2.51281e+14	3.04024e+16	2.92766e+17	2.76787e+06	2.04743e+09	8.06865e+10
1.34896e+14	1.20679e+20	1.15562e+10	8.26572e+12	2.94559e+14	3.62267e+16	3.46146e+17	3.26193e+06	2.44808e+09	9.76514e+10
1.34895e+14	1.28002e+20	1.26996e+10	9.54903e+12	3.47744e+14	4.36143e+16	4.13002e+17	3.86944e+06	2.95715e+09	1.19759e+11
1.34896e+14	1.36543e+20	1.39180e+10	1.10331e+13	4.12194e+14	5.29143e+16	4.95847e+17	4.61318e+06	3.60020e+09	1.48530e+11
1.34896e+14	1.46482e+20	1.52219e+10	1.27501e+13	4.90722e+14	6.47364e+16	5.99083e+17	5.53190e+06	4.42302e+09	1.86650e+11
1.34896e+14	1.56997e+20	1.66561e+10	1.46614e+13	5.83493e+14	7.93654e+16	7.23602e+17	6.65719e+06	5.45944e+09	2.36345e+11
1.34896e+14	1.69937e+20	1.82163e+10	1.68872e+13	6.99147e+14	9.87265e+16	8.83460e+17	8.09149e+06	6.84214e+09	3.06140e+11
1.34895e+14	1.85279e+20	1.99355e+10	1.94499e+13	8.43141e+14	1.24469e+17	1.08742e+18	9.94556e+06	8.71881e+09	4.06342e+11
1.34896e+14	2.03596e+20	2.18481e+10	2.23910e+13	1.02451e+15	1.59533e+17	1.35010e+18	1.23992e+07	1.13541e+10	5.56885e+11
1.34896e+14	2.26485e+20	2.39041e+10	2.58417e+13	1.26078e+15	2.09778e+17	1.69743e+18	1.58237e+07	1.53316e+10	8.03692e+11
1.34896e+14	2.60250e+20	2.56178e+10	2.90870e+13	1.54386e+15	2.92284e+17	2.20197e+18	2.09675e+07	2.21675e+10	1.28714e+12
1.34895e+14	3.08936e+20	2.75858e+10	3.38545e+13	2.01773e+15	4.39160e+17	2.92259e+18	3.01149e+07	3.68008e+10	2.49009e+12
1.34896e+14	3.93853e+20	2.83385e+10	3.76544e+13	2.74839e+15	7.58759e+17	3.94444e+18	5.31536e+07	9.00811e+10	7.96147e+12
1.34896e+14	7.76070e+20	3.11760e+10	5.03583e+13	6.57417e+15	1.36995e+18	5.13762e+18	1.39163e+08	6.78518e+11	1.25619e+14
1.34896e+14	8.26090e+23	3.33659e+10	5.36761e+13	3.98694e+16	3.83960e+20	2.54435e+19	1.40591e+08	8.60215e+11	1.16493e+15
1.34895e+14	6.92581e+24	3.58484e+10	5.26024e+13	8.01264e+16	3.62544e+21	1.88422e+20	1.37098e+08	8.02478e+11	2.06900e+15
1.32008e+14	9.99999e+25	3.89779e+10	5.28583e+13	2.91306e+17	5.88073e+22	2.96596e+21	1.34273e+08	7.59168e+11	5.48629e+15
1.04639e+14	1.00000e+26	4.29256e+10	5.41884e+13	2.78164e+17	6.59889e+22	3.32887e+21	1.33156e+08	7.25601e+11	5.53383e+15
8.69334e+13	1.00000e+26	4.78209e+10	5.61855e+13	2.80203e+17	7.40653e+22	3.73766e+21	1.32904e+08	6.93616e+11	5.57926e+15
7.39584e+13	1.00000e+26	5.37593e+10	5.86794e+13	2.82974e+17	8.31171e+22	4.19622e+21	1.33479e+08	6.70393e+11	5.63013e+15
6.39382e+13	9.99999e+25	6.10608e+10	6.17326e+13	2.85335e+17	9.33050e+22	4.71312e+21	1.35150e+08	6.42141e+11	5.67866e+15
5.51031e+13	9.99998e+25	6.74173e+10	6.44814e+13	2.88495e+17	1.04832e+23	5.29873e+21	1.37372e+08	6.18758e+11	5.72407e+15
1.34896e+14	8.24235e+19	1.65348e+06	7.56319e+08	2.34778e+10	2.23160e+12	2.37516e+13	2.55482e+02	1.75905e+05	6.42605e+06
1.34896e+14	8.24235e+19	1.85523e+06	8.48602e+08	2.63425e+10	2.50389e+12	2.66497e+13	2.86656e+02	1.97369e+05	7.21015e+06
1.34896e+14	8.24235e+19	2.08159e+06	9.52145e+08	2.95567e+10	2.80942e+12	2.99015e+13	3.21633e+02	2.21452e+05	8.08994e+06
1.34896e+14	8.24235e+19	2.33558e+06	1.06832e+09	3.31630e+10	3.15222e+12	3.35500e+13	3.60879e+02	2.48474e+05	9.07708e+06
1.34896e+14	8.24236e+19	2.62055e+06	1.19867e+09	3.72094e+10	3.53685e+12	3.76438e+13	4.04914e+02	2.78793e+05	1.01847e+07
1.34896e+14	8.24236e+19	2.94028e+06	1.34493e+09	4.17495e+10	3.96842e+12	4.22370e+13	4.54322e+02	3.12812e+05	1.14274e+07
1.34896e+14	8.24236e+19	3.29903e+06	1.50903e+09	4.68435e+10	4.45264e+12	4.73907e+13	5.09759e+02	3.50982e+05	1.28218e+07
1.34896e+14	8.24236e+19	3.70155e+06	1.69315e+09	5.25590e+10	4.99595e+12	5.31732e+13	5.71960e+02	3.93809e+05	1.43863e+07
1.34896e+14	8.24237e+19	4.15317e+06	1.89973e+09	5.89720e+10	5.60556e+12	5.96615e+13	6.41753e+02	4.41863e+05	1.61418e+07
1.34896e+14	8.24238e+19	4.65989e+06	2.13152e+09	6.61672e+10	6.28955e+12	6.69413e+13	7.20061e+02	4.95780e+05	1.81114e+07
1.34896e+14	8.24239e+19	5.22841e+06	2.39159e+09	7.42403e+10	7.05700e+12	7.51094e+13	8.07924e+02	5.56276e+05	2.03214e+07
1.34896e+14	8.24240e+19	5.86630e+06	2.68338e+09	8.32984e+10	7.91811e+12	8.42743e+13	9.06510e+02	6.24154e+05	2.28011e+07
1.34896e+14	8.24242e+19	6.58198e+06	3.01078e+09	9.34615e+10	8.88429e+12	9.45575e+13	1.01712e+03	7.00316e+05	2.55834e+07
1.34896e+14	8.24244e+19	7.38497e+06	3.37812e+09	1.04865e+11	9.96839e+12	1.06096e+14	1.14124e+03	7.85773e+05	2.87052e+07
1.34896e+14	8.24247e+19	8.28588e+06	3.79027e+09	1.17659e+11	1.11848e+13	1.19042e+14	1.28050e+03	8.81657e+05	3.22080e+07
1.34896e+14	8.24250e+19	9.29667e+06	4.25270e+09	1.32014e+11	1.25496e+13	1.33567e+14	1.43675e+03	9.89243e+05	3.61383e+07
1.34896e+14	8.24255e+19	1.04307e+07	4.77155e+09	1.48121e+11	1.40811e+13	1.49866e+14	1.61208e+03	1.10996e+06	4.05482e+07
1.34896e+14	8.24261e+19	1.17031e+07	5.35371e+09	1.66193e+11	1.57994e+13	1.68153e+14	1.80880e+03	1.24541e+06	4.54964e+07
1.34896e+14	8.24268e+19	1.31306e+07	6.00689e+09	1.86470e+11	1.77276e+13	1.88672e+14	2.02953e+03	1.39739e+06	5.10485e+07
1.34896e+14	8.24276e+19	1.47321e+07	6.73976e+09	2.09221e+11	1.98910e+13	2.11696e+14	2.27720e+03	1.56792e+06	5.72783e+07
1.34896e+14	8.24288e+19	1.65287e+07	7.56204e+09	2.34747e+11	2.23185e+13	2.37530e+14	2.55510e+03	1.75927e+06	6.42686e+07
1.34896e+14	8.24301e+19	1.85443e+07	8.48465e+09	2.63389e+11	2.50425e+13	2.66517e+14	2.86693e+03	1.97398e+06	7.21123e+07
1.34896e+14	8.24319e+19	2.08055e+07	9.51982e+09	2.95525e+11	2.80991e+13	2.99044e+14	3.21682e+03	2.21490e+06	8.09137e+07
1.34896e+14	8.24341e+19	2.33420e+07	1.06813e+10	3.31583e+11	3.15289e+13	3.35541e+14	3.60943e+03	2.48525e+06	9.07899e+07
1.34896e+14	8.24368e+19	2.61872e+07	1.19845e+10	3.72042e+11	3.53776e+13	3.76495e+14	4.04997e+03	2.78860e+06	1.01872e+08
1.34896e+14	8.24401e+19	2.93786e+07	1.34468e+10	4.17440e+11	3.96966e+13	4.22452e+14	4.54432e+03	3.12901e+06	1.14309e+08
1.34896e+14	8.24442e+19	3.29586e+07	1.50875e+10	4.68380e+11	4.45432e+13	4.74021e+14	5.09904e+03	3.51101e+06	1.28265e+08
1.34896e+14	8.24486e+19	3.69759e+07	1.69284e+10	5.25537e+11	4.99819e+13	5.31889e+14	5.72151e+03	3.93966e+06	1.43925e+08
1.34896e+14	8.24542e+19	4.14824e+07	1.89940e+10	5.89673e+11	5.60856e+13	5.96829e+14	6.42002e+03	4.42070e+06	1.61501e+08
1.34896e+14	8.24609e+19	4.65375e+07	2.13118e+10	6.61644e+11	6.29357e+13	6.69707e+14	7.20390e+03	4.96055e+06	1.81225e+08
1.34896e+14	8.24682e+19	5.22084e+07	2.39125e+10	7.42401e+11	7.06231e+13	7.51490e+14	8.08355e+03	5.56637e+06	2.03361e+08
1.34896e+14	8.24735e+19	5.85673e+07	2.68298e+10	8.32992e+11	7.92479e+13	8.43239e+14	9.07044e+03	6.24604e+06	2.28197e+08
1.34896e+14	8.24795e+19	6.56991e+07	3.01030e+10	9.34642e+11	8.89270e+13	9.46198e+14	1.01779e+04	7.00876e+06	2.56070e+08
1.34896e+14	8.24863e+19	7.36973e+07	3.37757e+10	1.04870e+12	9.97898e+13	1.06174e+15	1.14206e+04	7.86470e+06	2.87352e+08
1.34896e+14	8.24941e+19	8.26673e+07	3.78964e+10	1.17669e+12	1.11985e+14	1.19140e+15	1.28154e+04	8.82534e+06	3.22461e+08
1.34896e+14	8.25029e+19	9.27263e+07	4.25201e+10	1.32030e+12	1.25678e+14	1.33690e+15	1.43806e+04	9.90351e+06	3.61869e+08
1.34896e+14	8.25130e+19	1.04006e+08	4.77079e+10	1.48146e+12	1.41057e+14	1.50019e+15	1.61374e+04	1.11137e+07	4.06104e+08
1.34896e+14	8.25247e+19	1.16653e+08	5.35287e+10	1.66230e+12	1.58329e+14	1.68345e+15	1.81094e+04	1.24721e+07	4.55761e+08
1.34896e+14	8.25382e+19	1.30832e+08	6.00598e+10	1.86523e+12	1.77733e+14	1.88913e+15	2.03228e+04	1.39970e+07	5.11511e+08
