# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
22387200000000.0 1.08627e+18 1005010000.0 177828000000.0 809715000000.0 71617700.0 27050100000.0 867626000000.0 4559.94 69069300000.0 11937800000000.0 23960500000000.0 32442.3 488897.0 27583500.0 155617000.0 21533000000.0 -5.0 4.578 [-5.0]
22387200000000.0 1.02774e+18 1094990000.0 188719000000.0 826500000000.0 78484700.0 28937900000.0 862348000000.0 5106.29 74256800000.0 11462800000000.0 21867600000000.0 38500.6 585799.0 32274000.0 176049000.0 23060100000.0 -4.98 4.573 [-4.98]
22387200000000.0 9.72575e+17 1191690000.0 200018000000.0 842592000000.0 85955700.0 30928600000.0 855851000000.0 5718.59 79747400000.0 10983700000000.0 19921400000000.0 45608.8 700467.0 37697900.0 198834000.0 24658700000.0 -4.96 4.568 [-4.96]
22387200000000.0 9.20553e+17 1295480000.0 211724000000.0 857956000000.0 94074200.0 33024300000.0 848149000000.0 6404.39 85546300000.0 10502400000000.0 18115200000000.0 53934.1 835883.0 43959200.0 224203000.0 26328800000.0 -4.94 4.563 [-4.94]
22387200000000.0 8.71477e+17 1406780000.0 223836000000.0 872558000000.0 102886000.0 35226800000.0 839256000000.0 7172.18 91657600000.0 10020700000000.0 16442200000000.0 63668.2 995480.0 51175200.0 252401000.0 28070500000.0 -4.92 4.558 [-4.92]
22387200000000.0 8.25162e+17 1526020000.0 236352000000.0 886367000000.0 112436000.0 37537300000.0 829192000000.0 8031.27 98084100000.0 9540620000000.0 14895600000000.0 75029.6 1183200.0 59478000.0 283693000.0 29883200000.0 -4.9 4.553 [-4.9]
22387200000000.0 7.81439e+17 1653570000.0 249265000000.0 899351000000.0 122770000.0 39955800000.0 817980000000.0 8991.57 104824000000.0 9064020000000.0 13469100000000.0 88263.8 1403530.0 69014400.0 318361000.0 31766100000.0 -4.88 4.549 [-4.88]
22387200000000.0 7.40146e+17 1789940000.0 262572000000.0 911482000000.0 133941000.0 42483200000.0 805648000000.0 10065.1 111881000000.0 8592540000000.0 12155800000000.0 103658.0 1661680.0 79951600.0 356709000.0 33718200000.0 -4.86 4.544 [-4.86]
22387200000000.0 7.01146e+17 1935630000.0 276269000000.0 922731000000.0 146002000.0 45119400000.0 792230000000.0 11265.3 119254000000.0 8127910000000.0 10949700000000.0 121536.0 1963510.0 92473800.0 399050000.0 35737500000.0 -4.84 4.54 [-4.84]
22387200000000.0 6.64304e+17 2091140000.0 290346000000.0 933072000000.0 159009000.0 47863500000.0 777766000000.0 12606.9 126941000000.0 7671720000000.0 9844390000000.0 142265.0 2315730.0 106787000.0 445719000.0 37821900000.0 -4.82 4.535 [-4.82]
22387200000000.0 6.29471e+17 2256770000.0 304787000000.0 942481000000.0 172991000.0 50710600000.0 762294000000.0 14103.0 134928000000.0 7225370000000.0 8833450000000.0 166241.0 2725880.0 123121000.0 497095000.0 39969400000.0 -4.8 4.531 [-4.8]
22387200000000.0 5.96532e+17 2432990000.0 319579000000.0 950933000000.0 187998000.0 53657700000.0 745862000000.0 15771.3 143208000000.0 6790200000000.0 7910870000000.0 193927.0 3202540.0 141730000.0 553561000.0 42176900000.0 -4.78 4.527 [-4.78]
22387200000000.0 5.65378e+17 2620290000.0 334706000000.0 958406000000.0 204077000.0 56700900000.0 728526000000.0 17631.0 151773000000.0 6367410000000.0 7070930000000.0 225837.0 3755380.0 162896000.0 615515000.0 44440900000.0 -4.76 4.523 [-4.76]
