# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
47863000000000.0 2.31805e+18 2151610000.0 380534000000.0 1733050000000.0 153252000.0 57877500000.0 1854870000000.0 9768.43 148040000000.0 25492000000000.0 51067200000000.0 69665.1 1051480.0 59283600.0 334226000.0 46156400000.0 -5.0 4.577 [-5.0]
47863000000000.0 2.19317e+18 2344190000.0 403824000000.0 1768900000000.0 167946000.0 61915700000.0 1843500000000.0 10939.1 159154000000.0 24476000000000.0 46603800000000.0 82669.2 1259800.0 69360600.0 378088000.0 49427300000.0 -4.98 4.572 [-4.98]
47863000000000.0 2.07546e+18 2551110000.0 427984000000.0 1803270000000.0 183931000.0 66173700000.0 1829520000000.0 12251.1 170918000000.0 23451300000000.0 42453600000000.0 97926.0 1506280.0 81012200.0 427000000.0 52850900000.0 -4.96 4.567 [-4.96]
47863000000000.0 1.96446e+18 2773220000.0 453014000000.0 1836080000000.0 201301000.0 70656100000.0 1812960000000.0 13720.7 183341000000.0 22421900000000.0 38602100000000.0 115794.0 1797340.0 94461900.0 481454000.0 56427700000.0 -4.94 4.562 [-4.94]
47863000000000.0 1.85975e+18 3011430000.0 478915000000.0 1867250000000.0 220157000.0 75367400000.0 1793860000000.0 15366.3 196435000000.0 21392000000000.0 35034900000000.0 136686.0 2140350.0 109961000.0 541974000.0 60157200000.0 -4.92 4.558 [-4.92]
47863000000000.0 1.76093e+18 3266560000.0 505675000000.0 1896730000000.0 240591000.0 80308700000.0 1772260000000.0 17207.2 210201000000.0 20365700000000.0 31737600000000.0 161068.0 2543780.0 127794000.0 609135000.0 64038800000.0 -4.9 4.553 [-4.9]
47863000000000.0 1.66763e+18 3539590000.0 533286000000.0 1924440000000.0 262710000.0 85482200000.0 1748200000000.0 19266.5 224645000000.0 19346700000000.0 28696300000000.0 189477.0 3017310.0 148277000.0 683532000.0 68070400000.0 -4.88 4.548 [-4.88]
47863000000000.0 1.57952e+18 3831390000.0 561737000000.0 1950330000000.0 286608000.0 90886900000.0 1721750000000.0 21567.2 239760000000.0 18339000000000.0 25896700000000.0 222511.0 3572010.0 171766000.0 765828000.0 72249800000.0 -4.86 4.544 [-4.86]
47863000000000.0 1.4963e+18 4143150000.0 591021000000.0 1974330000000.0 312416000.0 96524600000.0 1692990000000.0 24139.7 255552000000.0 17346100000000.0 23325800000000.0 260876.0 4220550.0 198657000.0 856685000.0 76572800000.0 -4.84 4.539 [-4.84]
47863000000000.0 1.41769e+18 4475890000.0 621115000000.0 1996390000000.0 340240000.0 102392000000.0 1661990000000.0 27014.9 272015000000.0 16371300000000.0 20969900000000.0 305354.0 4977280.0 229392000.0 956826000.0 81034900000.0 -4.82 4.535 [-4.82]
47863000000000.0 1.34336e+18 4830260000.0 651986000000.0 2016450000000.0 370152000.0 108480000000.0 1628830000000.0 30221.8 289119000000.0 15417600000000.0 18815300000000.0 356798.0 5858420.0 264464000.0 1067060000.0 85631500000.0 -4.8 4.531 [-4.8]
47863000000000.0 1.27307e+18 5207290000.0 683604000000.0 2034460000000.0 402254000.0 114780000000.0 1593630000000.0 33797.4 306850000000.0 14488000000000.0 16849200000000.0 416195.0 6882370.0 304420000.0 1188210000.0 90356400000.0 -4.78 4.526 [-4.78]
