H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4
2.23872e+13	1.08627e+18	1.00501e+09	1.77828e+11	8.09715e+11	7.16177e+07	2.70501e+10	8.67626e+11	4.55994e+03	6.90693e+10	1.19378e+13	2.39605e+13	3.24423e+04	4.88897e+05	2.75835e+07	1.55617e+08	2.15330e+10
2.23872e+13	1.02774e+18	1.09499e+09	1.88719e+11	8.26500e+11	7.84847e+07	2.89379e+10	8.62348e+11	5.10629e+03	7.42568e+10	1.14628e+13	2.18676e+13	3.85006e+04	5.85799e+05	3.22740e+07	1.76049e+08	2.30601e+10
2.23872e+13	9.72575e+17	1.19169e+09	2.00018e+11	8.42592e+11	8.59557e+07	3.09286e+10	8.55851e+11	5.71859e+03	7.97474e+10	1.09837e+13	1.99214e+13	4.56088e+04	7.00467e+05	3.76979e+07	1.98834e+08	2.46587e+10
2.23872e+13	9.20553e+17	1.29548e+09	2.11724e+11	8.57956e+11	9.40742e+07	3.30243e+10	8.48149e+11	6.40439e+03	8.55463e+10	1.05024e+13	1.81152e+13	5.39341e+04	8.35883e+05	4.39592e+07	2.24203e+08	2.63288e+10
2.23872e+13	8.71477e+17	1.40678e+09	2.23836e+11	8.72558e+11	1.02886e+08	3.52268e+10	8.39256e+11	7.17218e+03	9.16576e+10	1.00207e+13	1.64422e+13	6.36682e+04	9.95480e+05	5.11752e+07	2.52401e+08	2.80705e+10
2.23872e+13	8.25162e+17	1.52602e+09	2.36352e+11	8.86367e+11	1.12436e+08	3.75373e+10	8.29192e+11	8.03127e+03	9.80841e+10	9.54062e+12	1.48956e+13	7.50296e+04	1.18320e+06	5.94780e+07	2.83693e+08	2.98832e+10
2.23872e+13	7.81439e+17	1.65357e+09	2.49265e+11	8.99351e+11	1.22770e+08	3.99558e+10	8.17980e+11	8.99157e+03	1.04824e+11	9.06402e+12	1.34691e+13	8.82638e+04	1.40353e+06	6.90144e+07	3.18361e+08	3.17661e+10
2.23872e+13	7.40146e+17	1.78994e+09	2.62572e+11	9.11482e+11	1.33941e+08	4.24832e+10	8.05648e+11	1.00651e+04	1.11881e+11	8.59254e+12	1.21558e+13	1.03658e+05	1.66168e+06	7.99516e+07	3.56709e+08	3.37182e+10
2.23872e+13	7.01146e+17	1.93563e+09	2.76269e+11	9.22731e+11	1.46002e+08	4.51194e+10	7.92230e+11	1.12653e+04	1.19254e+11	8.12791e+12	1.09497e+13	1.21536e+05	1.96351e+06	9.24738e+07	3.99050e+08	3.57375e+10
2.23872e+13	6.64304e+17	2.09114e+09	2.90346e+11	9.33072e+11	1.59009e+08	4.78635e+10	7.77766e+11	1.26069e+04	1.26941e+11	7.67172e+12	9.84439e+12	1.42265e+05	2.31573e+06	1.06787e+08	4.45719e+08	3.78219e+10
2.23872e+13	6.29471e+17	2.25677e+09	3.04787e+11	9.42481e+11	1.72991e+08	5.07106e+10	7.62294e+11	1.41030e+04	1.34928e+11	7.22537e+12	8.83345e+12	1.66241e+05	2.72588e+06	1.23121e+08	4.97095e+08	3.99694e+10
2.23872e+13	5.96532e+17	2.43299e+09	3.19579e+11	9.50933e+11	1.87998e+08	5.36577e+10	7.45862e+11	1.57713e+04	1.43208e+11	6.79020e+12	7.91087e+12	1.93927e+05	3.20254e+06	1.41730e+08	5.53561e+08	4.21769e+10
2.23872e+13	5.65378e+17	2.62029e+09	3.34706e+11	9.58406e+11	2.04077e+08	5.67009e+10	7.28526e+11	1.76310e+04	1.51773e+11	6.36741e+12	7.07093e+12	2.25837e+05	3.75538e+06	1.62896e+08	6.15515e+08	4.44409e+10
2.23872e+13	5.35897e+17	2.81899e+09	3.50147e+11	9.64878e+11	2.21263e+08	5.98335e+10	7.10339e+11	1.97016e+04	1.60609e+11	5.95803e+12	6.30779e+12	2.62540e+05	4.39524e+06	1.86932e+08	6.83396e+08	4.67578e+10
2.23872e+13	5.07998e+17	3.02953e+09	3.65878e+11	9.70327e+11	2.39594e+08	6.30494e+10	6.91367e+11	2.20065e+04	1.69702e+11	5.56299e+12	5.61611e+12	3.04673e+05	5.13428e+06	2.14178e+08	7.57645e+08	4.91228e+10
2.23872e+13	4.81588e+17	3.25232e+09	3.81877e+11	9.74736e+11	2.59108e+08	6.63412e+10	6.71677e+11	2.45713e+04	1.79038e+11	5.18303e+12	4.99061e+12	3.52950e+05	5.98613e+06	2.45013e+08	8.38731e+08	5.15310e+10
