# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
70794600000000.0 3.42369e+18 3186370000.0 563354000000.0 2565590000000.0 226859000.0 85672000000.0 2743480000000.0 14470.9 219402000000.0 37670800000000.0 75351900000000.0 103396.0 1562470.0 88046400.0 496120000.0 68407900000.0 -5.0 4.577 [-5.0]
70794600000000.0 3.23927e+18 3471460000.0 597813000000.0 2618590000000.0 248607000.0 91647900000.0 2726550000000.0 16205.5 235870000000.0 36167400000000.0 68762700000000.0 122690.0 1871900.0 103007000.0 561205000.0 73252700000.0 -4.98 4.572 [-4.98]
70794600000000.0 3.06543e+18 3777820000.0 633564000000.0 2669380000000.0 272270000.0 97949700000.0 2705780000000.0 18149.5 253299000000.0 34651100000000.0 62636200000000.0 145326.0 2238020.0 120306000.0 633780000.0 78323500000.0 -4.96 4.567 [-4.96]
70794600000000.0 2.90152e+18 4106680000.0 670597000000.0 2717860000000.0 297988000.0 104584000000.0 2681190000000.0 20328.0 271710000000.0 33128300000000.0 56951400000000.0 171840.0 2670320.0 140272000.0 714566000.0 83620600000.0 -4.94 4.562 [-4.94]
70794600000000.0 2.74687e+18 4459260000.0 708912000000.0 2763930000000.0 325892000.0 111554000000.0 2652840000000.0 22765.9 291105000000.0 31604800000000.0 51686100000000.0 202832.0 3179740.0 163281000.0 804361000.0 89144100000.0 -4.92 4.557 [-4.92]
70794600000000.0 2.60091e+18 4836940000.0 748501000000.0 2807490000000.0 356136000.0 118866000000.0 2620780000000.0 25493.8 311499000000.0 30086700000000.0 46819400000000.0 239003.0 3778860.0 189752000.0 903999000.0 94892400000.0 -4.9 4.553 [-4.9]
70794600000000.0 2.46312e+18 5241060000.0 789349000000.0 2848420000000.0 388867000.0 126520000000.0 2585100000000.0 28544.3 332892000000.0 28579800000000.0 42330600000000.0 281139.0 4482040.0 220156000.0 1014380000.0 100863000000.0 -4.88 4.548 [-4.88]
70794600000000.0 2.33299e+18 5672990000.0 831437000000.0 2886660000000.0 424237000.0 134516000000.0 2545890000000.0 31953.4 355281000000.0 27089500000000.0 38199000000000.0 330140.0 5305720.0 255020000.0 1136460000.0 107051000000.0 -4.86 4.544 [-4.86]
70794600000000.0 2.21009e+18 6134460000.0 874754000000.0 2922100000000.0 462432000.0 142858000000.0 2503250000000.0 35765.7 378674000000.0 25621300000000.0 34405100000000.0 387046.0 6268680.0 294931000.0 1271230000.0 113452000000.0 -4.84 4.539 [-4.84]
70794600000000.0 2.09398e+18 6626960000.0 919271000000.0 2954660000000.0 503610000.0 151538000000.0 2457300000000.0 40026.2 403057000000.0 24180100000000.0 30928800000000.0 453015.0 7392220.0 340546000.0 1419780000.0 120059000000.0 -4.82 4.535 [-4.82]
70794600000000.0 1.9842e+18 7151510000.0 964937000000.0 2984260000000.0 547878000.0 160544000000.0 2408180000000.0 44778.1 428390000000.0 22770300000000.0 27749500000000.0 529315.0 8700410.0 392596000.0 1583290000.0 126864000000.0 -4.8 4.53 [-4.8]
70794600000000.0 1.88038e+18 7709540000.0 1011700000000.0 3010840000000.0 595383000.0 169865000000.0 2356030000000.0 50076.6 454649000000.0 21396000000000.0 24848600000000.0 617405.0 10220500.0 451891000.0 1762970000.0 133859000000.0 -4.78 4.526 [-4.78]
70794600000000.0 1.78218e+18 8302440000.0 1059520000000.0 3034310000000.0 646265000.0 179486000000.0 2301020000000.0 55981.0 481804000000.0 20061100000000.0 22207600000000.0 718914.0 11983300.0 519325000.0 1960120000.0 141031000000.0 -4.76 4.522 [-4.76]
70794600000000.0 1.68927e+18 8931570000.0 1108330000000.0 3054610000000.0 700655000.0 189391000000.0 2243350000000.0 62557.4 509817000000.0 18768900000000.0 19808700000000.0 835668.0 14023300.0 595892000.0 2176100000.0 148370000000.0 -4.74 4.518 [-4.74]
70794600000000.0 1.60133e+18 9598150000.0 1158060000000.0 3071670000000.0 758669000.0 199557000000.0 2183200000000.0 69878.3 538643000000.0 17522200000000.0 17634600000000.0 969686.0 16379200.0 682678000.0 2412310000.0 155860000000.0 -4.72 4.514 [-4.72]
70794600000000.0 1.51809e+18 10303400000.0 1208620000000.0 3085440000000.0 820418000.0 209962000000.0 2120790000000.0 78025.3 568237000000.0 16323300000000.0 15668700000000.0 1123230.0 19094300.0 780886000.0 2670250000.0 163486000000.0 -4.7 4.51 [-4.7]
70794600000000.0 1.43928e+18 11048600000.0 1259940000000.0 3095850000000.0 886003000.0 220579000000.0 2056350000000.0 87088.8 598547000000.0 15174200000000.0 13895200000000.0 1298800.0 22217000.0 891827000.0 2951450000.0 171230000000.0 -4.68 4.506 [-4.68]
70794600000000.0 1.36464e+18 11834700000.0 1311910000000.0 3102850000000.0 955509000.0 231378000000.0 1990130000000.0 97169.8 629518000000.0 14076400000000.0 12299000000000.0 1499160.0 25800700.0 1016940000.0 3257510000.0 179072000000.0 -4.66 4.501 [-4.66]
70794600000000.0 1.29394e+18 12662400000.0 1364410000000.0 3106390000000.0 1028980000.0 242322000000.0 1922370000000.0 108377.0 661084000000.0 13030700000000.0 10865300000000.0 1727310.0 29904800.0 1157800000.0 3590130000.0 186992000000.0 -4.64 4.497 [-4.64]
70794600000000.0 1.22696e+18 13532600000.0 1417330000000.0 3106440000000.0 1106470000.0 253379000000.0 1853330000000.0 120837.0 693184000000.0 12037900000000.0 9580730000000.0 1986590.0 34594600.0 1316090000.0 3951000000.0 194967000000.0 -4.62 4.494 [-4.62]
70794600000000.0 1.16349e+18 14446100000.0 1470530000000.0 3102950000000.0 1188040000.0 264511000000.0 1783300000000.0 134692.0 725760000000.0 11098000000000.0 8432290000000.0 2280710.0 39942800.0 1493670000.0 4341830000.0 202971000000.0 -4.6 4.49 [-4.6]
70794600000000.0 1.10336e+18 15403600000.0 1523900000000.0 3095890000000.0 1273710000.0 275680000000.0 1712530000000.0 150102.0 758747000000.0 10210900000000.0 7407900000000.0 2613660.0 46028300.0 1692550000.0 4764410000.0 210979000000.0 -4.58 4.486 [-4.58]
70794600000000.0 1.04638e+18 16405400000.0 1577260000000.0 3085250000000.0 1363490000.0 286844000000.0 1641310000000.0 167246.0 792078000000.0 9376000000000.0 6496150000000.0 2989820.0 52938000.0 1914860000.0 5220500000.0 218963000000.0 -4.56 4.482 [-4.56]
70794600000000.0 9.92374e+17 17451800000.0 1630480000000.0 3071010000000.0 1457390000.0 297963000000.0 1569910000000.0 186325.0 825686000000.0 8592520000000.0 5686420000000.0 3413970.0 60766500.0 2162930000.0 5711900000.0 226893000000.0 -4.54 4.478 [-4.54]
70794600000000.0 9.41189e+17 18543000000.0 1683380000000.0 3053160000000.0 1555390000.0 308994000000.0 1498600000000.0 207568.0 859499000000.0 7859310000000.0 4968870000000.0 3891180.0 69616700.0 2439230000.0 6240380000.0 234737000000.0 -4.52 4.474 [-4.52]
70794600000000.0 8.92675e+17 19678800000.0 1735780000000.0 3031700000000.0 1657450000.0 319895000000.0 1427650000000.0 231230.0 893452000000.0 7174980000000.0 4334340000000.0 4427040.0 79599900.0 2746400000.0 6807680000.0 242465000000.0 -4.5 4.47 [-4.5]
70794600000000.0 8.46689e+17 20858900000.0 1787510000000.0 3006650000000.0 1763530000.0 330621000000.0 1357320000000.0 257603.0 927475000000.0 6537960000000.0 3774400000000.0 5027620.0 90836500.0 3087270000.0 7415520000.0 250043000000.0 -4.48 4.466 [-4.48]
70794600000000.0 8.03093e+17 22082200000.0 1838350000000.0 2978030000000.0 1873540000.0 341128000000.0 1287840000000.0 287004.0 961491000000.0 5946500000000.0 3281250000000.0 5699150.0 103454000.0 3464770000.0 8065620000.0 257436000000.0 -4.46 4.462 [-4.46]
