H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4
4.78630e+13	1.45656e+18	6.15507e+10	2.67504e+13	1.94818e+14	3.62766e+09	3.55056e+12	1.80331e+14	1.35638e+05	9.60377e+12	2.27800e+15	2.69620e+15	1.50906e+06	6.09791e+07	6.61026e+09	8.44981e+10	6.98524e+12
4.78630e+13	1.36875e+18	6.51230e+10	2.77464e+13	1.97779e+14	3.98793e+09	3.82860e+12	1.77938e+14	1.61916e+05	1.05697e+13	2.16335e+15	2.41817e+15	1.73807e+06	6.96332e+07	7.54360e+09	9.65597e+10	7.47606e+12
4.78630e+13	1.28593e+18	6.89480e+10	2.87452e+13	2.00537e+14	4.39145e+09	4.12743e+12	1.75260e+14	1.94067e+05	1.16211e+13	2.04885e+15	2.16281e+15	2.00199e+06	7.93242e+07	8.58792e+09	1.10209e+11	7.98828e+12
4.78630e+13	1.20776e+18	7.30589e+10	2.97461e+13	2.03081e+14	4.84449e+09	4.44830e+12	1.72295e+14	2.33507e+05	1.27625e+13	1.93486e+15	1.92884e+15	2.30641e+06	9.01549e+07	9.75314e+09	1.25638e+11	8.52146e+12
4.78630e+13	1.13403e+18	7.75090e+10	3.07528e+13	2.05402e+14	5.35493e+09	4.79269e+12	1.69047e+14	2.82010e+05	1.39988e+13	1.82188e+15	1.71509e+15	2.65844e+06	1.02260e+08	1.10504e+10	1.43046e+11	9.07462e+12
4.78630e+13	1.06444e+18	8.23453e+10	3.17668e+13	2.07492e+14	5.93126e+09	5.16198e+12	1.65520e+14	3.41771e+05	1.53336e+13	1.71025e+15	1.52036e+15	3.06605e+06	1.15778e+08	1.24913e+10	1.62671e+11	9.64711e+12
4.78630e+13	9.98773e+17	8.76329e+10	3.27926e+13	2.09340e+14	6.58371e+09	5.55749e+12	1.61717e+14	4.15498e+05	1.67696e+13	1.60034e+15	1.34364e+15	3.53916e+06	1.30886e+08	1.40888e+10	1.84759e+11	1.02376e+13
4.78630e+13	9.36633e+17	9.34203e+10	3.38295e+13	2.10937e+14	7.32350e+09	5.98060e+12	1.57634e+14	5.06746e+05	1.83136e+13	1.49269e+15	1.18283e+15	4.08826e+06	1.47730e+08	1.58546e+10	2.09646e+11	1.08458e+13
4.78630e+13	8.77826e+17	9.97993e+10	3.48849e+13	2.12274e+14	8.16492e+09	6.43279e+12	1.53275e+14	6.19802e+05	1.99661e+13	1.38744e+15	1.03734e+15	4.72746e+06	1.66550e+08	1.78042e+10	2.37657e+11	1.14701e+13
4.78630e+13	8.22095e+17	1.06867e+11	3.59651e+13	2.13334e+14	9.12455e+09	6.91548e+12	1.48639e+14	7.60158e+05	2.17291e+13	1.28488e+15	9.05977e+14	5.47333e+06	1.87616e+08	1.99541e+10	2.69188e+11	1.21092e+13
4.78630e+13	7.69253e+17	1.14756e+11	3.70814e+13	2.14104e+14	1.02223e+10	7.43001e+12	1.43728e+14	9.34654e+05	2.36027e+13	1.18532e+15	7.87788e+14	6.34681e+06	2.11303e+08	2.23253e+10	3.04657e+11	1.27609e+13
4.78630e+13	7.19064e+17	1.23621e+11	3.82461e+13	2.14561e+14	1.14817e+10	7.97768e+12	1.38542e+14	1.15199e+06	2.55857e+13	1.08898e+15	6.81726e+14	7.37342e+06	2.38073e+08	2.49428e+10	3.44580e+11	1.34234e+13
4.78630e+13	6.71225e+17	1.33656e+11	3.94736e+13	2.14680e+14	1.29322e+10	8.56009e+12	1.33072e+14	1.42358e+06	2.76769e+13	9.95951e+14	5.86664e+14	8.58459e+06	2.68502e+08	2.78377e+10	3.89633e+11	1.40955e+13
