# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
70794600000000.0 2.14761e+18 90863400000.0 39607600000000.0 289412000000000.0 5359360000.0 5263520000000.0 267208000000000.0 202027.0 14328900000000.0 3377910000000000.0 3936960000000000.0 2225860.0 90080100.0 9808560000.0 126059000000.0 10378600000000.0 -5.0 4.342 [-5.0]
70794600000000.0 2.01797e+18 96155000000.0 41082400000000.0 293824000000000.0 5893160000.0 5676100000000.0 263609000000000.0 241302.0 15769300000000.0 3206630000000000.0 3528880000000000.0 2563820.0 102830000.0 11191000000.0 144065000000.0 11107600000000.0 -4.98 4.332 [-4.98]
70794500000000.0 1.89563e+18 101816000000.0 42558900000000.0 297932000000000.0 6491040000.0 6119480000000.0 259583000000000.0 289379.0 17336700000000.0 3035580000000000.0 3154150000000000.0 2953150.0 117093000.0 12737000000.0 164452000000.0 11868600000000.0 -4.96 4.323 [-4.96]
70794500000000.0 1.7803e+18 107925000000.0 44042700000000.0 301709000000000.0 7163480000.0 6595600000000.0 255132000000000.0 348394.0 19037400000000.0 2865500000000000.0 2811320000000000.0 3403140.0 133059000.0 14462300000.0 187471000000.0 12659800000000.0 -4.94 4.313 [-4.94]
70794500000000.0 1.67155e+18 114545000000.0 45536200000000.0 305151000000000.0 7921520000.0 7106580000000.0 250260000000000.0 420987.0 20878700000000.0 2697040000000000.0 2498350000000000.0 3923890.0 150911000.0 16383000000.0 213435000000.0 13480300000000.0 -4.92 4.303 [-4.92]
70794600000000.0 1.56897e+18 121757000000.0 47043900000000.0 308243000000000.0 8778170000.0 7654490000000.0 244977000000000.0 510395.0 22863900000000.0 2530570000000000.0 2213990000000000.0 4527750.0 170875000.0 18517000000.0 242682000000.0 14328700000000.0 -4.9 4.292 [-4.9]
70794600000000.0 1.47204e+18 129625000000.0 48565000000000.0 310974000000000.0 9747560000.0 8241190000000.0 239278000000000.0 620844.0 25003100000000.0 2367020000000000.0 1955040000000000.0 5228030.0 193152000.0 20881200000.0 275642000000.0 15204700000000.0 -4.88 4.281 [-4.88]
70794500000000.0 1.38039e+18 138255000000.0 50106200000000.0 313325000000000.0 10847600000.0 8868770000000.0 233169000000000.0 757442.0 27298200000000.0 2206690000000000.0 1720310000000000.0 6041920.0 218027000.0 23495700000.0 312748000000.0 16106200000000.0 -4.86 4.27 [-4.86]
70794500000000.0 1.29364e+18 147772000000.0 51676000000000.0 315284000000000.0 12099200000.0 9539430000000.0 226650000000000.0 926723.0 29753900000000.0 2050050000000000.0 1508010000000000.0 6989880.0 245835000.0 26382500000.0 354515000000.0 17031600000000.0 -4.84 4.259 [-4.84]
70794500000000.0 1.21145e+18 158328000000.0 53284800000000.0 316827000000000.0 13527400000.0 10255300000000.0 219725000000000.0 1136870.0 32371900000000.0 1897550000000000.0 1316520000000000.0 8097100.0 276998000.0 29567100000.0 401518000000.0 17978400000000.0 -4.82 4.247 [-4.82]
