H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4
3.01995e+13	1.86878e+18	9.15380e+08	1.88091e+11	1.02156e+12	6.36955e+07	2.77670e+10	1.22082e+12	3.65592e+03	6.97877e+10	1.91026e+13	4.65130e+13	2.12875e+04	3.14641e+05	1.99023e+07	1.30364e+08	2.25029e+10
3.01995e+13	1.76666e+18	1.00199e+09	2.00629e+11	1.04768e+12	6.99717e+07	2.98066e+10	1.21986e+12	4.09363e+03	7.53201e+10	1.84857e+13	4.27324e+13	2.54467e+04	3.80121e+05	2.34428e+07	1.48416e+08	2.42367e+10
3.01995e+13	1.67053e+18	1.09539e+09	2.13701e+11	1.07307e+12	7.68217e+07	3.19681e+10	1.21722e+12	4.58445e+03	8.12164e+10	1.78530e+13	3.91924e+13	3.03587e+04	4.58223e+05	2.75632e+07	1.68677e+08	2.60644e+10
3.01995e+13	1.58001e+18	1.19606e+09	2.27314e+11	1.09765e+12	8.42972e+07	3.42571e+10	1.21288e+12	5.13532e+03	8.74933e+10	1.72069e+13	3.58838e+13	3.61519e+04	5.51198e+05	3.23506e+07	1.91378e+08	2.79875e+10
3.01995e+13	1.49474e+18	1.30445e+09	2.41472e+11	1.12137e+12	9.24478e+07	3.66780e+10	1.20685e+12	5.75333e+03	9.41623e+10	1.65503e+13	3.27970e+13	4.29718e+04	6.61647e+05	3.79031e+07	2.16767e+08	3.00072e+10
3.01995e+13	1.41438e+18	1.42104e+09	2.56177e+11	1.14420e+12	1.01326e+08	3.92346e+10	1.19913e+12	6.44642e+03	1.01234e+11	1.58858e+13	2.99224e+13	5.09869e+04	7.92589e+05	4.43324e+07	2.45116e+08	3.21246e+10
3.01995e+13	1.33861e+18	1.54633e+09	2.71432e+11	1.16607e+12	1.10988e+08	4.19306e+10	1.18975e+12	7.22344e+03	1.08718e+11	1.52162e+13	2.72507e+13	6.03904e+04	9.47513e+05	5.17642e+07	2.76716e+08	3.43402e+10
3.01995e+13	1.26716e+18	1.68084e+09	2.87236e+11	1.18693e+12	1.21489e+08	4.47690e+10	1.17871e+12	8.09406e+03	1.16621e+11	1.45440e+13	2.47722e+13	7.14037e+04	1.13044e+06	6.03408e+07	3.11883e+08	3.66542e+10
3.01995e+13	1.19974e+18	1.82510e+09	3.03589e+11	1.20676e+12	1.32888e+08	4.77520e+10	1.16604e+12	9.06906e+03	1.24949e+11	1.38721e+13	2.24773e+13	8.42802e+04	1.34602e+06	7.02222e+07	3.50955e+08	3.90665e+10
3.01995e+13	1.13610e+18	1.97971e+09	3.20490e+11	1.22549e+12	1.45252e+08	5.08823e+10	1.15177e+12	1.01609e+04	1.33707e+11	1.32028e+13	2.03569e+13	9.93124e+04	1.59958e+06	8.15890e+07	3.94294e+08	4.15763e+10
