# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
30199500000000.0 1.86878e+18 915380000.0 188091000000.0 1021560000000.0 63695500.0 27767000000.0 1220820000000.0 3655.92 69787700000.0 19102600000000.0 46513000000000.0 21287.5 314641.0 19902300.0 130364000.0 22502900000.0 -5.0 4.598 [-5.0]
30199500000000.0 1.76666e+18 1001990000.0 200629000000.0 1047680000000.0 69971700.0 29806600000.0 1219860000000.0 4093.63 75320100000.0 18485700000000.0 42732400000000.0 25446.7 380121.0 23442800.0 148416000.0 24236700000.0 -4.98 4.593 [-4.98]
30199500000000.0 1.67053e+18 1095390000.0 213701000000.0 1073070000000.0 76821700.0 31968100000.0 1217220000000.0 4584.45 81216400000.0 17853000000000.0 39192400000000.0 30358.7 458223.0 27563200.0 168677000.0 26064400000.0 -4.96 4.587 [-4.96]
30199500000000.0 1.58001e+18 1196060000.0 227314000000.0 1097650000000.0 84297200.0 34257100000.0 1212880000000.0 5135.32 87493300000.0 17206900000000.0 35883800000000.0 36151.9 551198.0 32350600.0 191378000.0 27987500000.0 -4.94 4.582 [-4.94]
30199500000000.0 1.49474e+18 1304450000.0 241472000000.0 1121370000000.0 92447800.0 36678000000.0 1206850000000.0 5753.33 94162300000.0 16550300000000.0 32797000000000.0 42971.8 661647.0 37903100.0 216767000.0 30007200000.0 -4.92 4.577 [-4.92]
30199500000000.0 1.41438e+18 1421040000.0 256177000000.0 1144200000000.0 101326000.0 39234600000.0 1199130000000.0 6446.42 101234000000.0 15885800000000.0 29922400000000.0 50986.9 792589.0 44332400.0 245116000.0 32124600000.0 -4.9 4.572 [-4.9]
30199500000000.0 1.33861e+18 1546330000.0 271432000000.0 1166070000000.0 110988000.0 41930600000.0 1189750000000.0 7223.44 108718000000.0 15216200000000.0 27250700000000.0 60390.4 947513.0 51764200.0 276716000.0 34340200000.0 -4.88 4.567 [-4.88]
30199500000000.0 1.26716e+18 1680840000.0 287236000000.0 1186930000000.0 121489000.0 44769000000.0 1178710000000.0 8094.06 116621000000.0 14544000000000.0 24772200000000.0 71403.7 1130440.0 60340800.0 311883000.0 36654200000.0 -4.86 4.562 [-4.86]
30199500000000.0 1.19974e+18 1825100000.0 303589000000.0 1206760000000.0 132888000.0 47752000000.0 1166040000000.0 9069.06 124949000000.0 13872100000000.0 22477300000000.0 84280.2 1346020.0 70222200.0 350955000.0 39066500000.0 -4.84 4.557 [-4.84]
30199500000000.0 1.1361e+18 1979710000.0 320490000000.0 1225490000000.0 145252000.0 50882300000.0 1151770000000.0 10160.9 133707000000.0 13202800000000.0 20356900000000.0 99312.4 1599580.0 81589000.0 394294000.0 41576300000.0 -4.82 4.553 [-4.82]
30199500000000.0 1.07602e+18 2145110000.0 337925000000.0 1243100000000.0 158627000.0 54158100000.0 1135930000000.0 11381.1 142889000000.0 12539000000000.0 18401900000000.0 116818.0 1897130.0 94639900.0 442287000.0 44182400000.0 -4.8 4.548 [-4.8]
