H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4
1.02329e+15	6.32304e+19	3.05551e+10	6.39126e+12	3.52759e+13	2.08174e+09	9.32927e+11	4.17802e+13	1.18771e+05	2.41818e+12	6.56196e+14	1.55714e+15	7.07719e+05	1.08323e+07	6.87457e+08	4.55343e+09	7.77674e+11
1.02329e+15	5.97833e+19	3.34417e+10	6.81585e+12	3.61701e+13	2.28776e+09	1.00166e+12	4.17391e+13	1.33053e+05	2.60934e+12	6.34402e+14	1.43045e+15	8.45802e+05	1.30791e+07	8.09403e+08	5.18199e+09	8.37361e+11
1.02329e+15	5.65379e+19	3.65558e+10	7.25853e+12	3.70385e+13	2.51283e+09	1.07455e+12	4.16399e+13	1.49089e+05	2.81310e+12	6.12112e+14	1.31189e+15	1.00892e+06	1.57581e+07	9.51275e+08	5.88719e+09	9.00258e+11
1.02329e+15	5.34811e+19	3.99129e+10	7.71943e+12	3.78790e+13	2.75849e+09	1.15175e+12	4.14827e+13	1.67091e+05	3.02989e+12	5.89417e+14	1.20112e+15	1.20127e+06	1.89456e+07	1.11604e+09	6.67699e+09	9.66413e+11
1.02329e+15	5.06008e+19	4.35276e+10	8.19873e+12	3.86899e+13	3.02641e+09	1.23339e+12	4.12677e+13	1.87296e+05	3.26015e+12	5.66411e+14	1.09781e+15	1.42771e+06	2.27307e+07	1.30708e+09	7.56003e+09	1.03587e+12
1.02329e+15	4.78858e+19	4.74162e+10	8.69655e+12	3.94696e+13	3.31835e+09	1.31963e+12	4.09952e+13	2.09966e+05	3.50426e+12	5.43190e+14	1.00164e+15	1.69383e+06	2.72163e+07	1.52820e+09	8.54570e+09	1.10867e+12
1.02329e+15	4.53256e+19	5.15950e+10	9.21290e+12	4.02162e+13	3.63609e+09	1.41057e+12	4.06656e+13	2.35391e+05	3.76250e+12	5.19846e+14	9.12277e+14	2.00605e+06	3.25214e+07	1.78372e+09	9.64406e+09	1.18481e+12
1.02329e+15	4.29103e+19	5.60812e+10	9.74782e+12	4.09284e+13	3.98151e+09	1.50632e+12	4.02797e+13	2.63891e+05	4.03518e+12	4.96478e+14	8.29377e+14	2.37169e+06	3.87832e+07	2.07850e+09	1.08660e+10	1.26432e+12
1.02329e+15	4.06309e+19	6.08927e+10	1.03012e+13	4.16044e+13	4.35657e+09	1.60695e+12	3.98379e+13	2.95822e+05	4.32246e+12	4.73169e+14	7.52631e+14	2.79919e+06	4.61597e+07	2.41802e+09	1.22233e+10	1.34717e+12
1.02329e+15	3.84789e+19	6.60477e+10	1.08730e+13	4.22428e+13	4.76322e+09	1.71251e+12	3.93415e+13	3.31575e+05	4.62443e+12	4.50004e+14	6.81726e+14	3.29811e+06	5.48318e+07	2.80841e+09	1.37284e+10	1.43335e+12
