# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
1023290000000000.0 6.32304e+19 30555100000.0 6391260000000.0 35275900000000.0 2081740000.0 932927000000.0 41780200000000.0 118771.0 2418180000000.0 656196000000000.0 1557140000000000.0 707719.0 10832300.0 687457000.0 4553430000.0 777674000000.0 -5.0 4.592 [-5.0]
1023290000000000.0 5.97833e+19 33441700000.0 6815850000000.0 36170100000000.0 2287760000.0 1001660000000.0 41739100000000.0 133053.0 2609340000000.0 634402000000000.0 1430450000000000.0 845802.0 13079100.0 809403000.0 5181990000.0 837361000000.0 -4.98 4.586 [-4.98]
1023290000000000.0 5.65379e+19 36555800000.0 7258530000000.0 37038500000000.0 2512830000.0 1074550000000.0 41639900000000.0 149089.0 2813100000000.0 612112000000000.0 1311890000000000.0 1008920.0 15758100.0 951275000.0 5887190000.0 900258000000.0 -4.96 4.581 [-4.96]
1023290000000000.0 5.34811e+19 39912900000.0 7719430000000.0 37879000000000.0 2758490000.0 1151750000000.0 41482700000000.0 167091.0 3029890000000.0 589417000000000.0 1201120000000000.0 1201270.0 18945600.0 1116040000.0 6676990000.0 966413000000.0 -4.94 4.576 [-4.94]
1023290000000000.0 5.06008e+19 43527600000.0 8198730000000.0 38689900000000.0 3026410000.0 1233390000000.0 41267700000000.0 187296.0 3260150000000.0 566411000000000.0 1097810000000000.0 1427710.0 22730700.0 1307080000.0 7560030000.0 1035870000000.0 -4.92 4.571 [-4.92]
1023290000000000.0 4.78858e+19 47416200000.0 8696550000000.0 39469600000000.0 3318350000.0 1319630000000.0 40995200000000.0 209966.0 3504260000000.0 543190000000000.0 1001640000000000.0 1693830.0 27216300.0 1528200000.0 8545700000.0 1108670000000.0 -4.9 4.566 [-4.9]
1023290000000000.0 4.53256e+19 51595000000.0 9212900000000.0 40216200000000.0 3636090000.0 1410570000000.0 40665600000000.0 235391.0 3762500000000.0 519846000000000.0 912277000000000.0 2006050.0 32521400.0 1783720000.0 9644060000.0 1184810000000.0 -4.88 4.561 [-4.88]
1023290000000000.0 4.29103e+19 56081200000.0 9747820000000.0 40928400000000.0 3981510000.0 1506320000000.0 40279700000000.0 263891.0 4035180000000.0 496478000000000.0 829377000000000.0 2371690.0 38783200.0 2078500000.0 10866000000.0 1264320000000.0 -4.86 4.556 [-4.86]
1023290000000000.0 4.06309e+19 60892700000.0 10301200000000.0 41604400000000.0 4356570000.0 1606950000000.0 39837900000000.0 295822.0 4322460000000.0 473169000000000.0 752631000000000.0 2799190.0 46159700.0 2418020000.0 12223300000.0 1347170000000.0 -4.84 4.552 [-4.84]
1023290000000000.0 3.84789e+19 66047700000.0 10873000000000.0 42242800000000.0 4763220000.0 1712510000000.0 39341500000000.0 331575.0 4624430000000.0 450004000000000.0 681726000000000.0 3298110.0 54831800.0 2808410000.0 13728400000.0 1433350000000.0 -4.82 4.547 [-4.82]
1023290000000000.0 3.64465e+19 71564600000.0 11462900000000.0 42842400000000.0 5203500000.0 1823040000000.0 38791400000000.0 371582.0 4941130000000.0 427070000000000.0 616347000000000.0 3879350.0 65006900.0 3256570000.0 15394700000.0 1522810000000.0 -4.8 4.543 [-4.8]
1023290000000000.0 3.45268e+19 77464900000.0 12071000000000.0 43401800000000.0 5679680000.0 1938560000000.0 38189400000000.0 416352.0 5272670000000.0 404446000000000.0 556190000000000.0 4555470.0 76922500.0 3770220000.0 17236400000.0 1615480000000.0 -4.78 4.538 [-4.78]
1023290000000000.0 3.27133e+19 83771100000.0 12696800000000.0 43919700000000.0 6194180000.0 2059080000000.0 37536900000000.0 466462.0 5619110000000.0 382211000000000.0 500954000000000.0 5340810.0 90849400.0 4357940000.0 19268200000.0 1711280000000.0 -4.76 4.534 [-4.76]
1023290000000000.0 3.09987e+19 90498100000.0 13339800000000.0 44394900000000.0 6748550000.0 2184440000000.0 36835600000000.0 522438.0 5979930000000.0 360427000000000.0 450337000000000.0 6250900.0 107093000.0 5029330000.0 21506800000.0 1810110000000.0 -4.74 4.53 [-4.74]
1023290000000000.0 2.93774e+19 97664700000.0 13999500000000.0 44826200000000.0 7344740000.0 2314510000000.0 36087500000000.0 584923.0 6354820000000.0 339162000000000.0 404050000000000.0 7303570.0 126000000.0 5795030000.0 23969400000.0 1911850000000.0 -4.72 4.526 [-4.72]
1023290000000000.0 2.78438e+19 105291000000.0 14675100000000.0 45212600000000.0 7984720000.0 2449130000000.0 35294800000000.0 654638.0 6743470000000.0 318474000000000.0 361812000000000.0 8518920.0 147964000.0 6666860000.0 26674000000.0 2016350000000.0 -4.7 4.521 [-4.7]
1023290000000000.0 2.63927e+19 113395000000.0 15366000000000.0 45553100000000.0 8670420000.0 2588110000000.0 34460300000000.0 732378.0 7145380000000.0 298413000000000.0 323357000000000.0 9919470.0 173427000.0 7657870000.0 29639700000.0 2123460000000.0 -4.68 4.517 [-4.68]
1023290000000000.0 2.50194e+19 121997000000.0 16071300000000.0 45846500000000.0 9403580000.0 2731190000000.0 33586600000000.0 819015.0 7559990000000.0 279023000000000.0 288424000000000.0 11530300.0 202885000.0 8782500000.0 32886700000.0 2232980000000.0 -4.66 4.513 [-4.66]
1023290000000000.0 2.37194e+19 131113000000.0 16790000000000.0 46092000000000.0 10185900000.0 2878070000000.0 32676800000000.0 915522.0 7986670000000.0 260342000000000.0 256765000000000.0 13379500.0 236896000.0 10056600000.0 36435800000.0 2344680000000.0 -4.64 4.509 [-4.64]
1023290000000000.0 2.24885e+19 140764000000.0 17521100000000.0 46288800000000.0 11019100000.0 3028450000000.0 31733900000000.0 1023020.0 8424820000000.0 242399000000000.0 228134000000000.0 15498700.0 276090000.0 11497900000.0 40309400000.0 2458350000000.0 -4.62 4.505 [-4.62]
1023290000000000.0 2.1323e+19 150963000000.0 18263100000000.0 46436000000000.0 11904200000.0 3181870000000.0 30761700000000.0 1142650.0 8873530000000.0 225224000000000.0 202306000000000.0 17921600.0 321147000.0 13125100000.0 44529400000.0 2573680000000.0 -4.6 4.501 [-4.6]
1023290000000000.0 2.0219e+19 161724000000.0 19014700000000.0 46532800000000.0 12842400000.0 3337940000000.0 29763600000000.0 1275770.0 9332010000000.0 208833000000000.0 179056000000000.0 20686600.0 372842000.0 14959200000.0 49120000000.0 2690400000000.0 -4.58 4.497 [-4.58]
1023290000000000.0 1.9173e+19 173059000000.0 19774300000000.0 46578600000000.0 13834400000.0 3496150000000.0 28743300000000.0 1423840.0 9799300000000.0 193237000000000.0 158172000000000.0 23835300.0 432026000.0 17022900000.0 54105900000.0 2808200000000.0 -4.56 4.493 [-4.56]
1023290000000000.0 1.81819e+19 184984000000.0 20540200000000.0 46572700000000.0 14881400000.0 3656020000000.0 27704900000000.0 1588570.0 10274600000000.0 178442000000000.0 139457000000000.0 27414300.0 499643000.0 19341000000.0 59511700000.0 2926720000000.0 -4.54 4.489 [-4.54]
1023290000000000.0 1.72429e+19 197508000000.0 21310700000000.0 46514700000000.0 15984000000.0 3817040000000.0 26652300000000.0 1771860.0 10757000000000.0 164448000000000.0 122724000000000.0 31474500.0 576730000.0 21940400000.0 65362800000.0 3045600000000.0 -4.52 4.486 [-4.52]
1023290000000000.0 1.63529e+19 210643000000.0 22083800000000.0 46404100000000.0 17142700000.0 3978650000000.0 25589600000000.0 1975830.0 11245600000000.0 151251000000000.0 107796000000000.0 36071500.0 664424000.0 24849900000.0 71685100000.0 3164440000000.0 -4.5 4.482 [-4.5]
1023290000000000.0 1.55095e+19 224393000000.0 22857400000000.0 46240600000000.0 18357600000.0 4140260000000.0 24520900000000.0 2202850.0 11739300000000.0 138840000000000.0 94508700000000.0 41266000.0 763970000.0 28100700000.0 78504500000.0 3282820000000.0 -4.48 4.478 [-4.48]
1023290000000000.0 1.4709e+19 238706000000.0 23627200000000.0 46023600000000.0 19623200000.0 4300780000000.0 23449800000000.0 2454730.0 12235700000000.0 127196000000000.0 82702800000000.0 47109600.0 876643000.0 31725500000.0 85856000000.0 3400350000000.0 -4.46 4.474 [-4.46]
1023290000000000.0 1.39513e+19 253701000000.0 24395100000000.0 45753800000000.0 20950700000.0 4460610000000.0 22381300000000.0 2736190.0 12736400000000.0 116308000000000.0 72252400000000.0 53699600.0 1004070000.0 35761500000.0 93748000000.0 3516470000000.0 -4.44 4.47 [-4.44]
1023290000000000.0 1.32331e+19 269321000000.0 25156300000000.0 45430800000000.0 22334100000.0 4618640000000.0 21318800000000.0 3049830.0 13239100000000.0 106150000000000.0 63013800000000.0 61101700.0 1147780000.0 40246400000.0 102215000000.0 3630750000000.0 -4.42 4.466 [-4.42]
1023290000000000.0 1.25523e+19 285565000000.0 25908500000000.0 45054900000000.0 23773200000.0 4774260000000.0 20266100000000.0 3399540.0 13742800000000.0 96699800000000.0 54863500000000.0 69400300.0 1309500000.0 45220700000.0 111280000000.0 3742710000000.0 -4.4 4.462 [-4.4]
1023290000000000.0 1.19069e+19 302425000000.0 26648800000000.0 44626400000000.0 25267200000.0 4926860000000.0 19226900000000.0 3789660.0 14246400000000.0 87929100000000.0 47687900000000.0 78684200.0 1491090000.0 50727300000.0 120968000000.0 3851820000000.0 -4.38 4.459 [-4.38]
1023290000000000.0 1.12951e+19 319895000000.0 27374500000000.0 44145700000000.0 26815700000.0 5075860000000.0 18204400000000.0 4225160.0 14748900000000.0 79809700000000.0 41383000000000.0 89051400.0 1694530000.0 56811800000.0 131300000000.0 3957580000000.0 -4.36 4.455 [-4.36]
1023290000000000.0 1.0715e+19 337963000000.0 28082700000000.0 43613600000000.0 28417800000.0 5220670000000.0 17201900000000.0 4711630.0 15249400000000.0 72311500000000.0 35854200000000.0 100604000.0 1921940000.0 63521300000.0 142298000000.0 4059440000000.0 -4.34 4.451 [-4.34]
1023290000000000.0 1.01651e+19 356615000000.0 28770500000000.0 43031000000000.0 30072700000.0 5360770000000.0 16222300000000.0 5255420.0 15746900000000.0 65403600000000.0 31015200000000.0 113453000.0 2175600000.0 70905600000.0 153978000000.0 4156880000000.0 -4.32 4.447 [-4.32]
1023290000000000.0 9.64374e+18 375827000000.0 29434500000000.0 42399100000000.0 31778900000.0 5495530000000.0 15268200000000.0 5863650.0 16240200000000.0 59054100000000.0 26787800000000.0 127714000.0 2457880000.0 79016100000.0 166357000000.0 4249360000000.0 -4.3 4.444 [-4.3]
1023290000000000.0 9.14947e+18 395587000000.0 30072600000000.0 41718900000000.0 33536700000.0 5624640000000.0 14342000000000.0 6544510.0 16728500000000.0 53231200000000.0 23101600000000.0 143511000.0 2771330000.0 87906500000.0 179448000000.0 4336360000000.0 -4.28 4.44 [-4.28]
1023290000000000.0 8.68089e+18 415869000000.0 30681400000000.0 40992100000000.0 35344800000.0 5747550000000.0 13445700000000.0 7307190.0 17210900000000.0 47903000000000.0 19893200000000.0 160974000.0 3118600000.0 97631400000.0 193259000000.0 4417340000000.0 -4.26 4.436 [-4.26]
1023290000000000.0 8.23666e+18 436645000000.0 31258100000000.0 40220300000000.0 37202400000.0 5863860000000.0 12581000000000.0 8162080.0 17686400000000.0 43037800000000.0 17105500000000.0 180239000.0 3502470000.0 108247000000.0 207795000000.0 4491800000000.0 -4.24 4.433 [-4.24]
1023290000000000.0 7.81551e+18 457878000000.0 31799800000000.0 39405700000000.0 39108300000.0 5973160000000.0 11749400000000.0 9120870.0 18154000000000.0 38605100000000.0 14687500000000.0 201444000.0 3925790000.0 119810000000.0 223057000000.0 4559240000000.0 -4.22 4.429 [-4.22]
1023290000000000.0 7.41623e+18 479536000000.0 32303600000000.0 38550300000000.0 41061800000.0 6075120000000.0 10951800000000.0 10196900.0 18612800000000.0 34574400000000.0 12593800000000.0 224736000.0 4391570000.0 132376000000.0 239039000000.0 4619160000000.0 -4.2 4.425 [-4.2]
1023290000000000.0 7.03771e+18 501579000000.0 32766900000000.0 37656600000000.0 43062000000.0 6169420000000.0 10189300000000.0 11405000.0 19062000000000.0 30916900000000.0 10783700000000.0 250262000.0 4902840000.0 146002000000.0 255732000000.0 4671130000000.0 -4.18 4.422 [-4.18]
