H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4
1.86209e+15	1.15247e+20	5.51972e+10	1.16961e+13	6.50277e+13	3.70881e+09	1.69566e+12	7.65847e+13	2.10571e+05	4.48582e+12	1.21043e+15	2.81368e+15	1.26592e+06	1.98050e+07	1.26112e+09	8.42674e+09	1.43107e+12
1.86209e+15	1.08973e+20	6.04104e+10	1.24716e+13	6.66677e+13	4.07720e+09	1.82085e+12	7.65008e+13	2.35989e+05	4.83961e+12	1.16950e+15	2.58434e+15	1.51294e+06	2.39067e+07	1.48452e+09	9.58779e+09	1.54067e+12
1.86209e+15	1.03065e+20	6.60350e+10	1.32800e+13	6.82600e+13	4.47980e+09	1.95362e+12	7.63107e+13	2.64541e+05	5.21661e+12	1.12771e+15	2.36978e+15	1.80478e+06	2.87964e+07	1.74437e+09	1.08901e+10	1.65614e+12
1.86209e+15	9.74995e+19	7.20993e+10	1.41218e+13	6.98008e+13	4.91938e+09	2.09425e+12	7.60141e+13	2.96605e+05	5.61759e+12	1.08523e+15	2.16940e+15	2.14898e+06	3.46135e+07	2.04611e+09	1.23483e+10	1.77756e+12
1.86209e+15	9.22551e+19	7.86299e+10	1.49970e+13	7.12868e+13	5.39895e+09	2.24301e+12	7.56117e+13	3.32604e+05	6.04334e+12	1.04224e+15	1.98261e+15	2.55425e+06	4.15198e+07	2.39588e+09	1.39782e+10	1.90503e+12
1.86209e+15	8.73110e+19	8.56557e+10	1.59060e+13	7.27151e+13	5.92166e+09	2.40016e+12	7.51039e+13	3.73008e+05	6.49451e+12	9.98907e+14	1.80879e+15	3.03062e+06	4.97033e+07	2.80069e+09	1.57972e+10	2.03859e+12
1.86209e+15	8.26480e+19	9.32072e+10	1.68490e+13	7.40825e+13	6.49076e+09	2.56590e+12	7.44915e+13	4.18334e+05	6.97166e+12	9.55407e+14	1.64733e+15	3.58959e+06	5.93804e+07	3.26839e+09	1.78238e+10	2.17828e+12
1.86209e+15	7.82454e+19	1.01303e+11	1.78251e+13	7.53864e+13	7.10825e+09	2.74017e+12	7.37753e+13	4.69004e+05	7.47447e+12	9.11903e+14	1.49756e+15	4.24372e+06	7.07998e+07	3.80789e+09	2.00791e+10	2.32416e+12
1.86209e+15	7.40917e+19	1.09992e+11	1.88352e+13	7.66235e+13	7.77952e+09	2.92345e+12	7.29574e+13	5.25865e+05	8.00443e+12	8.68577e+14	1.35898e+15	5.00887e+06	8.42504e+07	4.42916e+09	2.25831e+10	2.47613e+12
1.86209e+15	7.01712e+19	1.19307e+11	1.98790e+13	7.77912e+13	8.50818e+09	3.11583e+12	7.20395e+13	5.89634e+05	8.56169e+12	8.25584e+14	1.23102e+15	5.90236e+06	1.00062e+08	5.14341e+09	2.53586e+10	2.63414e+12
1.86209e+15	6.64683e+19	1.29278e+11	2.09559e+13	7.88872e+13	9.29722e+09	3.31725e+12	7.10234e+13	6.61019e+05	9.14609e+12	7.83081e+14	1.11304e+15	6.94345e+06	1.18612e+08	5.96323e+09	2.84309e+10	2.79813e+12
1.86209e+15	6.29706e+19	1.39945e+11	2.20659e+13	7.99091e+13	1.01511e+10	3.52783e+12	6.99125e+13	7.40960e+05	9.75785e+12	7.41207e+14	1.00451e+15	8.15489e+06	1.40334e+08	6.90270e+09	3.18254e+10	2.96798e+12
1.86209e+15	5.96654e+19	1.51342e+11	2.32082e+13	8.08546e+13	1.10733e+10	3.74745e+12	6.87094e+13	8.30401e+05	1.03966e+13	7.00096e+14	9.04876e+14	9.56190e+06	1.65718e+08	7.97752e+09	3.55704e+10	3.14355e+12
1.86209e+15	5.65403e+19	1.63500e+11	2.43817e+13	8.17215e+13	1.20672e+10	3.97588e+12	6.74171e+13	9.30333e+05	1.10617e+13	6.59868e+14	8.13586e+14	1.11926e+07	1.95320e+08	9.20516e+09	3.96959e+10	3.32463e+12
1.86209e+15	5.35848e+19	1.76452e+11	2.55855e+13	8.25075e+13	1.31361e+10	4.21289e+12	6.60393e+13	1.04191e+06	1.17527e+13	6.20640e+14	7.30112e+14	1.30789e+07	2.29772e+08	1.06050e+10	4.42332e+10	3.51102e+12
1.86209e+15	5.07888e+19	1.90234e+11	2.68183e+13	8.32107e+13	1.42836e+10	4.45818e+12	6.45804e+13	1.16643e+06	1.24687e+13	5.82513e+14	6.53954e+14	1.52570e+07	2.69788e+08	1.21987e+10	4.92158e+10	3.70244e+12
1.86209e+15	4.81432e+19	2.04880e+11	2.80788e+13	8.38291e+13	1.55131e+10	4.71138e+12	6.30451e+13	1.30531e+06	1.32091e+13	5.45582e+14	5.84609e+14	1.77671e+07	3.16172e+08	1.40099e+10	5.46787e+10	3.89858e+12
1.86209e+15	4.56391e+19	2.20423e+11	2.93653e+13	8.43610e+13	1.68278e+10	4.97203e+12	6.14384e+13	1.46014e+06	1.39730e+13	5.09925e+14	5.21601e+14	2.06545e+07	3.69828e+08	1.60650e+10	6.06585e+10	4.09909e+12
1.86209e+15	4.32686e+19	2.36898e+11	3.06762e+13	8.48047e+13	1.82308e+10	5.23960e+12	5.97661e+13	1.63267e+06	1.47589e+13	4.75603e+14	4.64489e+14	2.39693e+07	4.31767e+08	1.83930e+10	6.71938e+10	4.30357e+12
1.86209e+15	4.10240e+19	2.54333e+11	3.20093e+13	8.51586e+13	1.97247e+10	5.51346e+12	5.80339e+13	1.82484e+06	1.55659e+13	4.42670e+14	4.12835e+14	2.77676e+07	5.03122e+08	2.10256e+10	7.43249e+10	4.51158e+12
1.86209e+15	3.88982e+19	2.72766e+11	3.33625e+13	8.54212e+13	2.13127e+10	5.79297e+12	5.62481e+13	2.03894e+06	1.63926e+13	4.11167e+14	3.66207e+14	3.21125e+07	5.85165e+08	2.39980e+10	8.20936e+10	4.72263e+12
1.86209e+15	3.68844e+19	2.92207e+11	3.47326e+13	8.55910e+13	2.29952e+10	6.07717e+12	5.44155e+13	2.27714e+06	1.72371e+13	3.81126e+14	3.24221e+14	3.70697e+07	6.79268e+08	2.73475e+10	9.05434e+10	4.93616e+12
1.86209e+15	3.49764e+19	3.12685e+11	3.61171e+13	8.56667e+13	2.47747e+10	6.36527e+12	5.25430e+13	2.54223e+06	1.80980e+13	3.52562e+14	2.86496e+14	4.27155e+07	7.86988e+08	3.11158e+10	9.97190e+10	5.15160e+12
1.86209e+15	3.31687e+19	3.34228e+11	3.75129e+13	8.56475e+13	2.66530e+10	6.65640e+12	5.06378e+13	2.83727e+06	1.89737e+13	3.25484e+14	2.52675e+14	4.91334e+07	9.10039e+08	3.53480e+10	1.09666e+11	5.36832e+12
1.86209e+15	3.14557e+19	3.56854e+11	3.89168e+13	8.55323e+13	2.86312e+10	6.94959e+12	4.87072e+13	3.16568e+06	1.98625e+13	2.99887e+14	2.22422e+14	5.64149e+07	1.05031e+09	4.00928e+10	1.20431e+11	5.58563e+12
1.86209e+15	2.98323e+19	3.80581e+11	4.03253e+13	8.53205e+13	3.07102e+10	7.24385e+12	4.67588e+13	3.53127e+06	2.07626e+13	2.75758e+14	1.95427e+14	6.46597e+07	1.20985e+09	4.54029e+10	1.32060e+11	5.80280e+12
1.86209e+15	2.82937e+19	4.05423e+11	4.17345e+13	8.50114e+13	3.28906e+10	7.53811e+12	4.48001e+13	3.93835e+06	2.16722e+13	2.53075e+14	1.71391e+14	7.39770e+07	1.39092e+09	5.13349e+10	1.44602e+11	6.01907e+12
1.86209e+15	2.68354e+19	4.31390e+11	4.31404e+13	8.46046e+13	3.51726e+10	7.83132e+12	4.28384e+13	4.39177e+06	2.25892e+13	2.31811e+14	1.50037e+14	8.44846e+07	1.59601e+09	5.79497e+10	1.58103e+11	6.23364e+12
1.86209e+15	2.54532e+19	4.58486e+11	4.45387e+13	8.41002e+13	3.75561e+10	8.12235e+12	4.08811e+13	4.89702e+06	2.35119e+13	2.11930e+14	1.31108e+14	9.63110e+07	1.82776e+09	6.53126e+10	1.72611e+11	6.44567e+12
1.86209e+15	2.41429e+19	4.86712e+11	4.59248e+13	8.34980e+13	4.00405e+10	8.41011e+12	3.89355e+13	5.46026e+06	2.44384e+13	1.93390e+14	1.14364e+14	1.09597e+08	2.08910e+09	7.34928e+10	1.88173e+11	6.65426e+12
1.86209e+15	2.29007e+19	5.16065e+11	4.72940e+13	8.27986e+13	4.26253e+10	8.69347e+12	3.70083e+13	6.08849e+06	2.53667e+13	1.76146e+14	9.95822e+13	1.24492e+08	2.38314e+09	8.25643e+10	2.04832e+11	6.85853e+12
1.86209e+15	2.17232e+19	5.46536e+11	4.86414e+13	8.20026e+13	4.53096e+10	8.97136e+12	3.51062e+13	6.78963e+06	2.62949e+13	1.60148e+14	8.65614e+13	1.41160e+08	2.71326e+09	9.26052e+10	2.22632e+11	7.05754e+12
1.86209e+15	2.06070e+19	5.78111e+11	4.99620e+13	8.11110e+13	4.80923e+10	9.24270e+12	3.32353e+13	7.57263e+06	2.72212e+13	1.45341e+14	7.51145e+13	1.59776e+08	3.08309e+09	1.03698e+11	2.41614e+11	7.25036e+12
1.86209e+15	1.95487e+19	6.10771e+11	5.12506e+13	8.01250e+13	5.09721e+10	9.50646e+12	3.14015e+13	8.44757e+06	2.81436e+13	1.31670e+14	6.50747e+13	1.80524e+08	3.49644e+09	1.15928e+11	2.61812e+11	7.43597e+12
1.86209e+15	1.85455e+19	6.44489e+11	5.25018e+13	7.90465e+13	5.39478e+10	9.76164e+12	2.96100e+13	9.42588e+06	2.90600e+13	1.19077e+14	5.62882e+13	2.03605e+08	3.95744e+09	1.29386e+11	2.83260e+11	7.61344e+12
1.86209e+15	1.75944e+19	6.79235e+11	5.37103e+13	7.78773e+13	5.70178e+10	1.00073e+13	2.78656e+13	1.05206e+07	2.99688e+13	1.07504e+14	4.86129e+13	2.29228e+08	4.47043e+09	1.44167e+11	3.05988e+11	7.78179e+12
1.86209e+15	1.66927e+19	7.14972e+11	5.48707e+13	7.66200e+13	6.01809e+10	1.02425e+13	2.61725e+13	1.17463e+07	3.08680e+13	9.68917e+13	4.19208e+13	2.57618e+08	5.04000e+09	1.60365e+11	3.30016e+11	7.94004e+12
1.86209e+15	1.58379e+19	7.51660e+11	5.59778e+13	7.52774e+13	6.34357e+10	1.04665e+13	2.45345e+13	1.31196e+07	3.17560e+13	8.71830e+13	3.60966e+13	2.89010e+08	5.67098e+09	1.78082e+11	3.55359e+11	8.08724e+12
1.86209e+15	1.50275e+19	7.89246e+11	5.70263e+13	7.38526e+13	6.67805e+10	1.06786e+13	2.29545e+13	1.46594e+07	3.26309e+13	7.83193e+13	3.10363e+13	3.23649e+08	6.36841e+09	1.97420e+11	3.82028e+11	8.22247e+12
1.86209e+15	1.42592e+19	8.27671e+11	5.80108e+13	7.23494e+13	7.02137e+10	1.08778e+13	2.14353e+13	1.63867e+07	3.34910e+13	7.02445e+13	2.66475e+13	3.61789e+08	7.13747e+09	2.18478e+11	4.10022e+11	8.34481e+12
1.86209e+15	1.35309e+19	8.66871e+11	5.89264e+13	7.07718e+13	7.37339e+10	1.10638e+13	1.99787e+13	1.83254e+07	3.43347e+13	6.29033e+13	2.28475e+13	4.03691e+08	7.98360e+09	2.41362e+11	4.39331e+11	8.45340e+12
1.86209e+15	1.28404e+19	9.06778e+11	5.97683e+13	6.91242e+13	7.73396e+10	1.12358e+13	1.85861e+13	2.05026e+07	3.51601e+13	5.62425e+13	1.95626e+13	4.49626e+08	8.91235e+09	2.66175e+11	4.69936e+11	8.54739e+12
1.86209e+15	1.21857e+19	9.47312e+11	6.05319e+13	6.74115e+13	8.10296e+10	1.13934e+13	1.72586e+13	2.29488e+07	3.59659e+13	5.02107e+13	1.67275e+13	4.99865e+08	9.92933e+09	2.93014e+11	5.01805e+11	8.62603e+12
1.86209e+15	1.15650e+19	9.88376e+11	6.12122e+13	6.56383e+13	8.48013e+10	1.15361e+13	1.59964e+13	2.56985e+07	3.67499e+13	4.47586e+13	1.42842e+13	5.54691e+08	1.10403e+10	3.21976e+11	5.34894e+11	8.68852e+12
1.86209e+15	1.09764e+19	1.02989e+12	6.18061e+13	6.38108e+13	8.86544e+10	1.16637e+13	1.47997e+13	2.87901e+07	3.75110e+13	3.98400e+13	1.21821e+13	6.14363e+08	1.22508e+10	3.53154e+11	5.69145e+11	8.73428e+12
1.86209e+15	1.04183e+19	1.07173e+12	6.23093e+13	6.19349e+13	9.25854e+10	1.17757e+13	1.36681e+13	3.22668e+07	3.82476e+13	3.54107e+13	1.03759e+13	6.79118e+08	1.35664e+10	3.86628e+11	6.04495e+11	8.76273e+12
1.86209e+15	9.88922e+18	1.11386e+12	6.27203e+13	6.00168e+13	9.65975e+10	1.18721e+13	1.26007e+13	3.61787e+07	3.89584e+13	3.14292e+13	8.82659e+12	7.49246e+08	1.49930e+10	4.22483e+11	6.40845e+11	8.77339e+12
1.86208e+15	9.38753e+18	1.15613e+12	6.30357e+13	5.80628e+13	1.00687e+11	1.19527e+13	1.15964e+13	4.05801e+07	3.96418e+13	2.78565e+13	7.49929e+12	8.24951e+08	1.65357e+10	4.60778e+11	6.78099e+11	8.76583e+12
1.86208e+15	8.91180e+18	1.19843e+12	6.32536e+13	5.60797e+13	1.04853e+11	1.20174e+13	1.06538e+13	4.55332e+07	4.02966e+13	2.46558e+13	6.36378e+12	9.06438e+08	1.81993e+10	5.01564e+11	7.16136e+11	8.73977e+12
1.86208e+15	8.46063e+18	1.24063e+12	6.33724e+13	5.40741e+13	1.09093e+11	1.20662e+13	9.77117e+12	5.11071e+07	4.09212e+13	2.17932e+13	5.39364e+12	9.93871e+08	1.99882e+10	5.44873e+11	7.54821e+11	8.69497e+12
