# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
1862090000000000.0 1.15247e+20 55197200000.0 11696100000000.0 65027700000000.0 3708810000.0 1695660000000.0 76584700000000.0 210571.0 4485820000000.0 1210430000000000.0 2813680000000000.0 1265920.0 19805000.0 1261120000.0 8426740000.0 1431070000000.0 -5.0 4.588 [-5.0]
1862090000000000.0 1.08973e+20 60410400000.0 12471600000000.0 66667700000000.0 4077200000.0 1820850000000.0 76500800000000.0 235989.0 4839610000000.0 1169500000000000.0 2584340000000000.0 1512940.0 23906700.0 1484520000.0 9587790000.0 1540670000000.0 -4.98 4.583 [-4.98]
1862090000000000.0 1.03065e+20 66035000000.0 13280000000000.0 68260000000000.0 4479800000.0 1953620000000.0 76310700000000.0 264541.0 5216610000000.0 1127710000000000.0 2369780000000000.0 1804780.0 28796400.0 1744370000.0 10890100000.0 1656140000000.0 -4.96 4.578 [-4.96]
1862090000000000.0 9.74995e+19 72099300000.0 14121800000000.0 69800800000000.0 4919380000.0 2094250000000.0 76014100000000.0 296605.0 5617590000000.0 1085230000000000.0 2169400000000000.0 2148980.0 34613500.0 2046110000.0 12348300000.0 1777560000000.0 -4.94 4.573 [-4.94]
1862090000000000.0 9.22551e+19 78629900000.0 14997000000000.0 71286800000000.0 5398950000.0 2243010000000.0 75611700000000.0 332604.0 6043340000000.0 1042240000000000.0 1982610000000000.0 2554250.0 41519800.0 2395880000.0 13978200000.0 1905030000000.0 -4.92 4.568 [-4.92]
1862090000000000.0 8.7311e+19 85655700000.0 15906000000000.0 72715100000000.0 5921660000.0 2400160000000.0 75103900000000.0 373008.0 6494510000000.0 998907000000000.0 1808790000000000.0 3030620.0 49703300.0 2800690000.0 15797200000.0 2038590000000.0 -4.9 4.563 [-4.9]
1862090000000000.0 8.2648e+19 93207200000.0 16849000000000.0 74082500000000.0 6490760000.0 2565900000000.0 74491500000000.0 418334.0 6971660000000.0 955407000000000.0 1647330000000000.0 3589590.0 59380400.0 3268390000.0 17823800000.0 2178280000000.0 -4.88 4.558 [-4.88]
1862090000000000.0 7.82454e+19 101303000000.0 17825100000000.0 75386400000000.0 7108250000.0 2740170000000.0 73775300000000.0 469004.0 7474470000000.0 911903000000000.0 1497560000000000.0 4243720.0 70799800.0 3807890000.0 20079100000.0 2324160000000.0 -4.86 4.553 [-4.86]
1862090000000000.0 7.40917e+19 109992000000.0 18835200000000.0 76623500000000.0 7779520000.0 2923450000000.0 72957400000000.0 525865.0 8004430000000.0 868577000000000.0 1358980000000000.0 5008870.0 84250400.0 4429160000.0 22583100000.0 2476130000000.0 -4.84 4.549 [-4.84]
1862090000000000.0 7.01712e+19 119307000000.0 19879000000000.0 77791200000000.0 8508180000.0 3115830000000.0 72039500000000.0 589634.0 8561690000000.0 825584000000000.0 1231020000000000.0 5902360.0 100062000.0 5143410000.0 25358600000.0 2634140000000.0 -4.82 4.544 [-4.82]
