# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
43651600000000.0 2.68641e+18 1334110000.0 273302000000.0 1479600000000.0 92841600.0 40362100000.0 1763620000000.0 5341.64 101566000000.0 27518200000000.0 66697700000000.0 31264.2 462646.0 29189100.0 190589000.0 32731200000.0 -5.0 4.597 [-5.0]
43651600000000.0 2.53965e+18 1460170000.0 291486000000.0 1517270000000.0 101983000.0 43323300000.0 1762040000000.0 5981.04 109608000000.0 26624900000000.0 61267200000000.0 37365.5 558816.0 34376300.0 216950000.0 35248600000.0 -4.98 4.592 [-4.98]
43651600000000.0 2.4015e+18 1596130000.0 310443000000.0 1553860000000.0 111964000.0 46462300000.0 1758000000000.0 6698.57 118182000000.0 25708900000000.0 56183300000000.0 44571.9 673511.0 40412400.0 246532000.0 37901700000.0 -4.96 4.587 [-4.96]
43651600000000.0 2.27142e+18 1742640000.0 330180000000.0 1589290000000.0 122854000.0 49785800000.0 1751520000000.0 7503.64 127305000000.0 24774200000000.0 51432500000000.0 53068.6 810014.0 47424100.0 279669000.0 40692800000.0 -4.94 4.581 [-4.94]
43651600000000.0 2.14887e+18 1900370000.0 350706000000.0 1623470000000.0 134726000.0 53300000000.0 1742600000000.0 8406.75 136997000000.0 23824500000000.0 47001000000000.0 63069.6 972141.0 55555400.0 316727000.0 43623800000.0 -4.92 4.576 [-4.92]
43651600000000.0 2.03337e+18 2070030000.0 372023000000.0 1656340000000.0 147657000.0 57011000000.0 1731250000000.0 9419.57 147272000000.0 22863700000000.0 42874800000000.0 74821.5 1164320.0 64969200.0 358099000.0 46695900000.0 -4.9 4.571 [-4.9]
43651600000000.0 1.92449e+18 2252320000.0 394134000000.0 1687830000000.0 161726000.0 60923700000.0 1717480000000.0 10555.0 158145000000.0 21895900000000.0 39040400000000.0 88606.9 1391640.0 75849300.0 404208000.0 49910100000.0 -4.88 4.566 [-4.88]
43651600000000.0 1.82178e+18 2448010000.0 417038000000.0 1717860000000.0 177017000.0 65042300000.0 1701330000000.0 11827.1 169624000000.0 20924800000000.0 35483800000000.0 104750.0 1660020.0 88403500.0 455514000.0 53266400000.0 -4.86 4.562 [-4.86]
43651600000000.0 1.72488e+18 2657880000.0 440735000000.0 1746380000000.0 193615000.0 69370300000.0 1682820000000.0 13251.7 181717000000.0 19954200000000.0 32191500000000.0 123621.0 1976230.0 102866000.0 512510000.0 56764700000.0 -4.84 4.557 [-4.84]
43651600000000.0 1.63341e+18 2882710000.0 465219000000.0 1773320000000.0 211607000.0 73909800000.0 1662000000000.0 14846.1 194429000000.0 18988100000000.0 29149900000000.0 145642.0 2348040.0 119498000.0 575721000.0 60403800000.0 -4.82 4.552 [-4.82]
43651600000000.0 1.54705e+18 3123370000.0 490484000000.0 1798620000000.0 231088000.0 78662900000.0 1638920000000.0 16630.3 207764000000.0 18029900000000.0 26346100000000.0 171299.0 2784390.0 138594000.0 645706000.0 64181700000.0 -4.8 4.548 [-4.8]
43651600000000.0 1.46547e+18 3380590000.0 516515000000.0 1822240000000.0 252136000.0 83627300000.0 1613620000000.0 18623.7 221714000000.0 17083100000000.0 23766300000000.0 201128.0 3295430.0 160485000.0 723082000.0 68096400000.0 -4.78 4.543 [-4.78]
43651600000000.0 1.38841e+18 3655490000.0 543309000000.0 1844100000000.0 274873000.0 88805900000.0 1586190000000.0 20853.6 236286000000.0 16151000000000.0 21398600000000.0 235771.0 3892800.0 185536000.0 808455000.0 72143400000.0 -4.76 4.539 [-4.76]
43651600000000.0 1.31559e+18 3948880000.0 570846000000.0 1864180000000.0 299383000.0 94194200000.0 1556690000000.0 23345.3 251469000000.0 15236800000000.0 19229900000000.0 275925.0 4589720.0 214159000.0 902514000.0 76318900000.0 -4.74 4.534 [-4.74]
43651600000000.0 1.24673e+18 4261400000.0 599094000000.0 1882410000000.0 325732000.0 99783800000.0 1525210000000.0 26124.6 267238000000.0 14343200000000.0 17247500000000.0 322363.0 5401060.0 246808000.0 1006000000.0 80618300000.0 -4.72 4.53 [-4.72]
43651600000000.0 1.18161e+18 4593970000.0 628029000000.0 1898760000000.0 354013000.0 105569000000.0 1491840000000.0 29223.6 283581000000.0 13472800000000.0 15439500000000.0 375973.0 6343710.0 283989000.0 1119670000.0 85035400000.0 -4.7 4.526 [-4.7]
43651600000000.0 1.12e+18 4947400000.0 657619000000.0 1913180000000.0 384308000.0 111540000000.0 1456700000000.0 32677.2 300475000000.0 12627900000000.0 13794100000000.0 437746.0 7436700.0 326260000.0 1244330000.0 89563200000.0 -4.68 4.522 [-4.68]
43651600000000.0 1.0617e+18 5322500000.0 687826000000.0 1925620000000.0 416693000.0 117686000000.0 1419900000000.0 36523.6 317899000000.0 11810500000000.0 12300300000000.0 508790.0 8701450.0 374239000.0 1380820000.0 94193600000.0 -4.66 4.518 [-4.66]
43651600000000.0 1.00651e+18 5720050000.0 718607000000.0 1936050000000.0 451239000.0 123995000000.0 1381560000000.0 40805.4 335824000000.0 11022400000000.0 10947000000000.0 590336.0 10161900.0 428606000.0 1530040000.0 98917700000.0 -4.64 4.514 [-4.64]
43651600000000.0 9.54268e+17 6140790000.0 749916000000.0 1944430000000.0 488014000.0 130451000000.0 1341820000000.0 45569.9 354221000000.0 10265000000000.0 9723870000000.0 683754.0 11844900.0 490107000.0 1692900000.0 103725000000.0 -4.62 4.509 [-4.62]
43651600000000.0 9.04795e+17 6585440000.0 781698000000.0 1950730000000.0 527075000.0 137038000000.0 1300820000000.0 50869.9 373058000000.0 9539550000000.0 8620850000000.0 790567.0 13780200.0 559560000.0 1870370000.0 108605000000.0 -4.6 4.505 [-4.6]
43651600000000.0 8.57936e+17 7054540000.0 813889000000.0 1954910000000.0 568463000.0 143736000000.0 1258720000000.0 56762.3 392299000000.0 8846800000000.0 7628390000000.0 912431.0 16001000.0 637861000.0 2063460000.0 113545000000.0 -4.58 4.501 [-4.58]
43651600000000.0 8.13545e+17 7548740000.0 846423000000.0 1956940000000.0 612225000.0 150525000000.0 1215680000000.0 63313.7 411907000000.0 8187340000000.0 6737440000000.0 1051210.0 18544000.0 725981000.0 2273180000.0 118531000000.0 -4.56 4.498 [-4.56]
43651600000000.0 7.71484e+17 8068450000.0 879225000000.0 1956800000000.0 658382000.0 157383000000.0 1171850000000.0 70595.4 431842000000.0 7561490000000.0 5939380000000.0 1208910.0 21449700.0 824983000.0 2500620000.0 123549000000.0 -4.54 4.494 [-4.54]
43651600000000.0 7.31629e+17 8614260000.0 912222000000.0 1954470000000.0 706974000.0 164288000000.0 1127410000000.0 78691.6 452068000000.0 6969330000000.0 5226190000000.0 1387780.0 24762900.0 936014000.0 2746830000.0 128584000000.0 -4.52 4.49 [-4.52]
43651600000000.0 6.93861e+17 9186480000.0 945328000000.0 1949920000000.0 758011000.0 171216000000.0 1082540000000.0 87693.9 472545000000.0 6410700000000.0 4590230000000.0 1590240.0 28532500.0 1060310000.0 3012910000.0 133618000000.0 -4.5 4.486 [-4.5]
43651600000000.0 6.58069e+17 9785520000.0 978454000000.0 1943150000000.0 811510000.0 178141000000.0 1037400000000.0 97707.8 493232000000.0 5885190000000.0 4024410000000.0 1818990.0 32812200.0 1199220000.0 3299950000.0 138635000000.0 -4.48 4.482 [-4.48]
43651600000000.0 6.24139e+17 10411800000.0 1011520000000.0 1934130000000.0 867491000.0 185041000000.0 992156000000.0 108854.0 514096000000.0 5392120000000.0 3521980000000.0 2077010.0 37662100.0 1354210000.0 3609120000.0 143616000000.0 -4.46 4.478 [-4.46]
43651600000000.0 5.91989e+17 11064500000.0 1044380000000.0 1922880000000.0 925864000.0 191881000000.0 947013000000.0 121251.0 535069000000.0 4931100000000.0 3077070000000.0 2367060.0 43141100.0 1526700000.0 3941360000.0 148540000000.0 -4.44 4.474 [-4.44]
43651600000000.0 5.61506e+17 11744400000.0 1076950000000.0 1909380000000.0 986678000.0 198642000000.0 902103000000.0 135058.0 556129000000.0 4500860000000.0 2683640000000.0 2692820.0 49322300.0 1718450000.0 4297910000.0 153388000000.0 -4.42 4.47 [-4.42]
43651600000000.0 5.32609e+17 12451000000.0 1109130000000.0 1893660000000.0 1049890000.0 205295000000.0 857598000000.0 150442.0 577230000000.0 4100520000000.0 2336550000000.0 3057880.0 56278800.0 1931150000.0 4679780000.0 158139000000.0 -4.4 4.466 [-4.4]
43651600000000.0 5.05214e+17 13184200000.0 1140800000000.0 1875710000000.0 1115480000.0 211815000000.0 813651000000.0 167594.0 598330000000.0 3728940000000.0 2030970000000.0 3466150.0 64090300.0 2166660000.0 5087950000.0 162772000000.0 -4.38 4.463 [-4.38]
43651600000000.0 4.79241e+17 13943400000.0 1171820000000.0 1855560000000.0 1183390000.0 218176000000.0 770406000000.0 186726.0 619385000000.0 3384900000000.0 1762450000000.0 3921820.0 72842600.0 2426910000.0 5523400000.0 167264000000.0 -4.36 4.459 [-4.36]
43651600000000.0 4.54619e+17 14728300000.0 1202090000000.0 1833250000000.0 1253620000.0 224354000000.0 727998000000.0 208088.0 640358000000.0 3067160000000.0 1526990000000.0 4429460.0 82627700.0 2713970000.0 5986980000.0 171593000000.0 -4.34 4.455 [-4.34]
43651600000000.0 4.31273e+17 15537500000.0 1231450000000.0 1808800000000.0 1326050000.0 230322000000.0 686553000000.0 231943.0 661197000000.0 2774400000000.0 1320890000000.0 4993540.0 93540300.0 3029910000.0 6479550000.0 175736000000.0 -4.32 4.451 [-4.32]
43651600000000.0 4.09149e+17 16373100000.0 1259870000000.0 1782260000000.0 1400900000.0 236074000000.0 646177000000.0 258653.0 681899000000.0 2505230000000.0 1140860000000.0 5620330.0 105695000.0 3377120000.0 7001470000.0 179671000000.0 -4.3 4.448 [-4.3]
43651600000000.0 3.88173e+17 17229700000.0 1287080000000.0 1753700000000.0 1477740000.0 241564000000.0 606991000000.0 288494.0 702366000000.0 2258470000000.0 983911000000.0 6313260.0 119179000.0 3757560000.0 7553580000.0 183374000000.0 -4.28 4.444 [-4.28]
43651600000000.0 3.68285e+17 18108800000.0 1313050000000.0 1723160000000.0 1556770000.0 246789000000.0 569058000000.0 321919.0 722598000000.0 2032600000000.0 847274000000.0 7079210.0 134124000.0 4173850000.0 8136250000.0 186824000000.0 -4.26 4.44 [-4.26]
43651600000000.0 3.4943e+17 19008500000.0 1337620000000.0 1690730000000.0 1637860000.0 251725000000.0 532461000000.0 359362.0 742542000000.0 1826350000000.0 728559000000.0 7923570.0 150641000.0 4628290000.0 8749650000.0 189999000000.0 -4.24 4.436 [-4.24]
43651600000000.0 3.31556e+17 19927700000.0 1360680000000.0 1656490000000.0 1721020000.0 256359000000.0 497259000000.0 401344.0 762167000000.0 1638410000000.0 625585000000.0 8852600.0 168858000.0 5123340000.0 9393800000.0 192876000000.0 -4.22 4.433 [-4.22]
43651600000000.0 3.14609e+17 20864300000.0 1382100000000.0 1620520000000.0 1806170000.0 260675000000.0 463498000000.0 448438.0 781431000000.0 1467490000000.0 536411000000.0 9872380.0 188901000.0 5661430000.0 10068600000.0 195437000000.0 -4.2 4.429 [-4.2]
43651600000000.0 2.98542e+17 21816700000.0 1401770000000.0 1582940000000.0 1893280000.0 264658000000.0 431215000000.0 501296.0 800297000000.0 1312370000000.0 459320000000.0 10989200.0 210900000.0 6244950000.0 10773500000.0 197661000000.0 -4.18 4.425 [-4.18]
43651600000000.0 2.83306e+17 22784100000.0 1419610000000.0 1543830000000.0 1982390000.0 268304000000.0 400420000000.0 560694.0 818743000000.0 1171820000000.0 392758000000.0 12210500.0 235004000.0 6876570000.0 11508000000.0 199530000000.0 -4.16 4.422 [-4.16]
43651600000000.0 2.68868e+17 23761200000.0 1435450000000.0 1503360000000.0 2073210000.0 271589000000.0 371160000000.0 627357.0 836695000000.0 1044840000000.0 335433000000.0 13539800.0 261303000.0 7557730000.0 12270800000.0 201026000000.0 -4.14 4.418 [-4.14]
43651600000000.0 2.55171e+17 24750100000.0 1449280000000.0 1461600000000.0 2166070000.0 274523000000.0 343391000000.0 702369.0 854169000000.0 930176000000.0 286072000000.0 14987400.0 289995000.0 8291750000.0 13060900000.0 202134000000.0 -4.12 4.415 [-4.12]
43651600000000.0 2.4219e+17 25745100000.0 1460970000000.0 1418730000000.0 2260640000.0 277087000000.0 317138000000.0 786666.0 871093000000.0 826936000000.0 243677000000.0 16555900.0 321160000.0 9079710000.0 13876600000.0 202841000000.0 -4.1 4.411 [-4.1]
43651600000000.0 2.29884e+17 26742800000.0 1470420000000.0 1374900000000.0 2356820000.0 279274000000.0 292384000000.0 881404.0 887433000000.0 734147000000.0 207314000000.0 18250200.0 354915000.0 9923230000.0 14715800000.0 203134000000.0 -4.08 4.407 [-4.08]
