H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4
1.44544e+15	8.93280e+19	4.30265e+10	9.05861e+12	5.01725e+13	2.90985e+09	1.31764e+12	5.92345e+13	1.65598e+05	3.45262e+12	9.33186e+14	2.18909e+15	9.92283e+05	1.53671e+07	9.76684e+08	6.49734e+09	1.10573e+12
1.44544e+15	8.44619e+19	4.70902e+10	9.65965e+12	5.14402e+13	3.19839e+09	1.41482e+12	5.91719e+13	1.85549e+05	3.72514e+12	9.01864e+14	2.01081e+15	1.18588e+06	1.85515e+07	1.14978e+09	7.39321e+09	1.19048e+12
1.44544e+15	7.98804e+19	5.14745e+10	1.02863e+13	5.26712e+13	3.51366e+09	1.51788e+12	5.90271e+13	2.07956e+05	4.01556e+12	8.69858e+14	1.84400e+15	1.41458e+06	2.23479e+07	1.35115e+09	8.39815e+09	1.27977e+12
1.44544e+15	7.55648e+19	5.62013e+10	1.09387e+13	5.38624e+13	3.85784e+09	1.62702e+12	5.88000e+13	2.33115e+05	4.32450e+12	8.37302e+14	1.68818e+15	1.68430e+06	2.68647e+07	1.58498e+09	9.52348e+09	1.37368e+12
1.44544e+15	7.14981e+19	6.12911e+10	1.16171e+13	5.50115e+13	4.23327e+09	1.74248e+12	5.84910e+13	2.61357e+05	4.65256e+12	8.04334e+14	1.54290e+15	2.00183e+06	3.22276e+07	1.85607e+09	1.07815e+10	1.47227e+12
1.44544e+15	6.76644e+19	6.67667e+10	1.23217e+13	5.61160e+13	4.64242e+09	1.86443e+12	5.81005e+13	2.93051e+05	5.00027e+12	7.71085e+14	1.40768e+15	2.37505e+06	3.85825e+07	2.16982e+09	1.21856e+10	1.57558e+12
1.44544e+15	6.40440e+19	7.26359e+10	1.30518e+13	5.71742e+13	5.08605e+09	1.99272e+12	5.76286e+13	3.28399e+05	5.36697e+12	7.37678e+14	1.28194e+15	2.81219e+06	4.60965e+07	2.53240e+09	1.37516e+10	1.68371e+12
1.44544e+15	6.06334e+19	7.89522e+10	1.38088e+13	5.81825e+13	5.57012e+09	2.12810e+12	5.70772e+13	3.68239e+05	5.75520e+12	7.04279e+14	1.16543e+15	3.32493e+06	5.49657e+07	2.95059e+09	1.54920e+10	1.79652e+12
1.44544e+15	5.74143e+19	8.57268e+10	1.45920e+13	5.91396e+13	6.09578e+09	2.27039e+12	5.64469e+13	4.12879e+05	6.16413e+12	6.70989e+14	1.05759e+15	3.92442e+06	6.54128e+07	3.43220e+09	1.74249e+10	1.91407e+12
1.44544e+15	5.43751e+19	9.29850e+10	1.54010e+13	6.00431e+13	6.66580e+09	2.41966e+12	5.57390e+13	4.62870e+05	6.59388e+12	6.37932e+14	9.57979e+14	4.62413e+06	7.76938e+07	3.98592e+09	1.95681e+10	2.03633e+12
