# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
1445440000000000.0 8.9328e+19 43026500000.0 9058610000000.0 50172500000000.0 2909850000.0 1317640000000.0 59234500000000.0 165598.0 3452620000000.0 933186000000000.0 2189090000000000.0 992283.0 15367100.0 976684000.0 6497340000.0 1105730000000.0 -5.0 4.59 [-5.0]
1445440000000000.0 8.44619e+19 47090200000.0 9659650000000.0 51440200000000.0 3198390000.0 1414820000000.0 59171900000000.0 185549.0 3725140000000.0 901864000000000.0 2010810000000000.0 1185880.0 18551500.0 1149780000.0 7393210000.0 1190480000000.0 -4.98 4.584 [-4.98]
1445440000000000.0 7.98804e+19 51474500000.0 10286300000000.0 52671200000000.0 3513660000.0 1517880000000.0 59027100000000.0 207956.0 4015560000000.0 869858000000000.0 1844000000000000.0 1414580.0 22347900.0 1351150000.0 8398150000.0 1279770000000.0 -4.96 4.579 [-4.96]
1445440000000000.0 7.55648e+19 56201300000.0 10938700000000.0 53862400000000.0 3857840000.0 1627020000000.0 58800000000000.0 233115.0 4324500000000.0 837302000000000.0 1688180000000000.0 1684300.0 26864700.0 1584980000.0 9523480000.0 1373680000000.0 -4.94 4.574 [-4.94]
1445440000000000.0 7.14981e+19 61291100000.0 11617100000000.0 55011500000000.0 4233270000.0 1742480000000.0 58491000000000.0 261357.0 4652560000000.0 804334000000000.0 1542900000000000.0 2001830.0 32227600.0 1856070000.0 10781500000.0 1472270000000.0 -4.92 4.569 [-4.92]
1445440000000000.0 6.76644e+19 66766700000.0 12321700000000.0 56116000000000.0 4642420000.0 1864430000000.0 58100500000000.0 293051.0 5000270000000.0 771085000000000.0 1407680000000000.0 2375050.0 38582500.0 2169820000.0 12185600000.0 1575580000000.0 -4.9 4.564 [-4.9]
1445440000000000.0 6.4044e+19 72635900000.0 13051800000000.0 57174200000000.0 5086050000.0 1992720000000.0 57628600000000.0 328399.0 5366970000000.0 737678000000000.0 1281940000000000.0 2812190.0 46096500.0 2532400000.0 13751600000.0 1683710000000.0 -4.88 4.559 [-4.88]
1445440000000000.0 6.06334e+19 78952200000.0 13808800000000.0 58182500000000.0 5570120000.0 2128100000000.0 57077200000000.0 368239.0 5755200000000.0 704279000000000.0 1165430000000000.0 3324930.0 54965700.0 2950590000.0 15492000000.0 1796520000000.0 -4.86 4.555 [-4.86]
1445440000000000.0 5.74143e+19 85726800000.0 14592000000000.0 59139600000000.0 6095780000.0 2270390000000.0 56446900000000.0 412879.0 6164130000000.0 670989000000000.0 1057590000000000.0 3924420.0 65412800.0 3432200000.0 17424900000.0 1914070000000.0 -4.84 4.55 [-4.84]
1445440000000000.0 5.43751e+19 92985000000.0 15401000000000.0 60043100000000.0 6665800000.0 2419660000000.0 55739000000000.0 462870.0 6593880000000.0 637932000000000.0 957979000000000.0 4624130.0 77693800.0 3985920000.0 19568100000.0 2036330000000.0 -4.82 4.546 [-4.82]
1445440000000000.0 5.15046e+19 100753000000.0 16235800000000.0 60891300000000.0 7282990000.0 2575930000000.0 54955300000000.0 518820.0 7044540000000.0 605228000000000.0 866137000000000.0 5439360.0 92102100.0 4621520000.0 21940500000.0 2163220000000.0 -4.8 4.541 [-4.8]
1445440000000000.0 4.87933e+19 109063000000.0 17096200000000.0 61682300000000.0 7950780000.0 2739290000000.0 54098100000000.0 581462.0 7516300000000.0 572989000000000.0 781651000000000.0 6387860.0 108974000.0 5349930000.0 24562000000.0 2294650000000.0 -4.78 4.537 [-4.78]
1445440000000000.0 4.62316e+19 117943000000.0 17981600000000.0 62414500000000.0 8672140000.0 2909690000000.0 53169400000000.0 651557.0 8009030000000.0 541322000000000.0 704088000000000.0 7489510.0 128692000.0 6183320000.0 27454200000.0 2430500000000.0 -4.76 4.533 [-4.76]
1445440000000000.0 4.38095e+19 127415000000.0 18891400000000.0 63085900000000.0 9449410000.0 3086930000000.0 52171700000000.0 729868.0 8522170000000.0 510323000000000.0 633006000000000.0 8766190.0 151688000.0 7135260000.0 30640500000.0 2570640000000.0 -4.74 4.528 [-4.74]
1445440000000000.0 4.15189e+19 137506000000.0 19824500000000.0 63694900000000.0 10285300000.0 3270810000000.0 51107900000000.0 817298.0 9055310000000.0 480084000000000.0 568001000000000.0 10242900.0 178452000.0 8220810000.0 34145200000.0 2714890000000.0 -4.72 4.524 [-4.72]
1445440000000000.0 3.93521e+19 148244000000.0 20780300000000.0 64240000000000.0 11182700000.0 3461130000000.0 49981100000000.0 914862.0 9607880000000.0 450680000000000.0 508692000000000.0 11948000.0 209541000.0 9456710000.0 37993900000.0 2863040000000.0 -4.7 4.52 [-4.7]
1445440000000000.0 3.73018e+19 159656000000.0 21757600000000.0 64719800000000.0 12144300000.0 3657590000000.0 48795100000000.0 1023670.0 10179200000000.0 422183000000000.0 454697000000000.0 13912900.0 245578000.0 10861400000.0 42213800000.0 3014860000000.0 -4.68 4.516 [-4.68]
1445440000000000.0 3.53613e+19 171766000000.0 22755100000000.0 65132800000000.0 13172300000.0 3859820000000.0 47553800000000.0 1144950.0 10768700000000.0 394658000000000.0 405637000000000.0 16173000.0 287267000.0 12455400000.0 46833400000.0 3170070000000.0 -4.66 4.512 [-4.66]
1445440000000000.0 3.35244e+19 184601000000.0 23771400000000.0 65477600000000.0 14269200000.0 4067420000000.0 46261600000000.0 1280070.0 11375200000000.0 368155000000000.0 361167000000000.0 18767400.0 335394000.0 14261100000.0 51882500000.0 3328370000000.0 -4.64 4.508 [-4.64]
1445440000000000.0 3.1785e+19 198185000000.0 24805100000000.0 65753200000000.0 15437200000.0 4279890000000.0 44922900000000.0 1430550.0 11998000000000.0 342715000000000.0 320948000000000.0 21740100.0 390838000.0 16303200000.0 57392100000.0 3489410000000.0 -4.62 4.504 [-4.62]
1445440000000000.0 3.01377e+19 212546000000.0 25854500000000.0 65958300000000.0 16678700000.0 4496760000000.0 43542500000000.0 1598170.0 12636100000000.0 318370000000000.0 284647000000000.0 25140300.0 454594000.0 18609000000.0 63395100000.0 3652830000000.0 -4.6 4.5 [-4.6]
1445440000000000.0 2.85774e+19 227693000000.0 26917000000000.0 66091700000000.0 17994100000.0 4717280000000.0 42125900000000.0 1784650.0 13287900000000.0 295149000000000.0 251965000000000.0 29019600.0 527722000.0 21207500000.0 69924300000.0 3818170000000.0 -4.58 4.496 [-4.58]
