H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4
1.34896e+15	8.34322e+19	4.01251e+10	8.44003e+12	4.67401e+13	2.71779e+09	1.22851e+12	5.52420e+13	1.54697e+05	3.21130e+12	8.70084e+14	2.04756e+15	9.25215e+05	1.42908e+07	9.08349e+08	6.04017e+09	1.02951e+12
1.34896e+15	7.88864e+19	4.39158e+10	9.00035e+12	4.79227e+13	2.98719e+09	1.31911e+12	5.51854e+13	1.73326e+05	3.46488e+12	8.40964e+14	1.88089e+15	1.10575e+06	1.72533e+07	1.06939e+09	6.87336e+09	1.10847e+12
1.34896e+15	7.46064e+19	4.80053e+10	9.58452e+12	4.90710e+13	3.28155e+09	1.41519e+12	5.50522e+13	1.94247e+05	3.73514e+12	8.11205e+14	1.72493e+15	1.31903e+06	2.07854e+07	1.25674e+09	7.80805e+09	1.19166e+12
1.34896e+15	7.05748e+19	5.24144e+10	1.01927e+13	5.01825e+13	3.60288e+09	1.51695e+12	5.48423e+13	2.17736e+05	4.02265e+12	7.80924e+14	1.57924e+15	1.57056e+06	2.49877e+07	1.47431e+09	8.85477e+09	1.27915e+12
1.34896e+15	6.67706e+19	5.71508e+10	1.08248e+13	5.12553e+13	3.95204e+09	1.62434e+12	5.45555e+13	2.43951e+05	4.32708e+12	7.50238e+14	1.44326e+15	1.86622e+06	2.99772e+07	1.72660e+09	1.00262e+10	1.37107e+12
1.34896e+15	6.31899e+19	6.22573e+10	1.14816e+13	5.22860e+13	4.33390e+09	1.73802e+12	5.41931e+13	2.73526e+05	4.65070e+12	7.19302e+14	1.31682e+15	2.21419e+06	3.58901e+07	2.01855e+09	1.13324e+10	1.46734e+12
1.34896e+15	5.98130e+19	6.77451e+10	1.21630e+13	5.32730e+13	4.74955e+09	1.85791e+12	5.37553e+13	3.06700e+05	4.99307e+12	6.88229e+14	1.19932e+15	2.62244e+06	4.28829e+07	2.35591e+09	1.27879e+10	1.56803e+12
1.34896e+15	5.66272e+19	7.36371e+10	1.28688e+13	5.42141e+13	5.20148e+09	1.98414e+12	5.32429e+13	3.43892e+05	5.35447e+12	6.57132e+14	1.09035e+15	3.10062e+06	5.11366e+07	2.74507e+09	1.44070e+10	1.67316e+12
1.34896e+15	5.36204e+19	7.99566e+10	1.35989e+13	5.51075e+13	5.69223e+09	2.11681e+12	5.26569e+13	3.85565e+05	5.73516e+12	6.26130e+14	9.89495e+14	3.65973e+06	6.08589e+07	3.19327e+09	1.62053e+10	1.78271e+12
1.34896e+15	5.07816e+19	8.67274e+10	1.43534e+13	5.59510e+13	6.22438e+09	2.25599e+12	5.19985e+13	4.32233e+05	6.13528e+12	5.95341e+14	8.96316e+14	4.31231e+06	7.22885e+07	3.70861e+09	1.81993e+10	1.89665e+12
